season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,team_name,team_id,sdrm_id,games_played,games_started,uniform,year,code,matches_played,attack_stats_hitting_pct,attack_stats_attempts,attack_stats_errors,attack_stats_kills,set_stats_assists,set_stats_errors,set_stats_attempts,set_stats_set_pct,serve_stats_aces,serve_stats_errors,serve_stats_attempts,serve_stats_serve_pct,defense_stats_defense_pct,defense_stats_attempts,defense_stats_receptions,defense_stats_digs,block_stats_total,block_stats_errors,block_stats_assists,block_stats_solos,misc_stats_points,misc_stats_ball_handling_errors,per_set_stats_kills,per_set_stats_assists,per_set_stats_digs,per_set_stats_blocks,per_set_stats_aces,per_set_stats_points,attack_stats,set_stats,serve_stats,defense_stats,block_stats,misc_stats,composite_score,global_rank,rating
2025-26,wvball,Liberty League (LL),ll,William Smith,"Sayre, Malya",Malya,Sayre,,30073,"Sayre, Malya","SAYRE, MALYA",William Smith,WSC,1059-8123,112,52,11,0,11,0,.256,1270,208,533,17,8,89,0,61,72,398,0,0,416,44,279,53,2,40,13,627,0,4.76,0.15,2.49,0.47,0.54,5.60,,,,,,,9.590204036047169,1,99
2025-26,wvball,Liberty League (LL),ll,Vassar,"McAusland, Maura",Maura,McAusland,,737,"McAusland, Maura","MCAUSLAND, MAURA",Vassar,VAS,1065-3938,89,37,13,0,13,0,.329,907,106,404,14,1,101,0,44,41,369,0,0,378,33,240,24,1,19,5,462.5,1,4.54,0.16,2.70,0.27,0.49,5.20,,,,,,,8.702888496102203,2,99
2025-26,wvball,Liberty League (LL),ll,Union,Shannon McGrath,Shannon,McGrath,,727,Shannon McGrath,"MCGRATH,SHANNON",Union,UNION,1064-8989,96,71,07,0,07,0,.264,1118,112,407,15,3,100,0,39,43,329,0,0,404,23,290,14,0,12,2,454,0,4.24,0.16,3.02,0.15,0.41,4.73,,,,,,,7.345065291702705,3,99
2025-26,wvball,Liberty League (LL),ll,Clarkson,"Hangliter, Marin",Marin,Hangliter,,146,"Hangliter, Marin","HANGLITER, MARIN",Clarkson,CLK,1057-4850,94,43,7,0,7,0,.132,895,128,246,25,3,107,0,60,44,345,0,0,572,46,290,29,2,27,2,321.5,0,2.62,0.27,3.09,0.31,0.64,3.42,,,,,,,5.988873090834469,4,98
2025-26,wvball,Liberty League (LL),ll,Ithaca,"Gonzalez-Abreu, Gabriela",Gabriela,Gonzalez-Abreu,,313,"Gonzalez-Abreu, Gabriela","GONZALEZ-ABREU, GABRIELA",Ithaca,ITH,1006-9945,117,47,12,0,12,0,.199,1193,175,413,28,3,142,0,31,36,440,0,0,719,46,330,33,1,28,5,463,0,3.53,0.24,2.82,0.28,0.26,3.96,,,,,,,5.76042244366017,5,98
2025-26,wvball,Liberty League (LL),ll,Vassar,"Kaplan, Holland",Holland,Kaplan,,737,"Kaplan, Holland","KAPLAN, HOLLAND",Vassar,VAS,1065-3937,92,39,5,0,5,0,.190,856,144,307,23,4,105,0,38,51,273,0,0,456,56,203,24,3,22,2,358,2,3.34,0.25,2.21,0.26,0.41,3.89,,,,,,,5.547650543230376,6,98
2025-26,wvball,Liberty League (LL),ll,RIT,"Wasula, Anna",Anna,Wasula,,580,"Wasula, Anna","WASULA, ANNA",RIT,RIT,1008-11845,99,73,14,0,14,0,.178,1025,167,349,8,3,89,0,35,12,278,0,0,329,34,221,26,4,25,1,397.5,2,3.53,0.08,2.23,0.26,0.35,4.02,,,,,,,5.5403781721417875,7,97
2025-26,wvball,Liberty League (LL),ll,William Smith,"Fulton, Emily",Emily,Fulton,,30073,"Fulton, Emily","FULTON, EMILY",William Smith,WSC,1059-8768,107,50,8,0,8,0,.224,767,93,265,10,2,81,0,50,29,453,0,0,400,39,275,22,1,17,5,328.5,0,2.48,0.09,2.57,0.21,0.47,3.07,,,,,,,4.71315751914298,8,97
2025-26,wvball,Liberty League (LL),ll,Ithaca,"Leadbetter, Addison",Addison,Leadbetter,,313,"Leadbetter, Addison","LEADBETTER, ADDISON",Ithaca,ITH,1006-11502,117,49,16,0,16,0,.291,581,79,248,12,4,60,0,41,42,465,0,0,3,0,78,81,2,61,20,339.5,0,2.12,0.10,0.67,0.69,0.35,2.90,,,,,,,4.652042971164473,9,97
2025-26,wvball,Liberty League (LL),ll,Ithaca,"Clauhs, Naomi",Naomi,Clauhs,,313,"Clauhs, Naomi","CLAUHS, NAOMI",Ithaca,ITH,1006-9943,114,21,4,0,4,0,.273,1266,116,462,4,3,54,0,0,0,3,0,0,10,1,71,34,1,28,6,482,0,4.05,0.04,0.62,0.30,0.00,4.23,,,,,,,4.333487365420107,10,96
2025-26,wvball,Liberty League (LL),ll,Clarkson,"Burns, Conley",Conley,Burns,,146,"Burns, Conley","BURNS, CONLEY",Clarkson,CLK,1057-5282,97,42,6,0,6,0,.197,956,133,321,15,0,95,0,20,23,337,0,0,489,47,220,13,4,9,4,349.5,0,3.31,0.15,2.27,0.13,0.21,3.60,,,,,,,4.201424187085293,11,96
2025-26,wvball,Liberty League (LL),ll,St. Lawrence,"Latam, Vanessa",Vanessa,Latam,,607,"Latam, Vanessa","LATAM, VANESSA",St. Lawrence,SLU,1062-10859,104,55,15,0,15,0,.202,376,35,111,792,29,2221,0,66,63,392,0,0,11,2,242,47,4,39,8,204.5,3,1.07,7.62,2.33,0.45,0.63,1.97,,,,,,,4.003058772581454,12,96
