season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,linkup_name,games_played,games_started,uniform,year,hitting_stats_at_bats,hitting_stats_runs,hitting_stats_hits,hitting_stats_runs_batted_in,hitting_stats_doubles,hitting_stats_triples,hitting_stats_home_runs,hitting_stats_walks,hitting_stats_intentional_walks,hitting_stats_hit_by_pitch,hitting_stats_strikeouts,hitting_stats_strikeouts_looking,hitting_stats_stolen_bases,hitting_stats_caught_stealing,hitting_stats_sacrifice_hits,hitting_stats_sacrifice_flies,hitting_stats_reached_on_catchers_interference,hitting_stats_reached_on_error,hitting_stats_reached_on_fielders_choice,hitting_stats_grounded_into_doubleplay,hitting_stats_picked_off,hitting_stats_total_double_plays,hitting_stats_total_triple_plays,hitting_stats_onbase_percentage,hitting_stats_total_bases,hitting_stats_total_plate_appearances,hitting_stats_stolen_base_attempts,hitting_stats_stolen_base_percentage,hitting_stats_batting_average,hitting_stats_slugging_percentage,fielding_stats_putouts,fielding_stats_assists,fielding_stats_errors,fielding_stats_passed_balls,fielding_stats_catchers_interference,fielding_stats_stolen_bases_against,fielding_stats_caught_stealing_by,fielding_stats_involved_in_double_plays,fielding_stats_involved_in_triple_plays,fielding_stats_total_chances,fielding_stats_fielding_percentage,fielding_stats_stolen_bases_against_attempts,fielding_stats_stolen_bases_against_percentage,pitching_stats,hitting_summary_stats_times_reached_base_on_error,hitting_summary_stats_times_reached_base_on_fielders_choice,hitting_summary_stats_times_grouded_out,hitting_summary_stats_times_flied_out,hitting_summary_stats_hits_ab_with_2_outs,hitting_summary_stats_batting_avg_with_2_outs,hitting_summary_stats_hits_with_2_outs,hitting_summary_stats_ab_with_2_outs,hitting_summary_stats_hits_ab_with_runners_on_base,hitting_summary_stats_batting_avg_with_runners_on_base,hitting_summary_stats_hits_with_runners_on_base,hitting_summary_stats_ab_with_runners_on_base,hitting_summary_stats_hits_ab_with_runners_in_scoring_position,hitting_summary_stats_batting_avg_with_runners_in_scoring_position,hitting_summary_stats_hits_with_runners_in_scoring_position,hitting_summary_stats_ab_with_runners_in_scoring_position,hitting_summary_stats_hits_ab_vs_left_handed_pitchers,hitting_summary_stats_batting_avg_vs_left_handed_pitchers,hitting_summary_stats_hits_vs_left_handed_pitchers,hitting_summary_stats_ab_vs_left_handed_pitchers,hitting_summary_stats_hits_ab_vs_right_handed_pitchers,hitting_summary_stats_batting_avg_vs_right_handed_pitchers,hitting_summary_stats_hits_vs_right_handed_pitchers,hitting_summary_stats_ab_vs_right_handed_pitchers,hitting_summary_stats_success_opps_as_leadoff_batter_in_inning,hitting_summary_stats_success_opps_to_drive_in_runner_from_3rd_with_less_than_2_outs,hitting_summary_stats_number_of_runners_advanced_ab,hitting_summary_stats_hits_ab_with_bases_loaded,hitting_summary_stats_batting_avg_with_bases_loaded,hitting_summary_stats_hits_with_bases_loaded,hitting_summary_stats_ab_with_bases_loaded,hitting_summary_stats_hits_ab_as_pinch_hitter,hitting_summary_stats_batting_avg_as_pinch_hitter,hitting_summary_stats_hits_as_pinch_hitter,hitting_summary_stats_ab_as_pinch_hitter,hitting_summary_stats_times_advanced_at_least_1_runner_with_an_out,hitting_summary_stats_runners_left_on_base,hitting_summary_stats_two_out_rbis,pitching_summary_stats,team_name,team_id,sdrm_id,this_is_softball,pitching_stats_hits_allowed,pitching_stats_appearances,pitching_stats_games_started,pitching_stats_wins,pitching_stats_losses,pitching_stats_saves,pitching_stats_complete_games,pitching_stats_shutouts,pitching_stats_credit_for_combined_shutout,pitching_stats_games_finished,pitching_stats_innings_pitched,pitching_stats_runs_allowed,pitching_stats_earned_runs_allowed,pitching_stats_walks_allowed,pitching_stats_strikeouts,pitching_stats_doubles_allowed,pitching_stats_triples_allowed,pitching_stats_home_runs_allowed,pitching_stats_earned_run_average,pitching_stats_opponents_at_bats,pitching_stats_batters_faced,pitching_stats_wild_pitches,pitching_stats_hit_batters,pitching_stats_balks,pitching_stats_sacrifice_flies_allowed,pitching_stats_sacrifice_hits_allowed,pitching_stats_catchers_interference_allowed,pitching_stats_intentional_walks,pitching_stats_strikeouts_looking,pitching_stats_opponent_batting_average,pitching_summary_stats_fly_outs_allowed,pitching_summary_stats_ground_outs_allowed,pitching_summary_stats_runners_picked_off,pitching_summary_stats_success_opps_vs_leadoff_batters,pitching_summary_stats_hits_ab_with_runners_on_base,pitching_summary_stats_hits_ab_vs_left_handed_batters,pitching_summary_stats_hits_ab_vs_right_handed_batters,pitching_summary_stats_hits_ab_with_2_outs,hitting_stats,fielding_stats,hitting_summary_stats,global_rank,rating,composite_score,ranking_segment,pitching_stats_k_per_9,pitching_stats_whip
2026-27,baseball,Middle Atlantic Conferences (MAC),mac,Albright,Tommy Lewman,Tommy,Lewman,,16,Tommy Lewman,0,0ALBRIGHT,16,15,,,48,14,23,8,9,0,2,11,2,3,9,0,4,0,0,1,0,0,0,0,0,0,0,0.587,38,63,4,1.000,.479,.792,9,24,3,0,0,0,0,2,0,36,.917,0,.000,,0,0,3,15,"9,18",0.50,9,18,"12,25",0.48,12,25,"3,13",0.23,3,13,"6,12",0.50,6,12,0,0,0,0,"4,11","0,1","20,30",0,0,0,0,1,0,0,0,4,9,0,,Albright,ALBRIGHT,992-3271,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,99,136.0,batting,,
2026-27,baseball,Middle Atlantic Conferences (MAC),mac,Stevenson,Zach Mayza,Zach,Mayza,,21852,Zach Mayza,0,0STEVENSO,11,11,,,36,9,15,8,1,1,1,5,0,0,9,5,6,0,0,0,0,0,0,0,0,0,0,0.488,21,41,6,1.000,.417,.583,21,0,0,0,0,0,0,0,0,21,1.000,0,.000,,1,1,4,7,"3,7",0.43,3,7,"9,19",0.47,9,19,"8,14",0.57,8,14,"4,8",0.50,4,8,0,0,0,0,"5,11","4,5","11,20",0,0,0,0,0,0,0,0,1,5,0,,Stevenson,STEVENSO,660-6409,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,99,135.0,batting,,
2026-27,baseball,Middle Atlantic Conferences (MAC),mac,King's,Troy Neff,Troy,Neff,,336,Troy Neff,0,0KING'S (,14,14,,,40,14,17,7,1,0,2,11,0,7,6,0,4,0,0,0,0,0,0,0,0,0,0,0.603,24,58,4,1.000,.425,.600,26,0,0,0,0,0,0,0,0,26,1.000,0,.000,,1,0,7,9,"6,11",0.55,6,11,"8,17",0.47,8,17,"7,10",0.70,7,10,"3,7",0.43,3,7,0,0,0,0,"11,21",0,"19,26",0,0,0,0,0,0,0,0,4,5,0,,King's,KING'S (,1001-6801,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,99,134.0,batting,,
2026-27,baseball,Middle Atlantic Conferences (MAC),mac,Messiah,Hurst Drew,Hurst,Drew,,411,Hurst Drew,0,0MESSIAH,16,16,,,52,13,21,20,3,1,4,15,1,3,13,6,5,1,1,2,0,0,0,0,2,1,0,0.542,38,73,6,.833,.404,.731,14,23,3,0,0,0,0,2,0,40,.925,0,.000,,0,0,9,12,"10,23",0.43,10,23,"17,31",0.55,17,31,"12,21",0.57,12,21,"7,13",0.54,7,13,0,0,0,0,"1,5","5,8","26,39","1,1",1.00,1,1,0,0,0,0,5,7,0,,Messiah,MESSIAH,995-4329,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,98,133.0,batting,,
2026-27,baseball,Middle Atlantic Conferences (MAC),mac,FDU - Florham,Xavier Diaz,Xavier,Diaz,,221,Xavier Diaz,0,0FDU-FLOR,19,19,,,61,17,28,19,4,4,1,7,0,7,8,2,4,0,2,0,0,0,0,0,1,0,0,0.560,43,77,4,1.000,.459,.705,31,1,0,0,0,0,0,0,0,32,1.000,0,.000,,2,0,15,10,"11,23",0.48,11,23,"21,41",0.51,21,41,"14,29",0.48,14,29,"3,5",0.60,3,5,0,0,0,0,"9,18","3,5","31,46",26,0,0,0,0,0,0,0,9,15,0,,FDU - Florham,FDU-FLOR,1000-3828,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,98,132.0,batting,,
2026-27,baseball,Middle Atlantic Conferences (MAC),mac,Arcadia,Kevin Wheeler,Kevin,Wheeler,,966,Kevin Wheeler,0,0ARCADIA,18,18,,,75,20,30,17,2,1,2,9,0,1,4,3,10,1,0,1,0,0,0,0,0,0,0,0.465,40,86,11,.909,.400,.533,23,1,0,0,0,0,0,0,0,24,1.000,0,.000,,3,1,18,21,"6,25",0.24,6,25,"15,45",0.33,15,45,"9,29",0.31,9,29,"7,14",0.50,7,14,0,0,0,0,"15,24","4,7","26,50",38,0,0,0,0,0,0,0,6,24,0,,Arcadia,ARCADIA,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,98,131.0,batting,,
2026-27,baseball,Middle Atlantic Conferences (MAC),mac,DeSales,Owen Fischl,Owen,Fischl,,20,Owen Fischl,0,0DESALES,20,19,,,59,17,25,16,6,0,0,12,0,5,8,4,6,2,0,3,0,0,0,0,0,0,0,0.532,31,79,8,.750,.424,.525,7,0,0,0,0,0,0,0,0,7,1.000,0,.000,,2,1,11,16,"11,18",0.61,11,18,"17,32",0.53,17,32,"12,21",0.57,12,21,"2,10",0.20,2,10,0,0,0,0,"9,17","8,11","27,40",88,0,0,0,"0,1",0,0,1,7,9,0,,DeSales,DESALES,999-4179,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,97,130.0,batting,,
2026-27,baseball,Middle Atlantic Conferences (MAC),mac,Eastern,Trent Macdougall,Trent,Macdougall,,8968,Trent Macdougall,0,0EASTERN,20,20,,,61,26,30,15,9,0,3,16,1,3,11,7,15,2,1,0,0,0,0,0,0,0,0,0.613,48,81,17,.882,.492,.787,39,0,0,0,0,0,0,0,0,39,1.000,0,.000,,0,1,9,12,"9,17",0.53,9,17,"15,25",0.60,15,25,"12,21",0.57,12,21,"2,9",0.22,2,9,0,0,0,0,"19,33","2,8","19,28","0,1",0,0,1,0,0,0,0,2,5,0,,Eastern,EASTERN,1304-4933,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,97,129.0,batting,,
2026-27,baseball,Middle Atlantic Conferences (MAC),mac,Misericordia,Bryant Diaz,Bryant,Diaz,,16142,Bryant Diaz,0,0MISERICO,14,13,,,42,5,20,15,8,0,0,6,0,6,6,2,5,1,1,0,0,0,0,0,2,0,0,0.593,28,55,6,.833,.476,.667,21,40,1,0,0,0,0,7,0,62,.984,0,.000,,2,0,7,8,"9,18",0.50,9,18,"13,28",0.46,13,28,"11,23",0.48,11,23,"1,7",0.14,1,7,0,0,0,0,"4,5","5,8","18,32",88,0,0,0,3,0,0,0,1,12,0,,Misericordia,MISERICO,1308-7919,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,97,128.0,batting,,
2026-27,baseball,Middle Atlantic Conferences (MAC),mac,York,Lucas Prendergast,Lucas,Prendergast,,815,Lucas Prendergast,0,0YCP,18,18,,,70,16,32,14,13,1,2,7,0,6,9,1,1,1,0,0,0,0,0,0,3,0,0,0.542,53,83,2,.500,.457,.757,41,43,6,0,0,0,0,5,0,90,.933,0,.000,,2,2,13,14,"10,17",0.59,10,17,"14,30",0.47,14,30,"8,20",0.40,8,20,"5,13",0.38,5,13,0,0,0,0,"16,33","5,8","24,35",1,0,0,0,0,0,0,0,5,10,0,,York,YCP,140-3695,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,96,127.0,batting,,
