season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,linkup_name,games_played,games_started,uniform,year,hitting_stats_at_bats,hitting_stats_runs,hitting_stats_hits,hitting_stats_runs_batted_in,hitting_stats_doubles,hitting_stats_triples,hitting_stats_home_runs,hitting_stats_walks,hitting_stats_intentional_walks,hitting_stats_hit_by_pitch,hitting_stats_strikeouts,hitting_stats_strikeouts_looking,hitting_stats_stolen_bases,hitting_stats_caught_stealing,hitting_stats_sacrifice_hits,hitting_stats_sacrifice_flies,hitting_stats_reached_on_catchers_interference,hitting_stats_reached_on_error,hitting_stats_reached_on_fielders_choice,hitting_stats_grounded_into_doubleplay,hitting_stats_picked_off,hitting_stats_total_double_plays,hitting_stats_total_triple_plays,hitting_stats_onbase_percentage,hitting_stats_total_bases,hitting_stats_total_plate_appearances,hitting_stats_stolen_base_attempts,hitting_stats_stolen_base_percentage,hitting_stats_batting_average,hitting_stats_slugging_percentage,fielding_stats_putouts,fielding_stats_assists,fielding_stats_errors,fielding_stats_passed_balls,fielding_stats_catchers_interference,fielding_stats_stolen_bases_against,fielding_stats_caught_stealing_by,fielding_stats_involved_in_double_plays,fielding_stats_involved_in_triple_plays,fielding_stats_total_chances,fielding_stats_fielding_percentage,fielding_stats_stolen_bases_against_attempts,fielding_stats_stolen_bases_against_percentage,pitching_stats_hits_allowed,pitching_stats_appearances,pitching_stats_games_started,pitching_stats_wins,pitching_stats_losses,pitching_stats_saves,pitching_stats_complete_games,pitching_stats_shutouts,pitching_stats_credit_for_combined_shutout,pitching_stats_games_finished,pitching_stats_innings_pitched,pitching_stats_runs_allowed,pitching_stats_earned_runs_allowed,pitching_stats_walks_allowed,pitching_stats_strikeouts,pitching_stats_doubles_allowed,pitching_stats_triples_allowed,pitching_stats_home_runs_allowed,pitching_stats_earned_run_average,pitching_stats_opponents_at_bats,pitching_stats_batters_faced,pitching_stats_wild_pitches,pitching_stats_hit_batters,pitching_stats_balks,pitching_stats_sacrifice_flies_allowed,pitching_stats_sacrifice_hits_allowed,pitching_stats_catchers_interference_allowed,pitching_stats_intentional_walks,pitching_stats_strikeouts_looking,pitching_stats_opponent_batting_average,hitting_summary_stats_times_reached_base_on_error,hitting_summary_stats_times_reached_base_on_fielders_choice,hitting_summary_stats_times_grouded_out,hitting_summary_stats_times_flied_out,hitting_summary_stats_hits_ab_with_2_outs,hitting_summary_stats_batting_avg_with_2_outs,hitting_summary_stats_hits_with_2_outs,hitting_summary_stats_ab_with_2_outs,hitting_summary_stats_hits_ab_with_runners_on_base,hitting_summary_stats_batting_avg_with_runners_on_base,hitting_summary_stats_hits_with_runners_on_base,hitting_summary_stats_ab_with_runners_on_base,hitting_summary_stats_hits_ab_with_runners_in_scoring_position,hitting_summary_stats_batting_avg_with_runners_in_scoring_position,hitting_summary_stats_hits_with_runners_in_scoring_position,hitting_summary_stats_ab_with_runners_in_scoring_position,hitting_summary_stats_hits_ab_vs_left_handed_pitchers,hitting_summary_stats_batting_avg_vs_left_handed_pitchers,hitting_summary_stats_hits_vs_left_handed_pitchers,hitting_summary_stats_ab_vs_left_handed_pitchers,hitting_summary_stats_hits_ab_vs_right_handed_pitchers,hitting_summary_stats_batting_avg_vs_right_handed_pitchers,hitting_summary_stats_hits_vs_right_handed_pitchers,hitting_summary_stats_ab_vs_right_handed_pitchers,hitting_summary_stats_success_opps_as_leadoff_batter_in_inning,hitting_summary_stats_success_opps_to_drive_in_runner_from_3rd_with_less_than_2_outs,hitting_summary_stats_number_of_runners_advanced_ab,hitting_summary_stats_hits_ab_with_bases_loaded,hitting_summary_stats_batting_avg_with_bases_loaded,hitting_summary_stats_hits_with_bases_loaded,hitting_summary_stats_ab_with_bases_loaded,hitting_summary_stats_hits_ab_as_pinch_hitter,hitting_summary_stats_batting_avg_as_pinch_hitter,hitting_summary_stats_hits_as_pinch_hitter,hitting_summary_stats_ab_as_pinch_hitter,hitting_summary_stats_times_advanced_at_least_1_runner_with_an_out,hitting_summary_stats_runners_left_on_base,hitting_summary_stats_two_out_rbis,pitching_summary_stats_fly_outs_allowed,pitching_summary_stats_ground_outs_allowed,pitching_summary_stats_runners_picked_off,pitching_summary_stats_success_opps_vs_leadoff_batters,pitching_summary_stats_hits_ab_with_runners_on_base,pitching_summary_stats_hits_ab_vs_left_handed_batters,pitching_summary_stats_hits_ab_vs_right_handed_batters,pitching_summary_stats_hits_ab_with_2_outs,team_name,team_id,sdrm_id,this_is_softball,pitching_stats,pitching_summary_stats,hitting_stats,fielding_stats,hitting_summary_stats
2025-26,baseball,Middle Atlantic Conferences (MAC),mac,DeSales,Jacob Rivera,Jacob,Rivera,,20,Jacob Rivera,0,0DESALES,27,27,,,81,26,34,26,6,1,2,20,0,4,14,7,4,4,2,1,0,0,0,1,1,1,0,0.547,48,108,8,.500,.420,.593,180,8,5,0,0,3,0,9,0,193,.974,3,1.000,8,1,3,0,1,0,0,0,0,0,8.1,9,7,8,9,3,0,1,7.56,34,42,1,0,0,0,0,0,0,5,.235,1,3,17,17,"11,26",0.42,11,26,"22,43",0.51,22,43,"16,32",0.50,16,32,"5,8",0.63,5,8,0,0,0,0,"13,21","11,15","38,53",111,0,0,0,0,0,0,0,10,5,0,7,8,0,"3,4","3,9","1,4",0,"1,4",DeSales,DESALES,0,False,,,,,
2025-26,baseball,Middle Atlantic Conferences (MAC),mac,DeSales,Eric Wert,Eric,Wert,,20,Eric Wert,0,0DESALES,31,17,,,68,17,16,7,4,0,0,10,0,2,16,8,4,2,0,1,0,0,0,0,1,0,0,0.346,20,81,6,.667,.235,.294,41,2,2,0,0,0,0,0,0,45,.956,0,.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6,21,12,"3,22",0.14,3,22,"9,40",0.23,9,40,"5,27",0.19,5,27,"2,8",0.25,2,8,0,0,0,0,"7,13","6,8","20,47",38,0,0,0,6,0,0,0,3,22,0,,,,,,,,,DeSales,DESALES,0,False,,,,,
2025-26,baseball,Middle Atlantic Conferences (MAC),mac,DeSales,Travis Kerr,Travis,Kerr,,20,Travis Kerr,0,0DESALES,38,38,,,133,44,53,37,16,0,3,23,1,8,16,8,18,5,1,4,0,0,0,2,0,4,0,0.500,78,169,23,.783,.398,.586,53,0,1,0,0,0,0,0,0,54,.981,0,.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,9,34,27,"10,37",0.27,10,37,"35,80",0.44,35,80,"19,46",0.41,19,46,"7,21",0.33,7,21,0,0,0,0,"26,42","16,19","59,88",63,0,0,0,0,0,0,0,17,23,0,,,,,,,,,DeSales,DESALES,0,False,,,,,
2025-26,baseball,Middle Atlantic Conferences (MAC),mac,DeSales,Owen Fischl,Owen,Fischl,,20,Owen Fischl,0,0DESALES,38,36,,,103,28,33,27,6,0,1,38,0,4,19,8,4,1,0,4,0,0,0,2,0,3,0,0.503,42,149,5,.800,.320,.408,14,1,1,0,0,5,1,0,0,16,.938,6,.833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,28,25,"7,31",0.23,7,31,"19,62",0.31,19,62,"15,43",0.35,15,43,"4,14",0.29,4,14,0,0,0,0,"17,24","14,17","48,79",71,0,0,0,"0,1",0,0,1,18,24,0,,,,,,,,,DeSales,DESALES,0,False,,,,,
2025-26,baseball,Middle Atlantic Conferences (MAC),mac,DeSales,Jeremy Stranix,Jeremy,Stranix,,20,Jeremy Stranix,0,0DESALES,40,34,,,117,28,35,26,3,1,1,18,0,4,26,3,6,5,4,4,0,0,0,1,0,2,0,0.399,43,147,11,.545,.299,.368,49,90,19,0,0,0,0,9,0,158,.880,0,.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,11,31,27,"9,35",0.26,9,35,"19,71",0.27,19,71,"13,44",0.30,13,44,"6,18",0.33,6,18,0,0,0,0,"10,22","15,23","52,91",7,0,0,0,3,0,0,0,22,31,0,,,,,,,,,DeSales,DESALES,0,False,,,,,
2025-26,baseball,Middle Atlantic Conferences (MAC),mac,DeSales,Gavin Zavorski,Gavin,Zavorski,,20,Gavin Zavorski,0,0DESALES,37,36,,,129,40,42,33,6,1,6,22,1,6,28,9,10,2,1,2,0,0,0,2,0,2,0,0.440,68,160,12,.833,.326,.527,217,30,6,3,0,38,17,2,0,253,.976,55,.691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,31,30,"12,37",0.32,12,37,"25,75",0.33,25,75,"19,54",0.35,19,54,"2,12",0.17,2,12,0,0,0,0,"15,35","11,20","50,89",90,0,0,0,0,0,0,0,11,24,0,,,,,,,,,DeSales,DESALES,0,False,,,,,
2025-26,baseball,Middle Atlantic Conferences (MAC),mac,DeSales,Colin Houck,Colin,Houck,,20,Colin Houck,0,0DESALES,28,29,,,102,22,35,28,11,2,2,12,0,4,10,3,2,2,0,2,0,0,0,2,0,3,0,0.425,56,120,4,.500,.343,.549,19,36,8,0,0,0,0,2,0,63,.873,0,.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,28,30,"10,33",0.30,10,33,"21,68",0.31,21,68,"13,51",0.25,13,51,"4,13",0.31,4,13,0,0,0,0,"8,18","13,16","45,78",67,0,0,0,"0,1",0,0,1,16,24,0,,,,,,,,,DeSales,DESALES,0,False,,,,,
2025-26,baseball,Middle Atlantic Conferences (MAC),mac,DeSales,Matt Destaso,Matt,Destaso,,20,Matt Destaso,0,0DESALES,5,3,,,10,2,1,3,0,0,0,2,0,1,2,1,1,0,0,1,0,0,0,0,0,0,0,0.286,1,14,1,1.000,.100,.100,3,5,3,0,0,0,0,1,0,11,.727,0,.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,4,4,"-1,6",-0.17,-1,6,"1,8",0.13,1,8,"0,5",0,0,5,0,0,0,0,0,0,0,0,"1,1","3,4","5,11",0,0,0,0,2,0,0,0,2,8,0,,,,,,,,,DeSales,DESALES,0,False,,,,,
2025-26,baseball,Middle Atlantic Conferences (MAC),mac,DeSales,Eddie Cwiertniewicz,Eddie,Cwiertniewicz,,20,Eddie Cwiertniewicz,0,0DESALES,19,4,,,24,10,7,8,3,0,0,5,0,0,4,2,1,0,0,0,0,0,0,0,0,0,0,0.414,10,29,1,1.000,.292,.417,13,1,2,0,0,0,0,0,0,16,.875,0,.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,6,4,"3,7",0.43,3,7,"4,15",0.27,4,15,"4,13",0.31,4,13,"1,3",0.33,1,3,0,0,0,0,"2,5","1,1","8,17",22,0,0,0,8,0,0,0,2,2,0,,,,,,,,,DeSales,DESALES,0,False,,,,,
2025-26,baseball,Middle Atlantic Conferences (MAC),mac,DeSales,Joey Vaccaro,Joey,Vaccaro,,20,Joey Vaccaro,0,0DESALES,1,-1,,,0,2,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.000,4,1,0,.000,.000,.000,2,-5,0,0,0,0,0,0,0,-3,1.000,0,.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,-1,0,"1,2",0.50,1,2,"0,0",0,0,0,"0,0",0,0,0,0,0,0,0,0,0,0,0,"0,0","1,1","-1,1",2,0,0,0,0,0,0,0,3,3,0,,,,,,,,,DeSales,DESALES,0,False,,,,,
