season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,team_name,team_id,sdrm_id,games_played,games_started,uniform,code,year,offensive_position,defensive_position,active,rush_stats,pass_stats,receiving_stats,punt_stats,kickoff_stats,fieldgoal_stats,pat_stats,defense_stats_interception_return_yards,defense_stats_unassisted_tackles,defense_stats_assisted_tackles,defense_stats_tackles,defense_stats_total_tackles,defense_stats_tackles_for_loss,defense_stats_tackles_for_loss_per_game,defense_stats_tackles_per_game,defense_stats_unassisted_tackles_for_loss,defense_stats_assisted_tackles_for_loss,defense_stats_tackle_yards_for_loss,defense_stats_sacks,defense_stats_unassisted_sacks,defense_stats_assisted_sacks,defense_stats_sack_yards_for_loss,defense_stats_pass_breakups,defense_stats_fumbles_forced,defense_stats_quarterback_hurries,defense_stats_safeties_scored,defense_stats_blocked_kicks,defense_stats_fumbles_recovered,defense_stats_fumble_return_yards,defense_stats_interceptions,defense_stats_passes_defended,kickreturn_stats,puntreturn_stats,interception_return_stats,fumblereturn_stats,fumble_stats,scoring_stats,defense_stats,rush_stats_attempts,rush_stats_net_yards,rush_stats_yards_gained,rush_stats_yards_lost,rush_stats_touchdowns,rush_stats_longest_rush,rush_stats_avg_per_play,rush_stats_avg_per_game,scoring_stats_pat_kicks,scoring_stats_touchdowns,scoring_stats_fieldgoals,scoring_stats_safeties,scoring_stats_pat_rushes,scoring_stats_pat_receptions,scoring_stats_pat_kick_returns,scoring_stats_pat_fumble_returns,scoring_stats_rouges,scoring_stats_points,scoring_stats_all_points,scoring_stats_points_per_game,receiving_stats_number,receiving_stats_yards,receiving_stats_touchdowns,receiving_stats_longest_reception,receiving_stats_avg_per_reception,pass_stats_yards_lost_by_sacks,pass_stats_sacked,pass_stats_longest_pass,pass_stats_touchdowns,pass_stats_yards,pass_stats_interceptions,pass_stats_attempts,pass_stats_completions,pass_stats_efficiency,pass_stats_avg_per_pass,pass_stats_avg_per_catch,pass_stats_avg_per_game,punt_stats_number,punt_stats_yards,punt_stats_longest_punt,punt_stats_blocked,punt_stats_touchbacks,punt_stats_fair_catches,punt_stats_fifty_plus_yards,punt_stats_inside_twenty,punt_stats_avg_per_punt,kickoff_stats_number,kickoff_stats_yards,kickoff_stats_out_of_bounds,kickoff_stats_touchbacks,kickoff_stats_avg_per_kickoff,fieldgoal_stats_made,fieldgoal_stats_attempts,fieldgoal_stats_longest_fieldgoal,fieldgoal_stats_blocked,fieldgoal_stats_percentage,pat_stats_kick_attempts,pat_stats_kicks_made,pat_stats_rush_attempts,pat_stats_rushes_made,pat_stats_pass_attempts,pat_stats_passes_made,pat_stats_reception_attempts,pat_stats_receptions_made,pat_stats_defensive_return_attempts,pat_stats_defensive_returns_made,pat_stats_defensive_blocked_kick_return_attempts,pat_stats_devensive_blocked_kick_returns_made,fumble_stats_number,fumble_stats_number_lost,puntreturn_stats_number,puntreturn_stats_yards,puntreturn_stats_touchdowns,puntreturn_stats_longest_punt_return,puntreturn_stats_avg_per_return,interception_return_stats_number,interception_return_stats_yards,interception_return_stats_touchdowns,interception_return_stats_longest,interception_return_stats_avg_per_return,kickreturn_stats_number,kickreturn_stats_yards,kickreturn_stats_touchdowns,kickreturn_stats_longest_kickoff_return,kickreturn_stats_avg_per_return
2026-27,football,Middle Atlantic Conferences (MAC),mac,Albright,"Adam,Harris",Harris,Adam,,16,"Adam,Harris","ADAM,HARRIS",Albright,ALB,992-3401,1,0,98,98,0,0,DL,0,,,,,,,,0,2,2,4,4,1.0,.0,.0,1,0,9,1,1,0,9,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,football,Middle Atlantic Conferences (MAC),mac,Albright,"Arnold,John",John,Arnold,,16,"Arnold,John","ARNOLD,JOHN",Albright,ALB,992-4266,1,1,34,34,0,0,DB,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,football,Middle Atlantic Conferences (MAC),mac,Albright,"Arp,Adryce",Adryce,Arp,,16,"Arp,Adryce","ARP,ADRYCE",Albright,ALB,992-4227,1,0,30,,0,0,DB,0,,,,,,,,0,0,1,1,1,.0,.0,.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,football,Middle Atlantic Conferences (MAC),mac,Albright,"Ashbridge,Cole",Cole,Ashbridge,,16,"Ashbridge,Cole","ASHBRIDGE,COLE",Albright,ALB,992-4267,1,1,69,,0,OL,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,football,Middle Atlantic Conferences (MAC),mac,Albright,"Atkinson,Jaylan",Jaylan,Atkinson,,16,"Atkinson,Jaylan","ATKINSON,JAYLAN",Albright,ALB,992-3566,1,1,5,5,0,0,LB,0,,,,,,,,0,4,4,8,8,2.5,.0,.0,2,1,12,1,1,0,8,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,football,Middle Atlantic Conferences (MAC),mac,Albright,"Banks Jr.,George",George,Banks Jr.,,16,"Banks Jr.,George","BANKS JR.,GEORGE",Albright,ALB,992-3567,1,0,64,64,0,0,DL,0,,,,,,,,0,1,0,1,1,.0,.0,.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,football,Middle Atlantic Conferences (MAC),mac,Albright,"Baptiste,Widel",Widel,Baptiste,,16,"Baptiste,Widel","BAPTISTE,WIDEL",Albright,ALB,992-4269,1,1,89,89,0,TE,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,football,Middle Atlantic Conferences (MAC),mac,Albright,"Benjamin,Cameron",Cameron,Benjamin,,16,"Benjamin,Cameron","BENJAMIN,CAMERON",Albright,ALB,992-3787,1,0,25,25,0,0,DB,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,football,Middle Atlantic Conferences (MAC),mac,Albright,"Brooks,Vaughn",Vaughn,Brooks,,16,"Brooks,Vaughn","BROOKS,VAUGHN",Albright,ALB,992-4275,1,1,43,,0,0,LB,0,,,,,,,,0,0,1,1,1,.5,.0,.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,football,Middle Atlantic Conferences (MAC),mac,Albright,"Brown,Alex",Alex,Brown,,16,"Brown,Alex","BROWN,ALEX",Albright,ALB,992-4276,1,0,36,36,0,RB,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,3,1,0,3,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,football,Middle Atlantic Conferences (MAC),mac,Albright,"Clemons,DeAndre",DeAndre,Clemons,,16,"Clemons,DeAndre","CLEMONS,DEANDRE",Albright,ALB,992-3794,1,0,2,2,0,RB,0,0,,,,,,,,0,0,0,0,0,.0,.0,.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,3,26,26,0,1,17,8.7,26.0,0,1,0,0,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,football,Middle Atlantic Conferences (MAC),mac,Albright,"Coskey,James",James,Coskey,,16,"Coskey,James","COSKEY,JAMES",Albright,ALB,992-4280,1,0,65,65,0,OL,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,football,Middle Atlantic Conferences (MAC),mac,Albright,"Creeger,Matthew",Matthew,Creeger,,16,"Creeger,Matthew","CREEGER,MATTHEW",Albright,ALB,992-3383,1,0,3,3,0,WR,0,0,,,,,,,,0,0,1,1,1,.0,.0,.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,18,0,11,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,football,Middle Atlantic Conferences (MAC),mac,Albright,"DeJesus,Juan",Juan,DeJesus,,16,"DeJesus,Juan","DEJESUS,JUAN",Albright,ALB,992-3799,1,1,26,26,0,0,DB,0,,,,,,,,0,4,2,6,6,.0,.0,.0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,football,Middle Atlantic Conferences (MAC),mac,Albright,"Deshields,Ayden",Ayden,Deshields,,16,"Deshields,Ayden","DESHIELDS,AYDEN",Albright,ALB,992-4285,1,0,61,61,0,OL,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,football,Middle Atlantic Conferences (MAC),mac,Albright,"Drummond,Desai",Desai,Drummond,,16,"Drummond,Desai","DRUMMOND,DESAI",Albright,ALB,992-4288,1,0,12,,0,QB,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,.0,.00,.00,.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
