conference_code,conference,season,team,player_name,first_name,last_name,class_year,position,gp,mp_total,mpg,pts_total,ppg,reb_total,rpg,ast_total,apg,stl_total,spg,blk_total,bpg,tov_total,tov_pg,fgm,fga,fg_pct,tpm,tpa,tp_pct,ftm,fta,ft_pct
mac,Middle Atlantic Conferences (MAC),2025-26,Hood,"Robertson,Jack",Jack,Robertson,0,G,22,143.0,6.5,47.0,2.14,8.0,0.36,6.0,0.27,7.0,0.32,1.0,0.05,3.0,0.1363636363636363,11.0,30.0,0.37,10.0,27.0,0.37,15.0,20.0,0.75
mac,Middle Atlantic Conferences (MAC),2025-26,Hood,"Mallory,Karron",Karron,Mallory,0,G,27,822.0,30.444444444444443,295.0,10.93,105.0,3.89,59.0,2.19,30.0,1.11,4.0,0.15,32.0,1.1851851851851851,101.0,233.0,0.43,65.0,168.0,0.39,28.0,35.0,0.8
mac,Middle Atlantic Conferences (MAC),2025-26,Hood,"Yarbrough,Jevon",Jevon,Yarbrough,0,G,27,965.0,35.74074074074074,690.0,25.56,170.0,6.3,170.0,6.3,51.0,1.89,3.0,0.11,116.0,4.296296296296297,223.0,414.0,0.54,55.0,135.0,0.41,189.0,213.0,0.89
mac,Middle Atlantic Conferences (MAC),2025-26,Hood,"Dallas,Jake",Jake,Dallas,0,G,14,88.0,6.285714285714286,41.0,2.93,10.0,0.71,8.0,0.57,0.0,0.0,0.0,0.0,5.0,0.3571428571428571,14.0,35.0,0.4,9.0,26.0,0.35,4.0,6.0,0.67
mac,Middle Atlantic Conferences (MAC),2025-26,Hood,"Haire,Toby",Toby,Haire,0,F,15,54.0,3.6,18.0,1.2,8.0,0.53,6.0,0.4,0.0,0.0,1.0,0.07,3.0,0.2,5.0,14.0,0.36,1.0,8.0,0.13,7.0,8.0,0.88
mac,Middle Atlantic Conferences (MAC),2025-26,Hood,"Huseby,Jude",Jude,Huseby,0,F,27,780.0,28.88888888888889,331.0,12.26,224.0,8.3,68.0,2.52,32.0,1.19,13.0,0.48,54.0,2.0,122.0,234.0,0.52,28.0,84.0,0.33,59.0,93.0,0.63
mac,Middle Atlantic Conferences (MAC),2025-26,Hood,"Robinson,Kullen",Kullen,Robinson,0,G,27,821.0,30.40740740740741,447.0,16.56,152.0,5.63,57.0,2.11,18.0,0.67,9.0,0.33,54.0,2.0,172.0,314.0,0.55,39.0,102.0,0.38,64.0,75.0,0.85
mac,Middle Atlantic Conferences (MAC),2025-26,Hood,"Silverstein,Jordan",Jordan,Silverstein,0,G,8,21.0,2.625,8.0,1.0,6.0,0.75,2.0,0.25,1.0,0.13,0.0,0.0,3.0,0.375,3.0,10.0,0.3,1.0,5.0,0.2,1.0,2.0,0.5
mac,Middle Atlantic Conferences (MAC),2025-26,Hood,"Fulton,Troy",Troy,Fulton,0,G,27,374.0,13.851851851851851,160.0,5.93,45.0,1.67,13.0,0.48,5.0,0.19,1.0,0.04,8.0,0.2962962962962963,55.0,121.0,0.45,45.0,104.0,0.43,5.0,8.0,0.63
mac,Middle Atlantic Conferences (MAC),2025-26,Hood,"Linton,Gage",Gage,Linton,0,F,27,443.0,16.40740740740741,125.0,4.63,90.0,3.33,35.0,1.3,14.0,0.52,0.0,0.0,28.0,1.037037037037037,42.0,93.0,0.45,13.0,38.0,0.34,28.0,34.0,0.82
mac,Middle Atlantic Conferences (MAC),2025-26,Hood,"Brittingham,Isiah",Isiah,Brittingham,0,G,9,15.0,1.6666666666666667,2.0,0.22,5.0,0.56,1.0,0.11,2.0,0.22,1.0,0.11,3.0,0.3333333333333333,1.0,7.0,0.14,0.0,0.0,0.0,0.0,1.0,0.0
mac,Middle Atlantic Conferences (MAC),2025-26,Hood,"Cox,Garrett",Garrett,Cox,0,F,25,699.0,27.96,318.0,12.72,192.0,7.68,44.0,1.76,20.0,0.8,17.0,0.68,35.0,1.4,113.0,233.0,0.48,43.0,122.0,0.35,49.0,72.0,0.68
mac,Middle Atlantic Conferences (MAC),2025-26,Hood,"Bolyn,Jake",Jake,Bolyn,0,C,15,206.0,13.733333333333333,87.0,5.8,31.0,2.07,12.0,0.8,10.0,0.67,0.0,0.0,16.0,1.0666666666666669,30.0,73.0,0.41,8.0,37.0,0.22,19.0,24.0,0.79
mac,Middle Atlantic Conferences (MAC),2025-26,Hood,"Tucker,Noah",Noah,Tucker,0,F,8,15.0,1.875,11.0,1.38,4.0,0.5,0.0,0.0,1.0,0.13,0.0,0.0,3.0,0.375,3.0,6.0,0.5,3.0,5.0,0.6,2.0,2.0,1.0
mac,Middle Atlantic Conferences (MAC),2025-26,Hood,"Holly,Elijah",Elijah,Holly,0,F,12,29.0,2.4166666666666665,4.0,0.33,6.0,0.5,1.0,0.08,1.0,0.08,1.0,0.08,1.0,0.0833333333333333,2.0,6.0,0.33,0.0,1.0,0.0,0.0,0.0,0.0
mac,Middle Atlantic Conferences (MAC),2025-26,Hood,"Gilberto,Dominic",Dominic,Gilberto,0,G,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mac,Middle Atlantic Conferences (MAC),2025-26,Alvernia,"Long-mtume,Keon",Keon,Long-mtume,0,G,19,138.0,7.263157894736843,41.0,2.16,23.0,1.21,2.0,0.11,8.0,0.42,2.0,0.11,10.0,0.5263157894736842,14.0,38.0,0.37,0.0,6.0,0.0,13.0,18.0,0.72
