conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,attack_stats_hitting_pct,attack_stats_attempts,attack_stats_errors,attack_stats_kills,set_stats_assists,set_stats_errors,set_stats_attempts,set_stats_set_pct,serve_stats_aces,serve_stats_errors,serve_stats_attempts,serve_stats_serve_pct,defense_stats_defense_pct,defense_stats_attempts,defense_stats_receptions,defense_stats_digs,block_stats_total,block_stats_errors,block_stats_assists,block_stats_solos,misc_stats_points,misc_stats_ball_handling_errors,per_set_stats_kills,per_set_stats_assists,per_set_stats_digs,per_set_stats_blocks,per_set_stats_aces,per_set_stats_points,z_per_set_stats_points,z_per_set_stats_kills,z_per_set_stats_assists,z_per_set_stats_blocks,z_per_set_stats_aces,z_per_set_stats_digs,z_attack_stats_errors,z_serve_stats_errors,composite_score,rank,rating
mac,Middle Atlantic Conferences (MAC),2025-26,mvball,Stevenson,"Flanagan,Tim",0,,2,80,41,0.315,740.0,94.0,327.0,16.0,3.0,84.0,0.0,26.0,35.0,339.0,0.0,0.0,373.0,11.0,145.0,36.0,2.0,24.0,12.0,377.0,2.0,4.09,0.2,1.81,0.45,0.33,4.71,2.900762663766002,3.016136765287406,-0.3435557960869876,0.6055673386356429,1.4680830687830435,1.5046451075512672,1.5762931058053864,0.3684651736160037,6.021611633539911,1,99
mac,Middle Atlantic Conferences (MAC),2025-26,mvball,Misericordia,"Piontkowski, Jared",0,,13,120,65,0.29,1145.0,172.0,504.0,5.0,4.0,71.0,0.0,32.0,124.0,385.0,0.0,0.0,1.0,0.0,161.0,92.0,8.0,85.0,7.0,585.5,0.0,4.2,0.04,1.34,0.77,0.27,4.88,3.0447035286565174,3.122646770735533,-0.417262193277227,1.7445472510475037,0.9992745001130058,0.7847286914798196,3.4846505267708037,3.5769962569591396,5.7059994966674425,2,94
mac,Middle Atlantic Conferences (MAC),2025-26,mvball,Widener,"Christ, Matthew",0,,7,89,41,0.357,639.0,80.0,308.0,13.0,2.0,54.0,0.0,46.0,66.0,422.0,0.0,0.0,37.0,8.0,139.0,38.0,4.0,33.0,5.0,375.5,1.0,3.46,0.15,1.56,0.43,0.52,4.22,2.4858742884933402,2.4061249159026787,-0.36658904520893737,0.5343810941099015,2.9526435362381633,1.121710843683476,1.2337674148628759,1.4860434161287814,5.524138641975754,3,92
mac,Middle Atlantic Conferences (MAC),2025-26,mvball,Messiah,"Kagoro, Alex",0,,4,98,59,0.278,891.0,160.0,408.0,35.0,7.0,138.0,0.0,30.0,80.0,384.0,0.0,0.0,498.0,27.0,168.0,24.0,6.0,13.0,11.0,455.5,0.0,4.16,0.36,1.71,0.24,0.31,4.65,2.84996000556935,3.0839158596634872,-0.26984939889674814,-0.1418882288846409,1.3118135458930307,1.3514714020041505,3.1910570773915086,1.9907561708119714,5.109545175818521,4,91
mac,Middle Atlantic Conferences (MAC),2025-26,mvball,King's,"Dougherty, Logan",0,,21,88,80,0.312,699.0,101.0,319.0,40.0,4.0,130.0,0.0,28.0,46.0,302.0,0.0,0.0,337.0,24.0,121.0,32.0,2.0,18.0,14.0,370.0,2.0,3.63,0.45,1.38,0.36,0.32,4.2,2.4689400690944563,2.570731287958875,-0.22838955047723844,0.28522923826980695,1.3899483073380372,0.8459981736986659,1.7475559512766419,0.7650251951527959,4.872571144899391,5,89
mac,Middle Atlantic Conferences (MAC),2025-26,mvball,Stevens,"Sherman, Koby",0,,18,80,28,0.335,620.0,93.0,301.0,4.0,2.0,31.0,0.0,9.0,35.0,150.0,0.0,0.0,7.0,0.0,77.0,48.0,4.0,37.0,11.0,339.5,1.0,3.76,0.05,0.96,0.6,0.11,4.24,2.5028085078922246,2.696606748943025,-0.412655543452837,1.1394641725787025,-0.25088168300709496,0.20266861040077672,1.5518269850237787,0.3684651736160037,4.585335232295294,6,88
mac,Middle Atlantic Conferences (MAC),2025-26,mvball,Misericordia,"DePalma, Anthony",0,,15,119,64,0.288,910.0,124.0,386.0,46.0,5.0,202.0,0.0,43.0,123.0,488.0,0.0,0.0,787.0,27.0,196.0,59.0,4.0,54.0,5.0,461.0,1.0,3.24,0.39,1.65,0.5,0.36,3.87,2.189525449012868,2.193104905006425,-0.25602944942357825,0.7835329499499961,1.7024873531180622,1.2595671786758806,2.3102767292536237,3.5409453459103406,4.361895033813296,7,87
mac,Middle Atlantic Conferences (MAC),2025-26,mvball,Hood,"Casas, Charles",0,,8,92,47,0.139,907.0,205.0,331.0,9.0,4.0,78.0,0.0,30.0,59.0,328.0,0.0,0.0,451.0,39.0,126.0,21.0,2.0,14.0,7.0,375.0,0.0,3.6,0.1,1.37,0.23,0.33,4.08,2.3673347527011517,2.5416831046548403,-0.38962229433088724,-0.17748135114751148,1.4680830687830435,0.8306808031439546,4.292032512563864,1.2336870387871866,3.891295406160451,8,86
mac,Middle Atlantic Conferences (MAC),2025-26,mvball,Eastern,"Wokocha, Kaodi",0,,11,99,40,0.25,709.0,114.0,291.0,14.0,6.0,99.0,0.0,29.0,52.0,331.0,0.0,0.0,540.0,25.0,186.0,34.0,3.0,23.0,11.0,342.5,1.0,2.94,0.14,1.88,0.34,0.29,3.46,1.8423739513357429,1.9026230719660784,-0.37119569503332733,0.21404299374406577,1.155544023003018,1.6118667014342485,2.0656155214375445,0.9813306614455916,3.602704602888343,9,85
mac,Middle Atlantic Conferences (MAC),2025-26,mvball,Stevenson,"Laukhuff,Tanner",0,,6,29,8,0.226,164.0,32.0,69.0,2.0,0.0,7.0,0.0,10.0,20.0,88.0,0.0,0.0,147.0,12.0,47.0,11.0,1.0,10.0,1.0,85.0,0.0,2.38,0.07,1.62,0.38,0.34,2.93,1.393617137265313,1.3603903169574316,-0.4034422438040571,0.3564154827955483,1.5462178302280498,1.2136150670117458,0.05939361734569647,-0.17229849211598552,3.3453138105332147,10,84
