season,sport,gender,conference,conference_code,team,school_name,player_name,position,class_year,clippd_player_id,clippd_rank,player_ranking_status,scoring_stats_scoring_average,scoring_stats_vs_par,scoring_stats_rounds,scoring_stats_adjusted_score,scoring_stats_stroke_play_events,top10_finishes,events_won,average_points,strength_of_schedule,region,data_source
2025-26,wgolf,Women,Middle Atlantic Conferences,mac,Lebanon Valley,Lebanon Valley College,Jillian Fidler,,Fourth Year,30195,184,ACTIVE,82.15,10.15,13,81.2362360974874,12,6,4,12.0130405775327,-33.7309722467431,East - (W) DIII,clippd_scoreboard
2025-26,wgolf,Women,Middle Atlantic Conferences,mac,York (PA),York College of Pennsylvania,Victoria Jolakian,,Fourth Year,12500,193,ACTIVE,79.58,7.58,15,78.9125943231531,8,3,3,11.626930044309,-22.3907998284392,East - (W) DIII,clippd_scoreboard
2025-26,wgolf,Women,Middle Atlantic Conferences,mac,York (PA),York College of Pennsylvania,Ava Johnsen,,Third Year,36324,224,ACTIVE,80.47,8.47,21,80.3606328864131,12,4,1,9.88307793571095,-23.5725525782592,East - (W) DIII,clippd_scoreboard
2025-26,wgolf,Women,Middle Atlantic Conferences,mac,Alvernia,Alvernia University,Cassidy Miksich,,Fourth Year,24726,246,ACTIVE,84.12,12.12,14,81.0990797353637,10,3,1,8.78206448850172,-28.4810795183492,East - (W) DIII,clippd_scoreboard
2025-26,wgolf,Women,Middle Atlantic Conferences,mac,York (PA),York College of Pennsylvania,Grace Strickland,,,15985,302,ACTIVE,82.29,10.29,15,81.5360721405738,8,1,0,6.79855670750566,-21.1932921601122,East - (W) DIII,clippd_scoreboard
2025-26,wgolf,Women,Middle Atlantic Conferences,mac,Stevenson,Stevenson University,Alexis Marsh,,Third Year,32907,446,ACTIVE,84.1,12.1,21,84.4142520417991,12,1,0,3.15615708109403,-28.2730574423968,East - (W) DIII,clippd_scoreboard
2025-26,wgolf,Women,Middle Atlantic Conferences,mac,York (PA),York College of Pennsylvania,Lily Davis,,Fourth Year,24147,460,ACTIVE,84.51,12.51,21,84.3606328864131,12,1,0,2.9668049598008,-23.5725525782592,East - (W) DIII,clippd_scoreboard
2025-26,wgolf,Women,Middle Atlantic Conferences,mac,Alvernia,Alvernia University,Rylee Stenzel,,,21151,464,ACTIVE,87.73,15.73,13,85.0077294005583,9,0,0,2.9012729848812,-27.9179173202829,East - (W) DIII,clippd_scoreboard
2025-26,wgolf,Women,Middle Atlantic Conferences,mac,Alvernia,Alvernia University,Grace Spielman,,,21350,503,ACTIVE,88.24,16.24,15,85.874958517595,11,2,1,2.46642725631059,-29.2797803746195,East - (W) DIII,clippd_scoreboard
2025-26,wgolf,Women,Middle Atlantic Conferences,mac,Stevenson,Stevenson University,Callie Dias,,Second Year,6123,563,ACTIVE,87.14,15.14,21,87.4618710894182,12,1,0,1.90311930648416,-28.2730574423968,East - (W) DIII,clippd_scoreboard
2025-26,wgolf,Women,Middle Atlantic Conferences,mac,Albright,Albright College,Ilaria Catania,,Fourth Year,18591,579,ACTIVE,85.83,13.83,12,86.9999202894597,10,5,2,1.81352220922569,-38.0560308091978,East - (W) DIII,clippd_scoreboard
2025-26,wgolf,Women,Middle Atlantic Conferences,mac,York (PA),York College of Pennsylvania,Samiya Bodalia,,Third Year,36325,610,ACTIVE,88.62,16.62,14,88.6215299797677,8,0,0,1.57688965897273,-23.9852932448049,East - (W) DIII,clippd_scoreboard
2025-26,wgolf,Women,Middle Atlantic Conferences,mac,York (PA),York College of Pennsylvania,Vivian D'Orazi,,,11423,659,ACTIVE,88.51,16.51,17,88.6279217941582,10,1,0,1.21423516932968,-24.5054288068409,East - (W) DIII,clippd_scoreboard
2025-26,wgolf,Women,Middle Atlantic Conferences,mac,Stevenson,Stevenson University,Sydni Sundstrom,,Fourth Year,6126,672,ACTIVE,89.19,17.19,21,89.5094901370372,12,2,1,1.08312016080757,-28.2730574423968,East - (W) DIII,clippd_scoreboard
2025-26,wgolf,Women,Middle Atlantic Conferences,mac,Stevenson,Stevenson University,Carissa Dargenio,,Second Year,6122,765,ACTIVE,91.67,19.67,21,91.9856806132277,12,0,0,0.553536260915524,-28.2730574423968,East - (W) DIII,clippd_scoreboard
2025-26,wgolf,Women,Middle Atlantic Conferences,mac,Arcadia,Arcadia University,Taylor Gardner,,Fourth Year,13252,776,ACTIVE,91.36,19.36,14,92.3161810756386,11,2,0,0.508010778176906,-36.7265467836874,East - (W) DIII,clippd_scoreboard
2025-26,wgolf,Women,Middle Atlantic Conferences,mac,Hood,Hood College,Gabi Miller,,Fourth Year,15111,786,ACTIVE,90.77,18.77,17,92.2796497352018,10,2,1,0.442061124333354,-30.0868869451675,East - (W) DIII,clippd_scoreboard
2025-26,wgolf,Women,Middle Atlantic Conferences,mac,Stevenson,Stevenson University,Nisachon Sillence,,Third Year,32908,796,ACTIVE,92.1,20.1,21,92.4142520417991,12,0,0,0.407534358965278,-28.2730574423968,East - (W) DIII,clippd_scoreboard
2025-26,wgolf,Women,Middle Atlantic Conferences,mac,Hood,Hood College,Mia Cheesebrough,,Third Year,33969,846,ACTIVE,93.19,21.19,16,94.8069683711943,10,1,0,0.227022837638315,-30.5161174223857,East - (W) DIII,clippd_scoreboard
2025-26,wgolf,Women,Middle Atlantic Conferences,mac,Hood,Hood College,Keira Corcoran,,Second Year,8076,849,ACTIVE,94.05,22.05,18,95.2899693173736,11,1,0,0.216194544531461,-30.2905778842589,East - (W) DIII,clippd_scoreboard
2025-26,wgolf,Women,Middle Atlantic Conferences,mac,Hood,Hood College,Sophia Stultz,,Second Year,8077,953,ACTIVE,103.18,31.18,16,104.561610941978,10,0,0,0.0245793554637815,-30.8838392334126,East - (W) DIII,clippd_scoreboard
2025-26,wgolf,Women,Middle Atlantic Conferences,mac,Lebanon Valley,Lebanon Valley College,Alexa Pridham,,Fifth Year,12985,956,ACTIVE,106.15,34.15,13,105.236236097487,12,0,0,0.0209175443261693,-33.7309722467431,East - (W) DIII,clippd_scoreboard
2025-26,wgolf,Women,Middle Atlantic Conferences,mac,Misericordia,Misericordia University,Samantha Cocca,,,5348,960,ACTIVE,104.0,32.0,17,107.088353658153,16,2,0,0.0192665727064316,-41.6834679147783,East - (W) DIII,clippd_scoreboard
2025-26,wgolf,Women,Middle Atlantic Conferences,mac,Misericordia,Misericordia University,Kamryn Kramer,,,5347,962,ACTIVE,102.93,30.93,14,106.023193337279,13,2,0,0.0177887870224502,-41.4298610605237,East - (W) DIII,clippd_scoreboard
