season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,linkup_name,games_played,games_started,uniform,year,team_name,team_id,sdrm_id,goal_stats_shootout_goals,goal_stats_free_positiong_goals,goal_stats_game_tying_goals,goal_stats_empty_net_goals,goal_stats_overtime_goals,goal_stats_first_goals,goal_stats_unassisted_goals,goal_stats_short_handed_goals,goal_stats_power_play_goals,goal_stats_game_winning_goals,penalty_stats_number,penalty_stats_minutes,penalty_stats_fouls,penalty_stats_green_cards,penalty_stats_yellow_cards,penalty_stats_red_cards,penalty_stats_match,penalty_stats_major,penalty_stats_minor,misc_stats_powerplay_opps,misc_stats_powerplay_goals,misc_stats_faceoffs_won,misc_stats_faceoffs_lost,misc_stats_ground_balls,misc_stats_draw_controls,misc_stats_turnovers,misc_stats_caused_turnovers,misc_stats_minutes_played,misc_stats_seconds,misc_stats_faceoffs_taken,misc_stats_penalty_killing_pct,goalie_stats,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_free_position_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_shots_on_goal_pct,avg_points_game,goalie_stats_games_played,goalie_stats_minutes,goalie_stats_goals_allowed,goalie_stats_saves,goalie_stats_shutouts,goalie_stats_win,goalie_stats_loss,goalie_stats_tie,goalie_stats_powerplay_goals_allowed,goalie_stats_shorthanded_goals_allowed,goalie_stats_emptynet_goals_allowed,goalie_stats_shots_faced,goalie_stats_goals_against_avg,goalie_stats_save_pct,goal_stats,penalty_stats,misc_stats,shot_stats,composite_score,global_rank,rating
2026-27,wlax,Middle Atlantic Conferences (MAC),mac,Messiah,Grace Pettitt,Grace,Pettitt,,411,Grace Pettitt,"PETTITT,GRACE",PETTITTGRACEMES,21,21,,,Messiah,MES,995-4310,0,12,0,0,0,6,50,1,6,2,0,0,0,4,2,0,0,0,0,0,0,0,0,29,0,52,19,1260:00,0,0,1.000,,102,126,21,126,58,68,.810,6.00,,,,,,,,,,,,,,,,,,,18.79874569265673,1,99
2026-27,wlax,Middle Atlantic Conferences (MAC),mac,Stevens,Alina Friz,Alina,Friz,,679,Alina Friz,"FRIZ,ALINA",FRIZALINASTEVENS,21,21,,,Stevens,STEVENS,1230-7466,0,11,0,0,0,2,38,1,7,2,0,0,0,3,2,0,0,0,0,0,0,0,0,33,6,41,29,1260:00,0,0,1.000,,90,104,20,108,42,66,.865,5.14,,,,,,,,,,,,,,,,,,,16.923851771991576,2,99
2026-27,wlax,Middle Atlantic Conferences (MAC),mac,Stevens,Stefanie Sellitto,Stefanie,Sellitto,,679,Stefanie Sellitto,"SELLITTO,STEFANIE",SELLITTOSTEFANIESTEVENS,21,21,,,Stevens,STEVENS,1230-7249,0,5,0,0,0,4,17,0,9,3,0,0,0,3,1,0,0,0,0,0,0,0,0,68,166,25,23,1260:00,0,0,1.000,,90,110,6,80,17,63,.818,3.81,,,,,,,,,,,,,,,,,,,13.70058675384591,3,99
2026-27,wlax,Middle Atlantic Conferences (MAC),mac,Messiah,Hayley Lettinga,Hayley,Lettinga,,411,Hayley Lettinga,"LETTINGA,HAYLEY",LETTINGAHAYLEYMES,21,21,,,Messiah,MES,995-4085,0,2,0,0,0,3,46,3,13,5,0,0,0,12,3,0,0,0,0,0,0,0,0,32,51,52,20,1243:00,5,0,1.000,,145,213,11,95,13,82,.681,4.52,,,,,,,,,,,,,,,,,,,13.494574668642136,4,98
2026-27,wlax,Middle Atlantic Conferences (MAC),mac,Albright,Zoe Dicks,Zoe,Dicks,,16,Zoe Dicks,"DICKS,ZOE",DICKSZOEALBRIGHT,17,17,,,Albright,ALBRIGHT,992-3224,0,6,0,0,0,1,23,1,3,0,0,0,0,22,3,0,0,0,0,0,0,0,0,38,82,56,32,1029:00,57,0,1.000,,49,62,12,76,44,32,.790,4.47,,,,,,,,,,,,,,,,,,,13.144381545314383,5,98
2026-27,wlax,Middle Atlantic Conferences (MAC),mac,York,Sydney Mentzer,Sydney,Mentzer,,815,Sydney Mentzer,"MENTZER,SYDNEY",MENTZERSYDNEYYCPW,21,21,,,York,YCPW,140-3665,0,8,0,0,0,6,37,0,3,5,0,0,0,11,3,0,0,0,0,0,0,0,0,29,91,27,28,1260:00,55,0,1.000,,87,120,18,83,27,56,.725,3.95,,,,,,,,,,,,,,,,,,,12.789933489519697,6,98
2026-27,wlax,Middle Atlantic Conferences (MAC),mac,Arcadia,Jaylee Killgore,Jaylee,Killgore,,966,Jaylee Killgore,"KILLGORE,JAYLEE",KILLGOREJAYLEEARCADIA,17,17,,,Arcadia,ARCADIA,0,0,5,0,0,0,2,28,3,11,6,0,0,0,2,0,0,0,0,0,0,0,0,0,41,5,23,13,1020:00,0,0,1.000,,106,131,14,80,20,60,.809,4.71,,,,,,,,,,,,,,,,,,,11.545819960070585,7,97
2026-27,wlax,Middle Atlantic Conferences (MAC),mac,Stevens,Maddie Hogan,Maddie,Hogan,,679,Maddie Hogan,"HOGAN,MADDIE",HOGANMADDIESTEVENS,21,21,,,Stevens,STEVENS,1230-7247,0,10,0,0,0,5,38,0,9,5,0,0,0,8,1,0,0,0,0,0,0,0,0,21,4,34,10,1260:00,0,0,1.000,,95,127,25,84,24,60,.748,4.00,,,,,,,,,,,,,,,,,,,10.914669234414667,8,97
2026-27,wlax,Middle Atlantic Conferences (MAC),mac,York,Krista Yarusso,Krista,Yarusso,,815,Krista Yarusso,"YARUSSO,KRISTA",YARUSSOKRISTAYCPW,21,21,,,York,YCPW,140-3668,0,3,0,0,0,0,12,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,28,1,29,7,1260:00,55,0,1.000,,56,73,8,73,38,35,.767,3.48,,,,,,,,,,,,,,,,,,,9.946936956272744,9,97
2026-27,wlax,Middle Atlantic Conferences (MAC),mac,Messiah,Annalise Keitel,Annalise,Keitel,,411,Annalise Keitel,"KEITEL,ANNALISE",KEITELANNALISEMES,21,21,,,Messiah,MES,995-4087,0,6,0,0,0,1,15,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,31,15,20,13,1260:00,0,0,1.000,,66,78,12,70,29,41,.846,3.33,,,,,,,,,,,,,,,,,,,9.931330083202917,10,96
