conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,shot_stats_penalty_kick_attempts,shot_stats_penalty_kick_goals,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_penalty_shot_attempts,shot_stats_penalty_shot_goals,shot_stats_avg_shots_per_game,shot_stats_avg_sog_per_game,shot_stats_avg_points_per_game,shot_stats_avg_goals_per_game,shot_stats_avg_assists_per_game,shot_stats_shots_saved_by_goalie,goal_stats_game_tying,goal_stats_hattricks,goal_stats_overtime,goal_stats_first,goal_stats_unassisted,goal_stats_game_winning,goal_stats_avg_gw_per_game,caution_stats_fouls,caution_stats_red_cards,caution_stats_yellow_cards,caution_stats_green_cards,caution_stats_avg_fouls_per_game,caution_stats_avg_yc_per_game,caution_stats_avg_rc_per_game,caution_stats_avg_gc_per_game,misc_stats_offsides,misc_stats_corner_kicks,misc_stats_minutes_played,misc_stats_defensive_saves,misc_stats_avg_corners_per_game,misc_stats_avg_offsides_per_game,goalie_stats_shots_faced,goalie_stats_ties,goalie_stats_losses,goalie_stats_wins,goalie_stats_shutouts,goalie_stats_save_percentage,goalie_stats_goals_against_avg,goalie_stats_saves,goalie_stats_goals_allowed,goalie_stats_minutes,goalie_stats_games_started,goalie_stats_games_played,goalie_stats_avg_ga_per_game,goalie_stats_save_percentage_calc,goalie_stats_avg_sho_per_game,goalie_stats_avg_saves_per_game
mac,Middle Atlantic Conferences (MAC),2025-26,wsoc,Misericordia,"Golderer, Carly",0,,00,0,0,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,00:00,0,.00,.00,,,,,,,,,,,,,,,,
mac,Middle Atlantic Conferences (MAC),2025-26,wsoc,Misericordia,"Mondor, Lauren",0,,1,21,21,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,1742:00,0,.00,.00,159,2,4,15,7,.800,0.67,52,13,1736:57,21,21,.62,0.800,.333,2.48
mac,Middle Atlantic Conferences (MAC),2025-26,wsoc,Misericordia,"Miller, Madison",0,,99,8,0,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,168:00,0,.00,.00,15,0,0,0,0,1.000,0.00,6,0,173:03,0,8,.00,1.000,.000,.75
mac,Middle Atlantic Conferences (MAC),2025-26,wsoc,Misericordia,"Lopez, Joyce",0,,2,11,0,0,0,3,4,4,0,2,0,0,.36,.27,.36,.182,.000,1,0,0,0,0,1,0,.000,5,0,1,0,.45,.09,.00,.00,0,,213:00,0,.00,.00,,,,,,,,,,,,,,,,
mac,Middle Atlantic Conferences (MAC),2025-26,wsoc,Misericordia,"Heistand, Lily",0,,3,21,21,0,0,23,32,17,3,7,0,0,1.52,1.10,.81,.333,.143,16,0,0,0,1,2,1,.048,5,0,0,0,.24,.00,.00,.00,0,,1208:00,0,.00,.00,,,,,,,,,,,,,,,,
mac,Middle Atlantic Conferences (MAC),2025-26,wsoc,Misericordia,"Evans, Larissa",0,,4,21,18,0,0,18,40,8,4,2,0,0,1.90,.86,.38,.095,.190,16,0,0,0,1,2,1,.048,15,0,0,0,.71,.00,.00,.00,0,,1421:00,0,.00,.00,,,,,,,,,,,,,,,,
mac,Middle Atlantic Conferences (MAC),2025-26,wsoc,Misericordia,"Peters, Mary Katharine",0,,5,15,0,0,0,3,7,3,1,1,0,0,.47,.20,.20,.067,.067,2,0,0,0,0,1,0,.000,2,0,0,0,.13,.00,.00,.00,0,,284:00,0,.00,.00,,,,,,,,,,,,,,,,
mac,Middle Atlantic Conferences (MAC),2025-26,wsoc,Misericordia,"Mendola, Jyanna",0,,6,5,4,0,0,1,4,0,0,0,0,0,.80,.20,.00,.000,.000,1,0,0,0,0,0,0,.000,2,0,0,0,.40,.00,.00,.00,0,,297:00,0,.00,.00,,,,,,,,,,,,,,,,
mac,Middle Atlantic Conferences (MAC),2025-26,wsoc,Misericordia,"Wendt, Charlotte",0,,7,7,0,0,0,0,0,1,1,0,0,0,.00,.00,.14,.000,.143,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,66:00,0,.00,.00,,,,,,,,,,,,,,,,
mac,Middle Atlantic Conferences (MAC),2025-26,wsoc,Misericordia,"Gallagher, Caelan",0,,8,21,12,0,0,15,24,17,3,7,0,0,1.14,.71,.81,.333,.143,8,1,0,0,1,1,0,.000,5,0,0,0,.24,.00,.00,.00,0,,928:00,0,.00,.00,,,,,,,,,,,,,,,,
mac,Middle Atlantic Conferences (MAC),2025-26,wsoc,Misericordia,"Steenback, Alyssa",0,,9,19,19,0,0,16,28,12,2,5,0,0,1.47,.84,.63,.263,.105,11,1,0,0,1,1,0,.000,10,0,0,0,.53,.00,.00,.00,0,,1185:00,0,.00,.00,,,,,,,,,,,,,,,,
mac,Middle Atlantic Conferences (MAC),2025-26,wsoc,Misericordia,"Rudy, Kimberly",0,,10,19,6,0,0,3,9,5,1,2,0,0,.47,.16,.26,.105,.053,1,0,0,0,0,1,1,.053,6,0,0,0,.32,.00,.00,.00,0,,802:00,0,.00,.00,,,,,,,,,,,,,,,,
mac,Middle Atlantic Conferences (MAC),2025-26,wsoc,Misericordia,"Mendola, Esabella",0,,11,20,19,0,0,21,45,15,3,6,0,0,2.25,1.05,.75,.300,.150,15,0,0,0,3,3,3,.150,5,0,0,0,.25,.00,.00,.00,0,,1229:00,0,.00,.00,,,,,,,,,,,,,,,,
mac,Middle Atlantic Conferences (MAC),2025-26,wsoc,Misericordia,"Hayward, Julia",0,,12,21,0,0,0,10,18,8,2,3,0,0,.86,.48,.38,.143,.095,7,0,0,0,0,0,0,.000,12,0,0,0,.57,.00,.00,.00,0,,791:00,0,.00,.00,,,,,,,,,,,,,,,,
mac,Middle Atlantic Conferences (MAC),2025-26,wsoc,Misericordia,"Mendola, Angelena",0,,13,10,0,0,0,0,1,0,0,0,0,0,.10,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,109:00,0,.00,.00,,,,,,,,,,,,,,,,
mac,Middle Atlantic Conferences (MAC),2025-26,wsoc,Misericordia,"Wintersteen, Haleigh",0,,14,21,21,0,0,11,21,6,2,2,1,1,1.00,.52,.29,.095,.095,9,0,0,0,2,1,2,.095,11,0,1,0,.52,.05,.00,.00,0,,1722:00,0,.00,.00,,,,,,,,,,,,,,,,
mac,Middle Atlantic Conferences (MAC),2025-26,wsoc,Misericordia,"Daku-Treas, Eden",0,,15,7,0,0,0,2,3,0,0,0,0,0,.43,.29,.00,.000,.000,2,0,0,0,0,0,0,.000,1,0,0,0,.14,.00,.00,.00,0,,76:00,0,.00,.00,,,,,,,,,,,,,,,,
mac,Middle Atlantic Conferences (MAC),2025-26,wsoc,Misericordia,"McDonough, Addison",0,,16,8,0,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,126:00,0,.00,.00,,,,,,,,,,,,,,,,
mac,Middle Atlantic Conferences (MAC),2025-26,wsoc,Misericordia,"Fitzgerald, Addysen",0,,17,21,21,0,0,3,8,0,0,0,0,0,.38,.14,.00,.000,.000,3,0,0,0,0,0,0,.000,4,0,0,0,.19,.00,.00,.00,0,,1738:00,0,.00,.00,,,,,,,,,,,,,,,,
mac,Middle Atlantic Conferences (MAC),2025-26,wsoc,Misericordia,"Field, Brenna",0,,18,21,21,0,0,11,17,7,3,2,1,0,.81,.52,.33,.095,.143,9,0,0,0,0,1,0,.000,4,0,0,0,.19,.00,.00,.00,0,,1844:00,0,.00,.00,,,,,,,,,,,,,,,,
mac,Middle Atlantic Conferences (MAC),2025-26,wsoc,Misericordia,"Nervegna, Kaitlyn",0,,19,1,0,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,11:00,0,.00,.00,,,,,,,,,,,,,,,,
mac,Middle Atlantic Conferences (MAC),2025-26,wsoc,Misericordia,"Cipriani, Ella",0,,20,17,6,0,0,10,24,5,1,2,0,0,1.41,.59,.29,.118,.059,8,0,0,0,2,1,2,.118,7,0,0,0,.41,.00,.00,.00,0,,733:00,0,.00,.00,,,,,,,,,,,,,,,,
mac,Middle Atlantic Conferences (MAC),2025-26,wsoc,Misericordia,"Denhalter, Aracelia",0,,21,11,0,0,0,1,3,0,0,0,0,0,.27,.09,.00,.000,.000,1,0,0,0,0,0,0,.000,2,0,0,0,.18,.00,.00,.00,0,,187:00,0,.00,.00,,,,,,,,,,,,,,,,
mac,Middle Atlantic Conferences (MAC),2025-26,wsoc,Misericordia,"Hill, Brooke",0,,22,7,0,0,0,5,5,4,0,2,0,0,.71,.71,.57,.286,.000,3,0,0,0,0,1,0,.000,0,0,0,0,.00,.00,.00,.00,0,,74:00,0,.00,.00,,,,,,,,,,,,,,,,
mac,Middle Atlantic Conferences (MAC),2025-26,wsoc,Misericordia,"Horos, Kaleigh",0,,23,12,0,0,0,3,5,3,1,1,0,0,.42,.25,.25,.083,.083,2,0,0,0,1,0,1,.083,1,0,0,0,.08,.00,.00,.00,0,,152:00,0,.00,.00,,,,,,,,,,,,,,,,
mac,Middle Atlantic Conferences (MAC),2025-26,wsoc,Misericordia,"Calimano, Ryleigh",0,,24,1,0,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,20:00,0,.00,.00,,,,,,,,,,,,,,,,
mac,Middle Atlantic Conferences (MAC),2025-26,wsoc,Misericordia,"Kreiner, Elyse",0,,25,1,0,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,06:00,0,.00,.00,,,,,,,,,,,,,,,,
mac,Middle Atlantic Conferences (MAC),2025-26,wsoc,Misericordia,"Davies, Madeline",0,,26,18,0,0,0,2,3,1,1,0,0,0,.17,.11,.06,.000,.056,2,0,0,0,0,0,0,.000,3,0,0,0,.17,.00,.00,.00,0,,434:00,0,.00,.00,,,,,,,,,,,,,,,,
mac,Middle Atlantic Conferences (MAC),2025-26,wsoc,Misericordia,"Bardonner, Samantha",0,,27,21,21,0,0,7,18,6,4,1,0,0,.86,.33,.29,.048,.190,6,0,0,0,0,0,0,.000,6,0,0,0,.29,.00,.00,.00,0,,1590:00,0,.00,.00,,,,,,,,,,,,,,,,
mac,Middle Atlantic Conferences (MAC),2025-26,wsoc,Misericordia,"Maniskas, Olivia",0,,28,21,21,0,0,39,60,24,4,10,0,0,2.86,1.86,1.14,.476,.190,29,0,0,0,3,8,3,.143,7,0,1,0,.33,.05,.00,.00,0,,1602:00,0,.00,.00,,,,,,,,,,,,,,,,
mac,Middle Atlantic Conferences (MAC),2025-26,wsoc,Misericordia,"Adams, Paige",0,,31,11,0,0,0,2,3,4,0,2,0,0,.27,.18,.36,.182,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,149:00,0,.00,.00,,,,,,,,,,,,,,,,
mac,Middle Atlantic Conferences (MAC),2025-26,wsoc,Misericordia,"Shull, Abigail",0,,33,8,0,0,0,0,0,1,1,0,0,0,.00,.00,.13,.000,.125,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,93:00,0,.00,.00,,,,,,,,,,,,,,,,
mac,Middle Atlantic Conferences (MAC),2025-26,wsoc,Messiah,Izzy Pizzuto,0,,00,2,0,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,55:00,0,.00,.00,0,0,0,0,0,0.0,0.00,0,0,55:34,0,2,.00,0.000,.000,.00
mac,Middle Atlantic Conferences (MAC),2025-26,wsoc,Messiah,Ava Wert,0,,0,25,25,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,1956:00,0,.00,.00,100,0,3,22,11,.872,0.28,41,6,1951:45,25,25,.24,0.872,.440,1.64
mac,Middle Atlantic Conferences (MAC),2025-26,wsoc,Messiah,Ellie Ockrin,0,,1,9,0,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,1,0,0,0,.11,.00,.00,.00,0,,247:00,0,.00,.00,11,0,0,0,0,.750,0.36,3,1,250:36,0,9,.11,0.750,.000,.33
mac,Middle Atlantic Conferences (MAC),2025-26,wsoc,Messiah,Lydia Ring,0,,2,24,6,0,0,10,13,7,1,3,0,0,.54,.42,.29,.125,.042,7,0,0,0,1,0,1,.042,1,0,0,0,.04,.00,.00,.00,0,,945:00,0,.00,.00,,,,,,,,,,,,,,,,
mac,Middle Atlantic Conferences (MAC),2025-26,wsoc,Messiah,Molly Adams,0,,3,5,0,0,0,0,3,0,0,0,0,0,.60,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,68:00,0,.00,.00,,,,,,,,,,,,,,,,
mac,Middle Atlantic Conferences (MAC),2025-26,wsoc,Messiah,Kenzie Derstine,0,,4,21,0,0,0,5,9,2,0,1,0,0,.43,.24,.10,.048,.000,4,0,0,0,0,1,0,.000,4,0,0,0,.19,.00,.00,.00,0,,444:00,0,.00,.00,,,,,,,,,,,,,,,,
