season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,team_name,team_id,sdrm_id,games_played,games_started,uniform,year,code,matches_played,attack_stats_hitting_pct,attack_stats_attempts,attack_stats_errors,attack_stats_kills,set_stats_assists,set_stats_errors,set_stats_attempts,set_stats_set_pct,serve_stats_aces,serve_stats_errors,serve_stats_attempts,serve_stats_serve_pct,defense_stats_defense_pct,defense_stats_attempts,defense_stats_receptions,defense_stats_digs,block_stats_total,block_stats_errors,block_stats_assists,block_stats_solos,misc_stats_points,misc_stats_ball_handling_errors,per_set_stats_kills,per_set_stats_assists,per_set_stats_digs,per_set_stats_blocks,per_set_stats_aces,per_set_stats_points,attack_stats,set_stats,serve_stats,defense_stats,block_stats,misc_stats,composite_score,global_rank,rating
2026-27,wvball,Middle Atlantic Conferences (MAC),mac,Stevens,"Bolduc, Sarah",Sarah,Bolduc,,679,"Bolduc, Sarah","BOLDUC, SARAH",Stevens,Stev,1230-7456,4,1,11,0,11,0,.500,28,3,17,2,0,5,0,4,3,21,0,0,10,0,8,2,0,2,0,22,0,4.25,0.50,2.00,0.50,1.00,5.50,,,,,,,12.734709821741667,1,99
2026-27,wvball,Middle Atlantic Conferences (MAC),mac,Stevenson,"Lenz, Rachel",Rachel,Lenz,,21852,"Lenz, Rachel","LENZ, RACHEL",Stevenson,Stev,660-5551,8,2,6,0,6,0,.367,49,8,26,5,3,13,0,5,4,24,0,0,43,1,22,2,0,1,1,32.5,0,3.25,0.63,2.75,0.25,0.63,4.06,,,,,,,8.728542600229067,2,99
2026-27,wvball,Middle Atlantic Conferences (MAC),mac,Messiah,"Adams, Makenzie",Makenzie,Adams,,411,"Adams, Makenzie","ADAMS, MAKENZIE",Messiah,Mess,995-4411,16,7,16,0,16,0,.136,154,29,50,4,1,14,0,12,13,67,0,0,98,10,60,3,0,3,0,63.5,0,3.13,0.25,3.75,0.19,0.75,3.97,,,,,,,8.498719356295858,3,99
2026-27,wvball,Middle Atlantic Conferences (MAC),mac,DeSales,"Reimer, Allison",Allison,Reimer,,20,"Reimer, Allison","REIMER, ALLISON",DeSales,DSU,999-4258,12,4,18,0,18,0,.400,70,7,35,1,0,5,0,7,3,53,0,0,56,7,28,5,0,5,0,44.5,0,2.92,0.08,2.33,0.42,0.58,3.71,,,,,,,8.471392521632646,4,98
2026-27,wvball,Middle Atlantic Conferences (MAC),mac,King's,"Malinowski, Weronika",Weronika,Malinowski,,336,"Malinowski, Weronika","MALINOWSKI, WERONIKA",King's,King,1001-7212,8,4,2,0,2,0,.161,56,14,23,0,0,2,0,2,3,29,0,0,17,1,27,4,0,3,1,27.5,0,2.88,0.00,3.38,0.50,0.25,3.44,,,,,,,7.331569023593368,5,98
2026-27,wvball,Middle Atlantic Conferences (MAC),mac,Marywood,"Leet, Billie",Billie,Leet,,397,"Leet, Billie","LEET, BILLIE",Marywood,MWD,1307-2917,10,0,4,0,4,0,.341,44,10,25,0,0,1,0,0,1,2,0,0,0,0,2,12,1,7,5,33.5,0,2.50,0.00,0.20,1.20,0.00,3.35,,,,,,,7.002081915333645,6,98
2026-27,wvball,Middle Atlantic Conferences (MAC),mac,Eastern,"Schreiber, Jessie",Jessie,Schreiber,,8968,"Schreiber, Jessie","SCHREIBER, JESSIE",Eastern,East,1304-4682,12,2,22,0,22,0,.267,101,9,36,0,0,3,0,0,0,0,0,0,1,0,5,12,1,10,2,43,0,3.00,0.00,0.42,1.00,0.00,3.58,,,,,,,6.968314445627615,7,97
2026-27,wvball,Middle Atlantic Conferences (MAC),mac,York,"Esters, Saniya",Saniya,Esters,,815,"Esters, Saniya","ESTERS, SANIYA",York,YCP,140-4094,12,3,23,0,23,0,.227,110,16,41,0,0,9,0,0,0,0,0,0,36,2,27,6,3,6,0,44,1,3.42,0.00,2.25,0.50,0.00,3.67,,,,,,,6.874695200599929,8,97
2026-27,wvball,Middle Atlantic Conferences (MAC),mac,Arcadia,"Oursler, Raegan",Raegan,Oursler,,966,"Oursler, Raegan","OURSLER, RAEGAN",Arcadia,ARC,1301-3080,14,4,8,0,8,0,.159,107,21,38,8,2,25,0,9,8,77,0,0,69,5,36,3,0,3,0,48.5,0,2.71,0.57,2.57,0.21,0.64,3.46,,,,,,,6.743065422309907,9,97
2026-27,wvball,Middle Atlantic Conferences (MAC),mac,Misericordia,"McCaffrey, Keira",Keira,McCaffrey,,16142,"McCaffrey, Keira","MCCAFFREY, KEIRA",Misericordia,Mis,1308-7369,14,5,13,0,13,0,.306,72,5,27,1,0,4,0,3,5,46,0,0,5,0,12,15,1,9,6,40.5,0,1.93,0.07,0.86,1.07,0.21,2.89,,,,,,,6.568255217695942,10,96
2026-27,wvball,Middle Atlantic Conferences (MAC),mac,Arcadia,"Young, Devon",Devon,Young,,966,"Young, Devon","YOUNG, DEVON",Arcadia,ARC,1301-2594,13,4,1,0,1,0,.280,100,15,43,0,1,13,0,2,4,15,0,0,42,6,18,5,0,4,1,48,0,3.31,0.00,1.38,0.38,0.15,3.69,,,,,,,6.366765569194712,11,96
2026-27,wvball,Middle Atlantic Conferences (MAC),mac,Arcadia,"Rothschild, Chana",Chana,Rothschild,,966,"Rothschild, Chana","ROTHSCHILD, CHANA",Arcadia,ARC,1301-2413,12,4,18,0,18,0,.429,49,6,27,0,0,7,0,0,2,40,0,0,1,0,8,11,1,11,0,32.5,0,2.25,0.00,0.67,0.92,0.00,2.71,,,,,,,6.1567308563840335,12,96
2026-27,wvball,Middle Atlantic Conferences (MAC),mac,Messiah,"Wolfe, Sydney",Sydney,Wolfe,,411,"Wolfe, Sydney","WOLFE, SYDNEY",Messiah,Mess,995-4573,15,7,2,0,2,0,.330,103,11,45,0,0,3,0,0,0,0,0,0,0,0,16,9,0,8,1,50,0,3.00,0.00,1.07,0.60,0.00,3.33,,,,,,,6.123688478894281,13,95
