season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,team_name,team_id,sdrm_id,games_played,games_started,uniform,year,code,shot_stats_penalty_kick_attempts,shot_stats_penalty_kick_goals,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_penalty_shot_attempts,shot_stats_penalty_shot_goals,shot_stats_avg_shots_per_game,shot_stats_avg_sog_per_game,shot_stats_avg_points_per_game,shot_stats_avg_goals_per_game,shot_stats_avg_assists_per_game,shot_stats_shots_saved_by_goalie,goal_stats_game_tying,goal_stats_hattricks,goal_stats_overtime,goal_stats_first,goal_stats_unassisted,goal_stats_game_winning,goal_stats_avg_gw_per_game,caution_stats_fouls,caution_stats_red_cards,caution_stats_yellow_cards,caution_stats_green_cards,caution_stats_avg_fouls_per_game,caution_stats_avg_yc_per_game,caution_stats_avg_rc_per_game,caution_stats_avg_gc_per_game,misc_stats_offsides,misc_stats_corner_kicks,misc_stats_minutes_played,misc_stats_defensive_saves,misc_stats_avg_corners_per_game,misc_stats_avg_offsides_per_game,goalie_stats,goalie_stats_shots_faced,goalie_stats_ties,goalie_stats_losses,goalie_stats_wins,goalie_stats_shutouts,goalie_stats_save_percentage,goalie_stats_goals_against_avg,goalie_stats_saves,goalie_stats_goals_allowed,goalie_stats_minutes,goalie_stats_games_started,goalie_stats_games_played,goalie_stats_avg_ga_per_game,goalie_stats_save_percentage_calc,goalie_stats_avg_sho_per_game,goalie_stats_avg_saves_per_game,shot_stats,goal_stats,caution_stats,misc_stats,composite_score,global_rank,rating
2026-27,msoc,Michigan Intercollegiate Athletic Association (MIAA),miaa,Olivet,Marcel Jackson,Marcel,Jackson,,525,Marcel Jackson,"JACKSON,MARCEL",Olivet,OLIVET,0,2,2,10,0,10,0,0,7,16,8,0,4,0,0,8.00,3.50,4.00,2.000,.000,3,0,0,0,1,2,1,.500,0,0,0,0,.00,.00,.00,.00,0,,140:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,17.51125797617135,1,99
2026-27,msoc,Michigan Intercollegiate Athletic Association (MIAA),miaa,Alma,"Clark, Asher",Asher,Clark,,21,"Clark, Asher","CLARK,ASHER",Alma,Alma,1085-4314,2,2,19,0,19,0,0,5,7,8,0,4,0,0,3.50,2.50,4.00,2.000,.000,1,0,1,0,1,1,1,.500,0,0,0,0,.00,.00,.00,.00,0,,105:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,16.627120293773668,2,99
2026-27,msoc,Michigan Intercollegiate Athletic Association (MIAA),miaa,Hope,"Mindling, Jackson",Jackson,Mindling,,286,"Mindling, Jackson","MINDLING,JACKSON",Hope,HOPE,0,2,2,9,0,9,0,0,8,13,6,0,3,0,0,6.50,4.00,3.00,1.500,.000,5,0,1,0,1,0,1,.500,4,0,0,0,2.00,.00,.00,.00,0,,109:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,14.011602164938667,3,99
2026-27,msoc,Michigan Intercollegiate Athletic Association (MIAA),miaa,Hope,"Wieland, Micah",Micah,Wieland,,286,"Wieland, Micah","WIELAND,MICAH",Hope,HOPE,0,2,0,12,0,12,0,0,3,4,5,3,1,0,0,2.00,1.50,2.50,.500,1.500,2,0,0,0,0,0,0,.000,4,0,0,0,2.00,.00,.00,.00,0,,63:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,13.740323830519845,4,98
2026-27,msoc,Michigan Intercollegiate Athletic Association (MIAA),miaa,Calvin,"Nieuwenhuis, Colin",Colin,Nieuwenhuis,,114,"Nieuwenhuis, Colin","NIEUWENHUIS,COLIN",Calvin,CAL,1086-2532,2,2,7,0,7,0,0,5,7,6,0,3,0,0,3.50,2.50,3.00,1.500,.000,2,0,0,0,0,1,0,.000,0,0,0,0,.00,.00,.00,.00,0,,131:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,12.685395641342142,5,98
2026-27,msoc,Michigan Intercollegiate Athletic Association (MIAA),miaa,Hope,"Corstange, Ryker",Ryker,Corstange,,286,"Corstange, Ryker","CORSTANGE,RYKER",Hope,HOPE,0,2,2,3,0,3,0,0,4,6,5,1,2,0,0,3.00,2.00,2.50,1.000,.500,2,0,0,0,1,1,1,.500,1,0,0,0,.50,.00,.00,.00,0,,109:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,11.575773873191254,6,98
2026-27,msoc,Michigan Intercollegiate Athletic Association (MIAA),miaa,Hope,"Walters, Seth",Seth,Walters,,286,"Walters, Seth","WALTERS,SETH",Hope,HOPE,0,2,2,4,0,4,0,0,3,8,5,1,2,0,0,4.00,1.50,2.50,1.000,.500,1,0,0,0,0,0,0,.000,1,0,0,0,.50,.00,.00,.00,0,,125:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,11.133705031992411,7,97
2026-27,msoc,Michigan Intercollegiate Athletic Association (MIAA),miaa,Alma,"Moore, Gavyn",Gavyn,Moore,,21,"Moore, Gavyn","MOORE,GAVYN",Alma,Alma,1085-3983,2,2,6,0,6,0,0,1,2,4,2,1,0,0,1.00,.50,2.00,.500,1.000,0,0,0,0,0,1,0,.000,1,0,0,0,.50,.00,.00,.00,0,,101:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,9.58201442264268,8,97
2026-27,msoc,Michigan Intercollegiate Athletic Association (MIAA),miaa,Hope,"Morrison, Evan",Evan,Morrison,,286,"Morrison, Evan","MORRISON,EVAN",Hope,HOPE,0,2,2,8,0,8,0,0,1,1,4,2,1,0,0,.50,.50,2.00,.500,1.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,65:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,9.58201442264268,9,97
2026-27,msoc,Michigan Intercollegiate Athletic Association (MIAA),miaa,Olivet,Diego Alvarez,Diego,Alvarez,,525,Diego Alvarez,"ALVAREZ,DIEGO",Olivet,OLIVET,0,2,1,19,0,19,0,0,1,3,3,3,0,0,0,1.50,.50,1.50,.000,1.500,1,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,165:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,8.914461495690635,10,96
