conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,shot_stats_penalty_kick_attempts,shot_stats_penalty_kick_goals,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_penalty_shot_attempts,shot_stats_penalty_shot_goals,shot_stats_avg_shots_per_game,shot_stats_avg_sog_per_game,shot_stats_avg_points_per_game,shot_stats_avg_goals_per_game,shot_stats_avg_assists_per_game,shot_stats_shots_saved_by_goalie,goal_stats_game_tying,goal_stats_hattricks,goal_stats_overtime,goal_stats_first,goal_stats_unassisted,goal_stats_game_winning,goal_stats_avg_gw_per_game,caution_stats_fouls,caution_stats_red_cards,caution_stats_yellow_cards,caution_stats_green_cards,caution_stats_avg_fouls_per_game,caution_stats_avg_yc_per_game,caution_stats_avg_rc_per_game,caution_stats_avg_gc_per_game,misc_stats_offsides,misc_stats_corner_kicks,misc_stats_minutes_played,misc_stats_defensive_saves,misc_stats_avg_corners_per_game,misc_stats_avg_offsides_per_game,goalie_stats_shots_faced,goalie_stats_ties,goalie_stats_losses,goalie_stats_wins,goalie_stats_shutouts,goalie_stats_save_percentage,goalie_stats_goals_against_avg,goalie_stats_saves,goalie_stats_goals_allowed,goalie_stats_minutes,goalie_stats_games_started,goalie_stats_games_played,goalie_stats_avg_ga_per_game,goalie_stats_save_percentage_calc,goalie_stats_avg_sho_per_game,goalie_stats_avg_saves_per_game
miaa,Michigan Intercollegiate Athletic Association (MIAA),2025-26,msoc,Albion,"Ellsworth, Jake",0,,0,1,0,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,08:00,0,.00,.00,0,0,0,0,0,0.0,0.00,0,0,08:26,0,1,.00,0.000,.000,.00
miaa,Michigan Intercollegiate Athletic Association (MIAA),2025-26,msoc,Albion,"Veresh, Tom",0,,1,17,17,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,1,0,.00,.06,.00,.00,0,,1432:00,0,.00,.00,130,3,4,11,7,.726,1.18,53,20,1521:34,17,17,1.18,0.726,.412,3.12
miaa,Michigan Intercollegiate Athletic Association (MIAA),2025-26,msoc,Albion,"Koscinski, Colin",0,,2,5,0,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,43:00,0,.00,.00,,,,,,,,,,,,,,,,
miaa,Michigan Intercollegiate Athletic Association (MIAA),2025-26,msoc,Albion,"Novali, Filippo",0,,3,8,0,0,0,0,1,0,0,0,0,0,.13,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,77:00,0,.00,.00,,,,,,,,,,,,,,,,
miaa,Michigan Intercollegiate Athletic Association (MIAA),2025-26,msoc,Albion,"Anderson, Lucas",0,,4,17,17,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,7,0,2,0,.41,.12,.00,.00,0,,1399:00,0,.00,.00,,,,,,,,,,,,,,,,
miaa,Michigan Intercollegiate Athletic Association (MIAA),2025-26,msoc,Albion,"Schlaff, Benjamin",0,,5,3,0,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,23:00,0,.00,.00,,,,,,,,,,,,,,,,
miaa,Michigan Intercollegiate Athletic Association (MIAA),2025-26,msoc,Albion,"Medina, Lucas",0,,6,17,7,0,0,1,3,1,1,0,0,0,.18,.06,.06,.000,.059,1,0,0,0,0,0,0,.000,9,0,1,0,.53,.06,.00,.00,0,,888:00,0,.00,.00,,,,,,,,,,,,,,,,
miaa,Michigan Intercollegiate Athletic Association (MIAA),2025-26,msoc,Albion,"Mercado, Esteban",0,,7,17,17,0,0,19,36,25,3,11,6,4,2.12,1.12,1.47,.647,.176,8,1,0,0,6,3,6,.353,10,0,0,0,.59,.00,.00,.00,0,,1308:00,0,.00,.00,,,,,,,,,,,,,,,,
miaa,Michigan Intercollegiate Athletic Association (MIAA),2025-26,msoc,Albion,"Anderson, Ryan",0,,8,15,0,0,0,2,3,3,1,1,0,0,.20,.13,.20,.067,.067,1,0,0,0,0,0,0,.000,4,0,0,0,.27,.00,.00,.00,0,,293:00,0,.00,.00,,,,,,,,,,,,,,,,
miaa,Michigan Intercollegiate Athletic Association (MIAA),2025-26,msoc,Albion,"Zielaskowski, Jasek",0,,9,17,17,0,0,9,19,8,2,3,0,0,1.12,.53,.47,.176,.118,6,0,0,0,0,1,1,.059,8,0,2,0,.47,.12,.00,.00,0,,1117:00,0,.00,.00,,,,,,,,,,,,,,,,
miaa,Michigan Intercollegiate Athletic Association (MIAA),2025-26,msoc,Albion,"Taylor, Cadence",0,,10,8,0,0,0,1,1,2,0,1,0,0,.13,.13,.25,.125,.000,0,0,0,0,0,1,0,.000,0,0,0,0,.00,.00,.00,.00,0,,69:00,0,.00,.00,,,,,,,,,,,,,,,,
miaa,Michigan Intercollegiate Athletic Association (MIAA),2025-26,msoc,Albion,"Principi, Emanuele",0,,11,3,0,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,09:00,0,.00,.00,,,,,,,,,,,,,,,,
miaa,Michigan Intercollegiate Athletic Association (MIAA),2025-26,msoc,Albion,"Rwagasana, Ian",0,,12,4,0,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,1,0,0,0,.25,.00,.00,.00,0,,27:00,0,.00,.00,,,,,,,,,,,,,,,,
miaa,Michigan Intercollegiate Athletic Association (MIAA),2025-26,msoc,Albion,"Kaiser-Lopez, Diego",0,,13,0,0,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,00:00,0,.00,.00,,,,,,,,,,,,,,,,
miaa,Michigan Intercollegiate Athletic Association (MIAA),2025-26,msoc,Albion,"Ruigendijk, Robin",0,,14,17,17,0,0,18,40,21,9,6,0,0,2.35,1.06,1.24,.353,.529,12,0,0,0,2,2,2,.118,33,0,1,0,1.94,.06,.00,.00,0,,1183:00,0,.00,.00,,,,,,,,,,,,,,,,
miaa,Michigan Intercollegiate Athletic Association (MIAA),2025-26,msoc,Albion,"Priestley, Gabe",0,,15,16,0,0,0,1,3,2,0,1,0,0,.19,.06,.13,.063,.000,0,0,0,0,0,0,1,.063,1,0,0,0,.06,.00,.00,.00,0,,325:00,0,.00,.00,,,,,,,,,,,,,,,,
miaa,Michigan Intercollegiate Athletic Association (MIAA),2025-26,msoc,Albion,"Benki, Angel",0,,16,9,3,0,0,0,6,0,0,0,0,0,.67,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,6,0,0,0,.67,.00,.00,.00,0,,411:00,0,.00,.00,,,,,,,,,,,,,,,,
miaa,Michigan Intercollegiate Athletic Association (MIAA),2025-26,msoc,Albion,"Caturla Rubio, Pablo",0,,17,16,12,0,0,8,20,6,2,2,0,0,1.25,.50,.38,.125,.125,6,0,0,0,0,1,0,.000,8,0,2,0,.50,.13,.00,.00,0,,781:00,0,.00,.00,,,,,,,,,,,,,,,,
miaa,Michigan Intercollegiate Athletic Association (MIAA),2025-26,msoc,Albion,"Bakker, Binck-Jan",0,,18,17,17,0,0,4,22,1,1,0,0,0,1.29,.24,.06,.000,.059,4,0,0,0,0,0,0,.000,13,0,3,0,.76,.18,.00,.00,0,,1491:00,0,.00,.00,,,,,,,,,,,,,,,,
miaa,Michigan Intercollegiate Athletic Association (MIAA),2025-26,msoc,Albion,"Spettel, Tristen",0,,19,16,1,0,0,7,11,6,2,2,0,0,.69,.44,.38,.125,.125,5,0,0,0,0,1,0,.000,2,0,1,0,.13,.06,.00,.00,0,,337:00,0,.00,.00,,,,,,,,,,,,,,,,
miaa,Michigan Intercollegiate Athletic Association (MIAA),2025-26,msoc,Albion,"Tamang, Arnav",0,,20,0,0,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,00:00,0,.00,.00,,,,,,,,,,,,,,,,
miaa,Michigan Intercollegiate Athletic Association (MIAA),2025-26,msoc,Albion,"Richmond, Geordie",0,,21,4,0,0,0,0,1,0,0,0,0,0,.25,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,33:00,0,.00,.00,,,,,,,,,,,,,,,,
