season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,linkup_name,games_played,games_started,uniform,year,team_name,team_id,sdrm_id,goal_stats_shootout_goals,goal_stats_free_positiong_goals,goal_stats_game_tying_goals,goal_stats_empty_net_goals,goal_stats_overtime_goals,goal_stats_first_goals,goal_stats_unassisted_goals,goal_stats_short_handed_goals,goal_stats_power_play_goals,goal_stats_game_winning_goals,penalty_stats_number,penalty_stats_minutes,penalty_stats_fouls,penalty_stats_green_cards,penalty_stats_yellow_cards,penalty_stats_red_cards,penalty_stats_match,penalty_stats_major,penalty_stats_minor,misc_stats_powerplay_opps,misc_stats_powerplay_goals,misc_stats_faceoffs_won,misc_stats_faceoffs_lost,misc_stats_ground_balls,misc_stats_draw_controls,misc_stats_turnovers,misc_stats_caused_turnovers,misc_stats_minutes_played,misc_stats_seconds,misc_stats_faceoffs_taken,misc_stats_penalty_killing_pct,goalie_stats,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_free_position_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_shots_on_goal_pct,avg_points_game,goalie_stats_games_played,goalie_stats_minutes,goalie_stats_goals_allowed,goalie_stats_saves,goalie_stats_shutouts,goalie_stats_win,goalie_stats_loss,goalie_stats_tie,goalie_stats_powerplay_goals_allowed,goalie_stats_shorthanded_goals_allowed,goalie_stats_emptynet_goals_allowed,goalie_stats_shots_faced,goalie_stats_goals_against_avg,goalie_stats_save_pct,goal_stats,penalty_stats,misc_stats,shot_stats,composite_score,global_rank,rating
2026-27,wlax,Michigan Intercollegiate Athletic Association (MIAA),miaa,Adrian,Madeline Turcotte,Madeline,Turcotte,,4,Madeline Turcotte,"TURCOTTE,MADELINE",TURCOTTEMADELINEADRIAN,17,17,,,Adrian,ADRIAN,1083-7072,0,2,0,0,0,1,15,4,12,2,0,0,0,11,3,0,0,0,0,0,0,0,0,56,106,31,24,1006:00,107,0,1.000,,107,135,9,102,43,59,.793,6.00,,,,,,,,,,,,,,,,,,,15.447813638418477,1,99
2026-27,wlax,Michigan Intercollegiate Athletic Association (MIAA),miaa,Kalamazoo,Ella Spooner,Ella,Spooner,,326,Ella Spooner,"SPOONER,ELLA",SPOONERELLAKALAMAZO,19,19,,,Kalamazoo,KALAMAZO,1088-1352,0,7,0,0,0,1,39,0,7,2,0,0,0,13,3,0,0,0,0,0,0,0,0,35,58,51,33,1128:00,43,0,1.000,,120,155,12,94,25,69,.774,4.95,,,,,,,,,,,,,,,,,,,13.531627601018075,2,99
2026-27,wlax,Michigan Intercollegiate Athletic Association (MIAA),miaa,Adrian,Kacie Woodall,Kacie,Woodall,,4,Kacie Woodall,"WOODALL,KACIE",WOODALLKACIEADRIAN,17,17,,,Adrian,ADRIAN,1083-7073,0,5,0,0,0,2,31,4,6,2,0,0,0,9,5,0,0,0,0,0,0,0,0,41,56,23,14,947:00,193,0,1.000,,78,94,7,87,33,54,.830,5.12,,,,,,,,,,,,,,,,,,,11.668659016974887,3,99
2026-27,wlax,Michigan Intercollegiate Athletic Association (MIAA),miaa,Kalamazoo,Tessa Fuller,Tessa,Fuller,,326,Tessa Fuller,"FULLER,TESSA",FULLERTESSAKALAMAZO,19,19,,,Kalamazoo,KALAMAZO,1088-1867,0,5,0,0,0,4,37,0,6,2,0,0,0,2,1,0,0,0,0,0,0,0,0,29,7,28,9,1125:00,54,0,1.000,,105,129,15,95,30,65,.814,5.00,,,,,,,,,,,,,,,,,,,11.502394915723553,4,98
2026-27,wlax,Michigan Intercollegiate Athletic Association (MIAA),miaa,Hope,Julia Brown,Julia,Brown,,286,Julia Brown,"BROWN,JULIA",BROWNJULIAHOPE,19,19,,,Hope,HOPE,1087-3086,0,3,0,0,0,2,13,2,11,3,0,0,0,3,0,0,0,0,0,0,0,0,0,21,2,22,9,1140:00,0,0,1.000,,99,124,6,98,27,71,.798,5.16,,,,,,,,,,,,,,,,,,,11.357526327464072,5,98
2026-27,wlax,Michigan Intercollegiate Athletic Association (MIAA),miaa,Calvin,Audrey Booher,Audrey,Booher,,114,Audrey Booher,"BOOHER,AUDREY",BOOHERAUDREYCALVIN,18,16,,,Calvin,CALVIN,1086-2025,0,5,0,0,0,2,35,1,12,3,0,0,0,5,2,0,0,0,0,0,0,0,0,19,2,46,15,898:00,162,0,1.000,,105,141,7,93,31,62,.745,5.17,,,,,,,,,,,,,,,,,,,11.333472574090548,6,98
2026-27,wlax,Michigan Intercollegiate Athletic Association (MIAA),miaa,Adrian,Jenna Allie,Jenna,Allie,,4,Jenna Allie,"ALLIE,JENNA",ALLIEJENNAADRIAN,17,17,,,Adrian,ADRIAN,1083-14017,0,14,0,0,0,5,51,1,9,0,0,0,0,5,3,0,0,0,0,0,0,0,0,45,45,30,18,956:00,154,0,1.000,,92,111,28,81,23,58,.829,4.76,,,,,,,,,,,,,,,,,,,11.087980241826228,7,97
2026-27,wlax,Michigan Intercollegiate Athletic Association (MIAA),miaa,Hope,Sarah Rott,Sarah,Rott,,286,Sarah Rott,"ROTT,SARAH",ROTTSARAHHOPE,19,18,,,Hope,HOPE,1087-3999,0,2,0,0,0,2,12,0,2,4,0,0,0,4,1,0,0,0,0,0,0,0,0,12,1,30,2,1080:00,0,0,1.000,,54,73,3,78,46,32,.740,4.11,,,,,,,,,,,,,,,,,,,8.67397184201424,8,97
2026-27,wlax,Michigan Intercollegiate Athletic Association (MIAA),miaa,Adrian,Mariana Miller,Mariana,Miller,,4,Mariana Miller,"MILLER,MARIANA",MILLERMARIANAADRIAN,17,17,,,Adrian,ADRIAN,1083-6703,0,3,0,0,0,0,23,4,10,0,0,0,0,11,8,0,0,0,0,0,0,0,0,36,2,37,18,971:00,112,0,1.000,,84,104,7,59,14,45,.808,3.47,,,,,,,,,,,,,,,,,,,7.6549360700349,9,97
2026-27,wlax,Michigan Intercollegiate Athletic Association (MIAA),miaa,Calvin,Morgan Bethard,Morgan,Bethard,,114,Morgan Bethard,"BETHARD,MORGAN",BETHARDMORGANCALVIN,19,19,,,Calvin,CALVIN,1086-2031,0,6,0,0,0,1,20,2,8,1,0,0,0,3,0,0,0,0,0,0,0,0,0,23,3,30,13,1129:00,119,0,1.000,,93,118,12,67,11,56,.788,3.53,,,,,,,,,,,,,,,,,,,7.440390548629929,10,96
