conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,shot_stats_penalty_kick_attempts,shot_stats_penalty_kick_goals,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_penalty_shot_attempts,shot_stats_penalty_shot_goals,shot_stats_avg_shots_per_game,shot_stats_avg_sog_per_game,shot_stats_avg_points_per_game,shot_stats_avg_goals_per_game,shot_stats_avg_assists_per_game,shot_stats_shots_saved_by_goalie,goal_stats_game_tying,goal_stats_hattricks,goal_stats_overtime,goal_stats_first,goal_stats_unassisted,goal_stats_game_winning,goal_stats_avg_gw_per_game,caution_stats_fouls,caution_stats_red_cards,caution_stats_yellow_cards,caution_stats_green_cards,caution_stats_avg_fouls_per_game,caution_stats_avg_yc_per_game,caution_stats_avg_rc_per_game,caution_stats_avg_gc_per_game,misc_stats_offsides,misc_stats_corner_kicks,misc_stats_minutes_played,misc_stats_defensive_saves,misc_stats_avg_corners_per_game,misc_stats_avg_offsides_per_game,goalie_stats_shots_faced,goalie_stats_ties,goalie_stats_losses,goalie_stats_wins,goalie_stats_shutouts,goalie_stats_save_percentage,goalie_stats_goals_against_avg,goalie_stats_saves,goalie_stats_goals_allowed,goalie_stats_minutes,goalie_stats_games_started,goalie_stats_games_played,goalie_stats_avg_ga_per_game,goalie_stats_save_percentage_calc,goalie_stats_avg_sho_per_game,goalie_stats_avg_saves_per_game,z_shot_stats_goals,z_shot_stats_assists,z_shot_stats_points,z_shot_stats_shots_on_goal,z_caution_stats_yellow_cards,z_caution_stats_red_cards,composite_score,rank,rating
miaa,Michigan Intercollegiate Athletic Association (MIAA),2025-26,wsoc,Kalamazoo,"Hogan, Ruby",0,,20,20,20,0.0,0.0,41.0,79.0,30.0,4.0,13.0,1.0,1.0,3.95,2.05,1.5,0.65,0.2,28.0,0.0,1.0,0.0,4.0,6.0,2.0,0.1,25.0,0.0,2.0,0.0,1.25,0.1,0.0,0.0,0.0,,1737:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,,5.271682145146345,2.1216336798011217,5.013925600068524,5.4481502024015445,2.3618813903602067,-0.1499063377991723,11.061884008101043,1,99
miaa,Michigan Intercollegiate Athletic Association (MIAA),2025-26,wsoc,Calvin,"Waroway, Mikaela",0,,10,20,20,0.0,0.0,32.0,54.0,27.0,5.0,11.0,0.0,0.0,2.7,1.6,1.35,0.55,0.25,21.0,0.0,0.0,1.0,5.0,1.0,6.0,0.3,38.0,0.0,3.0,0.0,1.9,0.15,0.0,0.0,0.0,,1344:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,,4.383580185488861,2.7709677544487743,4.457049404454729,4.106857111489662,3.751522811843691,-0.1499063377991723,9.76179773236236,2,95
miaa,Michigan Intercollegiate Athletic Association (MIAA),2025-26,wsoc,Saint Mary's,"Johnson, Mia",0,,19,16,16,0.0,0.0,25.0,62.0,26.0,2.0,12.0,0.0,0.0,3.88,1.56,1.63,0.75,0.125,13.0,0.0,2.0,0.0,4.0,5.0,4.0,0.25,14.0,0.0,1.0,0.0,0.88,0.06,0.0,0.0,0.0,,1120:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,,4.827631165317603,0.8229655305058162,4.271424005916797,3.0636291518915297,0.972239968876723,-0.1499063377991723,8.9205562109799,3,94
miaa,Michigan Intercollegiate Athletic Association (MIAA),2025-26,wsoc,Adrian,"Fosmoen, Annamarie",0,,15,19,19,0.0,0.0,43.0,82.0,22.0,2.0,10.0,0.0,0.0,4.32,2.26,1.16,0.526,0.105,33.0,1.0,1.0,0.0,2.0,3.0,3.0,0.158,14.0,0.0,0.0,0.0,0.74,0.0,0.0,0.0,0.0,,1524:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,,3.9395292056601194,0.8229655305058162,3.5289224117650715,5.746215333715297,-0.4174014526067607,-0.1499063377991723,8.257666585003482,4,93
miaa,Michigan Intercollegiate Athletic Association (MIAA),2025-26,wsoc,Hope,"Raad, Adelyn",0,,16,19,18,0.0,0.0,9.0,12.0,17.0,13.0,2.0,0.0,0.0,0.63,0.47,0.89,0.105,0.684,7.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0,,1458:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,,0.3871213670301851,7.965640351629997,2.600795419075414,0.6791081013815152,-0.4174014526067607,-0.1499063377991723,8.042020779810958,5,92
miaa,Michigan Intercollegiate Athletic Association (MIAA),2025-26,wsoc,Calvin,"Williams, Liz",0,,12,20,20,0.0,0.0,16.0,41.0,18.0,10.0,4.0,0.0,0.0,2.05,0.8,0.9,0.2,0.5,12.0,0.0,0.0,0.0,1.0,3.0,2.0,0.1,17.0,0.0,0.0,0.0,0.85,0.0,0.0,0.0,0.0,,1260:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,,1.2752233266876687,6.0176381276870385,2.7864208176133456,1.7223360609796468,-0.4174014526067607,-0.1499063377991723,7.9051045536045494,6,91
miaa,Michigan Intercollegiate Athletic Association (MIAA),2025-26,wsoc,Calvin,"McCarthy, CeCe",0,,14,20,14,0.0,0.0,19.0,26.0,21.0,5.0,8.0,0.0,0.0,1.3,0.95,1.05,0.4,0.25,11.0,2.0,0.0,0.0,1.0,2.0,4.0,0.2,8.0,0.0,1.0,0.0,0.4,0.05,0.0,0.0,0.0,,972:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,,3.051427246002636,2.7709677544487743,3.34329701322714,2.1694337579502747,0.972239968876723,-0.1499063377991723,7.679425874753991,7,90
miaa,Michigan Intercollegiate Athletic Association (MIAA),2025-26,wsoc,Hope,"Rea, Lina",0,,10,19,19,0.0,0.0,20.0,41.0,19.0,3.0,8.0,0.0,0.0,2.16,1.05,1.0,0.421,0.158,12.0,0.0,0.0,0.0,4.0,2.0,3.0,0.158,12.0,0.0,0.0,0.0,0.63,0.0,0.0,0.0,0.0,,1088:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,,3.051427246002636,1.472299605153469,2.972046216151277,2.3184663236071503,-0.4174014526067607,-0.1499063377991723,6.74873533864807,8,90
miaa,Michigan Intercollegiate Athletic Association (MIAA),2025-26,wsoc,Kalamazoo,"Bernas, Elle",0,,13,20,20,0.0,0.0,19.0,48.0,20.0,2.0,9.0,0.0,0.0,2.4,0.95,1.0,0.45,0.1,10.0,1.0,0.0,0.0,3.0,1.0,2.0,0.1,28.0,0.0,1.0,0.0,1.4,0.05,0.0,0.0,0.0,,1688:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,,3.495478225831378,0.8229655305058162,3.1576716146892085,2.1694337579502747,0.972239968876723,-0.1499063377991723,6.629937518846111,9,89
miaa,Michigan Intercollegiate Athletic Association (MIAA),2025-26,wsoc,Albion,"Salo, Chloe",0,,29,17,17,0.0,0.0,24.0,38.0,19.0,1.0,9.0,1.0,0.0,2.24,1.41,1.12,0.529,0.059,15.0,1.0,1.0,0.0,4.0,3.0,2.0,0.118,9.0,0.0,0.0,0.0,0.53,0.0,0.0,0.0,0.0,,1208:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,,3.495478225831378,0.17363145585816359,2.972046216151277,2.914596586234654,-0.4174014526067607,-0.1499063377991723,6.4029446664956,10,88
