season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,team_name,team_id,sdrm_id,games_played,games_started,uniform,year,code,shot_stats_penalty_kick_attempts,shot_stats_penalty_kick_goals,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_penalty_shot_attempts,shot_stats_penalty_shot_goals,shot_stats_avg_shots_per_game,shot_stats_avg_sog_per_game,shot_stats_avg_points_per_game,shot_stats_avg_goals_per_game,shot_stats_avg_assists_per_game,shot_stats_shots_saved_by_goalie,goal_stats_game_tying,goal_stats_hattricks,goal_stats_overtime,goal_stats_first,goal_stats_unassisted,goal_stats_game_winning,goal_stats_avg_gw_per_game,caution_stats_fouls,caution_stats_red_cards,caution_stats_yellow_cards,caution_stats_green_cards,caution_stats_avg_fouls_per_game,caution_stats_avg_yc_per_game,caution_stats_avg_rc_per_game,caution_stats_avg_gc_per_game,misc_stats_offsides,misc_stats_corner_kicks,misc_stats_minutes_played,misc_stats_defensive_saves,misc_stats_avg_corners_per_game,misc_stats_avg_offsides_per_game,goalie_stats_shots_faced,goalie_stats_ties,goalie_stats_losses,goalie_stats_wins,goalie_stats_shutouts,goalie_stats_save_percentage,goalie_stats_goals_against_avg,goalie_stats_saves,goalie_stats_goals_allowed,goalie_stats_minutes,goalie_stats_games_started,goalie_stats_games_played,goalie_stats_avg_ga_per_game,goalie_stats_save_percentage_calc,goalie_stats_avg_sho_per_game,goalie_stats_avg_saves_per_game,goalie_stats,shot_stats,goal_stats,caution_stats,misc_stats,composite_score,global_rank,rating
2026-27,msoc,Minnesota Intercollegiate Athletic Conference (MIAC),miac,Saint John's,Eli Ryan,Eli,Ryan,,602,Eli Ryan,"RYAN,ELI",Saint John's,SJU,0,4,3,13,0,13,0,0,3,6,6,4,1,0,0,1.50,.75,1.50,.250,1.000,2,0,0,0,0,0,0,.000,5,0,1,0,1.25,.25,.00,.00,0,,190:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,17.040433550678383,1,99
2026-27,msoc,Minnesota Intercollegiate Athletic Conference (MIAC),miac,St. Scholastica,"Chastey, Parker",Parker,Chastey,,618,"Chastey, Parker","CHASTEY,PARKER",St. Scholastica,CSS,1402-7229,2,2,8,0,8,0,0,4,5,7,1,3,1,1,2.50,2.00,3.50,1.500,.500,1,0,1,0,0,2,0,.000,4,0,0,0,2.00,.00,.00,.00,0,,180:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,16.78125261731338,2,99
2026-27,msoc,Minnesota Intercollegiate Athletic Conference (MIAC),miac,Saint John's,Grady Monette,Grady,Monette,,602,Grady Monette,"MONETTE,GRADY",Saint John's,SJU,0,4,3,77,0,77,0,0,8,16,6,0,3,0,0,4.00,2.00,1.50,.750,.000,5,0,0,0,1,1,1,.250,8,0,0,0,2.00,.00,.00,.00,0,,164:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,15.37011564025304,3,99
2026-27,msoc,Minnesota Intercollegiate Athletic Conference (MIAC),miac,Saint John's,Billy Cornett,Billy,Cornett,,602,Billy Cornett,"CORNETT,BILLY",Saint John's,SJU,0,4,3,2,0,2,0,0,3,5,6,0,3,1,1,1.25,.75,1.50,.750,.000,0,0,0,0,2,2,2,.500,0,0,0,0,.00,.00,.00,.00,0,,212:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,13.17515725881413,4,98
2026-27,msoc,Minnesota Intercollegiate Athletic Conference (MIAC),miac,Saint John's,Axel Martin,Axel,Martin,,602,Axel Martin,"MARTIN,AXEL",Saint John's,SJU,0,4,3,10,0,10,0,0,5,5,5,1,2,0,0,1.25,1.25,1.25,.500,.250,3,0,0,0,0,1,0,.000,6,0,0,0,1.50,.00,.00,.00,0,,151:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,12.81867507511035,5,98
2026-27,msoc,Minnesota Intercollegiate Athletic Conference (MIAC),miac,Bethel,"Oberholtzer, James",James,Oberholtzer,,60,"Oberholtzer, James","OBERHOLTZER,JAMES",Bethel,BET,1104-7601,2,2,7,0,7,0,0,4,9,5,1,2,0,0,4.50,2.00,2.50,1.000,.500,2,0,0,0,1,0,1,.500,0,0,0,0,.00,.00,.00,.00,0,,119:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,12.37968339882257,6,98
2026-27,msoc,Minnesota Intercollegiate Athletic Conference (MIAC),miac,Saint John's,Charles Foslien,Charles,Foslien,,602,Charles Foslien,"FOSLIEN,CHARLES",Saint John's,SJU,0,4,1,19,0,19,0,0,6,7,4,2,1,1,1,1.75,1.50,1.00,.250,.500,5,0,0,0,0,1,0,.000,3,0,1,0,.75,.25,.00,.00,0,,106:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,12.02320121511879,7,97
2026-27,msoc,Minnesota Intercollegiate Athletic Conference (MIAC),miac,Bethel,"Kyle, Roy",Roy,Kyle,,60,"Kyle, Roy","KYLE,ROY",Bethel,BET,1104-7825,2,2,6,0,6,0,0,5,10,3,3,0,0,0,5.00,2.50,1.50,.000,1.500,5,0,0,0,0,0,0,.000,2,0,0,0,1.00,.00,.00,.00,0,,107:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,10.349744002551665,8,97
2026-27,msoc,Minnesota Intercollegiate Athletic Conference (MIAC),miac,Bethel,"Hunt, Nathan",Nathan,Hunt,,60,"Hunt, Nathan","HUNT,NATHAN",Bethel,BET,1104-7597,2,2,19,0,19,0,0,2,4,4,2,1,1,0,2.00,1.00,2.00,.500,1.000,1,0,0,0,0,0,0,.000,5,0,0,0,2.50,.00,.00,.00,0,,127:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,10.267234509967661,9,97
2026-27,msoc,Minnesota Intercollegiate Athletic Conference (MIAC),miac,Saint John's,Jacob Oliver,Jacob,Oliver,,602,Jacob Oliver,"OLIVER,JACOB",Saint John's,SJU,0,4,1,14,0,14,0,0,4,7,4,0,2,0,0,1.75,1.00,1.00,.500,.000,2,0,0,0,0,0,0,.000,2,0,0,0,.50,.00,.00,.00,0,,122:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,9.212579716611101,10,96
2026-27,msoc,Minnesota Intercollegiate Athletic Conference (MIAC),miac,Saint John's,Ronan O'Connor,Ronan,O'Connor,,602,Ronan O'Connor,"O'CONNOR,RONAN",Saint John's,SJU,0,4,3,9,0,9,0,0,3,8,4,0,2,0,0,2.00,.75,1.00,.500,.000,1,0,0,0,1,0,1,.250,5,0,0,0,1.25,.00,.00,.00,0,,170:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,8.773588040323318,11,96
2026-27,msoc,Minnesota Intercollegiate Athletic Conference (MIAC),miac,St. Scholastica,"Schmitz, Kiki",Kiki,Schmitz,,618,"Schmitz, Kiki","SCHMITZ,KIKI",St. Scholastica,CSS,1402-7619,2,1,11,0,11,0,0,3,4,4,0,2,0,0,2.00,1.50,2.00,1.000,.000,1,0,0,0,1,0,0,.000,2,0,1,0,1.00,.50,.00,.00,0,,98:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,8.773588040323318,12,96
