season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,linkup_name,games_played,games_started,uniform,year,hitting_stats_at_bats,hitting_stats_runs,hitting_stats_hits,hitting_stats_runs_batted_in,hitting_stats_doubles,hitting_stats_triples,hitting_stats_home_runs,hitting_stats_walks,hitting_stats_intentional_walks,hitting_stats_hit_by_pitch,hitting_stats_strikeouts,hitting_stats_strikeouts_looking,hitting_stats_stolen_bases,hitting_stats_caught_stealing,hitting_stats_sacrifice_hits,hitting_stats_sacrifice_flies,hitting_stats_reached_on_catchers_interference,hitting_stats_reached_on_error,hitting_stats_reached_on_fielders_choice,hitting_stats_grounded_into_doubleplay,hitting_stats_picked_off,hitting_stats_total_double_plays,hitting_stats_total_triple_plays,hitting_stats_onbase_percentage,hitting_stats_total_bases,hitting_stats_total_plate_appearances,hitting_stats_stolen_base_attempts,hitting_stats_stolen_base_percentage,hitting_stats_batting_average,hitting_stats_slugging_percentage,fielding_stats_putouts,fielding_stats_assists,fielding_stats_errors,fielding_stats_passed_balls,fielding_stats_catchers_interference,fielding_stats_stolen_bases_against,fielding_stats_caught_stealing_by,fielding_stats_involved_in_double_plays,fielding_stats_involved_in_triple_plays,fielding_stats_total_chances,fielding_stats_fielding_percentage,fielding_stats_stolen_bases_against_attempts,fielding_stats_stolen_bases_against_percentage,pitching_stats,hitting_summary_stats_times_reached_base_on_error,hitting_summary_stats_times_reached_base_on_fielders_choice,hitting_summary_stats_times_grouded_out,hitting_summary_stats_times_flied_out,hitting_summary_stats_hits_ab_with_2_outs,hitting_summary_stats_batting_avg_with_2_outs,hitting_summary_stats_hits_with_2_outs,hitting_summary_stats_ab_with_2_outs,hitting_summary_stats_hits_ab_with_runners_on_base,hitting_summary_stats_batting_avg_with_runners_on_base,hitting_summary_stats_hits_with_runners_on_base,hitting_summary_stats_ab_with_runners_on_base,hitting_summary_stats_hits_ab_with_runners_in_scoring_position,hitting_summary_stats_batting_avg_with_runners_in_scoring_position,hitting_summary_stats_hits_with_runners_in_scoring_position,hitting_summary_stats_ab_with_runners_in_scoring_position,hitting_summary_stats_hits_ab_vs_left_handed_pitchers,hitting_summary_stats_batting_avg_vs_left_handed_pitchers,hitting_summary_stats_hits_vs_left_handed_pitchers,hitting_summary_stats_ab_vs_left_handed_pitchers,hitting_summary_stats_hits_ab_vs_right_handed_pitchers,hitting_summary_stats_batting_avg_vs_right_handed_pitchers,hitting_summary_stats_hits_vs_right_handed_pitchers,hitting_summary_stats_ab_vs_right_handed_pitchers,hitting_summary_stats_success_opps_as_leadoff_batter_in_inning,hitting_summary_stats_success_opps_to_drive_in_runner_from_3rd_with_less_than_2_outs,hitting_summary_stats_number_of_runners_advanced_ab,hitting_summary_stats_hits_ab_with_bases_loaded,hitting_summary_stats_batting_avg_with_bases_loaded,hitting_summary_stats_hits_with_bases_loaded,hitting_summary_stats_ab_with_bases_loaded,hitting_summary_stats_hits_ab_as_pinch_hitter,hitting_summary_stats_batting_avg_as_pinch_hitter,hitting_summary_stats_hits_as_pinch_hitter,hitting_summary_stats_ab_as_pinch_hitter,hitting_summary_stats_times_advanced_at_least_1_runner_with_an_out,hitting_summary_stats_runners_left_on_base,hitting_summary_stats_two_out_rbis,pitching_summary_stats,team_name,team_id,sdrm_id,this_is_softball,pitching_stats_hits_allowed,pitching_stats_appearances,pitching_stats_games_started,pitching_stats_wins,pitching_stats_losses,pitching_stats_saves,pitching_stats_complete_games,pitching_stats_shutouts,pitching_stats_credit_for_combined_shutout,pitching_stats_games_finished,pitching_stats_innings_pitched,pitching_stats_runs_allowed,pitching_stats_earned_runs_allowed,pitching_stats_walks_allowed,pitching_stats_strikeouts,pitching_stats_doubles_allowed,pitching_stats_triples_allowed,pitching_stats_home_runs_allowed,pitching_stats_earned_run_average,pitching_stats_opponents_at_bats,pitching_stats_batters_faced,pitching_stats_wild_pitches,pitching_stats_hit_batters,pitching_stats_balks,pitching_stats_sacrifice_flies_allowed,pitching_stats_sacrifice_hits_allowed,pitching_stats_catchers_interference_allowed,pitching_stats_intentional_walks,pitching_stats_strikeouts_looking,pitching_stats_opponent_batting_average,pitching_summary_stats_fly_outs_allowed,pitching_summary_stats_ground_outs_allowed,pitching_summary_stats_runners_picked_off,pitching_summary_stats_success_opps_vs_leadoff_batters,pitching_summary_stats_hits_ab_with_runners_on_base,pitching_summary_stats_hits_ab_vs_left_handed_batters,pitching_summary_stats_hits_ab_vs_right_handed_batters,pitching_summary_stats_hits_ab_with_2_outs,hitting_stats,fielding_stats,hitting_summary_stats,global_rank,rating,composite_score,ranking_segment,pitching_stats_k_per_9,pitching_stats_whip
2026-27,baseball,Midwest Conference (MWC),mwc,Illinois Col.,Nathan Walker,Nathan,Walker,,297,Nathan Walker,0,0ILLINOIS,14,12,,,57,19,26,9,5,1,2,4,0,0,5,3,5,0,0,1,0,0,0,2,0,2,0,0.484,39,62,5,1.000,.456,.684,14,21,10,0,0,0,0,4,0,45,.778,0,.000,,0,2,16,11,"7,19",0.37,7,19,"16,27",0.59,16,27,"7,14",0.50,7,14,"1,7",0.14,1,7,0,0,0,0,"6,17","2,3","19,29","0,1",0,0,1,"0,1",0,0,1,2,10,0,,Illinois Col.,ILLINOIS,1096-4018,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,99,59.0,batting,,
2026-27,baseball,Midwest Conference (MWC),mwc,Knox,Owen Shannon,Owen,Shannon,,337,Owen Shannon,0,0KNOX,13,13,,,43,8,18,7,3,1,1,2,0,3,7,4,1,1,0,0,0,0,0,1,1,2,0,0.479,26,48,2,.500,.419,.605,60,9,1,4,0,34,5,0,0,70,.986,39,.872,,0,1,11,7,"9,17",0.53,9,17,"13,25",0.52,13,25,"7,15",0.47,7,15,"1,5",0.20,1,5,0,0,0,0,"2,9","1,2","14,27",3,0,0,0,0,0,0,0,0,10,0,,Knox,KNOX,1097-3769,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,99,58.0,batting,,
2026-27,baseball,Midwest Conference (MWC),mwc,Beloit,Parker Krcmar,Parker,Krcmar,,53,Parker Krcmar,0,0BELOIT,13,13,,,45,10,18,6,2,1,0,9,0,1,14,3,8,0,0,0,0,0,0,0,0,1,0,0.509,22,55,8,1.000,.400,.489,15,1,1,0,0,0,0,0,0,17,.941,0,.000,,1,0,6,6,"5,13",0.38,5,13,"10,24",0.42,10,24,"6,16",0.38,6,16,"3,8",0.38,3,8,0,0,0,0,"1,5","3,7","17,29",1,0,0,0,0,0,0,0,4,11,0,,Beloit,BELOIT,1093-1486,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,99,57.0,batting,,
2026-27,baseball,Midwest Conference (MWC),mwc,Illinois Col.,Tyler Barker,Tyler,Barker,,297,Tyler Barker,0,0ILLINOIS,17,17,,,57,21,28,13,5,0,1,17,2,3,6,3,0,1,0,0,0,0,0,2,0,2,0,0.623,36,77,1,.000,.491,.632,27,1,2,0,0,0,0,0,0,30,.933,0,.000,,2,4,11,10,"10,22",0.45,10,22,"13,26",0.50,13,26,"11,19",0.58,11,19,"5,14",0.36,5,14,0,0,0,0,"7,10","4,6","22,32",1,0,0,0,0,0,0,0,3,10,0,,Illinois Col.,ILLINOIS,1096-3473,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,98,56.0,batting,,
2026-27,baseball,Midwest Conference (MWC),mwc,Cornell College,Jackson Hill,Jackson,Hill,,166,Jackson Hill,0,0CORNELL,16,16,,,54,20,21,8,4,2,1,13,1,3,8,4,5,0,0,0,0,0,0,0,0,0,0,0.529,32,70,5,1.000,.389,.593,20,0,1,0,0,0,0,0,0,21,.952,0,.000,,1,1,7,18,"5,14",0.36,5,14,"9,23",0.39,9,23,"5,14",0.36,5,14,"1,1",1.00,1,1,0,0,0,0,"4,14","3,7","16,29",0,0,0,0,0,0,0,0,1,8,0,,Cornell College,CORNELL,1043-4891,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,98,55.0,batting,,
2026-27,baseball,Midwest Conference (MWC),mwc,Cornell College,Caleb Smith,Caleb,Smith,,166,Caleb Smith,0,0CORNELL,15,13,,,40,7,14,8,3,0,0,9,0,1,7,4,2,1,0,0,0,0,0,1,0,1,0,0.480,17,50,3,.667,.350,.425,3,0,0,0,0,0,0,0,0,3,1.000,0,.000,,1,0,10,7,"0,9",0,0,9,"5,23",0.22,5,23,"4,9",0.44,4,9,"0,1",0,0,1,0,0,0,0,"8,11","4,4","10,25",67,0,0,0,5,0,0,0,5,9,0,,Cornell College,CORNELL,1043-5058,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,98,54.0,batting,,
2026-27,baseball,Midwest Conference (MWC),mwc,Monmouth (IL),Scott Aiden,Scott,Aiden,,438,Scott Aiden,0,0MONMOUTH,16,16,,,60,7,21,5,5,1,0,8,0,0,11,2,1,0,1,0,0,0,0,1,0,1,0,0.426,28,69,1,1.000,.350,.467,19,30,3,0,0,0,0,4,0,52,.942,0,.000,,2,1,19,8,"4,19",0.21,4,19,"12,32",0.38,12,32,"4,17",0.24,4,17,"3,12",0.25,3,12,"5,8",0.63,5,8,"4,9","3,6","19,33",0,0,0,0,0,0,0,0,11,9,0,,Monmouth (IL),MONMOUTH,1100-5098,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,97,53.0,batting,,
2026-27,baseball,Midwest Conference (MWC),mwc,Ripon,Crete Slattery,Crete,Slattery,,577,Crete Slattery,0,0RIPON,14,13,,,58,10,22,24,6,0,2,3,0,0,9,4,0,0,0,0,0,0,0,0,2,2,0,0.410,34,61,0,.000,.379,.586,2,4,1,0,0,0,0,0,0,7,.857,0,.000,,3,4,17,7,"8,19",0.42,8,19,"17,37",0.46,17,37,"13,28",0.46,13,28,"5,10",0.50,5,10,0,0,0,0,"6,16","6,10","24,37",11,0,0,0,4,0,0,0,8,14,0,,Ripon,RIPON,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,97,52.0,batting,,
2026-27,baseball,Midwest Conference (MWC),mwc,Grinnell,Nikolas Ruden,Nikolas,Ruden,,264,Nikolas Ruden,0,0GRINNELL,17,17,,,59,14,21,22,3,2,5,7,0,4,10,4,3,0,0,1,0,0,0,0,0,1,0,0.451,43,71,3,1.000,.356,.729,27,48,4,0,0,0,0,11,0,79,.949,0,.000,,2,2,16,11,"6,17",0.35,6,17,"12,35",0.34,12,35,"6,24",0.25,6,24,"1,7",0.14,1,7,0,0,0,0,"5,10","5,7","21,40","0,1",0,0,1,0,0,0,0,3,10,0,,Grinnell,GRINNELL,1095-5859,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,97,51.0,batting,,
2026-27,baseball,Midwest Conference (MWC),mwc,Illinois Col.,Nolan Decker,Nolan,Decker,,297,Nolan Decker,0,0ILLINOIS,17,17,,,63,18,24,20,5,1,4,10,0,2,5,2,0,0,0,1,0,0,0,1,1,1,0,0.474,43,76,0,.000,.381,.683,13,26,6,0,0,0,0,1,0,45,.867,0,.000,,5,3,19,10,"10,22",0.45,10,22,"16,37",0.43,16,37,"10,26",0.38,10,26,"5,9",0.56,5,9,0,0,0,0,"8,18","6,9","33,44",99,0,0,0,0,0,0,0,7,9,0,,Illinois Col.,ILLINOIS,1096-3469,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,96,50.0,batting,,
