season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,linkup_name,games_played,games_started,uniform,year,hitting_stats_at_bats,hitting_stats_runs,hitting_stats_hits,hitting_stats_runs_batted_in,hitting_stats_doubles,hitting_stats_triples,hitting_stats_home_runs,hitting_stats_walks,hitting_stats_intentional_walks,hitting_stats_hit_by_pitch,hitting_stats_strikeouts,hitting_stats_strikeouts_looking,hitting_stats_stolen_bases,hitting_stats_caught_stealing,hitting_stats_sacrifice_hits,hitting_stats_sacrifice_flies,hitting_stats_reached_on_catchers_interference,hitting_stats_reached_on_error,hitting_stats_reached_on_fielders_choice,hitting_stats_grounded_into_doubleplay,hitting_stats_picked_off,hitting_stats_total_double_plays,hitting_stats_total_triple_plays,hitting_stats_onbase_percentage,hitting_stats_total_bases,hitting_stats_total_plate_appearances,hitting_stats_stolen_base_attempts,hitting_stats_stolen_base_percentage,hitting_stats_batting_average,hitting_stats_slugging_percentage,fielding_stats_putouts,fielding_stats_assists,fielding_stats_errors,fielding_stats_passed_balls,fielding_stats_catchers_interference,fielding_stats_stolen_bases_against,fielding_stats_caught_stealing_by,fielding_stats_involved_in_double_plays,fielding_stats_involved_in_triple_plays,fielding_stats_total_chances,fielding_stats_fielding_percentage,fielding_stats_stolen_bases_against_attempts,fielding_stats_stolen_bases_against_percentage,pitching_stats,hitting_summary_stats_times_reached_base_on_error,hitting_summary_stats_times_reached_base_on_fielders_choice,hitting_summary_stats_times_grouded_out,hitting_summary_stats_times_flied_out,hitting_summary_stats_hits_ab_with_2_outs,hitting_summary_stats_batting_avg_with_2_outs,hitting_summary_stats_hits_with_2_outs,hitting_summary_stats_ab_with_2_outs,hitting_summary_stats_hits_ab_with_runners_on_base,hitting_summary_stats_batting_avg_with_runners_on_base,hitting_summary_stats_hits_with_runners_on_base,hitting_summary_stats_ab_with_runners_on_base,hitting_summary_stats_hits_ab_with_runners_in_scoring_position,hitting_summary_stats_batting_avg_with_runners_in_scoring_position,hitting_summary_stats_hits_with_runners_in_scoring_position,hitting_summary_stats_ab_with_runners_in_scoring_position,hitting_summary_stats_hits_ab_vs_left_handed_pitchers,hitting_summary_stats_batting_avg_vs_left_handed_pitchers,hitting_summary_stats_hits_vs_left_handed_pitchers,hitting_summary_stats_ab_vs_left_handed_pitchers,hitting_summary_stats_hits_ab_vs_right_handed_pitchers,hitting_summary_stats_batting_avg_vs_right_handed_pitchers,hitting_summary_stats_hits_vs_right_handed_pitchers,hitting_summary_stats_ab_vs_right_handed_pitchers,hitting_summary_stats_success_opps_as_leadoff_batter_in_inning,hitting_summary_stats_success_opps_to_drive_in_runner_from_3rd_with_less_than_2_outs,hitting_summary_stats_number_of_runners_advanced_ab,hitting_summary_stats_hits_ab_with_bases_loaded,hitting_summary_stats_batting_avg_with_bases_loaded,hitting_summary_stats_hits_with_bases_loaded,hitting_summary_stats_ab_with_bases_loaded,hitting_summary_stats_hits_ab_as_pinch_hitter,hitting_summary_stats_batting_avg_as_pinch_hitter,hitting_summary_stats_hits_as_pinch_hitter,hitting_summary_stats_ab_as_pinch_hitter,hitting_summary_stats_times_advanced_at_least_1_runner_with_an_out,hitting_summary_stats_runners_left_on_base,hitting_summary_stats_two_out_rbis,pitching_summary_stats,team_name,team_id,sdrm_id,this_is_softball,pitching_stats_hits_allowed,pitching_stats_appearances,pitching_stats_games_started,pitching_stats_wins,pitching_stats_losses,pitching_stats_saves,pitching_stats_complete_games,pitching_stats_shutouts,pitching_stats_credit_for_combined_shutout,pitching_stats_games_finished,pitching_stats_innings_pitched,pitching_stats_runs_allowed,pitching_stats_earned_runs_allowed,pitching_stats_walks_allowed,pitching_stats_strikeouts,pitching_stats_doubles_allowed,pitching_stats_triples_allowed,pitching_stats_home_runs_allowed,pitching_stats_earned_run_average,pitching_stats_opponents_at_bats,pitching_stats_batters_faced,pitching_stats_wild_pitches,pitching_stats_hit_batters,pitching_stats_balks,pitching_stats_sacrifice_flies_allowed,pitching_stats_sacrifice_hits_allowed,pitching_stats_catchers_interference_allowed,pitching_stats_intentional_walks,pitching_stats_strikeouts_looking,pitching_stats_opponent_batting_average,pitching_summary_stats_fly_outs_allowed,pitching_summary_stats_ground_outs_allowed,pitching_summary_stats_runners_picked_off,pitching_summary_stats_success_opps_vs_leadoff_batters,pitching_summary_stats_hits_ab_with_runners_on_base,pitching_summary_stats_hits_ab_vs_left_handed_batters,pitching_summary_stats_hits_ab_vs_right_handed_batters,pitching_summary_stats_hits_ab_with_2_outs,hitting_stats,fielding_stats,hitting_summary_stats
2026-27,baseball,Midwest Conference (MWC),mwc,Illinois Col.,Nicholas Muskopf,Nicholas,Muskopf,,297,Nicholas Muskopf,0,0ILLINOIS,24,24,,,107,25,31,23,8,2,2,7,0,1,19,3,8,3,0,2,0,0,0,0,0,0,0,0.333,49,117,11,.727,.290,.458,45,63,7,0,0,0,0,12,0,115,.939,0,.000,,7,3,13,37,"14,32",0.44,14,32,"16,52",0.31,16,52,"12,27",0.44,12,27,"4,11",0.36,4,11,0,0,0,0,"7,26","4,6","24,55",61,0,0,0,"0,1",0,0,1,5,23,0,,Illinois Col.,ILLINOIS,1096-4228,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,baseball,Midwest Conference (MWC),mwc,Illinois Col.,Tyler Barker,Tyler,Barker,,297,Tyler Barker,0,0ILLINOIS,25,24,,,87,32,43,19,11,0,1,24,2,4,10,4,1,1,0,0,0,0,0,2,0,2,0,0.617,57,115,2,.500,.494,.655,37,2,4,0,0,0,0,0,0,43,.907,0,.000,,4,6,15,14,"15,31",0.48,15,31,"20,39",0.51,20,39,"14,25",0.56,14,25,"7,16",0.44,7,16,0,0,0,0,"8,12","6,9","34,48",1,0,0,0,0,0,0,0,3,12,0,,Illinois Col.,ILLINOIS,1096-3473,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,baseball,Midwest Conference (MWC),mwc,Illinois Col.,Nolan Decker,Nolan,Decker,,297,Nolan Decker,0,0ILLINOIS,25,24,,,96,25,31,25,8,2,5,15,0,2,14,5,1,0,0,1,0,0,0,1,1,1,0,0.421,58,114,1,1.000,.323,.604,21,44,9,0,0,0,0,3,0,74,.878,0,.000,,7,3,22,19,"11,33",0.33,11,33,"19,55",0.35,19,55,"13,41",0.32,13,41,"5,11",0.45,5,11,0,0,0,0,"11,25","7,12","41,65",103,0,0,0,0,0,0,0,7,17,0,,Illinois Col.,ILLINOIS,1096-3469,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,baseball,Midwest Conference (MWC),mwc,Illinois Col.,Ketch Mills,Ketch,Mills,,297,Ketch Mills,0,0ILLINOIS,25,23,,,97,26,35,39,8,0,6,14,2,2,17,3,0,0,0,0,0,0,0,7,0,7,0,0.451,61,113,0,.000,.361,.629,180,14,4,0,0,0,0,13,0,198,.980,0,.000,,7,5,24,14,"14,36",0.39,14,36,"25,69",0.36,25,69,"21,48",0.44,21,48,"3,11",0.27,3,11,0,0,0,0,"8,16","6,8","40,74",13,0,0,0,"0,1",0,0,1,5,22,0,,Illinois Col.,ILLINOIS,1096-4009,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,baseball,Midwest Conference (MWC),mwc,Illinois Col.,Tyler Grzela,Tyler,Grzela,,297,Tyler Grzela,0,0ILLINOIS,7,3,,,13,1,3,4,1,0,1,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0.286,7,14,0,.000,.231,.538,6,0,0,0,0,0,0,0,0,6,1.000,0,.000,,0,1,1,6,"1,3",0.33,1,3,"2,7",0.29,2,7,"2,7",0.29,2,7,"0,3",0,0,3,0,0,0,0,"0,2","1,1","4,8",0,0,0,0,6,0,0,0,0,4,0,,Illinois Col.,ILLINOIS,1096-4220,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,baseball,Midwest Conference (MWC),mwc,Illinois Col.,Nick Williams,Nick,Williams,,297,Nick Williams,0,0ILLINOIS,15,10,,,41,8,9,8,1,0,0,2,0,3,11,7,0,1,0,1,0,0,0,0,0,1,0,0.298,10,47,1,.000,.220,.244,18,1,1,0,0,0,0,1,0,20,.950,0,.000,,0,3,10,12,"5,15",0.33,5,15,"7,26",0.27,7,26,"6,16",0.38,6,16,"1,7",0.14,1,7,0,0,0,0,"2,6","5,6","11,28",1,0,0,0,11,0,0,0,2,13,0,,Illinois Col.,ILLINOIS,1096-4062,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,baseball,Midwest Conference (MWC),mwc,Illinois Col.,Logan Fleener,Logan,Fleener,,297,Logan Fleener,0,0ILLINOIS,12,11,,,37,8,9,10,3,1,1,7,0,2,11,6,5,2,2,1,0,0,0,0,0,0,0,0.383,17,49,7,.714,.243,.459,31,0,1,0,0,0,0,0,0,32,.969,0,.000,,2,0,8,10,"5,16",0.31,5,16,"7,21",0.33,7,21,"8,16",0.50,8,16,"3,8",0.38,3,8,0,0,0,0,"4,12","1,2","13,26",66,0,0,0,0,0,0,0,5,18,0,,Illinois Col.,ILLINOIS,1096-3669,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,baseball,Midwest Conference (MWC),mwc,Illinois Col.,Adam Turner,Adam,Turner,,297,Adam Turner,0,0ILLINOIS,16,9,,,38,12,13,6,0,1,1,3,0,0,12,3,3,0,0,0,0,0,0,0,0,0,0,0.390,18,41,3,1.000,.342,.474,16,-3,2,0,0,0,0,1,0,15,.867,0,.000,,1,1,7,4,"4,12",0.33,4,12,"7,20",0.35,7,20,"4,10",0.40,4,10,"1,5",0.20,1,5,0,0,0,0,"3,7","2,3","8,21","0,1",0,0,1,0,0,0,0,1,10,0,,Illinois Col.,ILLINOIS,1096-4241,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,baseball,Midwest Conference (MWC),mwc,Illinois Col.,Alex Loman,Alex,Loman,,297,Alex Loman,0,0ILLINOIS,14,10,,,30,6,7,1,4,0,0,4,0,4,9,2,1,0,2,0,0,0,0,1,0,1,0,0.395,11,40,1,1.000,.233,.367,71,4,3,5,0,6,4,1,0,78,.962,10,.600,,0,2,9,4,"3,10",0.30,3,10,"3,13",0.23,3,13,"2,6",0.33,2,6,"0,2",0,0,2,0,0,0,0,"4,7","-1,2","5,15","0,1",0,0,1,2,0,0,0,2,8,0,,Illinois Col.,ILLINOIS,1096-4007,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,baseball,Midwest Conference (MWC),mwc,Illinois Col.,Sean Raffa,Sean,Raffa,,297,Sean Raffa,0,0ILLINOIS,20,4,,,16,2,1,1,0,0,0,3,0,1,6,4,0,0,2,1,0,0,0,0,0,0,0,0.238,1,23,0,.000,.063,.063,56,3,0,2,0,5,3,1,0,59,1.000,8,.625,,0,1,6,6,"0,5",0,0,5,"0,8",0,0,8,"0,5",0,0,5,"0,1",0,0,1,0,0,0,0,"2,6","1,1","4,12","0,1",0,0,1,2,0,0,0,5,8,0,,Illinois Col.,ILLINOIS,1096-4011,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
