season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,team_name,team_id,sdrm_id,games_played,games_started,uniform,year,stats_stats_field_goals_made,stats_stats_field_goals_attempted,stats_stats_three_points_made,stats_stats_three_points_attempted,stats_stats_free_throws_attempted,stats_stats_free_throws_made,stats_stats_points_scored,stats_stats_blocked_shots,stats_stats_steals,stats_stats_assists,stats_stats_minutes_played,stats_stats_offensive_rebounds,stats_stats_defensive_rebounds,stats_stats_total_rebounds,stats_stats_personal_fouls,stats_stats_technical_fouls,stats_stats_turnovers,stats_stats_disqualifications,stats_stats_deadballs,stats_stats_games_played,stats_stats_field_goals_pct,stats_stats_three_points_pct,stats_stats_free_throws_pct,stats_stats_points_per_game,stats_stats_rebounds_per_game,stats_stats_assists_per_game,stats_stats_steals_per_game,stats_stats_blocked_shots_per_game,code,composite_score,global_rank,rating
2025-26,wbball,Midwest Conference (MWC),mwc,Ripon,"Havlovitz,Cali",Cali,Havlovitz,G,577,"Havlovitz,Cali","HAVLOVITZ,CALI",Ripon,RC,1101-3828,29,5,02,0,57,134,16,49,40,27,157,3,54,47,529,38,70,108,61,0,53,0,0,29,0.43,0.33,0.68,5.41,3.72,1.62,1.86,0.10,02,159.0,1,99
2025-26,wbball,Midwest Conference (MWC),mwc,Ripon,"Havlovitz,Laney",Laney,Havlovitz,G,577,"Havlovitz,Laney","HAVLOVITZ,LANEY",Ripon,RC,1101-3368,29,28,03,0,140,295,21,78,153,107,408,2,88,123,879,39,97,136,56,0,85,0,0,29,0.47,0.27,0.70,14.07,4.69,4.24,3.03,0.07,03,158.0,2,99
2025-26,wbball,Midwest Conference (MWC),mwc,Ripon,"Nelson,Karsyn",Karsyn,Nelson,G,577,"Nelson,Karsyn","NELSON,KARSYN",Ripon,RC,1101-3577,27,26,04,0,101,253,9,30,65,46,257,9,53,53,698,35,61,96,69,0,51,2,0,27,0.40,0.30,0.71,9.52,3.56,1.96,1.96,0.33,04,157.0,3,99
2025-26,wbball,Midwest Conference (MWC),mwc,Ripon,"Sears,Moriah",Moriah,Sears,G,577,"Sears,Moriah","SEARS,MORIAH",Ripon,RC,1101-3825,22,0,10,0,15,31,3,11,17,12,45,0,6,7,105,7,10,17,7,0,20,0,0,22,0.48,0.27,0.71,2.05,0.77,0.32,0.27,0.00,10,156.0,4,98
2025-26,wbball,Midwest Conference (MWC),mwc,Ripon,"Rauwolf,Natalie",Natalie,Rauwolf,G,577,"Rauwolf,Natalie","RAUWOLF,NATALIE",Ripon,RC,1101-3308,29,29,11,0,123,270,57,113,32,23,326,6,42,40,763,37,58,95,47,0,36,0,0,29,0.46,0.50,0.72,11.24,3.28,1.38,1.45,0.21,11,155.0,5,98
2025-26,wbball,Midwest Conference (MWC),mwc,Ripon,"Bestor,McKenzie",McKenzie,Bestor,G,577,"Bestor,McKenzie","BESTOR,MCKENZIE",Ripon,RC,1101-3306,29,1,12,0,27,74,11,31,53,38,103,1,31,24,421,33,33,66,50,0,47,0,0,29,0.36,0.35,0.72,3.55,2.28,0.83,1.07,0.03,12,154.0,6,98
2025-26,wbball,Midwest Conference (MWC),mwc,Ripon,"Glaus,Maggie",Maggie,Glaus,F,577,"Glaus,Maggie","GLAUS,MAGGIE",Ripon,RC,1101-3310,18,1,13,0,14,34,0,1,10,5,33,5,2,2,115,14,18,32,20,0,15,1,0,18,0.41,0.00,0.50,1.83,1.78,0.11,0.11,0.28,13,153.0,7,97
2025-26,wbball,Midwest Conference (MWC),mwc,Ripon,"Trzinski,Sarah",Sarah,Trzinski,G,577,"Trzinski,Sarah","TRZINSKI,SARAH",Ripon,RC,1101-3575,14,0,14,0,1,2,0,0,4,2,4,1,1,5,52,9,3,12,4,0,4,0,0,14,0.50,0.00,0.50,0.29,0.86,0.36,0.07,0.07,14,152.0,8,97
2025-26,wbball,Midwest Conference (MWC),mwc,Ripon,"Johannes,Molly",Molly,Johannes,F,577,"Johannes,Molly","JOHANNES,MOLLY",Ripon,RC,1101-3312,29,1,15,0,41,90,0,1,52,25,107,11,30,14,375,45,82,127,38,0,14,0,0,29,0.46,0.00,0.48,3.69,4.38,0.48,1.03,0.38,15,151.0,9,97
2025-26,wbball,Midwest Conference (MWC),mwc,Ripon,"Rikkola,Naomi",Naomi,Rikkola,G,577,"Rikkola,Naomi","RIKKOLA,NAOMI",Ripon,RC,1101-3827,22,0,20,0,9,25,1,4,12,7,26,0,6,4,89,4,9,13,9,0,8,0,0,22,0.36,0.25,0.58,1.18,0.59,0.18,0.27,0.00,20,150.0,10,96
2025-26,wbball,Midwest Conference (MWC),mwc,Ripon,"Stricker,Alex",Alex,Stricker,F,577,"Stricker,Alex","STRICKER,ALEX",Ripon,RC,1101-3576,24,0,21,0,9,27,0,1,13,10,28,2,10,2,98,12,20,32,19,0,10,0,0,24,0.33,0.00,0.77,1.17,1.33,0.08,0.42,0.08,21,149.0,11,96
2025-26,wbball,Midwest Conference (MWC),mwc,Ripon,"Buwalda,Presley",Presley,Buwalda,G,577,"Buwalda,Presley","BUWALDA,PRESLEY",Ripon,RC,1101-3307,21,1,22,0,7,22,0,5,7,4,18,0,5,6,107,4,12,16,7,0,12,0,0,21,0.32,0.00,0.57,0.86,0.76,0.29,0.24,0.00,22,148.0,12,96
2025-26,wbball,Midwest Conference (MWC),mwc,Ripon,"Elmblad,Kyley",Kyley,Elmblad,F,577,"Elmblad,Kyley","ELMBLAD,KYLEY",Ripon,RC,1101-3574,19,0,24,0,12,27,0,0,4,2,26,0,2,3,77,8,9,17,6,0,4,0,0,19,0.44,0.00,0.50,1.37,0.89,0.16,0.11,0.00,24,147.0,13,95
2025-26,wbball,Midwest Conference (MWC),mwc,Ripon,"Hoffa,Nadia",Nadia,Hoffa,G,577,"Hoffa,Nadia","HOFFA,NADIA",Ripon,RC,1101-3372,18,0,30,0,6,19,1,5,2,2,15,0,1,4,60,2,8,10,5,0,5,0,0,18,0.32,0.20,1.00,0.83,0.56,0.22,0.06,0.00,30,146.0,14,95
2025-26,wbball,Midwest Conference (MWC),mwc,Ripon,"Van Horn,Halle",Halle,Van Horn,G,577,"Van Horn,Halle","VAN HORN,HALLE",Ripon,RC,1101-3573,26,25,31,0,109,219,4,26,57,47,269,26,33,45,662,62,102,164,67,0,52,4,0,26,0.50,0.15,0.82,10.35,6.31,1.73,1.27,1.00,31,145.0,15,94
2025-26,wbball,Midwest Conference (MWC),mwc,Ripon,"Perea,Payten",Payten,Perea,F,577,"Perea,Payten","PEREA,PAYTEN",Ripon,RC,1101-3826,18,0,33,0,2,11,1,7,0,0,5,0,2,1,56,0,5,5,1,0,5,0,0,18,0.18,0.14,0.00,0.28,0.28,0.06,0.11,0.00,33,144.0,16,94
2025-26,wbball,Midwest Conference (MWC),mwc,Ripon,"Schlieve,Sophie",Sophie,Schlieve,F,577,"Schlieve,Sophie","SCHLIEVE,SOPHIE",Ripon,RC,1101-3374,29,28,40,0,114,269,1,2,102,74,303,38,46,29,672,91,108,199,76,0,62,0,0,29,0.42,0.50,0.73,10.45,6.86,1.00,1.59,1.31,40,143.0,17,94
2025-26,wbball,Midwest Conference (MWC),mwc,Ripon,"Friedle,Maddi",Maddi,Friedle,G,577,"Friedle,Maddi","FRIEDLE,MADDI",Ripon,RC,1101-3369,18,0,32,0,13,23,2,6,7,5,33,1,2,3,67,4,9,13,11,0,2,0,0,18,0.57,0.33,0.71,1.83,0.72,0.17,0.11,0.06,32,142.0,18,93
