season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,team_name,team_id,sdrm_id,games_played,games_started,uniform,year,code,shot_stats_penalty_kick_attempts,shot_stats_penalty_kick_goals,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_penalty_shot_attempts,shot_stats_penalty_shot_goals,shot_stats_avg_shots_per_game,shot_stats_avg_sog_per_game,shot_stats_avg_points_per_game,shot_stats_avg_goals_per_game,shot_stats_avg_assists_per_game,shot_stats_shots_saved_by_goalie,goal_stats_game_tying,goal_stats_hattricks,goal_stats_overtime,goal_stats_first,goal_stats_unassisted,goal_stats_game_winning,goal_stats_avg_gw_per_game,caution_stats_fouls,caution_stats_red_cards,caution_stats_yellow_cards,caution_stats_green_cards,caution_stats_avg_fouls_per_game,caution_stats_avg_yc_per_game,caution_stats_avg_rc_per_game,caution_stats_avg_gc_per_game,misc_stats_offsides,misc_stats_corner_kicks,misc_stats_minutes_played,misc_stats_defensive_saves,misc_stats_avg_corners_per_game,misc_stats_avg_offsides_per_game,goalie_stats_shots_faced,goalie_stats_ties,goalie_stats_losses,goalie_stats_wins,goalie_stats_shutouts,goalie_stats_save_percentage,goalie_stats_goals_against_avg,goalie_stats_saves,goalie_stats_goals_allowed,goalie_stats_minutes,goalie_stats_games_started,goalie_stats_games_played,goalie_stats_avg_ga_per_game,goalie_stats_save_percentage_calc,goalie_stats_avg_sho_per_game,goalie_stats_avg_saves_per_game,goalie_stats
2026-27,wsoc,Midwest Conference (MWC),mwc,Lawrence,"Heyn, Kat",Kat,Heyn,,348,"Heyn, Kat","HEYN,KAT",Lawrence,LAW,1099-1085,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,14:00,0,.00,.00,1,0,0,0,0,0.0,0.00,0,0,14:34,0,1,.00,0.000,.000,.00,
2026-27,wsoc,Midwest Conference (MWC),mwc,Lawrence,"Littau, Ally",Ally,Littau,,348,"Littau, Ally","LITTAU,ALLY",Lawrence,LAW,1099-1268,3,2,1,0,1,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,1,0,.00,.33,.00,.00,0,,225:00,0,.00,.00,15,1,0,2,0,.778,0.80,7,2,225:00,2,3,.67,0.778,.000,2.33,
2026-27,wsoc,Midwest Conference (MWC),mwc,Lawrence,"Gollnick, Miriam",Miriam,Gollnick,,348,"Gollnick, Miriam","GOLLNICK,MIRIAM",Lawrence,LAW,1099-1632,0,0,36,0,36,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,00:00,0,.00,.00,,,,,,,,,,,,,,,,,
2026-27,wsoc,Midwest Conference (MWC),mwc,Lawrence,"Brockhert, Claire",Claire,Brockhert,,348,"Brockhert, Claire","BROCKHERT,CLAIRE",Lawrence,LAW,1099-1626,2,2,37,0,37,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,121:00,0,.00,.00,8,0,0,1,0,.600,1.50,3,2,120:26,2,2,1.00,0.600,.000,1.50,
2026-27,wsoc,Midwest Conference (MWC),mwc,Lawrence,"Wolfe, Rebecca",Rebecca,Wolfe,,348,"Wolfe, Rebecca","WOLFE,REBECCA",Lawrence,LAW,1099-1277,0,0,99,0,99,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,00:00,0,.00,.00,,,,,,,,,,,,,,,,,
2026-27,wsoc,Midwest Conference (MWC),mwc,Lawrence,"Hartung, Elena",Elena,Hartung,,348,"Hartung, Elena","HARTUNG,ELENA",Lawrence,LAW,1099-1416,3,2,2,0,2,0,0,5,8,4,2,1,0,0,2.67,1.67,1.33,.333,.667,4,1,0,0,0,1,0,.000,1,0,0,0,.33,.00,.00,.00,0,,160:00,0,.00,.00,,,,,,,,,,,,,,,,,
2026-27,wsoc,Midwest Conference (MWC),mwc,Lawrence,"D'Angelo, Sofia",Sofia,D'Angelo,,348,"D'Angelo, Sofia","D'ANGELO,SOFIA",Lawrence,LAW,1099-1631,4,1,3,0,3,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,1,0,.00,.25,.00,.00,0,,226:00,0,.00,.00,,,,,,,,,,,,,,,,,
2026-27,wsoc,Midwest Conference (MWC),mwc,Lawrence,"Bedan, Ava",Ava,Bedan,,348,"Bedan, Ava","BEDAN,AVA",Lawrence,LAW,1099-1625,4,1,4,0,4,0,0,4,7,2,0,1,0,0,1.75,1.00,.50,.250,.000,3,0,0,0,0,1,0,.000,2,0,0,0,.50,.00,.00,.00,0,,149:00,0,.00,.00,,,,,,,,,,,,,,,,,
2026-27,wsoc,Midwest Conference (MWC),mwc,Lawrence,"Reathaford, Natalie",Natalie,Reathaford,,348,"Reathaford, Natalie","REATHAFORD,NATALIE",Lawrence,LAW,1099-1417,0,0,89,0,89,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,00:00,0,.00,.00,,,,,,,,,,,,,,,,,
2026-27,wsoc,Midwest Conference (MWC),mwc,Lawrence,"Pierce-Haig, Lucia",Lucia,Pierce-Haig,,348,"Pierce-Haig, Lucia","PIERCE-HAIG,LUCIA",Lawrence,LAW,1099-1096,4,2,5,0,5,0,0,0,1,0,0,0,0,0,.25,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,1,0,0,0,.25,.00,.00,.00,0,,283:00,0,.00,.00,,,,,,,,,,,,,,,,,
2026-27,wsoc,Midwest Conference (MWC),mwc,Lawrence,"Noonan, Kate",Kate,Noonan,,348,"Noonan, Kate","NOONAN,KATE",Lawrence,LAW,1099-1269,4,4,6,0,6,0,0,2,2,4,0,2,2,2,.50,.50,1.00,.500,.000,0,0,0,0,1,2,1,.250,0,0,0,0,.00,.00,.00,.00,0,,289:00,0,.00,.00,,,,,,,,,,,,,,,,,
2026-27,wsoc,Midwest Conference (MWC),mwc,Lawrence,"Bruce, Caitlin",Caitlin,Bruce,,348,"Bruce, Caitlin","BRUCE,CAITLIN",Lawrence,LAW,1099-1627,4,1,7,0,7,0,0,1,1,0,0,0,0,0,.25,.25,.00,.000,.000,1,0,0,0,0,0,0,.000,1,0,0,0,.25,.00,.00,.00,0,,120:00,0,.00,.00,,,,,,,,,,,,,,,,,
2026-27,wsoc,Midwest Conference (MWC),mwc,Lawrence,"Cromheecke, Isabelle",Isabelle,Cromheecke,,348,"Cromheecke, Isabelle","CROMHEECKE,ISABELLE",Lawrence,LAW,1099-1630,4,1,8,0,8,0,0,1,1,0,0,0,0,0,.25,.25,.00,.000,.000,1,0,0,0,0,0,0,.000,1,0,0,0,.25,.00,.00,.00,0,,79:00,0,.00,.00,,,,,,,,,,,,,,,,,
2026-27,wsoc,Midwest Conference (MWC),mwc,Lawrence,"Kalt, Hannah",Hannah,Kalt,,348,"Kalt, Hannah","KALT,HANNAH",Lawrence,LAW,1099-1088,4,3,9,0,9,0,0,7,11,4,2,1,0,0,2.75,1.75,1.00,.250,.500,6,0,0,0,0,1,1,.250,1,0,0,0,.25,.00,.00,.00,0,,232:00,0,.00,.00,,,,,,,,,,,,,,,,,
2026-27,wsoc,Midwest Conference (MWC),mwc,Lawrence,"Robertson, Izzy",Izzy,Robertson,,348,"Robertson, Izzy","ROBERTSON,IZZY",Lawrence,LAW,1099-1089,4,3,10,0,10,0,0,0,1,0,0,0,0,0,.25,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,1,0,0,0,.25,.00,.00,.00,0,,177:00,0,.00,.00,,,,,,,,,,,,,,,,,
