conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,attack_stats_hitting_pct,attack_stats_attempts,attack_stats_errors,attack_stats_kills,set_stats_assists,set_stats_errors,set_stats_attempts,set_stats_set_pct,serve_stats_aces,serve_stats_errors,serve_stats_attempts,serve_stats_serve_pct,defense_stats_defense_pct,defense_stats_attempts,defense_stats_receptions,defense_stats_digs,block_stats_total,block_stats_errors,block_stats_assists,block_stats_solos,misc_stats_points,misc_stats_ball_handling_errors,per_set_stats_kills,per_set_stats_assists,per_set_stats_digs,per_set_stats_blocks,per_set_stats_aces,per_set_stats_points,z_per_set_stats_points,z_per_set_stats_kills,z_per_set_stats_assists,z_per_set_stats_blocks,z_per_set_stats_aces,z_per_set_stats_digs,z_attack_stats_errors,z_serve_stats_errors,composite_score,rank,rating
mwc,Midwest Conference (MWC),2025-26,wvball,Lawrence,"Hahnke, Margaret",0,,13,69,21,0.182,807.0,131.0,278.0,16.0,5.0,99.0,0.0,36.0,28.0,279.0,0.0,0.0,348.0,22.0,224.0,16.0,2.0,13.0,3.0,323.5,0.0,4.03,0.23,3.25,0.23,0.52,4.69,3.6755190455146267,3.584502222510023,-0.28300726298540213,0.319173081612882,2.473345884879184,1.9112632258077236,2.22572499635234,1.0869898679007606,7.446213180880907,1,99
mwc,Midwest Conference (MWC),2025-26,wvball,Monmouth (IL),"Celus, Kaylee",0,,7,99,48,0.226,1058.0,95.0,334.0,8.0,6.0,123.0,0.0,40.0,36.0,328.0,0.0,0.0,486.0,38.0,266.0,41.0,1.0,36.0,5.0,397.0,0.0,3.37,0.08,2.69,0.41,0.4,4.01,2.9943767028381574,2.8578275418339194,-0.3821472187547347,1.1324086046265263,1.6713194996150136,1.3928330758073786,1.4001397062317429,1.6550266598944945,6.188760168927767,2,94
mwc,Midwest Conference (MWC),2025-26,wvball,Lawrence,"Weier, Audrey",0,,4,123,54,0.317,747.0,97.0,334.0,21.0,2.0,105.0,0.0,22.0,19.0,232.0,0.0,0.0,8.0,1.0,85.0,85.0,5.0,57.0,28.0,412.5,0.0,2.72,0.17,0.69,0.69,0.18,3.35,2.3332679584757026,2.1421630835923025,-0.3226632452931351,2.3974416404255283,0.20093779329736752,-0.4587031741938538,1.4460055556828872,0.44794847690781014,4.683824663329553,3,92
mwc,Midwest Conference (MWC),2025-26,wvball,Lake Forest,"Dirksen, Rio",0,,11,75,32,0.116,610.0,121.0,192.0,3.0,8.0,74.0,0.0,24.0,28.0,195.0,0.0,0.0,118.0,14.0,102.0,44.0,4.0,29.0,15.0,245.5,2.0,2.56,0.04,1.36,0.59,0.32,3.27,2.2531335652196476,1.9659995246405197,-0.4085845402932233,1.9456441276401708,1.136635242772233,0.16156146955655917,1.9963957490966182,1.0869898679007606,4.540670852464848,4,91
mwc,Midwest Conference (MWC),2025-26,wvball,Grinnell,"Leonard, Millie",0,,8,89,40,0.331,622.0,66.0,272.0,2.0,3.0,48.0,0.0,17.0,29.0,195.0,0.0,0.0,49.0,5.0,59.0,33.0,2.0,26.0,7.0,309.0,2.0,3.06,0.02,0.66,0.37,0.19,3.47,2.4534695483597857,2.5165106463648406,-0.42180320106246766,0.9516895995123832,0.2677733254027151,-0.4864762179438722,0.7350848891901511,1.1579944668999773,4.41211479571746,5,89
mwc,Midwest Conference (MWC),2025-26,wvball,Lawrence,"Corrente, Ally",0,,5,124,54,0.224,255.0,21.0,78.0,1238.0,30.0,3534.0,0.0,39.0,38.0,501.0,0.0,0.0,5.0,0.0,301.0,24.0,2.0,21.0,3.0,130.5,2.0,0.63,9.98,2.43,0.19,0.31,1.05,0.02940415236411718,-0.15897340521535874,6.161089862021211,0.13845407649873873,1.0697997106668855,1.1521333633072186,-0.2968967234605949,1.797035857892928,4.263735367650311,6,88
mwc,Midwest Conference (MWC),2025-26,wvball,Monmouth (IL),"Robertson, Alana",0,,6,102,48,0.225,377.0,38.0,123.0,460.0,9.0,1594.0,0.0,24.0,10.0,335.0,0.0,0.0,8.0,0.0,220.0,59.0,6.0,42.0,17.0,185.0,5.0,1.21,4.51,2.16,0.58,0.24,1.81,0.7906808882966411,0.4796194959848533,2.545786141632885,1.900464376361635,0.6019509859294527,0.9021759695570521,0.09296299687413136,-0.19109291408514037,4.118921437039805,7,87
mwc,Midwest Conference (MWC),2025-26,wvball,Lawrence,"Cook, Hazel",0,,10,115,42,0.184,889.0,147.0,311.0,8.0,4.0,92.0,0.0,17.0,18.0,133.0,0.0,0.0,77.0,8.0,131.0,62.0,8.0,43.0,19.0,368.5,0.0,2.7,0.07,1.14,0.54,0.15,3.2,2.1830159711205996,2.1201426387233298,-0.38875654913935676,1.7197453712474922,0.00043119698132491294,-0.042107517943576554,2.5926517919614938,0.3769438779085934,3.9391696913628733,8,86
mwc,Midwest Conference (MWC),2025-26,wvball,Cornell College,"Olmstead, Ally",0,,20,113,86,0.239,636.0,107.0,259.0,5.0,1.0,31.0,0.0,10.0,7.0,71.0,0.0,0.0,11.0,1.0,28.0,91.0,5.0,74.0,17.0,323.0,0.0,2.29,0.04,0.25,0.81,0.09,2.86,1.8424447997823648,1.6687235189093865,-0.4085845402932233,2.9395986557679588,-0.4005819956507603,-0.8660411491941249,1.6753348029386084,-0.4041067110827905,3.7306728435796424,9,86
mwc,Midwest Conference (MWC),2025-26,wvball,Illinois Col.,"Drake, Riley",0,,14,106,43,0.127,761.0,149.0,246.0,13.0,5.0,87.0,0.0,42.0,38.0,345.0,0.0,0.0,706.0,63.0,256.0,25.0,1.0,21.0,4.0,302.5,0.0,2.32,0.12,2.42,0.24,0.4,2.85,1.8324280006253582,1.7017541862128456,-0.35570989721624596,0.36435283289141773,1.6713194996150136,1.1428756820572121,2.638517641412638,1.797035857892928,3.409421434000084,10,85
