conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,attack_stats_hitting_pct,attack_stats_attempts,attack_stats_errors,attack_stats_kills,set_stats_assists,set_stats_errors,set_stats_attempts,set_stats_set_pct,serve_stats_aces,serve_stats_errors,serve_stats_attempts,serve_stats_serve_pct,defense_stats_defense_pct,defense_stats_attempts,defense_stats_receptions,defense_stats_digs,block_stats_total,block_stats_errors,block_stats_assists,block_stats_solos,misc_stats_points,misc_stats_ball_handling_errors,per_set_stats_kills,per_set_stats_assists,per_set_stats_digs,per_set_stats_blocks,per_set_stats_aces,per_set_stats_points
mwc,Midwest Conference (MWC),2025-26,wvball,Lawrence,"Seymour, Mikala",0,,18,8,1,.188,16,1,4,0,0,3,0,1,0,3,0,0,0,0,1,4,2,1,3,8.5,0,0.50,0.00,0.13,0.50,0.13,1.06
mwc,Midwest Conference (MWC),2025-26,wvball,Lawrence,"Kragie, Natalee",0,,6,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
mwc,Midwest Conference (MWC),2025-26,wvball,Lawrence,"Cook, Hazel",0,,10,115,42,.184,889,147,311,8,4,92,0,17,18,133,0,0,77,8,131,62,8,43,19,368.5,0,2.70,0.07,1.14,0.54,0.15,3.20
mwc,Midwest Conference (MWC),2025-26,wvball,Lawrence,"Hahnke, Margaret",0,,13,69,21,.182,807,131,278,16,5,99,0,36,28,279,0,0,348,22,224,16,2,13,3,323.5,0,4.03,0.23,3.25,0.23,0.52,4.69
mwc,Midwest Conference (MWC),2025-26,wvball,Lawrence,"Vannett, Sydney",0,,1,61,0,-.500,2,1,0,6,0,18,0,17,14,131,0,0,48,5,34,0,0,0,0,17,0,0.00,0.10,0.56,0.00,0.28,0.28
mwc,Midwest Conference (MWC),2025-26,wvball,Lawrence,"Huggenvik, Grace",0,,2,10,2,-.100,10,1,0,4,1,15,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0.00,0.40,0.20,0.00,0.00,0.00
mwc,Midwest Conference (MWC),2025-26,wvball,Lawrence,"Fisher, Hannah",0,,3,14,0,.000,0,0,0,0,0,0,0,0,0,3,0,0,1,0,1,0,0,0,0,0,0,0.00,0.00,0.07,0.00,0.00,0.00
mwc,Midwest Conference (MWC),2025-26,wvball,Lawrence,"Corrente, Ally",0,,5,124,54,.224,255,21,78,1238,30,3534,0,39,38,501,0,0,5,0,301,24,2,21,3,130.5,2,0.63,9.98,2.43,0.19,0.31,1.05
mwc,Midwest Conference (MWC),2025-26,wvball,Lawrence,"Schmall, Annaliesse",0,,7,53,25,.144,369,68,121,4,2,37,0,0,1,1,0,0,44,4,32,5,0,5,0,123.5,0,2.28,0.08,0.60,0.09,0.00,2.33
mwc,Midwest Conference (MWC),2025-26,wvball,Lawrence,"Josephson, Britta",0,,8,116,11,.127,213,33,60,4,3,35,0,50,39,359,0,0,53,3,96,5,2,4,1,113,0,0.52,0.03,0.83,0.04,0.43,0.97
