season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,linkup_name,games_played,games_started,uniform,year,hitting_stats_at_bats,hitting_stats_runs,hitting_stats_hits,hitting_stats_runs_batted_in,hitting_stats_doubles,hitting_stats_triples,hitting_stats_home_runs,hitting_stats_walks,hitting_stats_intentional_walks,hitting_stats_hit_by_pitch,hitting_stats_strikeouts,hitting_stats_strikeouts_looking,hitting_stats_stolen_bases,hitting_stats_caught_stealing,hitting_stats_sacrifice_hits,hitting_stats_sacrifice_flies,hitting_stats_reached_on_catchers_interference,hitting_stats_reached_on_error,hitting_stats_reached_on_fielders_choice,hitting_stats_grounded_into_doubleplay,hitting_stats_picked_off,hitting_stats_total_double_plays,hitting_stats_total_triple_plays,hitting_stats_onbase_percentage,hitting_stats_total_bases,hitting_stats_total_plate_appearances,hitting_stats_stolen_base_attempts,hitting_stats_stolen_base_percentage,hitting_stats_batting_average,hitting_stats_slugging_percentage,fielding_stats_putouts,fielding_stats_assists,fielding_stats_errors,fielding_stats_passed_balls,fielding_stats_catchers_interference,fielding_stats_stolen_bases_against,fielding_stats_caught_stealing_by,fielding_stats_involved_in_double_plays,fielding_stats_involved_in_triple_plays,fielding_stats_total_chances,fielding_stats_fielding_percentage,fielding_stats_stolen_bases_against_attempts,fielding_stats_stolen_bases_against_percentage,pitching_stats,hitting_summary_stats_times_reached_base_on_error,hitting_summary_stats_times_reached_base_on_fielders_choice,hitting_summary_stats_times_grouded_out,hitting_summary_stats_times_flied_out,hitting_summary_stats_hits_ab_with_2_outs,hitting_summary_stats_batting_avg_with_2_outs,hitting_summary_stats_hits_with_2_outs,hitting_summary_stats_ab_with_2_outs,hitting_summary_stats_hits_ab_with_runners_on_base,hitting_summary_stats_batting_avg_with_runners_on_base,hitting_summary_stats_hits_with_runners_on_base,hitting_summary_stats_ab_with_runners_on_base,hitting_summary_stats_hits_ab_with_runners_in_scoring_position,hitting_summary_stats_batting_avg_with_runners_in_scoring_position,hitting_summary_stats_hits_with_runners_in_scoring_position,hitting_summary_stats_ab_with_runners_in_scoring_position,hitting_summary_stats_hits_ab_vs_left_handed_pitchers,hitting_summary_stats_batting_avg_vs_left_handed_pitchers,hitting_summary_stats_hits_vs_left_handed_pitchers,hitting_summary_stats_ab_vs_left_handed_pitchers,hitting_summary_stats_hits_ab_vs_right_handed_pitchers,hitting_summary_stats_batting_avg_vs_right_handed_pitchers,hitting_summary_stats_hits_vs_right_handed_pitchers,hitting_summary_stats_ab_vs_right_handed_pitchers,hitting_summary_stats_success_opps_as_leadoff_batter_in_inning,hitting_summary_stats_success_opps_to_drive_in_runner_from_3rd_with_less_than_2_outs,hitting_summary_stats_number_of_runners_advanced_ab,hitting_summary_stats_hits_ab_with_bases_loaded,hitting_summary_stats_batting_avg_with_bases_loaded,hitting_summary_stats_hits_with_bases_loaded,hitting_summary_stats_ab_with_bases_loaded,hitting_summary_stats_hits_ab_as_pinch_hitter,hitting_summary_stats_batting_avg_as_pinch_hitter,hitting_summary_stats_hits_as_pinch_hitter,hitting_summary_stats_ab_as_pinch_hitter,hitting_summary_stats_times_advanced_at_least_1_runner_with_an_out,hitting_summary_stats_runners_left_on_base,hitting_summary_stats_two_out_rbis,pitching_summary_stats,team_name,team_id,sdrm_id,this_is_softball,pitching_stats_hits_allowed,pitching_stats_appearances,pitching_stats_games_started,pitching_stats_wins,pitching_stats_losses,pitching_stats_saves,pitching_stats_complete_games,pitching_stats_shutouts,pitching_stats_credit_for_combined_shutout,pitching_stats_games_finished,pitching_stats_innings_pitched,pitching_stats_runs_allowed,pitching_stats_earned_runs_allowed,pitching_stats_walks_allowed,pitching_stats_strikeouts,pitching_stats_doubles_allowed,pitching_stats_triples_allowed,pitching_stats_home_runs_allowed,pitching_stats_earned_run_average,pitching_stats_opponents_at_bats,pitching_stats_batters_faced,pitching_stats_wild_pitches,pitching_stats_hit_batters,pitching_stats_balks,pitching_stats_sacrifice_flies_allowed,pitching_stats_sacrifice_hits_allowed,pitching_stats_catchers_interference_allowed,pitching_stats_intentional_walks,pitching_stats_strikeouts_looking,pitching_stats_opponent_batting_average,pitching_summary_stats_fly_outs_allowed,pitching_summary_stats_ground_outs_allowed,pitching_summary_stats_runners_picked_off,pitching_summary_stats_success_opps_vs_leadoff_batters,pitching_summary_stats_hits_ab_with_runners_on_base,pitching_summary_stats_hits_ab_vs_left_handed_batters,pitching_summary_stats_hits_ab_vs_right_handed_batters,pitching_summary_stats_hits_ab_with_2_outs,hitting_stats,fielding_stats,hitting_summary_stats,composite_score,global_rank,rating,ranking_segment
2025-26,baseball,North Atlantic Conference (NAC),nac,Husson,"Curtis, Jackson",Jackson,Curtis,,1133,"Curtis, Jackson",0,0HUS,40,40,,,151,31,59,49,13,1,9,19,1,3,19,8,5,1,0,2,0,0,0,4,0,4,0,0.463,101,175,6,.833,.391,.669,257,13,1,0,0,0,0,14,0,271,.996,0,.000,,8,6,35,33,"22,56",0.39,22,56,"40,98",0.41,40,98,"25,64",0.39,25,64,"14,28",0.50,14,28,0,0,0,0,"11,24","11,19","61,109",94,0,0,0,0,0,0,0,14,31,0,,Husson ,HUS,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.917124951935405,1,99,batting
2025-26,baseball,North Atlantic Conference (NAC),nac,Thomas,C. Haynes,C.,Haynes,,2758,C. Haynes,0,0THOMAS (,42,41,,,130,39,50,48,16,1,6,29,0,6,26,14,3,2,1,3,0,0,0,2,2,3,0,0.506,86,169,5,.600,.385,.662,40,1,4,0,0,0,0,0,0,45,.911,0,.000,,4,3,27,27,"15,42",0.36,15,42,"33,80",0.41,33,80,"24,56",0.43,24,56,"10,23",0.43,10,23,0,0,0,0,"22,40","11,23","51,94",217,0,0,0,0,0,0,0,5,28,0,,Thomas,THOMAS (,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.959309169430465,2,99,batting
2025-26,baseball,North Atlantic Conference (NAC),nac,Lesley,James Brandon,James,Brandon,,24317,James Brandon,0,0LESLEY,38,38,,,125,32,50,38,8,0,4,28,6,16,20,7,3,3,0,1,0,0,0,1,0,1,0,0.553,70,170,6,.500,.400,.560,276,24,3,0,0,0,0,19,0,303,.990,0,.000,,3,4,18,34,"19,46",0.41,19,46,"34,70",0.49,34,70,"23,48",0.48,23,48,"14,24",0.58,14,24,0,0,0,0,"9,24","7,13","68,93",44,0,0,0,0,0,0,0,11,16,0,,Lesley,LESLEY,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.106787618894112,3,99,batting
2025-26,baseball,North Atlantic Conference (NAC),nac,Husson,"Holmes, Matt",Matt,Holmes,,1133,"Holmes, Matt",0,0HUS,40,40,,,144,29,42,42,6,3,11,18,0,7,58,14,5,3,1,3,0,0,0,2,0,4,0,0.390,87,173,8,.625,.292,.604,81,2,1,0,0,0,0,0,0,84,.988,0,.000,,0,1,20,28,"17,54",0.31,17,54,"31,94",0.33,31,94,"25,63",0.40,25,63,"5,23",0.22,5,23,0,0,0,0,"14,33","8,16","47,103",36,0,0,0,0,0,0,0,16,50,0,,Husson ,HUS,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.786960298507989,4,98,batting
2025-26,baseball,North Atlantic Conference (NAC),nac,Thomas,S. Keblinsky,S.,Keblinsky,,2758,S. Keblinsky,0,0THOMAS (,33,33,,,114,23,47,23,9,1,3,17,1,0,10,4,4,2,0,1,0,0,0,2,1,2,0,0.485,67,132,6,.667,.412,.588,29,28,2,0,0,0,0,6,0,59,.966,0,.000,,5,3,24,30,"17,35",0.49,17,35,"31,64",0.48,31,64,"18,42",0.43,18,42,"8,21",0.38,8,21,0,0,0,0,"11,27","5,9","44,72",143,0,0,0,0,0,0,0,6,29,0,,Thomas,THOMAS (,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.696903941818502,5,98,batting
2025-26,baseball,North Atlantic Conference (NAC),nac,Lesley,Colin Mccarthy,Colin,Mccarthy,,24317,Colin Mccarthy,0,0LESLEY,38,38,,,117,30,34,43,9,1,4,31,0,10,32,6,0,1,1,5,0,0,0,1,2,2,0,0.460,57,164,1,.000,.291,.487,94,8,1,9,0,26,1,0,0,103,.990,27,.963,,4,3,26,28,"18,53",0.34,18,53,"26,74",0.35,26,74,"19,54",0.35,19,54,"7,24",0.29,7,24,0,0,0,0,"12,22","10,20","58,97",96,0,0,0,0,0,0,0,13,36,0,,Lesley,LESLEY,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.610661070586106,6,98,batting
2025-26,baseball,North Atlantic Conference (NAC),nac,UMaine-Farmington,Ryan Sargent,Ryan,Sargent,,379,Ryan Sargent,0,0ME.-FARM,36,36,,,118,21,43,27,9,0,4,12,3,7,16,3,1,0,0,4,0,0,0,1,0,1,0,0.440,64,141,1,1.000,.364,.542,208,18,5,0,0,0,0,16,0,231,.978,0,.000,,4,3,27,33,"14,36",0.39,14,36,"24,56",0.43,24,56,"16,30",0.53,16,30,"5,20",0.25,5,20,0,0,0,0,"12,25","7,5","41,64",132,0,0,0,0,0,0,0,15,9,0,,UMaine-Farmington,ME.-FARM,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.578164005114246,7,97,batting
2025-26,baseball,North Atlantic Conference (NAC),nac,Husson,"Warren, Akira",Akira,Warren,,1133,"Warren, Akira",0,0HUS,39,39,,,135,51,46,31,7,3,3,31,0,11,30,10,24,4,2,2,0,0,0,1,1,1,0,0.492,68,181,28,.857,.341,.504,73,0,2,0,0,0,0,0,0,75,.973,0,.000,,5,5,29,29,"12,32",0.38,12,32,"22,60",0.37,22,60,"17,43",0.40,17,43,"8,19",0.42,8,19,0,0,0,0,"39,69","8,13","41,71",70,0,0,0,0,0,0,0,11,19,0,,Husson ,HUS,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.54352688064701,8,97,batting
2025-26,baseball,North Atlantic Conference (NAC),nac,Husson,"Lausier, Henry",Henry,Lausier,,1133,"Lausier, Henry",0,0HUS,22,12,,,34,13,12,6,1,1,1,15,0,6,5,5,10,0,0,0,0,0,0,0,0,0,0,0.600,18,55,10,1.000,.353,.529,56,7,1,5,0,4,4,1,0,64,.984,8,.500,,1,0,4,12,"3,9",0.33,3,9,"6,21",0.29,6,21,"6,14",0.43,6,14,"4,8",0.50,4,8,0,0,0,0,"6,10","1,3","17,31",10,0,0,0,47,0,0,0,1,9,0,,Husson ,HUS,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.464037148100294,9,97,batting
2025-26,baseball,North Atlantic Conference (NAC),nac,Thomas,D. Cagnina,D.,Cagnina,,2758,D. Cagnina,0,0THOMAS (,42,42,,,131,32,44,29,10,1,2,25,2,9,14,7,4,3,1,3,0,0,0,2,0,6,0,0.464,62,169,7,.571,.336,.473,264,13,4,0,0,0,0,18,0,281,.986,0,.000,,5,4,41,30,"19,45",0.42,19,45,"23,80",0.29,23,80,"20,59",0.34,20,59,"8,21",0.38,8,21,0,0,0,0,"14,26","7,13","51,94",26,0,0,0,0,0,0,0,14,38,0,,Thomas,THOMAS (,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.083870161306294,10,96,batting
