rank,conference_code,conference,season,team,player_name,class_year,position,gp,mpg,ppg,rpg,apg,spg,bpg,tov_pg,composite_score,z_ppg,z_rpg,z_apg,z_spg,z_bpg,z_tov_pg
1,nac,North Atlantic Conference (NAC),2025-26,Thomas,"Blackmon,TJ",0,G,24,32.875,16.46,5.75,4.92,2.58,1.21,2.7083333333333335,7.248915933399283,1.4890253277619314,0.8873855203679029,2.9602780352475064,3.2787893386681835,2.245829270836733,1.4810106447597797
2,nac,North Atlantic Conference (NAC),2025-26,VTSU Lyndon,"McIntyre,Wesley",0,G,23,32.43478260869565,27.78,5.26,2.74,1.57,0.26,3.608695652173913,6.891500005376131,3.6280820168818635,0.6668009874801396,0.9827276419360979,1.3288330787893297,-0.18310636534305952,2.615246782127619
3,nac,North Atlantic Conference (NAC),2025-26,UMaine-Farmington,Jason Reynolds,0,*,27,30.51851851851852,17.15,15.48,2.11,0.74,0.04,1.4444444444444444,6.79332004450721,1.619409525243623,5.267564101996344,0.41123372093325933,-0.2736062238833916,-0.7455967231952221,-0.11117998938568514
4,nac,North Atlantic Conference (NAC),2025-26,VTSU Johnson,"Baker,Jason",0,F,14,35.785714285714285,22.07,7.86,3.36,0.86,2.14,4.857142857142857,6.406353760644782,2.5491055420696007,1.837249529333577,1.5451502308595257,-0.04192825241263678,4.623629419939057,4.187984674241001
5,nac,North Atlantic Conference (NAC),2025-26,UMaine-Farmington,Zach McLaughin,0,*,21,32.04761904761905,25.76,3.76,1.24,1.05,0.62,2.0,6.282420721464195,3.2463775546890834,-0.008457786666074295,-0.377972169975422,0.3248952024160585,0.7373324020513882,0.5886840256233103
6,nac,North Atlantic Conference (NAC),2025-26,Husson ,"Ahlers,Eric",0,G,26,30.23076923076923,20.27,9.19,2.38,0.77,0.23,2.1923076923076925,5.679938889498077,2.2089728529869257,2.43597897574322,0.6561596870773329,-0.21568673101570288,-0.2598095959592635,0.8309446462033475
7,nac,North Atlantic Conference (NAC),2025-26,UMaine-Presque Isle,"McMichael,Akhe",0,G,26,27.423076923076923,16.23,5.69,3.69,2.19,0.5,3.076923076923077,4.706446313210401,1.4455639286013673,0.8603751694020545,1.8445041894800598,2.52583593138823,0.4305194795865723,1.945343500871517
8,nac,North Atlantic Conference (NAC),2025-26,Maine Maritime,"Banks,Jack",0,F,20,32.75,17.65,7.1,3.9,0.8,1.05,3.75,4.503750591419358,1.713890827766588,1.4951184170994953,2.0350021631476727,-0.1577672381480141,1.8367453742169788,2.7932556729016462
9,nac,North Atlantic Conference (NAC),2025-26,VTSU Lyndon,"Gonyea Jr.,Gregory",0,G,22,29.954545454545453,20.45,4.09,2.77,2.18,0.05,3.409090909090909,4.293216087166007,2.242986121895193,0.1400991436460928,1.009941638174328,2.5065294337656674,-0.7200289796564874,2.3637936636915806
10,nac,North Atlantic Conference (NAC),2025-26,VTSU Johnson,"Semega,Mohammed",0,G,25,29.24,10.08,7.56,2.4,2.68,0.44,2.0,3.6339743492814724,0.28344390756889554,1.7021977745043342,0.6743023512361531,3.4718543148938124,0.27711301835416435,0.5886840256233103
11,nac,North Atlantic Conference (NAC),2025-26,UMaine-Presque Isle,"McCalla,Doug",0,F,17,27.705882352941178,13.06,5.94,2.24,1.41,0.41,1.411764705882353,3.4766086976545303,0.8465524706057681,0.9729182984264235,0.5291610379655913,1.0199291168283229,0.2004097877379603,-0.15234846085680237
12,nac,North Atlantic Conference (NAC),2025-26,SUNY Delhi,"Ibrahim,Abdul-Jaleel",0,G,24,33.041666666666664,17.58,4.33,1.79,1.92,0.21,2.5833333333333335,3.4476657533228257,1.7006634454133729,0.2481405475094871,0.12095109439213525,2.0045604955790313,-0.31094508303673285,1.3235412413827556
13,nac,North Atlantic Conference (NAC),2025-26,Husson ,"Matondo,Gil",0,F,26,28.423076923076923,11.62,6.31,2.38,0.81,1.5,2.076923076923077,3.281787837584165,0.5744463193396281,1.1394821293824893,0.6561596870773329,-0.13846074052545118,2.9872938334600385,0.6855882738553253
14,nac,North Atlantic Conference (NAC),2025-26,SUNY Cobleskill,"Tanksley,Marquay",0,F,25,32.44,10.52,6.24,2.48,1.36,0.96,1.56,3.2690678253201684,0.3665874537891048,1.1079700532556662,0.7468730078714343,0.9233966287155088,1.6066356823683665,0.034391725736186006
15,nac,North Atlantic Conference (NAC),2025-26,Husson ,"Heald,Connor",0,G,26,31.423076923076923,14.88,3.73,2.81,1.31,0.12,1.5769230769230769,3.1962497811996933,1.1904644117893615,-0.021962962148998486,1.0462269664919686,0.8268641406026941,-0.5410547748853448,0.05571066034722912
