season,sport,gender,conference,conference_code,team,school_name,player_name,position,class_year,clippd_player_id,clippd_rank,player_ranking_status,scoring_stats_scoring_average,scoring_stats_vs_par,scoring_stats_rounds,scoring_stats_adjusted_score,scoring_stats_stroke_play_events,top10_finishes,events_won,average_points,strength_of_schedule,region,data_source
2025-26,mgolf,Men,North Atlantic Conference,nac,Husson,Husson University,Ty Dickson,,Fourth Year,20127,539,ACTIVE,75.28,3.28,18,76.8060627798362,12,3,1,15.7660436793339,-14.8057018367937,Region I - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,North Atlantic Conference,nac,SUNY Delhi,State University of NY at Delhi,Grady Glennon,,Third Year,35203,638,ACTIVE,75.88,3.88,24,76.648595884849,15,4,2,13.9864133258862,-13.1581153167932,Region I - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,North Atlantic Conference,nac,Lesley University,Lesley University,Marc Bota,,,4627,744,ACTIVE,75.5,3.5,14,77.710180117505,11,6,2,11.9461778622732,-18.5891620677231,Region I - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,North Atlantic Conference,nac,Husson,Husson University,Juan Hernandez,,Fourth Year,13881,773,ACTIVE,75.78,3.78,18,77.3060627798362,12,2,1,11.4290444173644,-14.8057018367937,Region I - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,North Atlantic Conference,nac,SUNY Cobleskill,State University of NY at Cobleskill,Josh House,,,15761,990,ACTIVE,79.92,7.92,13,80.9714298526047,9,1,1,7.99694948925759,-16.5555745203698,Region I - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,North Atlantic Conference,nac,SUNY Delhi,State University of NY at Delhi,Matthew Daniels,,Second Year,7344,1020,ACTIVE,78.27,6.27,22,79.0555987954293,14,1,0,7.60877451501379,-13.4268239815002,Region I - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,North Atlantic Conference,nac,Husson,Husson University,Bradley Chrisholm,,,25833,1053,ACTIVE,77.94,5.94,18,79.4727294465029,12,2,0,7.30054992040836,-14.8057018367937,Region I - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,North Atlantic Conference,nac,SUNY Delhi,State University of NY at Delhi,Jonathan Tecchio,,Second Year,7345,1093,ACTIVE,78.96,6.96,24,79.7319292181823,15,2,1,6.60907965760374,-13.1581153167932,Region I - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,North Atlantic Conference,nac,SUNY Delhi,State University of NY at Delhi,Ben Swartz,,,25076,1106,ACTIVE,78.64,6.64,22,79.4328355289672,14,2,0,6.42935892663952,-13.2941800592637,Region I - (M) DIII,clippd_scoreboard
2025-26,mgolf,Men,North Atlantic Conference,nac,SUNY Delhi,State University of NY at Delhi,William Martin,,Third Year,7346,1181,ACTIVE,80.11,8.11,18,81.1044044366826,12,1,1,5.54192137446811,-13.4063799722007,Region I - (M) DIII,clippd_scoreboard
