conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,field_goals_made,field_goals_attempted,three_points_made,three_points_attempted,free_throws_attempted,free_throws_made,points_scored,blocked_shots,steals,assists,minutes_played,offensive_rebounds,defensive_rebounds,total_rebounds,personal_fouls,technical_fouls,turnovers,disqualifications,deadballs,field_goals_pct,three_points_pct,free_throws_pct,points_per_game,rebounds_per_game,assists_per_game,steals_per_game,blocked_shots_per_game,turnovers_per_game,z_points_per_game,z_rebounds_per_game,z_assists_per_game,z_turnovers_per_game,z_field_goals_pct,z_steals_per_game,z_blocked_shots_per_game,composite_score,rank,rating
nac,North Atlantic Conference (NAC),2025-26,wbball,Husson ,"Evans,Saige",0,F,22,26,26,170,379,5,25,100,78,423,18,39,43,818,107,149,256,51,0,49,0,0,0.45,0.2,0.78,16.27,9.85,1.65,1.5,0.69,1.8846153846153846,2.898201984889611,3.020466232914445,0.591727827249166,0.11417036371791482,1.195562285375017,1.139591451425447,1.2289260220152374,10.950235459573113,1,99
nac,North Atlantic Conference (NAC),2025-26,wbball,Thomas,"Kesse-Beda,Pryelle",0,C,30,26,25,163,369,0,2,100,71,397,47,32,25,728,38,162,200,66,0,64,1,0,0.44,0.0,0.71,15.27,7.69,0.96,1.23,1.81,2.4615384615384617,2.64304218982961,2.0419833240314396,-0.13109342339131852,0.6122804092485901,1.1188474889343245,0.7117424869948592,4.23860256253423,9.459153757361008,2,94
nac,North Atlantic Conference (NAC),2025-26,wbball,VTSU Johnson,"Zator,Kristie",0,F,40,23,23,132,316,47,171,86,64,375,5,28,37,867,75,120,195,51,0,77,0,0,0.42,0.27,0.74,16.3,8.48,1.61,1.22,0.22,3.347826086956522,2.9058567787414114,2.399854387928465,0.5498251460526162,1.3774929429623808,0.9654178960529395,0.6958962290529855,-0.03406324052398251,9.165696158321614,3,92
nac,North Atlantic Conference (NAC),2025-26,wbball,UMaine-Farmington,"Pingree,Jaydn",0,G,23,28,27,164,333,15,46,117,84,427,6,52,64,736,45,90,135,35,0,95,0,0,0.49,0.33,0.72,15.25,4.82,2.29,1.86,0.21,3.392857142857143,2.6379389939284104,0.7418694589878162,1.2621707263939632,1.4163723398909653,1.5024214711377866,1.7100567373328979,-0.06093535249290211,8.356131893526477,4,90
nac,North Atlantic Conference (NAC),2025-26,wbball,UMaine-Farmington,"Dow,Jessica",0,G,22,28,28,129,284,8,25,122,88,354,24,84,74,733,42,112,154,59,0,80,1,0,0.45,0.32,0.72,12.64,5.5,2.64,3.0,0.86,2.857142857142857,1.971971928821808,1.0499103747472809,1.6288191868637742,0.9538415833267672,1.195562285375017,3.5165301427064914,1.6857519254868703,8.319858320506318,5,89
nac,North Atlantic Conference (NAC),2025-26,wbball,VTSU Lyndon,"Mack,Kiara",0,F,34,26,26,122,247,0,1,130,72,316,53,17,38,569,59,160,219,64,1,50,1,0,0.49,0.0,0.55,12.15,8.42,1.46,0.65,2.04,1.9230769230769231,1.8469436292424075,2.3726743071261587,0.3926900915655543,0.14737770008662657,1.5024214711377866,-0.20734047363381114,4.85666113781938,8.31822537723359,6,88
nac,North Atlantic Conference (NAC),2025-26,wbball,Maine Maritime,"Forry,Addison",0,G,21,25,24,115,235,5,39,77,46,281,15,35,52,658,77,176,253,56,0,53,2,0,0.49,0.13,0.6,11.24,10.12,2.08,1.4,0.6,2.12,1.6147482157378068,3.14277659652482,1.0421816501120766,0.3173992622944304,1.5024214711377866,0.9811288720067107,0.9870770142949613,8.013058683947461,7,87
nac,North Atlantic Conference (NAC),2025-26,wbball,VTSU Lyndon,"Begay,Skylar",0,F,21,26,26,129,337,46,133,65,39,343,14,47,68,718,36,96,132,59,0,75,3,0,0.38,0.35,0.6,13.19,5.08,2.62,1.81,0.54,2.8846153846153846,2.1123098161048084,0.8596498091311409,1.6078678462654994,0.9775611093044183,0.6585587102901699,1.6308254476235298,0.825844342481444,7.367242796264149,8,86
nac,North Atlantic Conference (NAC),2025-26,wbball,Husson ,"Roy,Lilly",0,G,1,26,26,133,355,43,130,66,57,366,3,32,48,755,30,79,109,46,0,47,1,0,0.37,0.33,0.86,14.08,4.19,1.85,1.23,0.12,1.8076923076923077,2.3394020337082093,0.4564786105636063,0.8012412332319152,0.047755690980491525,0.5818439138494774,0.7117424869948592,-0.3027843602131783,7.084467174335546,9,85
nac,North Atlantic Conference (NAC),2025-26,wbball,UMaine-Presque Isle,"Hamilton,Lindsay",0,F,33,24,24,108,268,6,42,63,47,269,19,15,20,639,53,145,198,31,0,43,1,0,0.4,0.14,0.75,11.21,8.25,0.83,0.63,0.79,1.7916666666666667,1.607093421886007,2.2956640781862925,-0.26727713728010544,0.03391930082686171,0.8119883031715549,-0.23903298951755841,1.4976471417044335,6.140724937261982,10,84
