season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,team_name,team_id,sdrm_id,games_played,games_started,uniform,year,stats_stats_field_goals_made,stats_stats_field_goals_attempted,stats_stats_three_points_made,stats_stats_three_points_attempted,stats_stats_free_throws_attempted,stats_stats_free_throws_made,stats_stats_points_scored,stats_stats_blocked_shots,stats_stats_steals,stats_stats_assists,stats_stats_minutes_played,stats_stats_offensive_rebounds,stats_stats_defensive_rebounds,stats_stats_total_rebounds,stats_stats_personal_fouls,stats_stats_technical_fouls,stats_stats_turnovers,stats_stats_disqualifications,stats_stats_deadballs,stats_stats_games_played,stats_stats_field_goals_pct,stats_stats_three_points_pct,stats_stats_free_throws_pct,stats_stats_points_per_game,stats_stats_rebounds_per_game,stats_stats_assists_per_game,stats_stats_steals_per_game,stats_stats_blocked_shots_per_game,code
2025-26,wbball,North Atlantic Conference (NAC),nac,Maine Maritime,"Ferguson,Savannah",Savannah,Ferguson,G,378,"Ferguson,Savannah","FERGUSON,SAVANNAH",Maine Maritime,MMA,1208-2247,25,0,00,0,55,145,39,106,11,10,159,11,23,32,344,18,64,82,34,0,36,0,0,25,0.38,0.37,0.91,6.36,3.28,1.28,0.92,0.44,00
2025-26,wbball,North Atlantic Conference (NAC),nac,Maine Maritime,"Ivery,Addison",Addison,Ivery,G,378,"Ivery,Addison","IVERY,ADDISON",Maine Maritime,MMA,1208-2248,23,0,01,0,16,56,7,29,18,12,51,0,17,37,265,21,37,58,33,0,25,0,0,23,0.29,0.24,0.67,2.22,2.52,1.61,0.74,0.00,01
2025-26,wbball,North Atlantic Conference (NAC),nac,Maine Maritime,"Dagan,Evelyn",Evelyn,Dagan,G,378,"Dagan,Evelyn","DAGAN,EVELYN",Maine Maritime,MMA,1208-1554,27,27,03,0,98,292,65,196,23,16,277,18,22,25,719,13,85,98,34,0,57,0,0,27,0.34,0.33,0.70,10.26,3.63,0.93,0.81,0.67,03
2025-26,wbball,North Atlantic Conference (NAC),nac,Maine Maritime,"Pomerleau,Cali",Cali,Pomerleau,G,378,"Pomerleau,Cali","POMERLEAU,CALI",Maine Maritime,MMA,1208-2250,19,0,05,0,10,33,6,18,18,16,42,1,2,8,119,8,9,17,11,0,4,0,0,19,0.30,0.33,0.89,2.21,0.89,0.42,0.11,0.05,05
2025-26,wbball,North Atlantic Conference (NAC),nac,Maine Maritime,"Lyle,Laney",Laney,Lyle,G,378,"Lyle,Laney","LYLE,LANEY",Maine Maritime,MMA,1208-1794,27,21,10,0,43,125,9,37,23,17,112,1,10,74,587,23,42,65,45,0,30,0,0,27,0.34,0.24,0.74,4.15,2.41,2.74,0.37,0.04,10
2025-26,wbball,North Atlantic Conference (NAC),nac,Maine Maritime,"Clifford,Morgan",Morgan,Clifford,G,378,"Clifford,Morgan","CLIFFORD,MORGAN",Maine Maritime,MMA,1208-2071,26,0,12,0,17,56,9,41,12,8,51,2,4,15,234,10,17,27,17,0,13,0,0,26,0.30,0.22,0.67,1.96,1.04,0.58,0.15,0.08,12
2025-26,wbball,North Atlantic Conference (NAC),nac,Maine Maritime,"Huntwork,Grace",Grace,Huntwork,G,378,"Huntwork,Grace","HUNTWORK,GRACE",Maine Maritime,MMA,1208-1555,27,6,20,0,55,147,37,90,14,14,161,1,11,5,408,16,32,48,9,0,9,0,0,27,0.37,0.41,1.00,5.96,1.78,0.19,0.41,0.04,20
2025-26,wbball,North Atlantic Conference (NAC),nac,Maine Maritime,"Forry,Addison",Addison,Forry,G,378,"Forry,Addison","FORRY,ADDISON",Maine Maritime,MMA,1208-1990,25,24,21,0,115,235,5,39,77,46,281,15,35,52,658,77,176,253,56,0,53,2,0,25,0.49,0.13,0.60,11.24,10.12,2.08,1.40,0.60,21
2025-26,wbball,North Atlantic Conference (NAC),nac,Maine Maritime,"Blanchard,Hailey",Hailey,Blanchard,G,378,"Blanchard,Hailey","BLANCHARD,HAILEY",Maine Maritime,MMA,1208-1793,27,27,23,0,96,255,32,100,48,33,257,13,40,105,776,46,122,168,59,0,72,0,0,27,0.38,0.32,0.69,9.52,6.22,3.89,1.48,0.48,23
2025-26,wbball,North Atlantic Conference (NAC),nac,Maine Maritime,"Smith,Rylee",Rylee,Smith,F,378,"Smith,Rylee","SMITH,RYLEE",Maine Maritime,MMA,1208-1991,24,1,24,0,25,47,0,0,27,15,65,8,6,10,222,18,30,48,19,0,20,0,0,24,0.53,0.00,0.56,2.71,2.00,0.42,0.25,0.33,24
2025-26,wbball,North Atlantic Conference (NAC),nac,Maine Maritime,"Lambo,Aliyah",Aliyah,Lambo,G,378,"Lambo,Aliyah","LAMBO,ALIYAH",Maine Maritime,MMA,1208-2249,14,1,30,0,26,58,5,12,18,12,69,2,10,19,165,25,37,62,27,0,20,0,0,14,0.45,0.42,0.67,4.93,4.43,1.36,0.71,0.14,30
2025-26,wbball,North Atlantic Conference (NAC),nac,Maine Maritime,"Castro,Jacquelin",Jacquelin,Castro,F,378,"Castro,Jacquelin","CASTRO,JACQUELIN",Maine Maritime,MMA,1208-1556,27,23,34,0,86,205,0,3,93,73,245,12,16,31,431,74,74,148,66,0,49,4,0,27,0.42,0.00,0.78,9.07,5.48,1.15,0.59,0.44,34
2025-26,wbball,North Atlantic Conference (NAC),nac,Maine Maritime,"Loring,Sydney",Sydney,Loring,F,378,"Loring,Sydney","LORING,SYDNEY",Maine Maritime,MMA,1208-1795,27,5,44,0,58,133,16,45,22,14,146,4,20,29,472,47,57,104,34,0,29,0,0,27,0.44,0.36,0.64,5.41,3.85,1.07,0.74,0.15,44
2025-26,wbball,North Atlantic Conference (NAC),nac,UMaine-Farmington,"Lynch,Hailey",Hailey,Lynch,G,379,"Lynch,Hailey","LYNCH,HAILEY",UMaine-Farmington,UMF,1207-2329,5,1,00,0,5,17,1,8,6,4,15,0,4,5,46,1,0,1,6,0,3,0,0,5,0.29,0.13,0.67,3.00,0.20,1.00,0.80,0.00,00
2025-26,wbball,North Atlantic Conference (NAC),nac,UMaine-Farmington,"Rice,Ella",Ella,Rice,G,379,"Rice,Ella","RICE,ELLA",UMaine-Farmington,UMF,1207-2330,19,0,03,0,17,50,3,15,8,6,43,2,9,13,151,5,16,21,15,0,13,0,0,19,0.34,0.20,0.75,2.26,1.11,0.68,0.47,0.11,03
2025-26,wbball,North Atlantic Conference (NAC),nac,UMaine-Farmington,"Nadeau,Makenzie",Makenzie,Nadeau,G,379,"Nadeau,Makenzie","NADEAU,MAKENZIE",UMaine-Farmington,UMF,1207-2331,3,0,04,0,4,10,2,4,0,0,10,0,1,1,20,0,0,0,0,0,4,0,0,3,0.40,0.50,0.00,3.33,0.00,0.33,0.33,0.00,04
2025-26,wbball,North Atlantic Conference (NAC),nac,UMaine-Farmington,"Tripp,Halle",Halle,Tripp,G,379,"Tripp,Halle","TRIPP,HALLE",UMaine-Farmington,UMF,1207-2332,8,0,10,0,8,33,4,21,4,3,23,0,5,6,75,3,9,12,7,0,1,0,0,8,0.24,0.19,0.75,2.88,1.50,0.75,0.63,0.00,10
2025-26,wbball,North Atlantic Conference (NAC),nac,UMaine-Farmington,"Harvie,Eva",Eva,Harvie,G,379,"Harvie,Eva","HARVIE,EVA",UMaine-Farmington,UMF,1207-2333,18,0,11,0,7,18,0,6,1,0,14,1,10,10,129,4,10,14,12,0,15,0,0,18,0.39,0.00,0.00,0.78,0.78,0.56,0.56,0.06,11
2025-26,wbball,North Atlantic Conference (NAC),nac,UMaine-Farmington,"McMinis,Ruby",Ruby,McMinis,G,379,"McMinis,Ruby","MCMINIS,RUBY",UMaine-Farmington,UMF,1207-2061,29,2,12,0,35,99,7,29,30,21,98,0,12,18,399,7,22,29,27,0,28,0,0,29,0.35,0.24,0.70,3.38,1.00,0.62,0.41,0.00,12
2025-26,wbball,North Atlantic Conference (NAC),nac,UMaine-Farmington,"Grondin,Elizabeth",Elizabeth,Grondin,F,379,"Grondin,Elizabeth","GRONDIN,ELIZABETH",UMaine-Farmington,UMF,1207-2250,18,0,13,0,13,32,4,14,15,9,39,0,8,7,153,12,27,39,11,0,16,0,0,18,0.41,0.29,0.60,2.17,2.17,0.39,0.44,0.00,13
2025-26,wbball,North Atlantic Conference (NAC),nac,UMaine-Farmington,"Emerson,Makayla",Makayla,Emerson,G,379,"Emerson,Makayla","EMERSON,MAKAYLA",UMaine-Farmington,UMF,1207-2251,29,0,14,0,25,78,9,43,33,17,76,1,20,51,473,4,47,51,61,0,47,2,0,29,0.32,0.21,0.52,2.62,1.76,1.76,0.69,0.03,14
2025-26,wbball,North Atlantic Conference (NAC),nac,UMaine-Farmington,"Williamson,Kytana",Kytana,Williamson,G,379,"Williamson,Kytana","WILLIAMSON,KYTANA",UMaine-Farmington,UMF,1207-2334,29,4,15,0,49,107,8,28,28,12,118,1,53,49,484,30,51,81,43,0,27,1,0,29,0.46,0.29,0.43,4.07,2.79,1.69,1.83,0.03,15
2025-26,wbball,North Atlantic Conference (NAC),nac,UMaine-Farmington,"Mackie,Audrey",Audrey,Mackie,G,379,"Mackie,Audrey","MACKIE,AUDREY",UMaine-Farmington,UMF,1207-2268,29,23,20,0,80,202,40,116,5,4,204,3,21,30,504,10,56,66,31,0,36,1,0,29,0.40,0.34,0.80,7.03,2.28,1.03,0.72,0.10,20
2025-26,wbball,North Atlantic Conference (NAC),nac,UMaine-Farmington,"Dwyer,Grace",Grace,Dwyer,G,379,"Dwyer,Grace","DWYER,GRACE",UMaine-Farmington,UMF,1207-2035,27,2,21,0,22,67,9,45,8,7,60,6,19,53,413,3,37,40,31,0,26,0,0,27,0.33,0.20,0.88,2.22,1.48,1.96,0.70,0.22,21
2025-26,wbball,North Atlantic Conference (NAC),nac,UMaine-Farmington,"Dow,Jessica",Jessica,Dow,G,379,"Dow,Jessica","DOW,JESSICA",UMaine-Farmington,UMF,1207-2156,29,29,22,0,133,292,9,26,122,88,363,25,84,75,766,42,117,159,61,0,85,1,0,29,0.46,0.35,0.72,12.52,5.48,2.59,2.90,0.86,22
2025-26,wbball,North Atlantic Conference (NAC),nac,UMaine-Farmington,"Pingree,Jaydn",Jaydn,Pingree,G,379,"Pingree,Jaydn","PINGREE,JAYDN",UMaine-Farmington,UMF,1207-2249,29,28,23,0,173,351,15,47,117,84,445,6,52,69,769,45,93,138,37,0,98,0,0,29,0.49,0.32,0.72,15.34,4.76,2.38,1.79,0.21,23
2025-26,wbball,North Atlantic Conference (NAC),nac,UMaine-Farmington,"Mayo,Melissa",Melissa,Mayo,G,379,"Mayo,Melissa","MAYO,MELISSA",UMaine-Farmington,UMF,1207-2159,29,27,33,0,56,190,33,119,43,32,177,8,32,30,542,13,57,70,22,0,30,0,0,29,0.29,0.28,0.74,6.10,2.41,1.03,1.10,0.28,33
2025-26,wbball,North Atlantic Conference (NAC),nac,UMaine-Farmington,"Poli,Sarah",Sarah,Poli,F,379,"Poli,Sarah","POLI,SARAH",UMaine-Farmington,UMF,1207-2158,29,29,34,0,44,117,0,7,34,24,112,27,25,35,541,68,96,164,58,0,45,2,0,29,0.38,0.00,0.71,3.86,5.66,1.21,0.86,0.93,34
2025-26,wbball,North Atlantic Conference (NAC),nac,UMaine-Farmington,"Gray,Lilly",Lilly,Gray,F,379,"Gray,Lilly","GRAY,LILLY",UMaine-Farmington,UMF,1207-2335,28,0,44,0,77,155,0,2,21,15,169,14,13,31,331,33,68,101,37,0,18,0,0,28,0.50,0.00,0.71,6.04,3.61,1.11,0.46,0.50,44
2025-26,wbball,North Atlantic Conference (NAC),nac,Husson,"Radell,Abby",Abby,Radell,G,1133,"Radell,Abby","RADELL,ABBY",Husson ,HUS,1201-4371,24,23,00,0,57,162,1,18,44,39,154,0,23,45,483,23,52,75,33,0,50,1,0,24,0.35,0.06,0.89,6.42,3.13,1.88,0.96,0.00,00
2025-26,wbball,North Atlantic Conference (NAC),nac,Husson,"Roy,Lilly",Lilly,Roy,G,1133,"Roy,Lilly","ROY,LILLY",Husson ,HUS,1201-4167,26,26,01,0,133,355,43,130,66,57,366,3,32,48,755,30,79,109,46,0,47,1,0,26,0.37,0.33,0.86,14.08,4.19,1.85,1.23,0.12,01
