conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,goal_stats_shootout_goals,goal_stats_free_positiong_goals,goal_stats_game_tying_goals,goal_stats_empty_net_goals,goal_stats_overtime_goals,goal_stats_first_goals,goal_stats_unassisted_goals,goal_stats_short_handed_goals,goal_stats_power_play_goals,goal_stats_game_winning_goals,penalty_stats_number,penalty_stats_minutes,penalty_stats_fouls,penalty_stats_green_cards,penalty_stats_yellow_cards,penalty_stats_red_cards,penalty_stats_match,penalty_stats_major,penalty_stats_minor,misc_stats_powerplay_opps,misc_stats_powerplay_goals,misc_stats_faceoffs_won,misc_stats_faceoffs_lost,misc_stats_ground_balls,misc_stats_draw_controls,misc_stats_turnovers,misc_stats_caused_turnovers,misc_stats_minutes_played,misc_stats_seconds,misc_stats_faceoffs_taken,misc_stats_penalty_killing_pct,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_free_position_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_shots_on_goal_pct,goalie_stats_games_played,goalie_stats_minutes,goalie_stats_goals_allowed,goalie_stats_saves,goalie_stats_shutouts,goalie_stats_win,goalie_stats_loss,goalie_stats_tie,goalie_stats_powerplay_goals_allowed,goalie_stats_shorthanded_goals_allowed,goalie_stats_emptynet_goals_allowed,goalie_stats_shots_faced,goalie_stats_goals_against_avg,goalie_stats_save_pct
nac,North Atlantic Conference (NAC),2025-26,wlax,Husson ,Averi Baker,,,,15,15,0,12,0,0,0,0,17,0,4,3,0,0,0,9,6,0,0,0,0,0,0,0,0,23,16,45,12,910:00,68,0,1.000,60,80,18,54,18,36,.750,,,,,,,,,,,,,,
nac,North Atlantic Conference (NAC),2025-26,wlax,Husson ,Madison Lower,,,,13,3,0,0,0,0,0,1,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,7,0,8,0,237:00,115,0,1.000,6,9,3,4,0,4,.667,,,,,,,,,,,,,,
nac,North Atlantic Conference (NAC),2025-26,wlax,Husson ,Azabell Assaf,,,,8,5,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,0,301:00,87,0,1.000,5,8,3,3,0,3,.625,,,,,,,,,,,,,,
nac,North Atlantic Conference (NAC),2025-26,wlax,Husson ,Maddy Benoit,,,,15,15,0,4,0,0,0,3,9,1,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,24,49,25,16,911:00,54,0,1.000,37,61,12,23,4,19,.607,,,,,,,,,,,,,,
nac,North Atlantic Conference (NAC),2025-26,wlax,Husson ,Sydney Heth,,,,14,14,0,1,0,0,0,0,1,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,11,0,12,4,849:00,87,0,1.000,2,3,3,1,0,1,.667,,,,,,,,,,,,,,
nac,North Atlantic Conference (NAC),2025-26,wlax,Husson ,Sarah Luiz,,,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,00:00,0,0,1.000,2,4,0,3,1,2,.500,,,,,,,,,,,,,,
nac,North Atlantic Conference (NAC),2025-26,wlax,Husson ,Laela Martinez,,,,15,15,0,6,0,0,0,0,7,0,3,2,0,0,0,9,3,0,0,0,0,0,0,0,0,32,28,25,19,911:00,54,0,1.000,28,35,10,28,10,18,.800,,,,,,,,,,,,,,
nac,North Atlantic Conference (NAC),2025-26,wlax,Husson ,Kate Boehmcke,,,,14,14,0,11,0,0,1,0,16,0,6,2,0,0,0,3,2,0,0,0,0,0,0,0,0,36,38,35,20,848:00,88,0,1.000,52,68,28,47,15,32,.765,,,,,,,,,,,,,,
nac,North Atlantic Conference (NAC),2025-26,wlax,Husson ,Gracie Gardner,,,,13,12,0,2,0,0,0,0,5,0,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,13,2,25,7,665:00,22,0,1.000,27,39,8,23,8,15,.692,,,,,,,,,,,,,,
nac,North Atlantic Conference (NAC),2025-26,wlax,Husson ,Madi McSweeney,,,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,00:00,0,0,1.000,3,3,0,1,0,1,1.000,,,,,,,,,,,,,,
nac,North Atlantic Conference (NAC),2025-26,wlax,Husson ,Natalie Whitten,,,,15,15,0,4,0,0,0,0,14,1,5,0,0,0,0,1,2,0,0,0,0,0,0,0,0,19,0,31,4,909:00,87,0,1.000,40,48,12,48,25,23,.833,,,,,,,,,,,,,,
nac,North Atlantic Conference (NAC),2025-26,wlax,Husson ,Jordyn Lengle,,,,15,15,0,3,0,0,0,0,7,0,2,0,0,0,0,3,5,0,0,0,0,0,0,0,0,37,46,35,27,909:00,94,0,1.000,24,30,7,20,7,13,.800,,,,,,,,,,,,,,
nac,North Atlantic Conference (NAC),2025-26,wlax,Husson ,Reese Sullivan,,,,10,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,2,37:00,92,0,1.000,5,6,0,6,2,4,.833,,,,,,,,,,,,,,
nac,North Atlantic Conference (NAC),2025-26,wlax,Husson ,Montanna Carrier,,,,14,14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,19,0,14,9,851:00,54,0,1.000,1,3,0,1,0,1,.333,,,,,,,,,,,,,,
nac,North Atlantic Conference (NAC),2025-26,wlax,Husson ,Caleigh Crocker,,,,10,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,3,4,67:00,40,0,1.000,2,4,0,2,1,1,.500,,,,,,,,,,,,,,
nac,North Atlantic Conference (NAC),2025-26,wlax,Husson ,Riley Maynard,,,,12,11,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,16,0,21,9,653:00,47,0,1.000,1,2,0,1,0,1,.500,,,,,,,,,,,,,,
nac,North Atlantic Conference (NAC),2025-26,wlax,Husson ,Emma Beegz,,,,15,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,21,8,851:00,54,0,1.000,1,1,0,1,0,1,1.000,15,836:54,184,90,0,6,8,0,0,0,0,382,13.19,.328
nac,North Atlantic Conference (NAC),2025-26,wlax,Husson ,Lacey Scanlon,,,,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,3,120:00,0,0,1.000,1,3,1,1,1,0,.333,3,75:00,12,2,0,2,0,0,0,0,0,16,9.60,.143
nac,North Atlantic Conference (NAC),2025-26,wlax,Husson ,Jory Boyd,,,,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,23,0,13,10,832:00,112,0,1.000,1,1,0,1,0,1,1.000,,,,,,,,,,,,,,
nac,North Atlantic Conference (NAC),2025-26,wlax,Husson ,Finley Pomerleau,,,,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,00:00,46,0,1.000,3,3,0,4,2,2,1.000,,,,,,,,,,,,,,
nac,North Atlantic Conference (NAC),2025-26,wlax,Husson ,Chelsea Curtia,,,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,00:00,0,0,1.000,0,1,0,1,1,0,.000,,,,,,,,,,,,,,
