conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,shot_stats_penalty_kick_attempts,shot_stats_penalty_kick_goals,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_penalty_shot_attempts,shot_stats_penalty_shot_goals,shot_stats_avg_shots_per_game,shot_stats_avg_sog_per_game,shot_stats_avg_points_per_game,shot_stats_avg_goals_per_game,shot_stats_avg_assists_per_game,shot_stats_shots_saved_by_goalie,goal_stats_game_tying,goal_stats_hattricks,goal_stats_overtime,goal_stats_first,goal_stats_unassisted,goal_stats_game_winning,goal_stats_avg_gw_per_game,caution_stats_fouls,caution_stats_red_cards,caution_stats_yellow_cards,caution_stats_green_cards,caution_stats_avg_fouls_per_game,caution_stats_avg_yc_per_game,caution_stats_avg_rc_per_game,caution_stats_avg_gc_per_game,misc_stats_offsides,misc_stats_corner_kicks,misc_stats_minutes_played,misc_stats_defensive_saves,misc_stats_avg_corners_per_game,misc_stats_avg_offsides_per_game,goalie_stats_shots_faced,goalie_stats_ties,goalie_stats_losses,goalie_stats_wins,goalie_stats_shutouts,goalie_stats_save_percentage,goalie_stats_goals_against_avg,goalie_stats_saves,goalie_stats_goals_allowed,goalie_stats_minutes,goalie_stats_games_started,goalie_stats_games_played,goalie_stats_avg_ga_per_game,goalie_stats_save_percentage_calc,goalie_stats_avg_sho_per_game,goalie_stats_avg_saves_per_game,z_shot_stats_goals,z_shot_stats_assists,z_shot_stats_points,z_shot_stats_shots_on_goal,z_caution_stats_yellow_cards,z_caution_stats_red_cards,composite_score,rank,rating
nac,North Atlantic Conference (NAC),2025-26,wsoc,Maine Maritime,Hadley Stoddard,0,,9,20,20,0.0,0.0,53.0,71.0,47.0,5.0,21.0,0.0,0.0,3.55,2.65,2.35,1.05,0.25,32.0,1.0,2.0,0.0,6.0,6.0,7.0,0.35,7.0,0.0,1.0,0.0,0.35,0.05,0.0,0.0,0.0,,1470:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,,7.2588561611259275,2.3323371724025233,6.757376662909931,6.004974501369148,1.2658013402303472,-0.09345386270319955,14.670162090165205,1,99
nac,North Atlantic Conference (NAC),2025-26,wsoc,Maine Maritime,Abby Wong,0,,7,20,20,0.0,0.0,31.0,65.0,27.0,11.0,8.0,2.0,1.0,3.25,1.55,1.35,0.4,0.55,23.0,2.0,0.0,0.0,1.0,6.0,1.0,0.05,13.0,0.0,1.0,0.0,0.65,0.05,0.0,0.0,0.0,,1579:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,,2.4083120908408455,5.861397566452629,3.605207823789992,3.210607647055623,1.2658013402303472,-0.09345386270319955,9.524568737468531,2,95
nac,North Atlantic Conference (NAC),2025-26,wsoc,UMaine-Farmington,Natalie Tracy,0,,9,13,10,0.0,0.0,34.0,60.0,33.0,1.0,16.0,2.0,2.0,4.62,2.62,2.54,1.231,0.077,18.0,1.0,0.0,0.0,4.0,6.0,2.0,0.154,16.0,0.0,3.0,0.0,1.23,0.23,0.0,0.0,0.0,,713:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,,5.393262287939358,-0.02036975696421414,4.550858475525974,3.591657672643831,4.665802614570001,-0.09345386270319955,8.620447078357135,3,94
nac,North Atlantic Conference (NAC),2025-26,wsoc,Husson ,"Laslie, Addi",0,,6,19,14,0.0,0.0,24.0,47.0,26.0,4.0,11.0,1.0,0.0,2.47,1.26,1.37,0.579,0.211,13.0,0.0,0.0,0.0,6.0,3.0,3.0,0.158,11.0,0.0,0.0,0.0,0.58,0.0,0.0,0.0,0.0,,1114:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,,3.5276684147527875,1.744160440060839,3.4475993818339945,2.3214909206831376,-0.4341992969394796,-0.09345386270319955,7.728709913837999,4,92
nac,North Atlantic Conference (NAC),2025-26,wsoc,Husson ,"Pangburn, Jaquie",0,,11,18,8,0.0,0.0,26.0,39.0,25.0,3.0,11.0,0.0,0.0,2.17,1.44,1.39,0.611,0.167,15.0,1.0,0.0,0.0,2.0,1.0,4.0,0.222,7.0,0.0,0.0,0.0,0.39,0.0,0.0,0.0,0.0,,879:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,,3.5276684147527875,1.1559837077191546,3.2899909398779976,2.575524271075276,-0.4341992969394796,-0.09345386270319955,7.257466961908051,5,91
nac,North Atlantic Conference (NAC),2025-26,wsoc,Lesley,Leecy Cruz,0,,2,20,12,0.0,0.0,30.0,62.0,23.0,5.0,9.0,0.0,0.0,3.1,1.5,1.15,0.45,0.25,21.0,1.0,0.0,0.0,3.0,5.0,3.0,0.15,5.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,,1330:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,,2.781430865478159,2.3323371724025233,2.974774055966004,3.0835909718595538,-0.4341992969394796,-0.09345386270319955,7.215638359330241,6,90
nac,North Atlantic Conference (NAC),2025-26,wsoc,VTSU Johnson,"Davis, Olivia",0,,24,16,16,0.0,0.0,26.0,42.0,20.0,6.0,7.0,0.0,0.0,2.63,1.63,1.25,0.438,0.375,19.0,0.0,0.0,0.0,2.0,1.0,1.0,0.063,6.0,0.0,0.0,0.0,0.38,0.0,0.0,0.0,0.0,,1183:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,,2.0351933162035314,2.9205139047442077,2.5019487300980128,2.575524271075276,-0.4341992969394796,-0.09345386270319955,6.4485334544303425,7,90
nac,North Atlantic Conference (NAC),2025-26,wsoc,Husson ,"St. Louis, Devon",0,,13,19,14,0.0,0.0,20.0,36.0,17.0,7.0,5.0,0.0,0.0,1.89,1.05,0.89,0.263,0.368,15.0,1.0,0.0,0.0,2.0,1.0,2.0,0.105,17.0,0.0,1.0,0.0,0.89,0.05,0.0,0.0,0.0,,1172:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,,1.2889557669289031,3.508690637085892,2.0291234042300217,1.8134242198988602,1.2658013402303472,-0.09345386270319955,5.375621783876542,8,89
nac,North Atlantic Conference (NAC),2025-26,wsoc,Husson ,"Tarbox, Hailey",0,,3,19,14,0.0,0.0,13.0,29.0,18.0,4.0,7.0,0.0,0.0,1.53,0.68,0.95,0.368,0.211,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,1145:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,,2.0351933162035314,1.744160440060839,2.1867318461860186,0.9243074935263748,-0.4341992969394796,-0.09345386270319955,5.074190854903808,9,88
nac,North Atlantic Conference (NAC),2025-26,wsoc,UMaine-Farmington,Rita Benoit,0,,17,19,19,0.0,0.0,13.0,31.0,16.0,6.0,5.0,0.0,0.0,1.63,0.68,0.84,0.263,0.316,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,14.0,0.0,0.0,0.0,0.74,0.0,0.0,0.0,0.0,,1460:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,,1.2889557669289031,2.9205139047442077,1.8715149622740248,0.9243074935263748,-0.4341992969394796,-0.09345386270319955,4.930748912169142,10,87
