conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,shot_stats_penalty_kick_attempts,shot_stats_penalty_kick_goals,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_penalty_shot_attempts,shot_stats_penalty_shot_goals,shot_stats_avg_shots_per_game,shot_stats_avg_sog_per_game,shot_stats_avg_points_per_game,shot_stats_avg_goals_per_game,shot_stats_avg_assists_per_game,shot_stats_shots_saved_by_goalie,goal_stats_game_tying,goal_stats_hattricks,goal_stats_overtime,goal_stats_first,goal_stats_unassisted,goal_stats_game_winning,goal_stats_avg_gw_per_game,caution_stats_fouls,caution_stats_red_cards,caution_stats_yellow_cards,caution_stats_green_cards,caution_stats_avg_fouls_per_game,caution_stats_avg_yc_per_game,caution_stats_avg_rc_per_game,caution_stats_avg_gc_per_game,misc_stats_offsides,misc_stats_corner_kicks,misc_stats_minutes_played,misc_stats_defensive_saves,misc_stats_avg_corners_per_game,misc_stats_avg_offsides_per_game,goalie_stats_shots_faced,goalie_stats_ties,goalie_stats_losses,goalie_stats_wins,goalie_stats_shutouts,goalie_stats_save_percentage,goalie_stats_goals_against_avg,goalie_stats_saves,goalie_stats_goals_allowed,goalie_stats_minutes,goalie_stats_games_started,goalie_stats_games_played,goalie_stats_avg_ga_per_game,goalie_stats_save_percentage_calc,goalie_stats_avg_sho_per_game,goalie_stats_avg_saves_per_game
nac,North Atlantic Conference (NAC),2025-26,wsoc,Husson ,"Fadden, Aubrey",0,,00,0,0,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,00:00,0,.00,.00,,,,,,,,,,,,,,,,
nac,North Atlantic Conference (NAC),2025-26,wsoc,Husson ,"Weigler, Madison",0,,1,14,13,0,0,1,1,2,0,1,1,1,.07,.07,.14,.071,.000,0,0,0,0,1,1,0,.000,0,0,0,0,.00,.00,.00,.00,0,,1106:00,0,.00,.00,94,2,4,6,3,.640,1.47,32,18,1104:35,13,14,1.29,0.640,.214,2.29
nac,North Atlantic Conference (NAC),2025-26,wsoc,Husson ,"Smith, Gabriella",0,,44,8,6,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,604:00,0,.00,.00,48,0,2,5,2,.636,1.19,14,8,605:25,6,8,1.00,0.636,.250,1.75
nac,North Atlantic Conference (NAC),2025-26,wsoc,Husson ,"Irons, Eilidh",0,,2,16,2,0,0,5,12,5,3,1,0,0,.75,.31,.31,.063,.188,4,0,0,0,0,0,0,.000,7,0,0,0,.44,.00,.00,.00,0,,426:00,0,.00,.00,,,,,,,,,,,,,,,,
nac,North Atlantic Conference (NAC),2025-26,wsoc,Husson ,"Tarbox, Hailey",0,,3,19,14,0,0,13,29,18,4,7,0,0,1.53,.68,.95,.368,.211,6,0,0,0,1,0,0,.000,19,0,0,0,1.00,.00,.00,.00,0,,1145:00,0,.00,.00,,,,,,,,,,,,,,,,
nac,North Atlantic Conference (NAC),2025-26,wsoc,Husson ,"Hosford, Ella",0,,5,13,3,0,0,5,9,10,4,3,0,0,.69,.38,.77,.231,.308,2,0,0,0,0,0,0,.000,5,0,0,0,.38,.00,.00,.00,0,,325:00,0,.00,.00,,,,,,,,,,,,,,,,
nac,North Atlantic Conference (NAC),2025-26,wsoc,Husson ,"Laslie, Addi",0,,6,19,14,0,0,24,47,26,4,11,1,0,2.47,1.26,1.37,.579,.211,13,0,0,0,6,3,3,.158,11,0,0,0,.58,.00,.00,.00,0,,1114:00,0,.00,.00,,,,,,,,,,,,,,,,
nac,North Atlantic Conference (NAC),2025-26,wsoc,Husson ,"Reed, Lyndsee",0,,7,16,12,0,0,7,11,4,0,2,1,0,.69,.44,.25,.125,.000,5,0,0,0,1,0,0,.000,14,0,1,0,.88,.06,.00,.00,0,,883:00,0,.00,.00,,,,,,,,,,,,,,,,
nac,North Atlantic Conference (NAC),2025-26,wsoc,Husson ,"Martel, Laura",0,,8,19,8,0,0,4,8,3,1,1,0,0,.42,.21,.16,.053,.053,3,0,0,0,0,0,0,.000,4,0,0,0,.21,.00,.00,.00,0,,678:00,0,.00,.00,,,,,,,,,,,,,,,,
nac,North Atlantic Conference (NAC),2025-26,wsoc,Husson ,"Flint, Evie",0,,10,13,2,0,0,5,7,4,2,1,0,0,.54,.38,.31,.077,.154,4,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,298:00,0,.00,.00,,,,,,,,,,,,,,,,
