rank,conference_code,conference,season,team,player_name,class_year,position,gp,mpg,ppg,rpg,apg,spg,bpg,tov_pg,composite_score,z_ppg,z_rpg,z_apg,z_spg,z_bpg,z_tov_pg
1,nacc,Northern Athletics Collegiate Conference (NACC),2025-26,Concordia Wisconsin,"Landers,Logan",0,F,26,33.46153846153846,25.19,11.42,2.46,0.73,0.96,2.5,10.01747230284858,3.4836844598886603,3.8103018692326898,1.1561759269797551,-0.07080524182165013,2.073936878834965,1.7849961159801369
2,nacc,Northern Athletics Collegiate Conference (NACC),2025-26,MSOE,"Dopirak,Mason",0,G,26,33.92307692307692,26.08,6.19,2.46,1.0,0.12,2.423076923076923,7.720890647377377,3.6668751399810144,1.2879465527393814,1.1561759269797551,0.5736628657504826,-0.5499174485709724,1.6695225962222524
3,nacc,Northern Athletics Collegiate Conference (NACC),2025-26,Concordia Wisconsin,"Verhagen,Casey",0,G,26,35.88461538461539,21.23,2.96,4.96,1.73,0.04,3.0384615384615383,6.566537981821529,2.668588849590093,-0.2698369410031401,3.9067743938048425,2.3161136751121747,-0.7998083368953475,2.5933107542853273
4,nacc,Northern Athletics Collegiate Conference (NACC),2025-26,Lakeland,"Hunter,Asanjai",0,G,24,33.291666666666664,19.63,4.0,3.63,2.0,0.17,2.4166666666666665,6.506655298474573,2.3392572898735,0.23174040682726926,2.4434560094538957,2.9605817826843075,-0.39373564336823796,1.6598998029090952
5,nacc,Northern Athletics Collegiate Conference (NACC),2025-26,Benedictine,"Mason,Noah",0,F,25,27.88,16.64,7.8,2.44,1.36,0.88,2.24,6.199399819635314,1.7238189376531174,2.064426870053765,1.1341711392451546,1.43295367584666,1.8240459905105901,1.394695619198488
6,nacc,Northern Athletics Collegiate Conference (NACC),2025-26,Aurora,"Richardson,Devon",0,C,28,29.928571428571427,14.29,11.64,0.86,0.29,1.75,1.9642857142857144,5.724400285522833,1.2401132093193716,3.9164047697352773,-0.6042070917883007,-1.1210495652725332,4.541609401038168,0.9808055319520138
7,nacc,Northern Athletics Collegiate Conference (NACC),2025-26,Aurora,"Madrigal,Juan",0,F,28,33.357142857142854,16.32,5.29,2.5,1.39,0.57,1.7142857142857142,5.44948431249798,1.657952625709799,0.853889232501527,1.2001855024489567,1.5045612433546742,0.8557187982536368,0.6055165927388894
8,nacc,Northern Athletics Collegiate Conference (NACC),2025-26,Marian,"Ayeni,Andrew",0,F,28,32.642857142857146,15.39,6.64,3.68,2.07,0.25,2.9642857142857144,5.241809192272451,1.4665286566245295,1.5049752128583083,2.4984679787903983,3.1276661068696745,-0.14384475504386304,2.4819612888045106
9,nacc,Northern Athletics Collegiate Conference (NACC),2025-26,Dominican,"Murphy,Braydon",0,F,24,27.083333333333332,12.58,8.88,1.79,1.04,1.54,2.25,5.0289250236850505,0.8881401048722631,2.5852956543391903,0.4190155378706319,0.6691396224278358,3.885645819186684,1.4097071767670128
10,nacc,Northern Athletics Collegiate Conference (NACC),2025-26,Lakeland,"Mrotek,Peyton",0,G,26,33.69230769230769,16.85,5.88,1.96,0.77,0.77,1.8076923076923077,4.911204533844059,1.7670437048659204,1.1384379202130093,0.6060562336147378,0.024671514855702948,1.4804460190645745,0.7457344381591776
