conference_code,conference,season,team,player_name,first_name,last_name,class_year,position,gp,mp_total,mpg,pts_total,ppg,reb_total,rpg,ast_total,apg,stl_total,spg,blk_total,bpg,tov_total,tov_pg,fgm,fga,fg_pct,tpm,tpa,tp_pct,ftm,fta,ft_pct
nacc,Northern Athletics Collegiate Conference (NACC),2025-26,Aurora,"Rauls,Cullen",Cullen,Rauls,0,G,26,824.0,31.692307692307693,386.0,14.85,67.0,2.58,57.0,2.19,40.0,1.54,12.0,0.46,48.0,1.8461538461538465,125.0,283.0,0.44,57.0,153.0,0.37,79.0,99.0,0.8
nacc,Northern Athletics Collegiate Conference (NACC),2025-26,Aurora,"Gryzmala,Bryden",Bryden,Gryzmala,0,G,18,140.0,7.777777777777778,45.0,2.5,10.0,0.56,9.0,0.5,3.0,0.17,0.0,0.0,10.0,0.5555555555555556,16.0,37.0,0.43,6.0,15.0,0.4,7.0,11.0,0.64
nacc,Northern Athletics Collegiate Conference (NACC),2025-26,Aurora,"Madrigal,Juan",Juan,Madrigal,0,F,28,934.0,33.357142857142854,457.0,16.32,148.0,5.29,70.0,2.5,39.0,1.39,16.0,0.57,48.0,1.7142857142857142,155.0,334.0,0.46,45.0,129.0,0.35,102.0,124.0,0.82
nacc,Northern Athletics Collegiate Conference (NACC),2025-26,Aurora,"Hillmer,Jeffery",Jeffery,Hillmer,0,G,28,983.0,35.107142857142854,336.0,12.0,165.0,5.89,62.0,2.21,32.0,1.14,24.0,0.86,32.0,1.1428571428571428,145.0,235.0,0.62,4.0,13.0,0.31,42.0,64.0,0.66
nacc,Northern Athletics Collegiate Conference (NACC),2025-26,Aurora,"Awender,Adam",Adam,Awender,0,G,2,3.0,1.5,3.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
nacc,Northern Athletics Collegiate Conference (NACC),2025-26,Aurora,"Carthan,Larry",Larry,Carthan,0,F,18,149.0,8.277777777777779,30.0,1.67,46.0,2.56,4.0,0.22,2.0,0.11,6.0,0.33,8.0,0.4444444444444444,9.0,24.0,0.38,0.0,0.0,0.0,12.0,18.0,0.67
nacc,Northern Athletics Collegiate Conference (NACC),2025-26,Aurora,"Tinney,Josh",Josh,Tinney,0,G,17,143.0,8.411764705882353,64.0,3.76,35.0,2.06,6.0,0.35,6.0,0.35,1.0,0.06,9.0,0.5294117647058824,24.0,45.0,0.53,1.0,5.0,0.2,15.0,28.0,0.54
nacc,Northern Athletics Collegiate Conference (NACC),2025-26,Aurora,"Doby,Mekhi",Mekhi,Doby,0,G,25,724.0,28.96,330.0,13.2,116.0,4.64,70.0,2.8,22.0,0.88,23.0,0.92,61.0,2.44,111.0,249.0,0.45,15.0,42.0,0.36,93.0,134.0,0.69
nacc,Northern Athletics Collegiate Conference (NACC),2025-26,Aurora,"Hutson,Robert",Robert,Hutson,0,G,14,100.0,7.142857142857143,30.0,2.14,14.0,1.0,1.0,0.07,0.0,0.0,2.0,0.14,6.0,0.4285714285714285,11.0,31.0,0.35,1.0,10.0,0.1,7.0,13.0,0.54
nacc,Northern Athletics Collegiate Conference (NACC),2025-26,Aurora,"Johnson,Zerrick",Zerrick,Johnson,0,G,27,446.0,16.51851851851852,204.0,7.56,70.0,2.59,19.0,0.7,10.0,0.37,2.0,0.07,31.0,1.148148148148148,57.0,136.0,0.42,9.0,24.0,0.38,81.0,102.0,0.79
nacc,Northern Athletics Collegiate Conference (NACC),2025-26,Aurora,"Escobedo,Gavin",Gavin,Escobedo,0,G,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nacc,Northern Athletics Collegiate Conference (NACC),2025-26,Aurora,"White,Devon",Devon,White,0,G,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nacc,Northern Athletics Collegiate Conference (NACC),2025-26,Aurora,"Thompson,Isaiah",Isaiah,Thompson,0,F,17,133.0,7.823529411764706,32.0,1.88,16.0,0.94,2.0,0.12,4.0,0.24,2.0,0.12,5.0,0.2941176470588235,11.0,30.0,0.37,8.0,22.0,0.36,2.0,3.0,0.67
nacc,Northern Athletics Collegiate Conference (NACC),2025-26,Aurora,"Richardson,Devon",Devon,Richardson,0,C,28,838.0,29.928571428571427,400.0,14.29,326.0,11.64,24.0,0.86,8.0,0.29,49.0,1.75,55.0,1.9642857142857144,165.0,255.0,0.65,0.0,0.0,0.0,70.0,117.0,0.6
nacc,Northern Athletics Collegiate Conference (NACC),2025-26,Aurora,"Anderson,Matt",Matt,Anderson,0,G,2,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
nacc,Northern Athletics Collegiate Conference (NACC),2025-26,Aurora,"Grant,Gevon",Gevon,Grant,0,G,8,120.0,15.0,43.0,5.38,18.0,2.25,11.0,1.38,7.0,0.88,0.0,0.0,9.0,1.125,12.0,31.0,0.39,3.0,13.0,0.23,16.0,30.0,0.53
nacc,Northern Athletics Collegiate Conference (NACC),2025-26,Aurora,"Currin,Aramis",Aramis,Currin,0,G,2,3.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
nacc,Northern Athletics Collegiate Conference (NACC),2025-26,Aurora,"Ross,Alex",Alex,Ross,0,G,13,54.0,4.153846153846154,19.0,1.46,4.0,0.31,2.0,0.15,1.0,0.08,1.0,0.08,0.0,0.0,6.0,17.0,0.35,6.0,15.0,0.4,1.0,2.0,0.5
nacc,Northern Athletics Collegiate Conference (NACC),2025-26,Aurora,"Schroeder,Jordan",Jordan,Schroeder,0,G,5,10.0,2.0,5.0,1.0,1.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.67,1.0,1.0,1.0,0.0,0.0,0.0
nacc,Northern Athletics Collegiate Conference (NACC),2025-26,Aurora,"Ross,Isaac",Isaac,Ross,0,G,6,11.0,1.8333333333333333,2.0,0.33,2.0,0.33,0.0,0.0,1.0,0.17,0.0,0.0,1.0,0.1666666666666666,0.0,4.0,0.0,0.0,4.0,0.0,2.0,2.0,1.0
nacc,Northern Athletics Collegiate Conference (NACC),2025-26,Aurora,"Fitzgerald,Connor",Connor,Fitzgerald,0,G,2,4.0,2.0,3.0,1.5,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
nacc,Northern Athletics Collegiate Conference (NACC),2025-26,Aurora,"Burgins,Caleb",Caleb,Burgins,0,G,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nacc,Northern Athletics Collegiate Conference (NACC),2025-26,Aurora,"Mahnke,Brycen",Brycen,Mahnke,0,C,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nacc,Northern Athletics Collegiate Conference (NACC),2025-26,Aurora,"Rosario,Kenny",Kenny,Rosario,0,G,1,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nacc,Northern Athletics Collegiate Conference (NACC),2025-26,Aurora,"Chin,Wifi",Wifi,Chin,0,G,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nacc,Northern Athletics Collegiate Conference (NACC),2025-26,Aurora,"Grove,Brycen",Brycen,Grove,0,G,1,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
