conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,goal_stats_shootout_goals,goal_stats_free_positiong_goals,goal_stats_game_tying_goals,goal_stats_empty_net_goals,goal_stats_overtime_goals,goal_stats_first_goals,goal_stats_unassisted_goals,goal_stats_short_handed_goals,goal_stats_power_play_goals,goal_stats_game_winning_goals,penalty_stats_number,penalty_stats_minutes,penalty_stats_fouls,penalty_stats_green_cards,penalty_stats_yellow_cards,penalty_stats_red_cards,penalty_stats_match,penalty_stats_major,penalty_stats_minor,misc_stats_powerplay_opps,misc_stats_powerplay_goals,misc_stats_faceoffs_won,misc_stats_faceoffs_lost,misc_stats_ground_balls,misc_stats_draw_controls,misc_stats_turnovers,misc_stats_caused_turnovers,misc_stats_minutes_played,misc_stats_seconds,misc_stats_faceoffs_taken,misc_stats_penalty_killing_pct,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_free_position_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_shots_on_goal_pct,goalie_stats_games_played,goalie_stats_minutes,goalie_stats_goals_allowed,goalie_stats_saves,goalie_stats_shutouts,goalie_stats_win,goalie_stats_loss,goalie_stats_tie,goalie_stats_powerplay_goals_allowed,goalie_stats_shorthanded_goals_allowed,goalie_stats_emptynet_goals_allowed,goalie_stats_shots_faced,goalie_stats_goals_against_avg,goalie_stats_save_pct,z_shot_stats_points,z_shot_stats_goals,z_shot_stats_assists,z_misc_stats_ground_balls,z_misc_stats_caused_turnovers,z_misc_stats_turnovers,z_penalty_stats_minutes,composite_score,rank,rating
nacc,Northern Athletics Collegiate Conference (NACC),2025-26,mlax,Concordia Wisconsin,Max Esposito,,,,20,19,0.0,0.0,0.0,0.0,0.0,4.0,26.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,31.0,0.0,52.0,8.0,1132:00,119.0,0.0,1.0,99.0,145.0,0.0,112.0,63.0,49.0,0.683,,,,,,,,,,,,,,,6.879915757120549,4.519998338540472,9.557952360209743,0.7220375559268108,0.40090173194662115,3.597858125532722,0.0,16.084219616248685,1,99
nacc,Northern Athletics Collegiate Conference (NACC),2025-26,mlax,Concordia Wisconsin,Bryce Petersen,,,,20,18,0.0,0.0,0.0,0.0,1.0,3.0,7.0,0.0,12.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,25.0,10.0,1072:00,119.0,0.0,1.0,104.0,148.0,0.0,99.0,30.0,69.0,0.703,,,,,,,,,,,,,,,6.019117266342531,6.582885770142015,4.308095914069176,0.41451969275499345,0.6715612768648984,1.2446479023304868,0.0,14.129058152258338,2,96
nacc,Northern Athletics Collegiate Conference (NACC),2025-26,mlax,Concordia Wisconsin,Caleb Ruger,,,,20,19,0.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,21.0,0.0,28.0,4.0,1132:00,119.0,0.0,1.0,88.0,120.0,0.0,85.0,35.0,50.0,0.733,,,,,,,,,,,,,,,5.092103507043127,4.62314271012055,5.103528708938959,0.20950778397378192,-0.14041735788993331,1.506115704908513,0.0,11.781368617258588,3,95
nacc,Northern Athletics Collegiate Conference (NACC),2025-26,mlax,Dubuque,Sam Todd,,,,16,15,0.0,0.0,0.0,0.0,1.0,2.0,17.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,25.0,0.0,40.0,5.0,884:00,132.0,0.0,1.0,81.0,125.0,0.0,73.0,35.0,38.0,0.648,,,,,,,,,,,,,,,4.297520284786495,3.385410251159624,5.103528708938959,0.41451969275499345,-0.005087585430794692,2.5519869152206174,0.0,9.680353448080478,4,94
nacc,Northern Athletics Collegiate Conference (NACC),2025-26,mlax,Aurora,Tyler Foerstel,,,,20,18,0.0,0.0,0.0,0.0,0.0,1.0,28.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,34.0,0.0,31.0,9.0,1059:00,62.0,0.0,1.0,74.0,155.0,0.0,59.0,18.0,41.0,0.477,,,,,,,,,,,,,,,3.3705065254870914,3.6948433658998554,2.3990572063816966,0.8757964875127194,0.5362315044057597,1.7675835074865391,0.0,7.722296257255091,5,93
nacc,Northern Athletics Collegiate Conference (NACC),2025-26,mlax,Dubuque,Aidan Culligan,,,,16,16,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,17.0,0.0,30.0,1.0,937:00,121.0,0.0,1.0,54.0,92.0,0.0,57.0,22.0,35.0,0.587,,,,,,,,,,,,,,,3.2380759884443195,3.0759771364193926,3.0354034422775227,0.0044958751925703744,-0.5464066752673492,1.6804275732938638,0.0,6.988895837834121,6,93
nacc,Northern Athletics Collegiate Conference (NACC),2025-26,mlax,Aurora,Reilan Pura,,,,20,20,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,33.0,1.0,1179:00,62.0,0.0,1.0,28.0,49.0,0.0,53.0,42.0,11.0,0.571,,,,,,,,,,,,,,,2.9732149143587754,0.6005122184975418,6.217134621756655,0.10700182958317615,-0.5464066752673492,1.94189537587189,0.0,6.89703932033246,7,92
nacc,Northern Athletics Collegiate Conference (NACC),2025-26,mlax,Illinois Tech,Jackson Brass,,,,17,16,0.0,0.0,0.0,0.0,0.0,2.0,18.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,31.0,0.0,36.0,8.0,960:00,32.0,0.0,1.0,77.0,132.0,0.0,53.0,20.0,33.0,0.583,,,,,,,,,,,,,,,2.9732149143587754,2.869688393259238,2.717230324329609,0.7220375559268108,0.40090173194662115,2.203363178449916,0.0,6.626563370978955,8,91
nacc,Northern Athletics Collegiate Conference (NACC),2025-26,mlax,Dubuque,Giovanni Silva,,,,18,18,0.0,0.0,0.0,0.0,0.0,1.0,15.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,23.0,0.0,45.0,4.0,1064:00,132.0,0.0,1.0,64.0,105.0,0.0,56.0,23.0,33.0,0.61,,,,,,,,,,,,,,,3.1718607199229334,2.869688393259238,3.1944900012514794,0.3120137383643877,-0.14041735788993331,2.9877665861839944,0.0,6.560126715075098,9,91
nacc,Northern Athletics Collegiate Conference (NACC),2025-26,mlax,Aurora,Griffin Joas,,,,19,17,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,35.0,0.0,25.0,10.0,999:00,62.0,0.0,1.0,64.0,89.0,0.0,49.0,18.0,31.0,0.719,,,,,,,,,,,,,,,2.7083538402732317,2.663399650099084,2.3990572063816966,0.9270494647080224,0.6715612768648984,1.2446479023304868,0.0,6.500137666359368,10,90
