season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,linkup_name,games_played,games_started,uniform,year,team_name,team_id,sdrm_id,goal_stats_shootout_goals,goal_stats_free_positiong_goals,goal_stats_game_tying_goals,goal_stats_empty_net_goals,goal_stats_overtime_goals,goal_stats_first_goals,goal_stats_unassisted_goals,goal_stats_short_handed_goals,goal_stats_power_play_goals,goal_stats_game_winning_goals,penalty_stats_number,penalty_stats_minutes,penalty_stats_fouls,penalty_stats_green_cards,penalty_stats_yellow_cards,penalty_stats_red_cards,penalty_stats_match,penalty_stats_major,penalty_stats_minor,misc_stats_powerplay_opps,misc_stats_powerplay_goals,misc_stats_faceoffs_won,misc_stats_faceoffs_lost,misc_stats_ground_balls,misc_stats_draw_controls,misc_stats_turnovers,misc_stats_caused_turnovers,misc_stats_minutes_played,misc_stats_seconds,misc_stats_faceoffs_taken,misc_stats_penalty_killing_pct,goalie_stats,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_free_position_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_shots_on_goal_pct,avg_points_game,goalie_stats_games_played,goalie_stats_minutes,goalie_stats_goals_allowed,goalie_stats_saves,goalie_stats_shutouts,goalie_stats_win,goalie_stats_loss,goalie_stats_tie,goalie_stats_powerplay_goals_allowed,goalie_stats_shorthanded_goals_allowed,goalie_stats_emptynet_goals_allowed,goalie_stats_shots_faced,goalie_stats_goals_against_avg,goalie_stats_save_pct,goal_stats,penalty_stats,misc_stats,shot_stats
2025-26,mlax,Northern Athletics Collegiate Conference (NACC),nacc,Aurora,Michael Hudik,Michael,Hudik,,42,Michael Hudik,"HUDIK,MICHAEL",HUDIKMICHAELAURORA,8,0,,,Aurora,AURORA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,00:00,0,0,1.000,,2,9,0,0,0,0,.222,0.00,,,,,,,,,,,,,,,,,,
2025-26,mlax,Northern Athletics Collegiate Conference (NACC),nacc,Aurora,Connor Stockton,Connor,Stockton,,42,Connor Stockton,"STOCKTON,CONNOR",STOCKTONCONNORAURORA,9,0,,,Aurora,AURORA,0,0,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,10,0,00:00,0,0,1.000,,24,32,0,23,8,15,.750,2.56,,,,,,,,,,,,,,,,,,
2025-26,mlax,Northern Athletics Collegiate Conference (NACC),nacc,Aurora,Carson Leader,Carson,Leader,,42,Carson Leader,"LEADER,CARSON",LEADERCARSONAURORA,19,1,,,Aurora,AURORA,0,0,0,0,0,0,1,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,6,0,60:00,0,0,1.000,,32,65,0,20,4,16,.492,1.05,,,,,,,,,,,,,,,,,,
2025-26,mlax,Northern Athletics Collegiate Conference (NACC),nacc,Aurora,Tyler Foerstel,Tyler,Foerstel,,42,Tyler Foerstel,"FOERSTEL,TYLER",FOERSTELTYLERAURORA,20,18,,,Aurora,AURORA,0,0,0,0,0,0,1,28,0,2,0,0,0,0,0,0,0,0,3,3,0,0,0,0,34,0,31,9,1059:00,62,0,1.000,,74,155,0,59,18,41,.477,2.95,,,,,,,,,,,,,,,,,,
2025-26,mlax,Northern Athletics Collegiate Conference (NACC),nacc,Aurora,Conor Bolton,Conor,Bolton,,42,Conor Bolton,"BOLTON,CONOR",BOLTONCONORAURORA,20,0,,,Aurora,AURORA,0,0,0,0,0,0,2,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,9,2,00:00,0,0,1.000,,29,47,0,19,3,16,.617,0.95,,,,,,,,,,,,,,,,,,
2025-26,mlax,Northern Athletics Collegiate Conference (NACC),nacc,Aurora,Chris Bucci,Chris,Bucci,,42,Chris Bucci,"BUCCI,CHRIS",BUCCICHRISAURORA,20,4,,,Aurora,AURORA,0,0,0,0,0,0,1,12,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,45,0,23,2,240:00,0,1,1.000,,66,102,0,49,16,33,.647,2.45,,,,,,,,,,,,,,,,,,
2025-26,mlax,Northern Athletics Collegiate Conference (NACC),nacc,Aurora,Scotty Weiss,Scotty,Weiss,,42,Scotty Weiss,"WEISS,SCOTTY",WEISSSCOTTYAURORA,16,0,,,Aurora,AURORA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,3,6,00:00,0,0,1.000,,1,1,0,1,0,1,1.000,0.06,,,,,,,,,,,,,,,,,,
2025-26,mlax,Northern Athletics Collegiate Conference (NACC),nacc,Aurora,Caden Bunes,Caden,Bunes,,42,Caden Bunes,"BUNES,CADEN",BUNESCADENAURORA,12,0,,,Aurora,AURORA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3,0,00:00,0,1,1.000,,5,14,0,4,3,1,.357,0.33,,,,,,,,,,,,,,,,,,
2025-26,mlax,Northern Athletics Collegiate Conference (NACC),nacc,Aurora,Luke Smith,Luke,Smith,,42,Luke Smith,"SMITH,LUKE",SMITHLUKEAURORA,7,0,,,Aurora,AURORA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,00:00,0,0,1.000,,4,5,0,4,1,3,.800,0.57,,,,,,,,,,,,,,,,,,
2025-26,mlax,Northern Athletics Collegiate Conference (NACC),nacc,Aurora,Zach Manuel,Zach,Manuel,,42,Zach Manuel,"MANUEL,ZACH",MANUELZACHAURORA,9,0,,,Aurora,AURORA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,10,0,2,4,00:00,0,0,1.000,,1,1,0,0,0,0,1.000,0.00,,,,,,,,,,,,,,,,,,
