conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,shot_stats_penalty_kick_attempts,shot_stats_penalty_kick_goals,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_penalty_shot_attempts,shot_stats_penalty_shot_goals,shot_stats_avg_shots_per_game,shot_stats_avg_sog_per_game,shot_stats_avg_points_per_game,shot_stats_avg_goals_per_game,shot_stats_avg_assists_per_game,shot_stats_shots_saved_by_goalie,goal_stats_game_tying,goal_stats_hattricks,goal_stats_overtime,goal_stats_first,goal_stats_unassisted,goal_stats_game_winning,goal_stats_avg_gw_per_game,caution_stats_fouls,caution_stats_red_cards,caution_stats_yellow_cards,caution_stats_green_cards,caution_stats_avg_fouls_per_game,caution_stats_avg_yc_per_game,caution_stats_avg_rc_per_game,caution_stats_avg_gc_per_game,misc_stats_offsides,misc_stats_corner_kicks,misc_stats_minutes_played,misc_stats_defensive_saves,misc_stats_avg_corners_per_game,misc_stats_avg_offsides_per_game,goalie_stats_shots_faced,goalie_stats_ties,goalie_stats_losses,goalie_stats_wins,goalie_stats_shutouts,goalie_stats_save_percentage,goalie_stats_goals_against_avg,goalie_stats_saves,goalie_stats_goals_allowed,goalie_stats_minutes,goalie_stats_games_started,goalie_stats_games_played,goalie_stats_avg_ga_per_game,goalie_stats_save_percentage_calc,goalie_stats_avg_sho_per_game,goalie_stats_avg_saves_per_game,z_shot_stats_goals,z_shot_stats_assists,z_shot_stats_points,z_shot_stats_shots_on_goal,z_caution_stats_yellow_cards,z_caution_stats_red_cards,composite_score,rank,rating
nacc,Northern Athletics Collegiate Conference (NACC),2025-26,msoc,Aurora,"Roman, Josue",0,,11,20,20,0,0,57,103,42,10,16,2,0,5.15,2.85,2.1,0.8,0.5,41,1,1,0,1,6,1,0.05,21,0,0,0,1.05,0.0,0.0,0.0,0,,1375:00,0,0.0,0.0,,,,,,,,,,,,,,,,,6.872989792936379,6.285131398071788,7.176001105851183,8.714684748605489,-0.5730375482339646,-0.18288029719325394,18.197827246515953,1,99
nacc,Northern Athletics Collegiate Conference (NACC),2025-26,msoc,Aurora,"Dolezal, Branden",0,,9,20,19,0,0,43,76,43,7,18,1,0,3.8,2.15,2.15,0.9,0.35,25,2,2,0,7,1,4,0.2,6,0,0,0,0.3,0.0,0.0,0.0,0,,1275:00,0,0.0,0.0,,,,,,,,,,,,,,,,,7.783063099790894,4.254882767766812,7.357691593366674,6.448088217287093,-0.5730375482339646,-0.18288029719325394,17.36059054715415,2,96
nacc,Northern Athletics Collegiate Conference (NACC),2025-26,msoc,Illinois Tech,"Secaira, Mateo",0,,2,17,17,0,0,33,62,37,5,16,2,2,3.65,1.94,2.18,0.941,0.294,17,2,1,0,3,11,5,0.294,34,0,0,0,2.0,0.0,0.0,0.0,0,,1241:00,0,0.0,0.0,,,,,,,,,,,,,,,,,6.872989792936379,2.901383680896828,6.267548668273729,4.829090694916809,-0.5730375482339646,-0.18288029719325394,14.416168327451526,3,95
nacc,Northern Athletics Collegiate Conference (NACC),2025-26,msoc,MSOE,"Picha, Nico",0,,10,19,19,0,0,30,48,29,5,12,0,0,2.53,1.58,1.53,0.632,0.263,18,1,0,0,5,8,5,0.263,19,0,4,0,1.0,0.21,0.0,0.0,0,,1178:00,0,0.0,0.0,,,,,,,,,,,,,,,,,5.052843179227351,2.901383680896828,4.814024768149803,4.343391438205724,2.681677227233871,-0.18288029719325394,10.99320791599336,4,94
nacc,Northern Athletics Collegiate Conference (NACC),2025-26,msoc,Edgewood,"Voung, Gabe",0,,16,21,21,0,0,31,51,24,10,7,1,0,2.43,1.48,1.14,0.333,0.476,24,0,0,0,4,0,4,0.19,21,0,3,0,1.0,0.14,0.0,0.0,0,,1430:00,0,0.0,0.0,,,,,,,,,,,,,,,,,2.777659912091065,6.285131398071788,3.905572330572349,4.505291190442753,1.867998533366912,-0.18288029719325394,10.605163099102777,5,94
nacc,Northern Athletics Collegiate Conference (NACC),2025-26,msoc,Edgewood,"Gage, Connor",0,,10,21,18,0,0,23,52,27,5,11,2,2,2.48,1.1,1.29,0.524,0.238,12,0,0,0,5,6,6,0.286,17,0,0,0,0.81,0.0,0.0,0.0,0,,1067:00,0,0.0,0.0,,,,,,,,,,,,,,,,,4.5978065258000935,2.901383680896828,4.450643793118822,3.2100931725465256,-0.5730375482339646,-0.18288029719325394,10.54535214323275,6,93
nacc,Northern Athletics Collegiate Conference (NACC),2025-26,msoc,Lakeland,"Davis-Troller, Jordan",0,,18,19,19,0,0,22,43,26,6,10,2,2,2.26,1.16,1.37,0.526,0.316,12,3,0,0,2,3,4,0.211,20,0,1,0,1.05,0.05,0.0,0.0,0,,1646:00,0,0.0,0.0,,,,,,,,,,,,,,,,,4.142769872372837,3.57813322433182,4.268953305603331,3.0481934203094974,0.24064114563299424,-0.18288029719325394,10.282425074421694,7,92
nacc,Northern Athletics Collegiate Conference (NACC),2025-26,msoc,Illinois Tech,"Rebelatto, Tomas",0,,17,17,16,0,0,25,55,22,6,8,1,1,3.24,1.47,1.29,0.471,0.353,17,0,0,0,3,4,4,0.235,28,0,4,0,1.65,0.24,0.0,0.0,0,,1182:00,0,0.0,0.0,,,,,,,,,,,,,,,,,3.232696565518322,3.57813322433182,3.5421913555413673,3.5338926770205825,2.681677227233871,-0.18288029719325394,8.594602841625889,8,92
nacc,Northern Athletics Collegiate Conference (NACC),2025-26,msoc,MSOE,"Useni, Ditar",0,,15,22,22,0,0,21,39,21,5,8,0,0,1.77,0.95,0.95,0.364,0.227,13,0,0,0,2,3,2,0.091,21,0,1,0,0.95,0.05,0.0,0.0,0,,1223:00,0,0.0,0.0,,,,,,,,,,,,,,,,,3.232696565518322,2.901383680896828,3.3605008680258766,2.886293668072469,0.24064114563299424,-0.18288029719325394,8.23033043041106,9,91
nacc,Northern Athletics Collegiate Conference (NACC),2025-26,msoc,Marian,"Johnson, Brayden",0,,25,19,19,0,0,30,49,21,3,9,0,0,2.58,1.58,1.11,0.474,0.158,21,0,1,0,2,2,1,0.053,28,0,1,0,1.47,0.05,0.0,0.0,0,,1328:00,0,0.0,0.0,,,,,,,,,,,,,,,,,3.6877332189455796,1.5478845940268435,3.3605008680258766,4.343391438205724,0.24064114563299424,-0.18288029719325394,8.02933727705598,10,91
