conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,goal_stats_shootout_goals,goal_stats_free_positiong_goals,goal_stats_game_tying_goals,goal_stats_empty_net_goals,goal_stats_overtime_goals,goal_stats_first_goals,goal_stats_unassisted_goals,goal_stats_short_handed_goals,goal_stats_power_play_goals,goal_stats_game_winning_goals,penalty_stats_number,penalty_stats_minutes,penalty_stats_fouls,penalty_stats_green_cards,penalty_stats_yellow_cards,penalty_stats_red_cards,penalty_stats_match,penalty_stats_major,penalty_stats_minor,misc_stats_powerplay_opps,misc_stats_powerplay_goals,misc_stats_faceoffs_won,misc_stats_faceoffs_lost,misc_stats_ground_balls,misc_stats_draw_controls,misc_stats_turnovers,misc_stats_caused_turnovers,misc_stats_minutes_played,misc_stats_seconds,misc_stats_faceoffs_taken,misc_stats_penalty_killing_pct,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_free_position_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_shots_on_goal_pct,goalie_stats_games_played,goalie_stats_minutes,goalie_stats_goals_allowed,goalie_stats_saves,goalie_stats_shutouts,goalie_stats_win,goalie_stats_loss,goalie_stats_tie,goalie_stats_powerplay_goals_allowed,goalie_stats_shorthanded_goals_allowed,goalie_stats_emptynet_goals_allowed,goalie_stats_shots_faced,goalie_stats_goals_against_avg,goalie_stats_save_pct,z_shot_stats_points,z_shot_stats_goals,z_shot_stats_assists,z_misc_stats_ground_balls,z_misc_stats_caused_turnovers,z_misc_stats_turnovers,z_penalty_stats_minutes,composite_score,rank,rating
nacc,Northern Athletics Collegiate Conference (NACC),2025-26,wlax,Lake Forest,Emma Sharp,,,,20,20,0.0,4.0,0.0,0.0,0.0,0.0,32.0,1.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,38.0,6.0,1185:00,119.0,0.0,1.0,77.0,111.0,11.0,131.0,79.0,52.0,0.694,,,,,,,,,,,,,,,5.409311067303872,2.6361804238579865,9.089055243471986,0.3385773621403308,-0.33594194236673425,1.1327838275778648,0.0,13.428271171721583,1,99
nacc,Northern Athletics Collegiate Conference (NACC),2025-26,wlax,Lake Forest,Jenna Doctor,,,,20,20,0.0,9.0,0.0,0.0,0.0,5.0,31.0,2.0,4.0,6.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,9.0,26.0,6.0,1185:00,119.0,0.0,1.0,139.0,166.0,15.0,118.0,17.0,101.0,0.837,,,,,,,,,,,,,,,4.816675533937992,5.622835701754896,1.6161053572289834,0.046751667419553104,-0.33594194236673425,0.4165721172383116,0.0,10.192831916022719,2,95
nacc,Northern Athletics Collegiate Conference (NACC),2025-26,wlax,Beloit,Maya DeGeorge,,,,14,14,0.0,26.0,0.0,0.0,0.0,5.0,70.0,2.0,6.0,1.0,0.0,0.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,105.0,34.0,36.0,840:00,0.0,0.0,1.0,116.0,149.0,37.0,81.0,6.0,75.0,0.779,,,,,,,,,,,,,,,3.129943631281257,4.038079840013679,0.2902594096697413,4.01558111562213,2.573246012149315,0.8940465907980137,0.0,8.182618592073247,3,93
nacc,Northern Athletics Collegiate Conference (NACC),2025-26,wlax,Edgewood,Emma Raupp,,,,18,18,0.0,30.0,0.0,0.0,0.0,3.0,57.0,0.0,24.0,4.0,0.0,0.0,0.0,5.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,89.0,65.0,17.0,1080:00,18.0,0.0,1.0,135.0,188.0,60.0,100.0,5.0,95.0,0.718,,,,,,,,,,,,,,,3.9961032569698505,5.257122810583846,0.1697279598916284,0.5136727789727974,0.730760307622484,2.74426017584186,0.0,7.596236933002909,4,92
nacc,Northern Athletics Collegiate Conference (NACC),2025-26,wlax,Beloit,Johanna McNair,,,,14,14,0.0,7.0,0.0,0.0,0.0,3.0,45.0,1.0,6.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,63.0,50.0,24.0,840:00,0.0,0.0,1.0,84.0,109.0,21.0,77.0,23.0,54.0,0.771,,,,,,,,,,,,,,,2.947594236399448,2.7580847209150035,2.339294055897661,2.3229920862416193,1.4095708303428955,1.8489955379174179,0.0,7.171738512068202,5,91
nacc,Northern Athletics Collegiate Conference (NACC),2025-26,wlax,Cornell College,Cece Zanoni,,,,16,16,0.0,11.0,0.0,0.0,0.0,3.0,36.0,0.0,7.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,2.0,54.0,12.0,975:00,234.0,0.0,1.0,83.0,107.0,24.0,79.0,29.0,50.0,0.776,,,,,,,,,,,,,,,3.0387689338403523,2.51427612680097,3.0624827545663384,0.046751667419553104,0.2458956485364757,2.0877327746972694,0.0,6.4466288483854655,6,90
nacc,Northern Athletics Collegiate Conference (NACC),2025-26,wlax,Marian,Nicole Stachon,,,,17,17,0.0,17.0,0.0,0.0,0.0,1.0,44.0,1.0,11.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,68.0,74.0,31.0,1022:00,28.0,0.0,1.0,92.0,109.0,27.0,73.0,18.0,55.0,0.844,,,,,,,,,,,,,,,2.765244841517639,2.8190368694435115,1.7366368070070963,2.5564526420182414,2.088381353063307,3.2814189585965248,0.0,6.31700271706327,7,89
nacc,Northern Athletics Collegiate Conference (NACC),2025-26,wlax,Concordia Wisconsin,Katelyn Cardinale,,,,15,15,0.0,10.0,0.0,0.0,1.0,2.0,27.0,2.0,12.0,1.0,0.0,0.0,0.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,67.0,41.0,26.0,890:00,45.0,0.0,1.0,100.0,128.0,22.0,69.0,9.0,60.0,0.781,,,,,,,,,,,,,,,2.58289544663583,3.1237976120860536,0.65185375900408,1.5642452799675972,1.6035166939772987,1.311836755162753,0.0,5.963825057725897,8,88
nacc,Northern Athletics Collegiate Conference (NACC),2025-26,wlax,Aurora,Kenly Axvig,,,,18,17,0.0,6.0,0.0,0.0,0.0,3.0,28.0,1.0,2.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,56.0,28.0,21.0,1029:00,115.0,0.0,1.0,78.0,93.0,19.0,61.0,15.0,46.0,0.839,,,,,,,,,,,,,,,2.2181966568722116,2.2704675326869364,1.3750424576727576,0.6304030568611085,1.1186520348912905,0.5359407356282372,0.0,5.307440636667115,9,87
nacc,Northern Athletics Collegiate Conference (NACC),2025-26,wlax,Aurora,Caley Russell,,,,18,18,0.0,3.0,0.0,0.0,0.0,2.0,11.0,0.0,11.0,3.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,1.0,42.0,11.0,1092:00,60.0,0.0,1.0,70.0,88.0,6.0,62.0,19.0,43.0,0.795,,,,,,,,,,,,,,,2.263784005592664,2.0876110871014113,1.8571682567852092,1.0389590294701974,0.14892271671927404,1.3715210643577158,0.0,5.041646753137194,10,86
