season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,team_name,team_id,sdrm_id,games_played,games_started,uniform,year,code,shot_stats_penalty_kick_attempts,shot_stats_penalty_kick_goals,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_penalty_shot_attempts,shot_stats_penalty_shot_goals,shot_stats_avg_shots_per_game,shot_stats_avg_sog_per_game,shot_stats_avg_points_per_game,shot_stats_avg_goals_per_game,shot_stats_avg_assists_per_game,shot_stats_shots_saved_by_goalie,goal_stats_game_tying,goal_stats_hattricks,goal_stats_overtime,goal_stats_first,goal_stats_unassisted,goal_stats_game_winning,goal_stats_avg_gw_per_game,caution_stats_fouls,caution_stats_red_cards,caution_stats_yellow_cards,caution_stats_green_cards,caution_stats_avg_fouls_per_game,caution_stats_avg_yc_per_game,caution_stats_avg_rc_per_game,caution_stats_avg_gc_per_game,misc_stats_offsides,misc_stats_corner_kicks,misc_stats_minutes_played,misc_stats_defensive_saves,misc_stats_avg_corners_per_game,misc_stats_avg_offsides_per_game,goalie_stats_shots_faced,goalie_stats_ties,goalie_stats_losses,goalie_stats_wins,goalie_stats_shutouts,goalie_stats_save_percentage,goalie_stats_goals_against_avg,goalie_stats_saves,goalie_stats_goals_allowed,goalie_stats_minutes,goalie_stats_games_started,goalie_stats_games_played,goalie_stats_avg_ga_per_game,goalie_stats_save_percentage_calc,goalie_stats_avg_sho_per_game,goalie_stats_avg_saves_per_game,goalie_stats,shot_stats,goal_stats,caution_stats,misc_stats
2026-27,wsoc,Northern Athletics Collegiate Conference (NACC),nacc,Wisconsin Lutheran,Kallista Street,Kallista,Street,,8911,Kallista Street,"STREET,KALLISTA",Wisconsin Lutheran,WIS. LUT,1092-3371,3,0,1,0,1,0,0,0,2,0,0,0,0,0,.67,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,135:00,0,.00,.00,2,0,0,0,0,0.0,0.00,0,0,90:00,0,2,.00,0.000,.000,.00,,,,,
2026-27,wsoc,Northern Athletics Collegiate Conference (NACC),nacc,Wisconsin Lutheran,Gisselle Sanchez,Gisselle,Sanchez,,8911,Gisselle Sanchez,"SANCHEZ,GISSELLE",Wisconsin Lutheran,WIS. LUT,1092-3868,4,0,2,0,2,0,0,2,4,0,0,0,0,0,1.00,.50,.00,.000,.000,2,0,0,0,0,0,0,.000,1,0,0,0,.25,.00,.00,.00,0,,139:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
2026-27,wsoc,Northern Athletics Collegiate Conference (NACC),nacc,Wisconsin Lutheran,Anna Ruchti,Anna,Ruchti,,8911,Anna Ruchti,"RUCHTI,ANNA",Wisconsin Lutheran,WIS. LUT,1092-3365,4,4,3,0,3,0,0,1,1,1,1,0,0,0,.25,.25,.25,.000,.250,1,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,209:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
2026-27,wsoc,Northern Athletics Collegiate Conference (NACC),nacc,Wisconsin Lutheran,Grace Konzak,Grace,Konzak,,8911,Grace Konzak,"KONZAK,GRACE",Wisconsin Lutheran,WIS. LUT,1092-3651,4,0,4,0,4,0,0,2,2,1,1,0,0,0,.50,.50,.25,.000,.250,2,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,197:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
2026-27,wsoc,Northern Athletics Collegiate Conference (NACC),nacc,Wisconsin Lutheran,Aubrey Koch,Aubrey,Koch,,8911,Aubrey Koch,"KOCH,AUBREY",Wisconsin Lutheran,WIS. LUT,1092-3525,4,4,5,0,5,0,0,0,1,0,0,0,0,0,.25,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,1,0,.00,.25,.00,.00,0,,115:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
2026-27,wsoc,Northern Athletics Collegiate Conference (NACC),nacc,Wisconsin Lutheran,Luciana Galarza,Luciana,Galarza,,8911,Luciana Galarza,"GALARZA,LUCIANA",Wisconsin Lutheran,WIS. LUT,1092-3869,0,0,6,0,6,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,00:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
2026-27,wsoc,Northern Athletics Collegiate Conference (NACC),nacc,Wisconsin Lutheran,Gabriella Fargen,Gabriella,Fargen,,8911,Gabriella Fargen,"FARGEN,GABRIELLA",Wisconsin Lutheran,WIS. LUT,1092-3652,4,0,7,0,7,0,0,2,4,0,0,0,0,0,1.00,.50,.00,.000,.000,2,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,135:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
2026-27,wsoc,Northern Athletics Collegiate Conference (NACC),nacc,Wisconsin Lutheran,Teagan O'Neil,Teagan,O'Neil,,8911,Teagan O'Neil,"O'NEIL,TEAGAN",Wisconsin Lutheran,WIS. LUT,1092-3526,4,4,8,0,8,0,0,2,6,0,0,0,0,0,1.50,.50,.00,.000,.000,2,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,206:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
2026-27,wsoc,Northern Athletics Collegiate Conference (NACC),nacc,Wisconsin Lutheran,Ginny Shade,Ginny,Shade,,8911,Ginny Shade,"SHADE,GINNY",Wisconsin Lutheran,WIS. LUT,1092-3527,2,0,9,0,9,0,0,1,4,3,1,1,1,1,2.00,.50,1.50,.500,.500,0,0,0,0,0,1,0,.000,0,0,0,0,.00,.00,.00,.00,0,,22:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
2026-27,wsoc,Northern Athletics Collegiate Conference (NACC),nacc,Wisconsin Lutheran,Emma Adema,Emma,Adema,,8911,Emma Adema,"ADEMA,EMMA",Wisconsin Lutheran,WIS. LUT,1092-3528,4,4,10,0,10,0,0,10,13,4,0,2,0,0,3.25,2.50,1.00,.500,.000,8,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,161:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
