season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,linkup_name,games_played,games_started,uniform,year,hitting_stats_at_bats,hitting_stats_runs,hitting_stats_hits,hitting_stats_runs_batted_in,hitting_stats_doubles,hitting_stats_triples,hitting_stats_home_runs,hitting_stats_walks,hitting_stats_intentional_walks,hitting_stats_hit_by_pitch,hitting_stats_strikeouts,hitting_stats_strikeouts_looking,hitting_stats_stolen_bases,hitting_stats_caught_stealing,hitting_stats_sacrifice_hits,hitting_stats_sacrifice_flies,hitting_stats_reached_on_catchers_interference,hitting_stats_reached_on_error,hitting_stats_reached_on_fielders_choice,hitting_stats_grounded_into_doubleplay,hitting_stats_picked_off,hitting_stats_total_double_plays,hitting_stats_total_triple_plays,hitting_stats_onbase_percentage,hitting_stats_total_bases,hitting_stats_total_plate_appearances,hitting_stats_stolen_base_attempts,hitting_stats_stolen_base_percentage,hitting_stats_batting_average,hitting_stats_slugging_percentage,fielding_stats_putouts,fielding_stats_assists,fielding_stats_errors,fielding_stats_passed_balls,fielding_stats_catchers_interference,fielding_stats_stolen_bases_against,fielding_stats_caught_stealing_by,fielding_stats_involved_in_double_plays,fielding_stats_involved_in_triple_plays,fielding_stats_total_chances,fielding_stats_fielding_percentage,fielding_stats_stolen_bases_against_attempts,fielding_stats_stolen_bases_against_percentage,pitching_stats,hitting_summary_stats_times_reached_base_on_error,hitting_summary_stats_times_reached_base_on_fielders_choice,hitting_summary_stats_times_grouded_out,hitting_summary_stats_times_flied_out,hitting_summary_stats_hits_ab_with_2_outs,hitting_summary_stats_batting_avg_with_2_outs,hitting_summary_stats_hits_with_2_outs,hitting_summary_stats_ab_with_2_outs,hitting_summary_stats_hits_ab_with_runners_on_base,hitting_summary_stats_batting_avg_with_runners_on_base,hitting_summary_stats_hits_with_runners_on_base,hitting_summary_stats_ab_with_runners_on_base,hitting_summary_stats_hits_ab_with_runners_in_scoring_position,hitting_summary_stats_batting_avg_with_runners_in_scoring_position,hitting_summary_stats_hits_with_runners_in_scoring_position,hitting_summary_stats_ab_with_runners_in_scoring_position,hitting_summary_stats_hits_ab_vs_left_handed_pitchers,hitting_summary_stats_batting_avg_vs_left_handed_pitchers,hitting_summary_stats_hits_vs_left_handed_pitchers,hitting_summary_stats_ab_vs_left_handed_pitchers,hitting_summary_stats_hits_ab_vs_right_handed_pitchers,hitting_summary_stats_batting_avg_vs_right_handed_pitchers,hitting_summary_stats_hits_vs_right_handed_pitchers,hitting_summary_stats_ab_vs_right_handed_pitchers,hitting_summary_stats_success_opps_as_leadoff_batter_in_inning,hitting_summary_stats_success_opps_to_drive_in_runner_from_3rd_with_less_than_2_outs,hitting_summary_stats_number_of_runners_advanced_ab,hitting_summary_stats_hits_ab_with_bases_loaded,hitting_summary_stats_batting_avg_with_bases_loaded,hitting_summary_stats_hits_with_bases_loaded,hitting_summary_stats_ab_with_bases_loaded,hitting_summary_stats_hits_ab_as_pinch_hitter,hitting_summary_stats_batting_avg_as_pinch_hitter,hitting_summary_stats_hits_as_pinch_hitter,hitting_summary_stats_ab_as_pinch_hitter,hitting_summary_stats_times_advanced_at_least_1_runner_with_an_out,hitting_summary_stats_runners_left_on_base,hitting_summary_stats_two_out_rbis,pitching_summary_stats,team_name,team_id,sdrm_id,this_is_softball,pitching_stats_hits_allowed,pitching_stats_appearances,pitching_stats_games_started,pitching_stats_wins,pitching_stats_losses,pitching_stats_saves,pitching_stats_complete_games,pitching_stats_shutouts,pitching_stats_credit_for_combined_shutout,pitching_stats_games_finished,pitching_stats_innings_pitched,pitching_stats_runs_allowed,pitching_stats_earned_runs_allowed,pitching_stats_walks_allowed,pitching_stats_strikeouts,pitching_stats_doubles_allowed,pitching_stats_triples_allowed,pitching_stats_home_runs_allowed,pitching_stats_earned_run_average,pitching_stats_opponents_at_bats,pitching_stats_batters_faced,pitching_stats_wild_pitches,pitching_stats_hit_batters,pitching_stats_balks,pitching_stats_sacrifice_flies_allowed,pitching_stats_sacrifice_hits_allowed,pitching_stats_catchers_interference_allowed,pitching_stats_intentional_walks,pitching_stats_strikeouts_looking,pitching_stats_opponent_batting_average,pitching_summary_stats_fly_outs_allowed,pitching_summary_stats_ground_outs_allowed,pitching_summary_stats_runners_picked_off,pitching_summary_stats_success_opps_vs_leadoff_batters,pitching_summary_stats_hits_ab_with_runners_on_base,pitching_summary_stats_hits_ab_vs_left_handed_batters,pitching_summary_stats_hits_ab_vs_right_handed_batters,pitching_summary_stats_hits_ab_with_2_outs,composite_score,global_rank,rating,ranking_segment
2025-26,baseball,North Coast Athletic Conference (NCAC),ncac,Denison,Erik Sundgren,Erik,Sundgren,,182,Erik Sundgren,0,0DENISON,48,48,,,196,54,76,81,13,2,17,18,2,11,29,7,31,6,0,9,0,0,0,2,3,2,0,0.449,144,234,37,.838,.388,.735,84,3,0,0,0,0,0,0,0,87,1.000,0,.000,,2,9,44,53,"15,61",0.25,15,61,"44,108",0.41,44,108,"38,83",0.46,38,83,"12,34",0.35,12,34,0,0,0,0,"21,48","29,29","79,128",50,0,0,0,0,0,0,0,24,42,0,,Denison,DENISON,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.087442170228002,1,99,batting
2025-26,baseball,North Coast Athletic Conference (NCAC),ncac,Wooster,Ryan Kramer,Ryan,Kramer,,807,Ryan Kramer,0,0WOO,42,42,,,178,32,67,52,16,3,10,12,1,5,41,7,3,0,1,3,0,0,0,6,0,6,0,0.424,119,199,3,1.000,.376,.669,368,16,2,0,0,0,0,24,0,386,.995,0,.000,,3,1,30,41,"23,71",0.32,23,71,"38,97",0.39,38,97,"25,59",0.42,25,59,"10,27",0.37,10,27,0,0,0,0,"8,22","10,14","58,110",123,0,0,0,0,0,0,0,10,39,0,,Wooster,WOO,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.625307772778518,2,99,batting
2025-26,baseball,North Coast Athletic Conference (NCAC),ncac,Wittenberg,P. Gryskevic,P.,Gryskevic,,806,P. Gryskevic,0,0WITM,38,37,,,137,35,50,36,10,1,9,21,0,15,29,9,1,0,0,1,0,0,0,1,0,1,0,0.494,89,174,1,1.000,.365,.650,258,13,3,4,2,29,8,2,0,274,.989,37,.784,,4,4,22,31,"22,46",0.48,22,46,"31,69",0.45,31,69,"18,46",0.39,18,46,"7,22",0.32,7,22,0,0,0,0,"12,33","5,10","54,85",3,0,0,0,"1,1",1.00,1,1,6,25,0,,Wittenberg,WITM,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.937572541594626,3,99,batting
2025-26,baseball,North Coast Athletic Conference (NCAC),ncac,Denison,Jack Lutte,Jack,Lutte,,182,Jack Lutte,0,0DENISON,39,39,,,149,53,61,37,19,0,5,27,0,10,17,7,4,0,3,6,0,0,0,0,1,0,0,0.510,95,195,4,1.000,.409,.638,200,11,1,1,0,10,2,2,0,212,.995,12,.833,,0,4,28,52,"22,48",0.46,22,48,"31,69",0.45,31,69,"16,37",0.43,16,37,"7,29",0.24,7,29,0,0,0,0,"28,58","13,14","60,92",17,0,0,0,0,0,0,0,17,30,0,,Denison,DENISON,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.675931144179193,4,98,batting
2025-26,baseball,North Coast Athletic Conference (NCAC),ncac,Wittenberg,R. Royer,R.,Royer,,806,R. Royer,0,0WITM,39,38,,,157,45,50,49,5,0,13,6,0,14,32,10,4,1,1,1,0,0,0,0,0,0,0,0.393,94,179,5,.800,.318,.599,47,0,0,0,0,0,0,0,0,47,1.000,0,.000,,6,5,31,39,"13,49",0.27,13,49,"29,88",0.33,29,88,"22,66",0.33,22,66,"9,26",0.35,9,26,0,0,0,0,"14,29","10,21","49,98",22,0,0,0,"0,1",0,0,1,11,30,0,,Wittenberg,WITM,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.19502546352506,5,98,batting
2025-26,baseball,North Coast Athletic Conference (NCAC),ncac,Denison,Eric Colaco,Eric,Colaco,,182,Eric Colaco,0,0DENISON,48,48,,,203,68,72,47,15,2,9,22,0,14,19,10,31,4,0,3,0,0,0,1,2,4,0,0.446,118,242,35,.886,.355,.581,71,0,2,0,0,0,0,0,0,73,.973,0,.000,,5,14,37,72,"21,64",0.33,21,64,"49,127",0.39,49,127,"28,77",0.36,28,77,"16,37",0.43,16,37,0,0,0,0,"13,25","14,18","80,146",61,0,0,0,"0,1",0,0,1,12,54,0,,Denison,DENISON,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.146037337439353,6,98,batting
2025-26,baseball,North Coast Athletic Conference (NCAC),ncac,Kenyon,Edwin Groff,Edwin,Groff,,335,Edwin Groff,0,0KENB,20,20,,,78,20,33,18,5,1,4,6,0,4,14,3,3,0,0,2,0,0,0,1,0,1,0,0.478,52,90,3,1.000,.423,.667,0,0,0,0,0,1,0,0,0,0,0.000,1,1.000,,1,1,14,18,"8,28",0.29,8,28,"17,40",0.43,17,40,"10,20",0.50,10,20,"7,14",0.50,7,14,0,0,0,0,"8,15","4,5","24,45",0,0,0,0,"0,1",0,0,1,5,14,0,,Kenyon,KENB,0,False,6,1,0,0,1,1,0,0,0,0,3.2,6,6,3,4,1,0,0,14.73,16,22,1,3,0,0,0,0,0,2,.375,1,5,0,"2,5","5,10","0,3",0,"3,6",6.9691011512023175,7,97,batting
2025-26,baseball,North Coast Athletic Conference (NCAC),ncac,Wittenberg,Q. Applegate,Q.,Applegate,,806,Q. Applegate,0,0WITM,24,9,,,46,12,22,14,6,0,0,8,0,1,7,0,4,0,0,2,0,0,0,1,0,1,0,0.544,28,57,4,1.000,.478,.609,19,0,1,0,0,0,0,0,0,20,.950,0,.000,,2,0,6,11,"9,14",0.64,9,14,"16,26",0.62,16,26,"12,19",0.63,12,19,"1,3",0.33,1,3,0,0,0,0,"5,12","4,7","23,33","0,1",0,0,1,25,0,0,0,5,7,0,,Wittenberg,WITM,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.912429768122266,8,97,batting
2025-26,baseball,North Coast Athletic Conference (NCAC),ncac,Wittenberg,X. Rodriguez,X.,Rodriguez,,806,X. Rodriguez,0,0WITM,40,40,,,156,53,58,39,14,1,5,25,1,6,18,7,1,2,0,5,0,0,0,4,1,4,0,0.464,89,192,3,.333,.372,.571,324,24,6,0,0,0,0,32,0,354,.983,0,.000,,4,3,30,51,"19,56",0.34,19,56,"34,88",0.39,34,88,"19,55",0.35,19,55,"11,23",0.48,11,23,0,0,0,0,"23,40","14,14","57,103",48,0,0,0,0,0,0,0,13,43,0,,Wittenberg,WITM,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.831142784217422,9,97,batting
2025-26,baseball,North Coast Athletic Conference (NCAC),ncac,Wittenberg,T. Dietz,T.,Dietz,,806,T. Dietz,0,0WITM,35,35,,,140,29,48,33,9,0,8,15,1,4,13,3,3,3,0,3,0,0,0,1,0,1,0,0.414,81,162,6,.500,.343,.579,61,2,2,0,0,0,0,0,0,65,.969,0,.000,,4,5,36,42,"14,54",0.26,14,54,"27,80",0.34,27,80,"19,53",0.36,19,53,"7,23",0.30,7,23,0,0,0,0,"15,29","8,13","46,90",77,0,0,0,0,0,0,0,10,44,0,,Wittenberg,WITM,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.082119158737159,10,96,batting
