season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,linkup_name,games_played,games_started,uniform,year,hitting_stats_at_bats,hitting_stats_runs,hitting_stats_hits,hitting_stats_runs_batted_in,hitting_stats_doubles,hitting_stats_triples,hitting_stats_home_runs,hitting_stats_walks,hitting_stats_intentional_walks,hitting_stats_hit_by_pitch,hitting_stats_strikeouts,hitting_stats_strikeouts_looking,hitting_stats_stolen_bases,hitting_stats_caught_stealing,hitting_stats_sacrifice_hits,hitting_stats_sacrifice_flies,hitting_stats_reached_on_catchers_interference,hitting_stats_reached_on_error,hitting_stats_reached_on_fielders_choice,hitting_stats_grounded_into_doubleplay,hitting_stats_picked_off,hitting_stats_total_double_plays,hitting_stats_total_triple_plays,hitting_stats_onbase_percentage,hitting_stats_total_bases,hitting_stats_total_plate_appearances,hitting_stats_stolen_base_attempts,hitting_stats_stolen_base_percentage,hitting_stats_batting_average,hitting_stats_slugging_percentage,fielding_stats_putouts,fielding_stats_assists,fielding_stats_errors,fielding_stats_passed_balls,fielding_stats_catchers_interference,fielding_stats_stolen_bases_against,fielding_stats_caught_stealing_by,fielding_stats_involved_in_double_plays,fielding_stats_involved_in_triple_plays,fielding_stats_total_chances,fielding_stats_fielding_percentage,fielding_stats_stolen_bases_against_attempts,fielding_stats_stolen_bases_against_percentage,pitching_stats,hitting_summary_stats_times_reached_base_on_error,hitting_summary_stats_times_reached_base_on_fielders_choice,hitting_summary_stats_times_grouded_out,hitting_summary_stats_times_flied_out,hitting_summary_stats_hits_ab_with_2_outs,hitting_summary_stats_batting_avg_with_2_outs,hitting_summary_stats_hits_with_2_outs,hitting_summary_stats_ab_with_2_outs,hitting_summary_stats_hits_ab_with_runners_on_base,hitting_summary_stats_batting_avg_with_runners_on_base,hitting_summary_stats_hits_with_runners_on_base,hitting_summary_stats_ab_with_runners_on_base,hitting_summary_stats_hits_ab_with_runners_in_scoring_position,hitting_summary_stats_batting_avg_with_runners_in_scoring_position,hitting_summary_stats_hits_with_runners_in_scoring_position,hitting_summary_stats_ab_with_runners_in_scoring_position,hitting_summary_stats_hits_ab_vs_left_handed_pitchers,hitting_summary_stats_batting_avg_vs_left_handed_pitchers,hitting_summary_stats_hits_vs_left_handed_pitchers,hitting_summary_stats_ab_vs_left_handed_pitchers,hitting_summary_stats_hits_ab_vs_right_handed_pitchers,hitting_summary_stats_batting_avg_vs_right_handed_pitchers,hitting_summary_stats_hits_vs_right_handed_pitchers,hitting_summary_stats_ab_vs_right_handed_pitchers,hitting_summary_stats_success_opps_as_leadoff_batter_in_inning,hitting_summary_stats_success_opps_to_drive_in_runner_from_3rd_with_less_than_2_outs,hitting_summary_stats_number_of_runners_advanced_ab,hitting_summary_stats_hits_ab_with_bases_loaded,hitting_summary_stats_batting_avg_with_bases_loaded,hitting_summary_stats_hits_with_bases_loaded,hitting_summary_stats_ab_with_bases_loaded,hitting_summary_stats_hits_ab_as_pinch_hitter,hitting_summary_stats_batting_avg_as_pinch_hitter,hitting_summary_stats_hits_as_pinch_hitter,hitting_summary_stats_ab_as_pinch_hitter,hitting_summary_stats_times_advanced_at_least_1_runner_with_an_out,hitting_summary_stats_runners_left_on_base,hitting_summary_stats_two_out_rbis,pitching_summary_stats,team_name,team_id,sdrm_id,this_is_softball,pitching_stats_hits_allowed,pitching_stats_appearances,pitching_stats_games_started,pitching_stats_wins,pitching_stats_losses,pitching_stats_saves,pitching_stats_complete_games,pitching_stats_shutouts,pitching_stats_credit_for_combined_shutout,pitching_stats_games_finished,pitching_stats_innings_pitched,pitching_stats_runs_allowed,pitching_stats_earned_runs_allowed,pitching_stats_walks_allowed,pitching_stats_strikeouts,pitching_stats_doubles_allowed,pitching_stats_triples_allowed,pitching_stats_home_runs_allowed,pitching_stats_earned_run_average,pitching_stats_opponents_at_bats,pitching_stats_batters_faced,pitching_stats_wild_pitches,pitching_stats_hit_batters,pitching_stats_balks,pitching_stats_sacrifice_flies_allowed,pitching_stats_sacrifice_hits_allowed,pitching_stats_catchers_interference_allowed,pitching_stats_intentional_walks,pitching_stats_strikeouts_looking,pitching_stats_opponent_batting_average,pitching_summary_stats_fly_outs_allowed,pitching_summary_stats_ground_outs_allowed,pitching_summary_stats_runners_picked_off,pitching_summary_stats_success_opps_vs_leadoff_batters,pitching_summary_stats_hits_ab_with_runners_on_base,pitching_summary_stats_hits_ab_vs_left_handed_batters,pitching_summary_stats_hits_ab_vs_right_handed_batters,pitching_summary_stats_hits_ab_with_2_outs,hitting_stats,fielding_stats,hitting_summary_stats,global_rank,rating,composite_score,ranking_segment,pitching_stats_k_per_9,pitching_stats_whip
2026-27,baseball,North Coast Athletic Conference (NCAC),ncac,Denison,Bobby Haarde,Bobby,Haarde,,182,Bobby Haarde,0,0DEN,14,12,,,36,13,15,9,2,1,2,1,0,6,12,3,2,0,4,0,0,0,0,0,0,0,0,0.512,25,47,2,1.000,.417,.694,25,1,1,0,0,0,0,0,0,27,.963,0,.000,,1,1,9,3,"6,15",0.40,6,15,"9,17",0.53,9,17,"4,10",0.40,4,10,"5,8",0.63,5,8,0,0,0,0,"5,12","3,5","15,23","0,1",0,0,1,0,0,0,0,7,11,0,,Denison,DEN,1214-3191,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,99,80.0,batting,,
2026-27,baseball,North Coast Athletic Conference (NCAC),ncac,Wooster,Owen Sherrill,Owen,Sherrill,,807,Owen Sherrill,0,0WST,17,12,,,40,14,16,9,5,0,1,8,0,0,8,3,0,1,0,0,0,0,0,0,0,0,0,0.500,24,48,1,.000,.400,.600,12,1,0,0,0,0,1,0,0,13,1.000,1,.000,,2,1,7,8,"3,12",0.25,3,12,"7,17",0.41,7,17,"4,12",0.33,4,12,"4,7",0.57,4,7,0,0,0,0,"7,12","3,6","10,19",59,0,0,0,"1,1",1.00,1,1,0,5,0,,Wooster,WST,1226-3363,False,8,1,0,1,0,1,0,0,0,0,9.1,5,4,2,14,1,1,1,3.86,36,41,1,3,0,0,0,0,0,5,.222,6,6,0,"1,1","0,1","0,1",0,"0,1",,,,2,99,79.0,batting,,
2026-27,baseball,North Coast Athletic Conference (NCAC),ncac,Wittenberg,Alex Nemunaitis,Alex,Nemunaitis,,806,Alex Nemunaitis,0,0WITTENBE,20,19,,,74,27,32,21,6,1,4,7,0,8,6,2,5,0,2,1,0,0,0,0,1,0,0,0.522,52,92,5,1.000,.432,.703,15,28,4,0,0,0,0,1,0,47,.915,0,.000,,3,3,15,22,"10,22",0.45,10,22,"20,42",0.48,20,42,"15,24",0.63,15,24,"5,8",0.63,5,8,0,0,0,0,"6,15","3,4","31,52",0,0,0,0,0,0,0,0,4,12,0,,Wittenberg,WITTENBE,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,99,78.0,batting,,
2026-27,baseball,North Coast Athletic Conference (NCAC),ncac,Wittenberg,Quintin Applegate,Quintin,Applegate,,806,Quintin Applegate,0,0WITTENBE,19,19,,,74,19,31,20,2,1,2,2,0,3,9,3,2,0,1,2,0,0,0,0,0,1,0,0.444,41,82,2,1.000,.419,.554,34,1,3,0,0,0,0,0,0,38,.921,0,.000,,3,1,16,18,"10,23",0.43,10,23,"20,40",0.50,20,40,"13,26",0.50,13,26,"4,9",0.44,4,9,0,0,0,0,"7,19","10,11","29,45","1,1",1.00,1,1,1,0,0,0,8,11,0,,Wittenberg,WITTENBE,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,98,77.0,batting,,
2026-27,baseball,North Coast Athletic Conference (NCAC),ncac,Denison,Erik Sundgren,Erik,Sundgren,,182,Erik Sundgren,0,0DEN,15,15,,,57,24,23,18,3,0,6,14,3,2,9,1,15,1,0,0,0,0,0,0,0,0,0,0.534,44,73,16,.938,.404,.772,24,1,0,0,0,0,0,1,0,25,1.000,0,.000,,2,0,11,12,"6,15",0.40,6,15,"16,38",0.42,16,38,"6,21",0.29,6,21,"3,15",0.20,3,15,0,0,0,0,"6,9","4,7","27,43","0,1",0,0,1,0,0,0,0,8,11,0,,Denison,DEN,1214-3200,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,98,76.0,batting,,
2026-27,baseball,North Coast Athletic Conference (NCAC),ncac,Wabash,Mendez Dj,Mendez,Dj,,747,Mendez Dj,0,0WC,20,19,,,70,18,28,18,4,0,0,10,0,2,8,2,0,0,1,2,0,0,0,2,0,3,0,0.476,32,85,0,.000,.400,.457,16,36,13,0,0,0,0,5,0,65,.800,0,.000,,1,3,19,16,"10,24",0.42,10,24,"24,48",0.50,24,48,"17,29",0.59,17,29,"6,8",0.75,6,8,"5,21",0.24,5,21,"4,16","4,7","35,54",33,0,0,0,0,0,0,0,23,15,0,,Wabash,WC,1224-3812,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,98,75.0,batting,,
2026-27,baseball,North Coast Athletic Conference (NCAC),ncac,Oberlin,Labrecque Sam,Labrecque,Sam,,515,Labrecque Sam,0,0OBERLIN,19,16,,,55,13,23,17,7,1,1,10,0,2,3,1,1,1,1,2,0,0,0,0,0,0,0,0.507,35,70,2,.500,.418,.636,20,28,5,0,0,1,0,1,0,53,.906,1,1.000,,1,2,9,20,"12,22",0.55,12,22,"15,33",0.45,15,33,"13,23",0.57,13,23,"0,4",0,0,4,0,0,0,0,"4,13","4,6","21,38",49,0,0,0,"1,1",1.00,1,1,4,11,0,,Oberlin,OBERLIN,1221-4087,False,4,1,1,0,1,0,0,0,0,0,0.2,9,3,2,0,0,0,0,40.50,4,11,0,2,0,2,1,0,0,0,1.000,1,1,0,"1,1","4,4","1,1",0,"2,2",,,,7,97,74.0,batting,,
2026-27,baseball,North Coast Athletic Conference (NCAC),ncac,DePauw,Aidan Howard,Aidan,Howard,,177,Aidan Howard,0,0DPUB,14,14,,,55,17,23,16,4,1,2,8,0,3,7,4,6,0,0,2,0,0,0,1,0,1,0,0.500,35,68,6,1.000,.418,.636,35,0,0,0,0,0,0,1,0,35,1.000,0,.000,,0,3,10,17,"7,12",0.58,7,12,"16,30",0.53,16,30,"10,18",0.56,10,18,"3,7",0.43,3,7,0,0,0,0,"5,9","6,7","24,34",33,0,0,0,0,0,0,0,6,3,0,,DePauw,DPUB,1274-6175,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,97,73.0,batting,,
2026-27,baseball,North Coast Athletic Conference (NCAC),ncac,Denison,Jack Lutte,Jack,Lutte,,182,Jack Lutte,0,0DEN,11,11,,,41,19,21,15,9,1,1,9,0,3,3,2,2,0,0,1,0,0,0,1,0,1,0,0.611,35,54,2,1.000,.512,.854,24,2,0,0,0,0,0,0,0,26,1.000,0,.000,,1,1,6,11,"10,15",0.67,10,15,"13,24",0.54,13,24,"10,15",0.67,10,15,"7,9",0.78,7,9,0,0,0,0,"3,8","3,4","20,28",11,0,0,0,33,0,0,0,3,4,0,,Denison,DEN,1214-3347,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,97,72.0,batting,,
2026-27,baseball,North Coast Athletic Conference (NCAC),ncac,Denison,Eron Vega,Eron,Vega,,182,Eron Vega,0,0DEN,14,14,,,52,18,22,13,4,0,4,4,0,3,1,0,5,0,0,0,0,0,0,1,0,1,0,0.492,38,59,5,1.000,.423,.731,18,31,2,0,0,0,0,5,0,51,.961,0,.000,,1,5,20,8,"5,14",0.36,5,14,"7,21",0.33,7,21,"7,17",0.41,7,17,"2,8",0.25,2,8,0,0,0,0,"12,20","4,6","16,23",1,0,0,0,0,0,0,0,2,11,0,,Denison,DEN,1214-3664,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,96,71.0,batting,,
