conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,shot_stats_penalty_kick_attempts,shot_stats_penalty_kick_goals,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_penalty_shot_attempts,shot_stats_penalty_shot_goals,shot_stats_avg_shots_per_game,shot_stats_avg_sog_per_game,shot_stats_avg_points_per_game,shot_stats_avg_goals_per_game,shot_stats_avg_assists_per_game,shot_stats_shots_saved_by_goalie,goal_stats_game_tying,goal_stats_hattricks,goal_stats_overtime,goal_stats_first,goal_stats_unassisted,goal_stats_game_winning,goal_stats_avg_gw_per_game,caution_stats_fouls,caution_stats_red_cards,caution_stats_yellow_cards,caution_stats_green_cards,caution_stats_avg_fouls_per_game,caution_stats_avg_yc_per_game,caution_stats_avg_rc_per_game,caution_stats_avg_gc_per_game,misc_stats_offsides,misc_stats_corner_kicks,misc_stats_minutes_played,misc_stats_defensive_saves,misc_stats_avg_corners_per_game,misc_stats_avg_offsides_per_game,goalie_stats_shots_faced,goalie_stats_ties,goalie_stats_losses,goalie_stats_wins,goalie_stats_shutouts,goalie_stats_save_percentage,goalie_stats_goals_against_avg,goalie_stats_saves,goalie_stats_goals_allowed,goalie_stats_minutes,goalie_stats_games_started,goalie_stats_games_played,goalie_stats_avg_ga_per_game,goalie_stats_save_percentage_calc,goalie_stats_avg_sho_per_game,goalie_stats_avg_saves_per_game,z_shot_stats_goals,z_shot_stats_assists,z_shot_stats_points,z_shot_stats_shots_on_goal,z_caution_stats_yellow_cards,z_caution_stats_red_cards,composite_score,rank,rating
ncac,North Coast Athletic Conference (NCAC),2025-26,msoc,Denison,"Kist, Kameron",0,,21,21,21,0.0,0.0,27.0,58.0,24.0,6.0,9.0,5.0,4.0,2.76,1.29,1.14,0.429,0.286,18.0,1.0,0.0,0.0,2.0,6.0,2.0,0.095,16.0,0.0,0.0,0.0,0.76,0.0,0.0,0.0,0.0,,1666:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,,4.9867965445398506,4.712316947933749,5.487412260576021,5.1043876376851145,-0.6792463699611897,-0.16905081089746987,13.316991797886876,1,99
ncac,North Coast Athletic Conference (NCAC),2025-26,msoc,Wittenberg,"Donahue, Asher",0,,24,17,14,0.0,0.0,27.0,37.0,24.0,2.0,11.0,0.0,0.0,2.18,1.59,1.41,0.647,0.118,16.0,2.0,0.0,0.0,2.0,2.0,3.0,0.176,13.0,0.0,1.0,0.0,0.76,0.06,0.0,0.0,0.0,,1051:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,,6.209766414540472,1.2370804535852495,5.487412260576021,5.1043876376851145,0.2166100628616393,-0.16905081089746987,11.972917656920126,2,96
ncac,North Coast Athletic Conference (NCAC),2025-26,msoc,Wooster,"Miller, Elliot",0,,11,19,19,0.0,0.0,20.0,44.0,22.0,6.0,8.0,2.0,2.0,2.32,1.05,1.16,0.421,0.316,12.0,0.0,0.0,0.0,3.0,4.0,4.0,0.211,17.0,0.0,1.0,0.0,0.89,0.05,0.0,0.0,0.0,,1629:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,,4.375311609539539,4.712316947933749,4.982458790642505,3.6128251441808663,0.2166100628616393,-0.16905081089746987,11.919348470308831,3,95
ncac,North Coast Athletic Conference (NCAC),2025-26,msoc,Denison,"Koutsaftis, Phil",0,,8,21,21,0.0,0.0,23.0,43.0,16.0,6.0,5.0,0.0,0.0,2.05,1.1,0.76,0.238,0.286,18.0,0.0,0.0,1.0,2.0,2.0,3.0,0.143,26.0,0.0,1.0,0.0,1.24,0.05,0.0,0.0,0.0,,1277:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,,2.540856804538606,4.712316947933749,3.467598380841955,4.252066212825544,0.2166100628616393,-0.16905081089746987,9.15233959217645,4,94
ncac,North Coast Athletic Conference (NCAC),2025-26,msoc,DePauw,"Leon, Sebastian",0,,11,20,18,0.0,0.0,13.0,32.0,15.0,3.0,6.0,2.0,1.0,1.6,0.65,0.75,0.3,0.15,7.0,1.0,0.0,0.0,3.0,2.0,3.0,0.15,12.0,0.0,1.0,0.0,0.6,0.05,0.0,0.0,0.0,,1075:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,,3.152341739538917,2.1058895771723742,3.2151216458751968,2.1212626506766177,0.2166100628616393,-0.16905081089746987,7.336430940737283,5,93
ncac,North Coast Athletic Conference (NCAC),2025-26,msoc,Oberlin,"Dolton, Michael",0,,25,19,17,0.0,0.0,19.0,27.0,16.0,0.0,8.0,0.0,0.0,1.42,1.0,0.84,0.421,0.0,11.0,1.0,0.0,0.0,4.0,3.0,2.0,0.105,7.0,0.0,3.0,0.0,0.37,0.16,0.0,0.0,0.0,,1278:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,,4.375311609539539,-0.5005377935890003,3.467598380841955,3.3997447879659735,2.0083229285072974,-0.16905081089746987,6.898574863292695,6,92
ncac,North Coast Athletic Conference (NCAC),2025-26,msoc,Wooster,"Shea, Connor",0,,10,16,16,0.0,0.0,20.0,38.0,14.0,4.0,5.0,1.0,1.0,2.38,1.25,0.88,0.313,0.25,15.0,1.0,0.0,0.0,0.0,2.0,1.0,0.063,10.0,0.0,6.0,0.0,0.63,0.38,0.0,0.0,0.0,,1093:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,,2.540856804538606,2.9746987007594994,2.9626449109084385,3.6128251441808663,4.695892226975785,-0.16905081089746987,6.782798851854957,7,91
ncac,North Coast Athletic Conference (NCAC),2025-26,msoc,John Carroll,"Massucci, Andrew",0,,17,19,19,0.0,0.0,19.0,39.0,14.0,2.0,6.0,0.0,0.0,2.05,1.0,0.74,0.316,0.105,13.0,0.0,0.0,0.0,4.0,3.0,4.0,0.211,24.0,0.0,2.0,0.0,1.26,0.11,0.0,0.0,0.0,,1576:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,,3.152341739538917,1.2370804535852495,2.9626449109084385,3.3997447879659735,1.1124664956844683,-0.16905081089746987,6.672848802284012,8,91
ncac,North Coast Athletic Conference (NCAC),2025-26,msoc,Denison,"Taylor, Eli",0,,11,20,20,0.0,0.0,9.0,19.0,14.0,2.0,6.0,0.0,0.0,0.95,0.45,0.7,0.3,0.1,3.0,0.0,0.0,0.0,2.0,2.0,3.0,0.15,12.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,,1229:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,,3.152341739538917,1.2370804535852495,2.9626449109084385,1.2689412258170474,-0.6792463699611897,-0.16905081089746987,6.515445019701075,9,90
ncac,North Coast Athletic Conference (NCAC),2025-26,msoc,Ohio Wesleyan,"O'Reilly, Gabe",0,,6,18,18,0.0,0.0,17.0,30.0,11.0,5.0,3.0,0.0,0.0,1.67,0.94,0.61,0.167,0.278,14.0,1.0,0.0,0.0,2.0,1.0,1.0,0.056,11.0,0.0,1.0,0.0,0.61,0.06,0.0,0.0,0.0,,1347:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,,1.317886934537984,3.8435078243466236,2.2052147060081637,2.973584075536188,0.2166100628616393,-0.16905081089746987,6.181838335823316,10,90
