season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,team_name,team_id,sdrm_id,games_played,games_started,uniform,year,code,shot_stats_penalty_kick_attempts,shot_stats_penalty_kick_goals,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_penalty_shot_attempts,shot_stats_penalty_shot_goals,shot_stats_avg_shots_per_game,shot_stats_avg_sog_per_game,shot_stats_avg_points_per_game,shot_stats_avg_goals_per_game,shot_stats_avg_assists_per_game,shot_stats_shots_saved_by_goalie,goal_stats_game_tying,goal_stats_hattricks,goal_stats_overtime,goal_stats_first,goal_stats_unassisted,goal_stats_game_winning,goal_stats_avg_gw_per_game,caution_stats_fouls,caution_stats_red_cards,caution_stats_yellow_cards,caution_stats_green_cards,caution_stats_avg_fouls_per_game,caution_stats_avg_yc_per_game,caution_stats_avg_rc_per_game,caution_stats_avg_gc_per_game,misc_stats_offsides,misc_stats_corner_kicks,misc_stats_minutes_played,misc_stats_defensive_saves,misc_stats_avg_corners_per_game,misc_stats_avg_offsides_per_game,goalie_stats_shots_faced,goalie_stats_ties,goalie_stats_losses,goalie_stats_wins,goalie_stats_shutouts,goalie_stats_save_percentage,goalie_stats_goals_against_avg,goalie_stats_saves,goalie_stats_goals_allowed,goalie_stats_minutes,goalie_stats_games_started,goalie_stats_games_played,goalie_stats_avg_ga_per_game,goalie_stats_save_percentage_calc,goalie_stats_avg_sho_per_game,goalie_stats_avg_saves_per_game,goalie_stats
2026-27,msoc,North Coast Athletic Conference (NCAC),ncac,Kenyon,"Kayser, Matthew",Matthew,Kayser,,335,"Kayser, Matthew","KAYSER,MATTHEW",Kenyon,KEN,1219-3196,3,3,1,0,1,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,270:00,0,.00,.00,10,0,0,3,2,.667,0.33,2,1,270:00,3,3,.33,0.667,.667,.67,
2026-27,msoc,North Coast Athletic Conference (NCAC),ncac,Kenyon,"Giles, Jack",Jack,Giles,,335,"Giles, Jack","GILES,JACK",Kenyon,KEN,1219-3208,0,0,31,0,31,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,00:00,0,.00,.00,,,,,,,,,,,,,,,,,
2026-27,msoc,North Coast Athletic Conference (NCAC),ncac,Kenyon,"Doenges, Bode",Bode,Doenges,,335,"Doenges, Bode","DOENGES,BODE",Kenyon,KEN,1219-3209,0,0,32,0,32,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,00:00,0,.00,.00,,,,,,,,,,,,,,,,,
2026-27,msoc,North Coast Athletic Conference (NCAC),ncac,Kenyon,"Hand, Liam",Liam,Hand,,335,"Hand, Liam","HAND,LIAM",Kenyon,KEN,1219-3209,0,0,32,0,32,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,00:00,0,.00,.00,,,,,,,,,,,,,,,,,
2026-27,msoc,North Coast Athletic Conference (NCAC),ncac,Kenyon,"Mitchell, Devin",Devin,Mitchell,,335,"Mitchell, Devin","MITCHELL,DEVIN",Kenyon,KEN,1219-3197,3,0,2,0,2,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,1,0,0,0,.33,.00,.00,.00,0,,77:00,0,.00,.00,,,,,,,,,,,,,,,,,
2026-27,msoc,North Coast Athletic Conference (NCAC),ncac,Kenyon,"Okwaning, Nic",Nic,Okwaning,,335,"Okwaning, Nic","OKWANING,NIC",Kenyon,KEN,1219-3198,2,0,3,0,3,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,15:00,0,.00,.00,,,,,,,,,,,,,,,,,
2026-27,msoc,North Coast Athletic Conference (NCAC),ncac,Kenyon,"Ishii, Hayato",Hayato,Ishii,,335,"Ishii, Hayato","ISHII,HAYATO",Kenyon,KEN,1219-2796,3,0,4,0,4,0,0,0,0,1,1,0,0,0,.00,.00,.33,.000,.333,0,0,0,0,0,0,0,.000,1,0,0,0,.33,.00,.00,.00,0,,100:00,0,.00,.00,,,,,,,,,,,,,,,,,
2026-27,msoc,North Coast Athletic Conference (NCAC),ncac,Kenyon,"Commandeur, Jack",Jack,Commandeur,,335,"Commandeur, Jack","COMMANDEUR,JACK",Kenyon,KEN,1219-3017,3,0,5,0,5,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,115:00,0,.00,.00,,,,,,,,,,,,,,,,,
2026-27,msoc,North Coast Athletic Conference (NCAC),ncac,Kenyon,"Adams, Andrew",Andrew,Adams,,335,"Adams, Andrew","ADAMS,ANDREW",Kenyon,KEN,1219-2794,3,3,6,0,6,0,0,0,2,1,1,0,0,0,.67,.00,.33,.000,.333,0,0,0,0,0,0,0,.000,1,0,0,0,.33,.00,.00,.00,0,,180:00,0,.00,.00,,,,,,,,,,,,,,,,,
2026-27,msoc,North Coast Athletic Conference (NCAC),ncac,Kenyon,"Kankam, Danny",Danny,Kankam,,335,"Kankam, Danny","KANKAM,DANNY",Kenyon,KEN,1219-3008,3,3,7,0,7,0,0,1,3,4,2,1,0,0,1.00,.33,1.33,.333,.667,0,0,0,0,1,1,1,.333,0,0,0,0,.00,.00,.00,.00,0,,134:00,0,.00,.00,,,,,,,,,,,,,,,,,
