season,sport,gender,conference,conference_code,team,school_name,player_name,position,class_year,clippd_player_id,clippd_rank,player_ranking_status,scoring_stats_scoring_average,scoring_stats_vs_par,scoring_stats_rounds,scoring_stats_adjusted_score,scoring_stats_stroke_play_events,top10_finishes,events_won,average_points,strength_of_schedule,region,data_source
2025-26,wgolf,Women,North Coast Athletic Conference,ncac,DePauw,DePauw University,Becky Williams,,,23995,28,ACTIVE,73.83,1.83,24,73.3620058309218,10,6,5,45.2119134045738,-15.820730121586,Great Lakes - (W) DIII,clippd_scoreboard
2025-26,wgolf,Women,North Coast Athletic Conference,ncac,Denison,Denison University,Natalia Fanucchi,,Fourth Year,15513,70,ACTIVE,76.26,4.26,23,75.1285724956531,10,1,0,27.3245551316751,-14.5198242075269,Great Lakes - (W) DIII,clippd_scoreboard
2025-26,wgolf,Women,North Coast Athletic Conference,ncac,Denison,Denison University,Siena Maschke,,Third Year,31197,95,ACTIVE,77.57,5.57,23,76.4329203217401,10,3,1,22.4435188015824,-14.5198242075269,Great Lakes - (W) DIII,clippd_scoreboard
2025-26,wgolf,Women,North Coast Athletic Conference,ncac,Kenyon,Kenyon College,Sasha Belova,,Second Year,7694,129,ACTIVE,77.05,5.05,20,77.1903293842962,10,5,3,17.6410355625822,-20.65475657062,Great Lakes - (W) DIII,clippd_scoreboard
2025-26,wgolf,Women,North Coast Athletic Conference,ncac,DePauw,DePauw University,Daisy Williams,,Second Year,7361,142,ACTIVE,77.55,5.55,20,77.1747639065812,9,2,0,16.3779226985433,-16.9359676074076,Great Lakes - (W) DIII,clippd_scoreboard
2025-26,wgolf,Women,North Coast Athletic Conference,ncac,Denison,Denison University,Isabella Dolan,,,18599,148,ACTIVE,78.61,6.61,23,77.4763985826096,10,1,0,15.4785450034475,-14.5198242075269,Great Lakes - (W) DIII,clippd_scoreboard
2025-26,wgolf,Women,North Coast Athletic Conference,ncac,Kenyon,Kenyon College,Rafa Plasa,,Second Year,7700,151,ACTIVE,77.5,5.5,12,77.9137752191371,6,3,1,15.1100001200511,-22.9424334777845,Great Lakes - (W) DIII,clippd_scoreboard
2025-26,wgolf,Women,North Coast Athletic Conference,ncac,Denison,Denison University,Lizzy Grant,,Fourth Year,19411,163,ACTIVE,79.35,7.35,23,78.2155290173922,10,1,0,13.8827246517338,-14.5198242075269,Great Lakes - (W) DIII,clippd_scoreboard
2025-26,wgolf,Women,North Coast Athletic Conference,ncac,DePauw,DePauw University,Emma Pasawat,,Third Year,34153,232,ACTIVE,80.25,8.25,20,79.8747639065812,9,1,0,9.25788847439231,-16.9359676074076,Great Lakes - (W) DIII,clippd_scoreboard
2025-26,wgolf,Women,North Coast Athletic Conference,ncac,Wittenberg,Wittenberg University,Addie Yarbrough,,Third Year,33617,249,ACTIVE,80.92,8.92,24,80.1676298210392,11,2,1,8.63923851933377,-19.2110244189783,Great Lakes - (W) DIII,clippd_scoreboard
2025-26,wgolf,Women,North Coast Athletic Conference,ncac,Denison,Denison University,Anais Oge,,Second Year,4182,307,ACTIVE,82.56,10.56,18,81.3493233646387,8,0,0,6.6451493985825,-14.8953756802186,Great Lakes - (W) DIII,clippd_scoreboard
