conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,shot_stats_penalty_kick_attempts,shot_stats_penalty_kick_goals,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_penalty_shot_attempts,shot_stats_penalty_shot_goals,shot_stats_avg_shots_per_game,shot_stats_avg_sog_per_game,shot_stats_avg_points_per_game,shot_stats_avg_goals_per_game,shot_stats_avg_assists_per_game,shot_stats_shots_saved_by_goalie,goal_stats_game_tying,goal_stats_hattricks,goal_stats_overtime,goal_stats_first,goal_stats_unassisted,goal_stats_game_winning,goal_stats_avg_gw_per_game,caution_stats_fouls,caution_stats_red_cards,caution_stats_yellow_cards,caution_stats_green_cards,caution_stats_avg_fouls_per_game,caution_stats_avg_yc_per_game,caution_stats_avg_rc_per_game,caution_stats_avg_gc_per_game,misc_stats_offsides,misc_stats_corner_kicks,misc_stats_minutes_played,misc_stats_defensive_saves,misc_stats_avg_corners_per_game,misc_stats_avg_offsides_per_game,goalie_stats_shots_faced,goalie_stats_ties,goalie_stats_losses,goalie_stats_wins,goalie_stats_shutouts,goalie_stats_save_percentage,goalie_stats_goals_against_avg,goalie_stats_saves,goalie_stats_goals_allowed,goalie_stats_minutes,goalie_stats_games_started,goalie_stats_games_played,goalie_stats_avg_ga_per_game,goalie_stats_save_percentage_calc,goalie_stats_avg_sho_per_game,goalie_stats_avg_saves_per_game,z_shot_stats_goals,z_shot_stats_assists,z_shot_stats_points,z_shot_stats_shots_on_goal,z_caution_stats_yellow_cards,z_caution_stats_red_cards,composite_score,rank,rating
ncac,North Coast Athletic Conference (NCAC),2025-26,wsoc,John Carroll,Emily Patrzyk,0,,10,19,19,0.0,0.0,23.0,40.0,20.0,4.0,8.0,1.0,0.0,2.11,1.21,1.05,0.421,0.211,15.0,1.0,0.0,0.0,4.0,4.0,4.0,0.211,4.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0,,1395:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,,4.829853610165388,4.537581910631182,5.280295941413061,3.48779807171262,-0.3991036138995859,-0.09053574604251854,12.496007561440827,1,99
ncac,North Coast Athletic Conference (NCAC),2025-26,wsoc,Wittenberg,"Deaton, Sarah",0,,10,16,16,0.0,0.0,31.0,48.0,20.0,2.0,9.0,0.0,0.0,3.0,1.94,1.25,0.563,0.125,22.0,1.0,1.0,0.0,4.0,5.0,2.0,0.125,16.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,1063:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,,5.496601078235358,1.9832451829074504,5.280295941413061,4.934065792979041,-0.3991036138995859,-0.09053574604251854,11.663972864357468,2,95
ncac,North Coast Athletic Conference (NCAC),2025-26,wsoc,Wooster,"Bencic, Josie",0,,13,13,13,0.0,0.0,15.0,40.0,17.0,3.0,7.0,0.0,0.0,3.08,1.15,1.31,0.538,0.231,8.0,0.0,0.0,0.0,2.0,4.0,1.0,0.077,4.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,,879:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,,4.163106142095419,3.2604135467693163,4.402229604152395,2.0415303504461986,-0.3991036138995859,-0.09053574604251854,10.0313422583318,3,94
ncac,North Coast Athletic Conference (NCAC),2025-26,wsoc,Kenyon,"Copeland, Emily",0,,18,18,16,0.0,0.0,36.0,68.0,18.0,0.0,9.0,0.0,0.0,3.78,2.0,1.0,0.5,0.0,27.0,2.0,1.0,0.0,2.0,4.0,1.0,0.056,7.0,0.0,1.0,0.0,0.39,0.06,0.0,0.0,0.0,,1299:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,,5.496601078235358,-0.5710915448162815,4.694918383239283,5.837983118770554,1.488963482625378,-0.09053574604251854,9.363746264908771,4,92
ncac,North Coast Athletic Conference (NCAC),2025-26,wsoc,Denison,"Mielke, Mattie",0,,19,19,19,0.0,0.0,14.0,37.0,13.0,3.0,5.0,0.0,0.0,1.95,0.74,0.68,0.263,0.158,9.0,1.0,0.0,0.0,4.0,3.0,2.0,0.105,21.0,0.0,0.0,0.0,1.11,0.0,0.0,0.0,0.0,,1337:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,,2.8296112059554805,3.2604135467693163,3.2314744878048387,1.860746885287896,-0.3991036138995859,-0.09053574604251854,7.842162047716913,5,91
ncac,North Coast Athletic Conference (NCAC),2025-26,wsoc,Wooster,"Henegar, Annie",0,,25,17,14,0.0,0.0,22.0,33.0,12.0,2.0,5.0,0.0,0.0,1.94,1.29,0.71,0.294,0.118,17.0,0.0,0.0,0.0,2.0,2.0,4.0,0.235,4.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0,,973:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,,2.8296112059554805,1.9832451829074504,2.93878570871795,3.3070146065543176,-0.3991036138995859,-0.09053574604251854,7.03251559190607,6,91
ncac,North Coast Athletic Conference (NCAC),2025-26,wsoc,John Carroll,Brooke Berkowitz,0,,6,19,11,0.0,0.0,18.0,39.0,14.0,0.0,7.0,0.0,0.0,2.05,0.95,0.74,0.368,0.0,11.0,0.0,0.0,0.0,3.0,3.0,3.0,0.158,12.0,0.0,0.0,0.0,0.63,0.0,0.0,0.0,0.0,,830:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,,4.163106142095419,-0.5710915448162815,3.5241632668917275,2.583880745921107,-0.3991036138995859,-0.09053574604251854,6.843112337234398,7,90
ncac,North Coast Athletic Conference (NCAC),2025-26,wsoc,Ohio Wesleyan,"Bruns, Ava",0,,38,18,16,0.0,0.0,12.0,24.0,9.0,3.0,3.0,0.0,0.0,1.33,0.67,0.5,0.167,0.167,9.0,0.0,0.0,0.0,2.0,2.0,1.0,0.056,3.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,,1181:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,,1.4961162698155415,3.2604135467693163,2.060719371457283,1.4991799549712905,-0.3991036138995859,-0.09053574604251854,5.616825144070365,8,89
ncac,North Coast Athletic Conference (NCAC),2025-26,wsoc,Wooster,"Struck, Julia",0,,9,17,13,0.0,0.0,10.0,22.0,10.0,2.0,4.0,0.0,0.0,1.29,0.59,0.59,0.235,0.118,6.0,0.0,0.0,0.0,3.0,0.0,3.0,0.176,16.0,0.0,0.0,0.0,0.94,0.0,0.0,0.0,0.0,,793:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,,2.1628637378855107,1.9832451829074504,2.353408150544172,1.1376130246546852,-0.3991036138995859,-0.09053574604251854,5.5221235167345295,9,88
ncac,North Coast Athletic Conference (NCAC),2025-26,wsoc,Denison,"Stackhouse, Emily",0,,29,19,4,0.0,0.0,10.0,16.0,10.0,2.0,4.0,0.0,0.0,0.84,0.53,0.53,0.211,0.105,6.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,10.0,0.0,1.0,0.0,0.53,0.05,0.0,0.0,0.0,,735:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,,2.1628637378855107,1.9832451829074504,2.353408150544172,1.1376130246546852,1.488963482625378,-0.09053574604251854,5.238913452255785,10,88
