season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,team_name,team_id,sdrm_id,games_played,games_started,uniform,year,code,shot_stats_penalty_kick_attempts,shot_stats_penalty_kick_goals,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_penalty_shot_attempts,shot_stats_penalty_shot_goals,shot_stats_avg_shots_per_game,shot_stats_avg_sog_per_game,shot_stats_avg_points_per_game,shot_stats_avg_goals_per_game,shot_stats_avg_assists_per_game,shot_stats_shots_saved_by_goalie,goal_stats_game_tying,goal_stats_hattricks,goal_stats_overtime,goal_stats_first,goal_stats_unassisted,goal_stats_game_winning,goal_stats_avg_gw_per_game,caution_stats_fouls,caution_stats_red_cards,caution_stats_yellow_cards,caution_stats_green_cards,caution_stats_avg_fouls_per_game,caution_stats_avg_yc_per_game,caution_stats_avg_rc_per_game,caution_stats_avg_gc_per_game,misc_stats_offsides,misc_stats_corner_kicks,misc_stats_minutes_played,misc_stats_defensive_saves,misc_stats_avg_corners_per_game,misc_stats_avg_offsides_per_game,goalie_stats_shots_faced,goalie_stats_ties,goalie_stats_losses,goalie_stats_wins,goalie_stats_shutouts,goalie_stats_save_percentage,goalie_stats_goals_against_avg,goalie_stats_saves,goalie_stats_goals_allowed,goalie_stats_minutes,goalie_stats_games_started,goalie_stats_games_played,goalie_stats_avg_ga_per_game,goalie_stats_save_percentage_calc,goalie_stats_avg_sho_per_game,goalie_stats_avg_saves_per_game,goalie_stats,composite_score,global_rank,rating
2026-27,wsoc,North Coast Athletic Conference (NCAC),ncac,Denison,"Perkins, Lucy",Lucy,Perkins,,182,"Perkins, Lucy","PERKINS,LUCY",Denison,DEN,1214-3675,3,2,30,0,30,0,0,6,7,6,0,3,0,0,2.33,2.00,2.00,1.000,.000,3,0,1,0,1,0,1,.333,1,0,0,0,.33,.00,.00,.00,0,,134:00,0,.00,.00,,,,,,,,,,,,,,,,,,24.995521132698208,1,99
2026-27,wsoc,North Coast Athletic Conference (NCAC),ncac,Denison,"Mather, Brimmer",Brimmer,Mather,,182,"Mather, Brimmer","MATHER,BRIMMER",Denison,DEN,1214-3956,3,3,28,0,28,0,0,4,9,3,1,1,0,0,3.00,1.33,1.00,.333,.333,3,0,0,0,1,0,1,.333,4,0,0,0,1.33,.00,.00,.00,0,,194:00,0,.00,.00,,,,,,,,,,,,,,,,,,15.162791803736685,2,99
2026-27,wsoc,North Coast Athletic Conference (NCAC),ncac,Denison,"Mielke, Mattie",Mattie,Mielke,,182,"Mielke, Mattie","MIELKE,MATTIE",Denison,DEN,1214-3274,3,3,19,0,19,0,0,3,6,3,1,1,0,0,2.00,1.00,1.00,.333,.333,2,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,161:00,0,.00,.00,,,,,,,,,,,,,,,,,,14.597081377887157,3,99
2026-27,wsoc,North Coast Athletic Conference (NCAC),ncac,Denison,"Bohi, Adeline",Adeline,Bohi,,182,"Bohi, Adeline","BOHI,ADELINE",Denison,DEN,1214-3670,3,0,12,0,12,0,0,1,4,3,1,1,0,0,1.33,.33,1.00,.333,.333,0,0,0,0,0,0,0,.000,2,0,0,0,.67,.00,.00,.00,0,,100:00,0,.00,.00,,,,,,,,,,,,,,,,,,13.465660526188103,4,98
2026-27,wsoc,North Coast Athletic Conference (NCAC),ncac,Wooster,"Crompton, Bella",Bella,Crompton,,807,"Crompton, Bella","CROMPTON,BELLA",Wooster,WOO,1226-2834,2,2,16,0,16,0,0,4,10,2,0,1,0,0,5.00,2.00,1.00,.500,.000,3,0,0,0,1,0,0,.000,1,0,0,0,.50,.00,.00,.00,0,,147:00,0,.00,.00,,,,,,,,,,,,,,,,,,8.793451160418202,5,98
2026-27,wsoc,North Coast Athletic Conference (NCAC),ncac,Denison,"McGlone, Mara",Mara,McGlone,,182,"McGlone, Mara","MCGLONE,MARA",Denison,DEN,1214-3272,3,1,15,0,15,0,0,3,10,2,0,1,0,0,3.33,1.00,.67,.333,.000,2,0,0,0,1,1,0,.000,3,0,0,0,1.00,.00,.00,.00,0,,139:00,0,.00,.00,,,,,,,,,,,,,,,,,,8.227740734568675,6,98
2026-27,wsoc,North Coast Athletic Conference (NCAC),ncac,John Carroll,"Villwock, Gracie",Gracie,Villwock,,320,"Villwock, Gracie","VILLWOCK,GRACIE",John Carroll,JCU,1277-7792,3,2,17,0,17,0,0,3,4,2,0,1,0,0,1.33,1.00,.67,.333,.000,2,1,0,0,0,1,0,.000,0,0,0,0,.00,.00,.00,.00,0,,194:00,0,.00,.00,,,,,,,,,,,,,,,,,,8.227740734568675,7,97
2026-27,wsoc,North Coast Athletic Conference (NCAC),ncac,Ohio Wesleyan,"Adams, Jordyn",Jordyn,Adams,,520,"Adams, Jordyn","ADAMS,JORDYN",Ohio Wesleyan,OWU,1222-2866,3,3,12,0,12,0,0,2,3,2,0,1,0,0,1.00,.67,.67,.333,.000,1,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,161:00,0,.00,.00,,,,,,,,,,,,,,,,,,7.662030308719148,8,97
2026-27,wsoc,North Coast Athletic Conference (NCAC),ncac,Wooster,"Bencic, Josie",Josie,Bencic,,807,"Bencic, Josie","BENCIC,JOSIE",Wooster,WOO,1226-3204,2,2,3,0,3,0,0,2,5,2,0,1,0,0,2.50,1.00,1.00,.500,.000,1,0,0,0,0,0,1,.500,2,0,0,0,1.00,.00,.00,.00,0,,110:00,0,.00,.00,,,,,,,,,,,,,,,,,,7.662030308719148,9,97
2026-27,wsoc,North Coast Athletic Conference (NCAC),ncac,John Carroll,"Berkowitz, Brooke",Brooke,Berkowitz,,320,"Berkowitz, Brooke","BERKOWITZ,BROOKE",John Carroll,JCU,1277-7789,3,3,6,0,6,0,0,2,5,2,0,1,0,0,1.67,.67,.67,.333,.000,1,0,0,0,1,0,1,.333,0,0,0,0,.00,.00,.00,.00,0,,229:00,0,.00,.00,,,,,,,,,,,,,,,,,,7.662030308719148,10,96
