season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,linkup_name,games_played,games_started,uniform,year,hitting_stats_at_bats,hitting_stats_runs,hitting_stats_hits,hitting_stats_runs_batted_in,hitting_stats_doubles,hitting_stats_triples,hitting_stats_home_runs,hitting_stats_walks,hitting_stats_intentional_walks,hitting_stats_hit_by_pitch,hitting_stats_strikeouts,hitting_stats_strikeouts_looking,hitting_stats_stolen_bases,hitting_stats_caught_stealing,hitting_stats_sacrifice_hits,hitting_stats_sacrifice_flies,hitting_stats_reached_on_catchers_interference,hitting_stats_reached_on_error,hitting_stats_reached_on_fielders_choice,hitting_stats_grounded_into_doubleplay,hitting_stats_picked_off,hitting_stats_total_double_plays,hitting_stats_total_triple_plays,hitting_stats_onbase_percentage,hitting_stats_total_bases,hitting_stats_total_plate_appearances,hitting_stats_stolen_base_attempts,hitting_stats_stolen_base_percentage,hitting_stats_batting_average,hitting_stats_slugging_percentage,fielding_stats_putouts,fielding_stats_assists,fielding_stats_errors,fielding_stats_passed_balls,fielding_stats_catchers_interference,fielding_stats_stolen_bases_against,fielding_stats_caught_stealing_by,fielding_stats_involved_in_double_plays,fielding_stats_involved_in_triple_plays,fielding_stats_total_chances,fielding_stats_fielding_percentage,fielding_stats_stolen_bases_against_attempts,fielding_stats_stolen_bases_against_percentage,pitching_stats,hitting_summary_stats_times_reached_base_on_error,hitting_summary_stats_times_reached_base_on_fielders_choice,hitting_summary_stats_times_grouded_out,hitting_summary_stats_times_flied_out,hitting_summary_stats_hits_ab_with_2_outs,hitting_summary_stats_batting_avg_with_2_outs,hitting_summary_stats_hits_with_2_outs,hitting_summary_stats_ab_with_2_outs,hitting_summary_stats_hits_ab_with_runners_on_base,hitting_summary_stats_batting_avg_with_runners_on_base,hitting_summary_stats_hits_with_runners_on_base,hitting_summary_stats_ab_with_runners_on_base,hitting_summary_stats_hits_ab_with_runners_in_scoring_position,hitting_summary_stats_batting_avg_with_runners_in_scoring_position,hitting_summary_stats_hits_with_runners_in_scoring_position,hitting_summary_stats_ab_with_runners_in_scoring_position,hitting_summary_stats_hits_ab_vs_left_handed_pitchers,hitting_summary_stats_batting_avg_vs_left_handed_pitchers,hitting_summary_stats_hits_vs_left_handed_pitchers,hitting_summary_stats_ab_vs_left_handed_pitchers,hitting_summary_stats_hits_ab_vs_right_handed_pitchers,hitting_summary_stats_batting_avg_vs_right_handed_pitchers,hitting_summary_stats_hits_vs_right_handed_pitchers,hitting_summary_stats_ab_vs_right_handed_pitchers,hitting_summary_stats_success_opps_as_leadoff_batter_in_inning,hitting_summary_stats_success_opps_to_drive_in_runner_from_3rd_with_less_than_2_outs,hitting_summary_stats_number_of_runners_advanced_ab,hitting_summary_stats_hits_ab_with_bases_loaded,hitting_summary_stats_batting_avg_with_bases_loaded,hitting_summary_stats_hits_with_bases_loaded,hitting_summary_stats_ab_with_bases_loaded,hitting_summary_stats_hits_ab_as_pinch_hitter,hitting_summary_stats_batting_avg_as_pinch_hitter,hitting_summary_stats_hits_as_pinch_hitter,hitting_summary_stats_ab_as_pinch_hitter,hitting_summary_stats_times_advanced_at_least_1_runner_with_an_out,hitting_summary_stats_runners_left_on_base,hitting_summary_stats_two_out_rbis,pitching_summary_stats,team_name,team_id,sdrm_id,this_is_softball,pitching_stats_hits_allowed,pitching_stats_appearances,pitching_stats_games_started,pitching_stats_wins,pitching_stats_losses,pitching_stats_saves,pitching_stats_complete_games,pitching_stats_shutouts,pitching_stats_credit_for_combined_shutout,pitching_stats_games_finished,pitching_stats_innings_pitched,pitching_stats_runs_allowed,pitching_stats_earned_runs_allowed,pitching_stats_walks_allowed,pitching_stats_strikeouts,pitching_stats_doubles_allowed,pitching_stats_triples_allowed,pitching_stats_home_runs_allowed,pitching_stats_earned_run_average,pitching_stats_opponents_at_bats,pitching_stats_batters_faced,pitching_stats_wild_pitches,pitching_stats_hit_batters,pitching_stats_balks,pitching_stats_sacrifice_flies_allowed,pitching_stats_sacrifice_hits_allowed,pitching_stats_catchers_interference_allowed,pitching_stats_intentional_walks,pitching_stats_strikeouts_looking,pitching_stats_opponent_batting_average,pitching_summary_stats_fly_outs_allowed,pitching_summary_stats_ground_outs_allowed,pitching_summary_stats_runners_picked_off,pitching_summary_stats_success_opps_vs_leadoff_batters,pitching_summary_stats_hits_ab_with_runners_on_base,pitching_summary_stats_hits_ab_vs_left_handed_batters,pitching_summary_stats_hits_ab_vs_right_handed_batters,pitching_summary_stats_hits_ab_with_2_outs
2026-27,softball,New England Small College Athletic Conference (NESCAC),nescac,Tufts,Haley Leimbach,Haley,Leimbach,,717,Haley Leimbach,0,0TUFTS,43,43,,,153,33,51,22,8,0,2,12,0,1,16,7,4,0,2,2,0,0,0,0,0,2,0,0.381,65,170,4,1.000,.333,.425,324,16,2,0,0,0,0,10,0,342,.994,0,.000,,5,4,37,47,"15,53",0.28,15,53,"22,72",0.31,22,72,"12,48",0.25,12,48,"5,17",0.29,5,17,"5,16",0.31,5,16,"23,49","9,18","39,83",125,0,0,0,0,0,0,0,17,44,0,,Tufts,TUFTS,1129-4387,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,softball,New England Small College Athletic Conference (NESCAC),nescac,Tufts,Kaitlyn Perucci,Kaitlyn,Perucci,,717,Kaitlyn Perucci,0,0TUFTS,43,43,,,150,37,56,35,9,1,5,15,0,1,9,1,7,0,1,0,0,0,0,0,0,3,0,0.434,82,167,7,1.000,.373,.547,51,3,2,0,0,0,0,1,0,56,.964,0,.000,,6,11,37,42,"25,61",0.41,25,61,"38,102",0.37,38,102,"27,67",0.40,27,67,"2,15",0.13,2,15,"9,16",0.56,9,16,"9,22","5,12","62,112",80,0,0,0,0,0,0,0,21,42,0,,Tufts,TUFTS,1129-4390,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,softball,New England Small College Athletic Conference (NESCAC),nescac,Tufts,Lauryn Horita,Lauryn,Horita,,717,Lauryn Horita,0,0TUFTS,43,43,,,143,39,49,35,12,1,3,14,0,11,25,4,11,1,2,1,0,0,0,0,0,1,0,0.438,72,171,12,.917,.343,.503,23,2,2,0,0,0,0,0,0,27,.926,0,.000,,7,10,33,33,"17,43",0.40,17,43,"34,84",0.40,34,84,"20,50",0.40,20,50,"5,14",0.36,5,14,"4,12",0.33,4,12,"19,45","9,17","55,96",136,0,0,0,2,0,0,0,13,23,0,,Tufts,TUFTS,1129-4391,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,softball,New England Small College Athletic Conference (NESCAC),nescac,Tufts,Heaven Oliva,Heaven,Oliva,,717,Heaven Oliva,0,0TUFTS,43,43,,,144,27,58,46,12,0,12,21,0,1,11,1,0,1,0,2,0,0,0,1,0,3,0,0.476,106,168,1,.000,.403,.736,138,45,7,0,0,27,15,2,0,190,.963,42,.643,,2,3,26,49,"19,48",0.40,19,48,"31,83",0.37,31,83,"22,52",0.42,22,52,"3,14",0.21,3,14,"6,14",0.43,6,14,"16,27","8,11","41,88",283,0,0,0,0,0,0,0,13,34,0,,Tufts,TUFTS,1129-4652,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,softball,New England Small College Athletic Conference (NESCAC),nescac,Tufts,Ella McHugh,Ella,McHugh,,717,Ella McHugh,0,0TUFTS,36,26,,,84,17,25,10,0,0,0,3,0,1,11,8,16,0,1,0,0,0,0,0,0,0,0,0.330,25,89,16,1.000,.298,.298,34,1,0,0,0,0,0,0,0,35,1.000,0,.000,,8,8,26,13,"9,22",0.41,9,22,"18,50",0.36,18,50,"11,33",0.33,11,33,"1,4",0.25,1,4,"0,0",0,0,0,"7,21","4,11","31,52",63,0,0,0,2,0,0,0,7,11,0,,Tufts,TUFTS,1129-5113,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,softball,New England Small College Athletic Conference (NESCAC),nescac,Tufts,Paige Murphy,Paige,Murphy,,717,Paige Murphy,0,0TUFTS,43,43,,,150,38,69,35,17,0,5,14,0,1,12,2,8,2,2,0,0,0,0,0,0,2,0,0.509,101,167,10,.800,.460,.673,84,129,22,0,0,0,0,11,0,235,.906,0,.000,,4,12,42,24,"30,53",0.57,30,53,"39,86",0.45,39,86,"31,53",0.58,31,53,"4,14",0.29,4,14,"8,16",0.50,8,16,"14,29","6,10","57,93",112,0,0,0,0,0,0,0,22,27,0,,Tufts,TUFTS,1129-5110,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,softball,New England Small College Athletic Conference (NESCAC),nescac,Tufts,Fallon O'Connor,Fallon,O'Connor,,717,Fallon O'Connor,0,0TUFTS,17,7,,,23,4,7,1,1,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0.360,8,25,0,.000,.304,.348,5,2,1,0,0,0,1,0,0,8,.875,1,.000,,2,1,6,2,"2,8",0.25,2,8,"3,13",0.23,3,13,"2,10",0.20,2,10,"1,6",0.17,1,6,"1,3",0.33,1,3,"3,6","0,1","6,14","0,0",0,0,0,11,0,0,0,3,9,0,,Tufts,TUFTS,1129-4650,True,10,1,0,0,0,4,0,0,0,0,8.2,5,5,1,5,3,1,0,4.04,40,41,2,0,0,0,0,0,0,2,.250,5,15,0,"1,1","2,6","1,1",0,"0,2"
2026-27,softball,New England Small College Athletic Conference (NESCAC),nescac,Tufts,Madi Sewell,Madi,Sewell,,717,Madi Sewell,0,0TUFTS,10,6,,,18,1,2,3,0,0,1,2,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0.200,5,21,0,.000,.111,.278,1,0,0,0,0,0,0,0,0,1,1.000,0,.000,,0,1,4,10,"0,6",0,0,6,"2,10",0.20,2,10,"2,8",0.25,2,8,"1,4",0.25,1,4,"0,3",0,0,3,"0,3","0,1","4,12",13,0,0,0,8,0,0,0,1,11,0,,Tufts,TUFTS,1129-4388,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,softball,New England Small College Athletic Conference (NESCAC),nescac,Tufts,Taylor Hurst,Taylor,Hurst,,717,Taylor Hurst,0,0TUFTS,24,11,,,42,5,5,6,1,0,0,3,0,2,8,1,2,0,0,2,0,0,0,0,0,1,0,0.204,6,49,2,1.000,.119,.143,4,9,5,0,0,0,0,1,0,18,.722,0,.000,,2,5,10,16,"1,15",0.07,1,15,"4,23",0.17,4,23,"3,16",0.19,3,16,"3,9",0.33,3,9,"1,7",0.14,1,7,"0,9","5,6","10,26",2,0,0,0,16,0,0,0,4,17,0,,Tufts,TUFTS,1129-5119,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-27,softball,New England Small College Athletic Conference (NESCAC),nescac,Tufts,Cat Kawabe,Cat,Kawabe,,717,Cat Kawabe,0,0TUFTS,43,43,,,132,30,43,27,9,0,3,16,0,1,10,1,12,1,4,1,0,0,0,0,0,1,0,0.400,61,154,13,.923,.326,.462,85,96,13,0,0,0,0,5,0,194,.933,0,.000,,6,3,34,45,"14,45",0.31,14,45,"24,75",0.32,24,75,"16,52",0.31,16,52,"7,14",0.50,7,14,"4,13",0.31,4,13,"16,30","7,16","43,90",15,0,0,0,0,0,0,0,17,38,0,,Tufts,TUFTS,1129-4882,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
