conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,field_goals_made,field_goals_attempted,three_points_made,three_points_attempted,free_throws_attempted,free_throws_made,points_scored,blocked_shots,steals,assists,minutes_played,offensive_rebounds,defensive_rebounds,total_rebounds,personal_fouls,technical_fouls,turnovers,disqualifications,deadballs,field_goals_pct,three_points_pct,free_throws_pct,points_per_game,rebounds_per_game,assists_per_game,steals_per_game,blocked_shots_per_game,turnovers_per_game,z_points_per_game,z_rebounds_per_game,z_assists_per_game,z_turnovers_per_game,z_field_goals_pct,z_steals_per_game,z_blocked_shots_per_game,composite_score,rank,rating
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wbball,Bates,Elsa Daulerio,0,*,22,27,27,159,356,0,4,96,65,383,73,12,57,781,47,149,196,42,0,38,0,0,0.45,0.0,0.68,14.19,7.26,2.11,0.44,2.7,1.4074074074074074,2.374256422725143,2.241388951560533,1.3668704929808846,0.4283617590541452,0.7063964052142742,-0.33057144856144594,6.098691467335424,9.82988962570576,1,99
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wbball,Bowdoin,"Kinum,Grace",0,G,4,26,24,142,300,14,50,81,59,357,12,51,110,745,54,121,175,38,0,65,1,0,0.47,0.28,0.73,13.73,6.73,4.23,1.96,0.46,2.5,2.2606134623223673,1.9846167156356422,3.830723965449027,1.9550913678189994,0.8534866592563207,2.8628343377771355,0.5006008603319619,9.720030478262032,2,94
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wbball,Hamilton,"Lambo,Taylor",0,F,53,25,25,131,248,1,10,101,71,334,28,28,70,742,57,179,236,58,0,59,0,0,0.53,0.1,0.7,13.36,9.44,2.8,1.12,1.12,2.36,2.169204994172308,3.297546450270462,2.1687850665672137,1.7594629637128585,1.2947574213824615,1.0980574558531828,2.1500382713240533,9.546096650403566,3,92
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wbball,Colby,Kate Olenik,0,*,13,22,21,128,283,30,96,69,51,337,11,27,41,692,25,88,113,31,0,31,1,0,0.45,0.31,0.74,15.32,5.14,1.86,1.23,0.5,1.4090909090909092,2.6534228254537013,1.2143000078609685,1.0763217344351135,0.43071419296595553,0.7063964052142742,1.329159190390843,0.6005667640284523,8.83947720426947,4,91
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wbball,Wesleyan,"Quinn,Olivia",0,G,12,22,22,121,333,35,126,109,95,372,17,34,32,804,50,89,139,65,0,76,4,0,0.36,0.28,0.87,16.91,6.32,1.45,1.55,0.77,3.4545454545454546,3.046232188585035,1.785981589731481,0.599821770420048,3.288921395815413,0.044490262025063114,2.001455145409492,1.2753366139797624,8.2938963944382,5,90
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wbball,Williams,Micah Walton,0,*,11,26,26,153,350,12,35,99,72,390,0,47,72,967,22,108,130,51,0,69,0,0,0.44,0.34,0.73,15.0,5.0,2.77,1.81,0.0,2.6538461538461537,2.5743668529995962,1.1464733795034503,2.1339192155417215,2.1700676360675053,0.6328512781932506,2.547695608862144,-0.6490070321776775,8.262626789989891,6,89
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wbball,Williams,Kathleen Smith,0,0,24,26,24,138,234,0,0,71,49,325,21,26,35,847,102,121,223,53,0,47,1,0,0.59,0.0,0.69,12.5,8.58,1.35,1.0,0.81,1.8076923076923077,1.9567420682019014,2.8808971617885635,0.4836022670017396,0.9876981607007215,1.7360281835086018,0.8459464727211893,1.3753025176762528,8.11394663416314,7,88
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wbball,Conn. College,"Tavarez,Sofia",0,G,23,25,6,141,332,11,54,148,88,381,5,34,66,653,22,48,70,47,1,65,1,0,0.42,0.2,0.59,15.24,2.8,2.64,1.36,0.2,2.6,2.633658832340175,0.08062636245673263,1.9828338610979204,2.0948259421805284,0.48576102415120365,1.6022794221171692,-0.14917751369522556,7.33977421731339,8,87
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wbball,Hamilton,"Harris,Kendall",0,G,21,24,24,134,300,34,93,32,29,331,20,25,58,732,15,143,158,43,0,79,1,0,0.45,0.37,0.91,13.79,6.58,2.42,1.04,0.83,3.2916666666666665,2.275436457157512,1.9119453281097294,1.7271509535776413,3.0613234148477706,0.7063964052142742,0.9299834670985204,1.4252854695244979,7.2614631792812565,9,86
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wbball,Wesleyan,"Jones,Alli",0,F,15,22,22,85,229,5,12,104,68,243,27,34,29,684,43,155,198,69,1,42,5,0,0.37,0.42,0.65,11.05,9.0,1.32,1.55,1.23,1.9090909090909092,1.5985196930192387,3.084377046861119,0.44873641597624697,1.1293870647736006,0.1180353890460866,2.001455145409492,2.4249445064894015,7.112735898111184,10,85
