season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,team_name,team_id,sdrm_id,games_played,games_started,uniform,year,stats_stats_field_goals_made,stats_stats_field_goals_attempted,stats_stats_three_points_made,stats_stats_three_points_attempted,stats_stats_free_throws_attempted,stats_stats_free_throws_made,stats_stats_points_scored,stats_stats_blocked_shots,stats_stats_steals,stats_stats_assists,stats_stats_minutes_played,stats_stats_offensive_rebounds,stats_stats_defensive_rebounds,stats_stats_total_rebounds,stats_stats_personal_fouls,stats_stats_technical_fouls,stats_stats_turnovers,stats_stats_disqualifications,stats_stats_deadballs,stats_stats_games_played,stats_stats_field_goals_pct,stats_stats_three_points_pct,stats_stats_free_throws_pct,stats_stats_points_per_game,stats_stats_rebounds_per_game,stats_stats_assists_per_game,stats_stats_steals_per_game,stats_stats_blocked_shots_per_game,code
2025-26,wbball,New England Small College Athletic Conference (NESCAC),nescac,Bates,Londyn Perry,Londyn,Perry,0,50,Londyn Perry,"PERRY,LONDYN",Bates,BATES,1120-6005,10,0,01,0,7,21,2,9,4,4,20,0,4,8,61,0,7,7,7,0,2,0,0,10,0.33,0.22,1.00,2.00,0.70,0.80,0.40,0.00,01
2025-26,wbball,New England Small College Athletic Conference (NESCAC),nescac,Bates,Sophie Spolter,Sophie,Spolter,*,50,Sophie Spolter,"SPOLTER,SOPHIE",Bates,BATES,1120-5234,30,30,02,0,98,259,9,53,97,78,283,1,35,53,664,19,85,104,43,0,46,0,0,30,0.38,0.17,0.80,9.43,3.47,1.77,1.17,0.03,02
2025-26,wbball,New England Small College Athletic Conference (NESCAC),nescac,Bates,Angel Huntsman,Angel,Huntsman,0,50,Angel Huntsman,"HUNTSMAN,ANGEL",Bates,BATES,1120-5731,12,0,03,0,6,24,0,1,4,2,14,0,8,18,115,8,12,20,9,0,9,0,0,12,0.25,0.00,0.50,1.17,1.67,1.50,0.67,0.00,03
2025-26,wbball,New England Small College Athletic Conference (NESCAC),nescac,Bates,Lily Brown,Lily,Brown,0,50,Lily Brown,"BROWN,LILY",Bates,BATES,1120-5861,29,0,04,0,52,127,26,59,22,16,146,4,14,28,297,13,30,43,30,0,41,0,0,29,0.41,0.44,0.73,5.03,1.48,0.97,0.48,0.14,04
2025-26,wbball,New England Small College Athletic Conference (NESCAC),nescac,Bates,Abby Magendantz,Abby,Magendantz,0,50,Abby Magendantz,"MAGENDANTZ,ABBY",Bates,BATES,1120-5858,13,0,10,0,8,20,4,11,6,6,26,1,4,3,75,3,5,8,7,0,3,0,0,13,0.40,0.36,1.00,2.00,0.62,0.23,0.31,0.08,10
2025-26,wbball,New England Small College Athletic Conference (NESCAC),nescac,Bates,Mya Hicks,Mya,Hicks,*,50,Mya Hicks,"HICKS,MYA",Bates,BATES,1120-5733,30,29,11,0,46,136,22,65,44,28,142,12,29,45,637,37,60,97,65,0,40,1,0,30,0.34,0.34,0.64,4.73,3.23,1.50,0.97,0.40,11
2025-26,wbball,New England Small College Athletic Conference (NESCAC),nescac,Bates,Petra Kuncz,Petra,Kuncz,0,50,Petra Kuncz,"KUNCZ,PETRA",Bates,BATES,1120-5732,28,0,12,0,18,47,0,0,10,5,41,17,15,14,233,23,47,70,31,1,11,0,0,28,0.38,0.00,0.50,1.46,2.50,0.50,0.54,0.61,12
2025-26,wbball,New England Small College Athletic Conference (NESCAC),nescac,Bates,Sarah Hughes,Sarah,Hughes,*,50,Sarah Hughes,"HUGHES,SARAH",Bates,BATES,1120-5729,30,30,13,0,123,260,36,103,58,48,330,0,30,75,852,53,112,165,28,0,47,0,0,30,0.47,0.35,0.83,11.00,5.50,2.50,1.00,0.00,13
2025-26,wbball,New England Small College Athletic Conference (NESCAC),nescac,Bates,Lily Lambo,Lily,Lambo,0,50,Lily Lambo,"LAMBO,LILY",Bates,BATES,1120-5857,30,0,14,0,47,129,6,29,46,30,130,7,24,44,658,32,73,105,55,1,37,1,0,30,0.36,0.21,0.65,4.33,3.50,1.47,0.80,0.23,14
2025-26,wbball,New England Small College Athletic Conference (NESCAC),nescac,Bates,Ava James,Ava,James,*,50,Ava James,"JAMES,AVA",Bates,BATES,1120-5235,30,30,20,0,73,179,38,114,10,8,192,13,15,32,712,31,61,92,46,0,29,0,0,30,0.41,0.33,0.80,6.40,3.07,1.07,0.50,0.43,20
