season,sport,gender,conference,conference_code,team,school_name,player_name,position,class_year,clippd_player_id,clippd_rank,player_ranking_status,scoring_stats_scoring_average,scoring_stats_vs_par,scoring_stats_rounds,scoring_stats_adjusted_score,scoring_stats_stroke_play_events,top10_finishes,events_won,average_points,strength_of_schedule,region,data_source,global_rank,rating,composite_score
2025-26,wgolf,Women,New England Small College Athletic Conference,nescac,Williams,Williams College,Euna Lee,,,10572,17,ACTIVE,74.35,2.35,20,72.4848975236982,8,2,0,50.4386884759694,-11.556771937467,East - (W) DIII,clippd_scoreboard,18,95,50.0164820329104
2025-26,wgolf,Women,New England Small College Athletic Conference,nescac,Williams,Williams College,Natalie Cheong,,Fourth Year,14024,22,ACTIVE,74.65,2.65,20,72.7848975236982,8,2,1,48.5107586186201,-11.556771937467,East - (W) DIII,clippd_scoreboard,25,95,47.0967503992747
2025-26,wgolf,Women,New England Small College Athletic Conference,nescac,Amherst,Amherst College,Grace Zhan,,Second Year,7212,11,ACTIVE,75.0,3.0,9,72.6905366497575,5,2,1,56.7189569766221,-11.403978025098,East - (W) DIII,clippd_scoreboard,28,95,45.2119134045738
2025-26,wgolf,Women,New England Small College Athletic Conference,nescac,Amherst,Amherst College,Mekhala Costello,,Third Year,38546,24,ACTIVE,75.14,3.14,14,72.7931029359353,5,1,1,48.2476017530512,-10.7291667657824,East - (W) DIII,clippd_scoreboard,32,94,41.7697036229114
2025-26,wgolf,Women,New England Small College Athletic Conference,nescac,Williams,Williams College,Petra Yee,,Second Year,6818,100000,ACTIVE,75.33,3.33,9,73.6757502326216,4,2,0,41.8743467949233,-14.47748260439,East - (W) DIII,clippd_scoreboard,35,94,40.01872135437
2025-26,wgolf,Women,New England Small College Athletic Conference,nescac,Middlebury,Middlebury College,Season Wei,,Second Year,6031,32,ACTIVE,75.44,3.44,18,73.3318999956854,8,1,0,41.7697036229114,-11.3629262357072,East - (W) DIII,clippd_scoreboard,38,94,37.6246690462026
2025-26,wgolf,Women,New England Small College Athletic Conference,nescac,Amherst,Amherst College,Emma Lindemoen,,Second Year,7210,26,ACTIVE,75.5,3.5,20,73.1806685557048,8,2,1,46.6163354078671,-11.1400807831386,East - (W) DIII,clippd_scoreboard,40,94,36.9846680016427
2025-26,wgolf,Women,New England Small College Athletic Conference,nescac,Middlebury,Middlebury College,Ella Han,,Fourth Year,27159,25,ACTIVE,75.61,3.61,18,73.4985666623521,8,0,0,47.0967503992747,-11.3629262357072,East - (W) DIII,clippd_scoreboard,46,94,34.4833987384325
2025-26,wgolf,Women,New England Small College Athletic Conference,nescac,Wesleyan (CT),Wesleyan University,Amanda Phillips,,Third Year,36574,43,ACTIVE,76.0,4.0,14,73.7221957132344,7,0,0,36.6318979420484,-13.0455914856029,East - (W) DIII,clippd_scoreboard,54,94,31.4336891845912
2025-26,wgolf,Women,New England Small College Athletic Conference,nescac,Hamilton,Hamilton College,Aubrey Lee,,Third Year,36021,44,ACTIVE,76.43,4.43,14,74.480740665152,6,2,2,34.5532134623132,-13.4151531488259,East - (W) DIII,clippd_scoreboard,67,93,27.9256759317046
2025-26,wgolf,Women,New England Small College Athletic Conference,nescac,Williams,Williams College,Michelle Ding,,Third Year,34830,45,ACTIVE,76.45,4.45,20,74.5848975236982,8,1,0,34.4900221581908,-11.556771937467,East - (W) DIII,clippd_scoreboard,68,93,27.5066624914928
2025-26,wgolf,Women,New England Small College Athletic Conference,nescac,Amherst,Amherst College,Joelle Kim,,Third Year,34523,38,ACTIVE,76.5,4.5,18,74.1205283693589,7,1,0,37.6246690462026,-11.7072942731164,East - (W) DIII,clippd_scoreboard,70,93,27.3245551316751
2025-26,wgolf,Women,New England Small College Athletic Conference,nescac,Middlebury,Middlebury College,Morgan Lee,,,27418,41,ACTIVE,76.71,4.71,14,74.2700955794171,7,1,0,36.7877650586422,-11.6304341712056,East - (W) DIII,clippd_scoreboard,76,93,26.6962852112019
2025-26,wgolf,Women,New England Small College Athletic Conference,nescac,Williams,Williams College,Zoe Wynn,,Second Year,6816,59,ACTIVE,76.75,4.75,20,74.8848975236982,8,0,0,29.9475423127404,-11.556771937467,East - (W) DIII,clippd_scoreboard,79,93,26.1105584178895
2025-26,wgolf,Women,New England Small College Athletic Conference,nescac,Amherst,Amherst College,Renna Chang,,Second Year,7213,57,ACTIVE,77.0,5.0,20,74.6806685557048,8,1,1,31.0306053992475,-11.1400807831386,East - (W) DIII,clippd_scoreboard,85,93,24.1222653925324
2025-26,wgolf,Women,New England Small College Athletic Conference,nescac,Bowdoin,Bowdoin College,Katie Ng,,Third Year,30546,63,ACTIVE,77.2,5.2,15,75.1169405882606,7,0,0,28.8956537534718,-11.3700954222565,East - (W) DIII,clippd_scoreboard,95,92,22.4435188015824
2025-26,wgolf,Women,New England Small College Athletic Conference,nescac,Hamilton,Hamilton College,Shanya Arasu,,Fourth Year,24627,68,ACTIVE,77.31,5.31,16,75.1238544385953,7,0,0,27.5066624914928,-13.2962350750072,East - (W) DIII,clippd_scoreboard,100,92,21.8261711777641
2025-26,wgolf,Women,New England Small College Athletic Conference,nescac,Bowdoin,Bowdoin College,Emily Renoff,,Third Year,30547,69,ACTIVE,77.6,5.6,15,75.5169405882606,7,0,0,27.4432068642023,-11.3700954222565,East - (W) DIII,clippd_scoreboard,110,92,19.9116582491777
2025-26,wgolf,Women,New England Small College Athletic Conference,nescac,Middlebury,Middlebury College,Julia Hua,,Second Year,6033,77,ACTIVE,77.69,5.69,16,75.2778157891216,7,0,0,26.4015808619142,-11.6575905187238,East - (W) DIII,clippd_scoreboard,114,92,19.4671650780132
2025-26,wgolf,Women,New England Small College Athletic Conference,nescac,Amherst,Amherst College,Jia An,,Third Year,34276,84,ACTIVE,77.71,5.71,17,75.5956546112573,7,0,0,24.2345896190465,-11.1105734479521,East - (W) DIII,clippd_scoreboard,115,92,19.4430962290657
2025-26,wgolf,Women,New England Small College Athletic Conference,nescac,Wesleyan (CT),Wesleyan University,Grace Wu,,Second Year,39267,81,ACTIVE,77.93,5.93,14,75.5444778799739,7,1,0,24.7736263757195,-12.8247405353134,East - (W) DIII,clippd_scoreboard,120,92,18.5422433710915
2025-26,wgolf,Women,New England Small College Athletic Conference,nescac,Hamilton,Hamilton College,Hellen Xiang,,Second Year,79144,100000,ACTIVE,78.27,6.27,11,76.7063174735554,5,1,0,19.9560014788165,-13.8512128746186,East - (W) DIII,clippd_scoreboard,134,91,17.0391176159316
2025-26,wgolf,Women,New England Small College Athletic Conference,nescac,Williams,Williams College,Maryanne Grace,,Fourth Year,26625,100000,ACTIVE,78.56,6.56,9,76.0963552261676,4,0,0,23.7675995785492,-11.3134408613475,East - (W) DIII,clippd_scoreboard,150,91,15.2832771172479
2025-26,wgolf,Women,New England Small College Athletic Conference,nescac,Williams,Williams College,Emma Abramson,,Fourth Year,21838,153,ACTIVE,78.6,6.6,10,77.4471488021142,4,0,0,14.6627432111622,-10.6960624168075,East - (W) DIII,clippd_scoreboard,153,91,14.6627432111622
2025-26,wgolf,Women,New England Small College Athletic Conference,nescac,Middlebury,Middlebury College,Elizabeth Whalen,,Third Year,37225,132,ACTIVE,78.62,6.62,8,76.7426177276162,3,0,0,17.3296987628618,-8.91770088409213,East - (W) DIII,clippd_scoreboard,155,91,14.5426332649052
2025-26,wgolf,Women,New England Small College Athletic Conference,nescac,Hamilton,Hamilton College,NULL,,Third Year,36020,100000,ACTIVE,78.67,6.67,6,76.1644187275103,3,0,0,21.3901267943299,-15.8319886308903,East - (W) DIII,clippd_scoreboard,157,91,14.4143444091902
2025-26,wgolf,Women,New England Small College Athletic Conference,nescac,Wesleyan (CT),Wesleyan University,Mia Rodgers,,,39270,105,ACTIVE,78.71,6.71,14,76.3301921656882,7,0,0,20.6182478853739,-12.8247405353134,East - (W) DIII,clippd_scoreboard,159,91,14.1267540237445
2025-26,wgolf,Women,New England Small College Athletic Conference,nescac,Bowdoin,Bowdoin College,Shivani Schmulen,,,22514,114,ACTIVE,78.73,6.73,15,76.650273921594,7,0,0,19.4671650780132,-11.3700954222565,East - (W) DIII,clippd_scoreboard,160,91,14.0964598514433
2025-26,wgolf,Women,New England Small College Athletic Conference,nescac,Amherst,Amherst College,Annie Dai,,Third Year,34525,121,ACTIVE,79.0,7.0,8,76.4940489466025,4,0,0,18.3340087462582,-11.736654453071,East - (W) DIII,clippd_scoreboard,176,90,13.0588614036156
2025-26,wgolf,Women,New England Small College Athletic Conference,nescac,Bates,Bates College,Victoria Adams,,Fourth Year,11817,100000,ACTIVE,79.0,7.0,9,78.5071168289667,5,2,1,12.4507054607168,-21.0445674639527,East - (W) DIII,clippd_scoreboard,179,90,12.5975894078034
2025-26,wgolf,Women,New England Small College Athletic Conference,nescac,Hamilton,Hamilton College,Peyton Sichol,,,27830,116,ACTIVE,79.06,7.06,16,76.8738544385953,7,0,0,19.107248754865,-13.2962350750072,East - (W) DIII,clippd_scoreboard,183,90,12.1262692022078
2025-26,wgolf,Women,New England Small College Athletic Conference,nescac,Hamilton,Hamilton College,Keira Joshi,,Fourth Year,12664,125,ACTIVE,79.29,7.29,14,77.1197180406364,6,0,0,17.8287961131703,-13.7823706516502,East - (W) DIII,clippd_scoreboard,192,90,11.6699051381842
2025-26,wgolf,Women,New England Small College Athletic Conference,nescac,Bowdoin,Bowdoin College,Isabella Salerno,,Second Year,4074,138,ACTIVE,79.6,7.6,15,77.5169405882606,7,0,0,16.7312693335822,-11.3700954222565,East - (W) DIII,clippd_scoreboard,209,89,10.9034447814995
2025-26,wgolf,Women,New England Small College Athletic Conference,nescac,Williams,Williams College,Victoria Kim,,,23000,100000,ACTIVE,79.67,7.67,6,76.2372073794046,3,0,0,18.8132337273785,-12.7300526618731,East - (W) DIII,clippd_scoreboard,214,89,10.5523735870382
2025-26,wgolf,Women,New England Small College Athletic Conference,nescac,Hamilton,Hamilton College,Kiran Bagga,,Second Year,79145,100000,ACTIVE,79.82,7.82,11,77.0878171335724,5,0,0,17.5624543127014,-12.9968527232498,East - (W) DIII,clippd_scoreboard,227,88,9.72969460111763
2025-26,wgolf,Women,New England Small College Athletic Conference,nescac,Middlebury,Middlebury College,Daniella Honkamp,,,6030,140,ACTIVE,79.89,7.89,9,77.2958023429736,5,1,0,16.5277792011832,-11.4575143089708,East - (W) DIII,clippd_scoreboard,233,88,9.23395581909404
2025-26,wgolf,Women,New England Small College Athletic Conference,nescac,Wesleyan (CT),Wesleyan University,Mia Holbrook,,Fourth Year,12425,154,ACTIVE,80.0,8.0,14,77.6159064514025,7,0,0,14.6134196250362,-12.8247405353134,East - (W) DIII,clippd_scoreboard,240,88,9.00191262590031
2025-26,wgolf,Women,New England Small College Athletic Conference,nescac,Wesleyan (CT),Wesleyan University,Kayla Howell,,,16147,112,ACTIVE,80.14,8.14,14,77.7587635942596,7,0,0,19.8166351665545,-12.8247405353134,East - (W) DIII,clippd_scoreboard,256,88,8.3475321625386
2025-26,wgolf,Women,New England Small College Athletic Conference,nescac,Middlebury,Middlebury College,Teegan Duffy,,Third Year,37224,100000,ACTIVE,81.62,9.62,8,79.1986747044714,4,0,0,9.80830183810069,-13.6909507309939,East - (W) DIII,clippd_scoreboard,338,85,5.45667490948463
2025-26,wgolf,Women,New England Small College Athletic Conference,nescac,Bates,Bates College,Isabelle Meltzer,,Third Year,32502,274,ACTIVE,81.75,9.75,16,80.6129147060545,8,1,0,7.74762375842719,-18.8199533584038,East - (W) DIII,clippd_scoreboard,350,85,5.06099257579498
2025-26,wgolf,Women,New England Small College Athletic Conference,nescac,Trinity (CT),Trinity College,CC Kaplan,,,7016,200,ACTIVE,81.87,9.87,15,79.6843424655412,8,2,1,11.3964556244173,-16.0486642817278,East - (W) DIII,clippd_scoreboard,357,85,4.94447864111657
2025-26,wgolf,Women,New England Small College Athletic Conference,nescac,Hamilton,Hamilton College,Camille DeStefano,,Third Year,36023,100000,ACTIVE,82.17,10.17,6,80.1256349434803,3,0,0,7.96699011409412,-13.7648267294062,East - (W) DIII,clippd_scoreboard,380,84,4.39364294686082
2025-26,wgolf,Women,New England Small College Athletic Conference,nescac,Trinity (CT),Trinity College,Meg Lavinder,,,35747,282,ACTIVE,82.31,10.31,13,80.5944780564726,7,1,0,7.52231663699274,-16.4129841760154,East - (W) DIII,clippd_scoreboard,391,83,4.14468458988716
2025-26,wgolf,Women,New England Small College Athletic Conference,nescac,Bowdoin,Bowdoin College,Emilia Rose,,,26838,264,ACTIVE,82.93,10.93,15,80.850273921594,7,0,0,7.9192080122604,-11.3700954222565,East - (W) DIII,clippd_scoreboard,429,82,3.44446145991715
2025-26,wgolf,Women,New England Small College Athletic Conference,nescac,Bowdoin,Bowdoin College,Hailey Ryan,,,25084,100000,ACTIVE,83.0,11.0,10,80.9634991798832,5,0,0,6.04218696403912,-12.577254913107,East - (W) DIII,clippd_scoreboard,438,82,3.28882087927296
2025-26,wgolf,Women,New England Small College Athletic Conference,nescac,Amherst,Amherst College,Karolyn Zeng,,Third Year,34524,100000,ACTIVE,83.67,11.67,6,80.9180885178639,3,0,0,8.65312669125171,-13.7697247396338,East - (W) DIII,clippd_scoreboard,496,80,2.54604043415395
2025-26,wgolf,Women,New England Small College Athletic Conference,nescac,Trinity (CT),Trinity College,Mia Lombardi,,,35749,380,ACTIVE,84.58,12.58,12,82.4297270760419,6,0,0,4.39364294686082,-15.685875230437,East - (W) DIII,clippd_scoreboard,550,79,1.97032372926354
