conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,attack_stats_hitting_pct,attack_stats_attempts,attack_stats_errors,attack_stats_kills,set_stats_assists,set_stats_errors,set_stats_attempts,set_stats_set_pct,serve_stats_aces,serve_stats_errors,serve_stats_attempts,serve_stats_serve_pct,defense_stats_defense_pct,defense_stats_attempts,defense_stats_receptions,defense_stats_digs,block_stats_total,block_stats_errors,block_stats_assists,block_stats_solos,misc_stats_points,misc_stats_ball_handling_errors,per_set_stats_kills,per_set_stats_assists,per_set_stats_digs,per_set_stats_blocks,per_set_stats_aces,per_set_stats_points,z_per_set_stats_points,z_per_set_stats_kills,z_per_set_stats_assists,z_per_set_stats_blocks,z_per_set_stats_aces,z_per_set_stats_digs,z_attack_stats_errors,z_serve_stats_errors,composite_score,rank,rating
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wvball,Wesleyan,"Lindus, Sophia",0,,21,92,41,0.229,869.0,99.0,298.0,23.0,5.0,107.0,0.0,37.0,21.0,383.0,0.0,0.0,435.0,13.0,267.0,40.0,5.0,37.0,3.0,356.5,0.0,3.24,0.25,2.9,0.43,0.4,3.88,2.481771038830658,2.450124354158878,-0.28386861515565237,0.4481363174423026,1.5086748416157092,1.7595158817779544,2.386382624494982,0.966724054053574,4.96501748857194,1,99
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wvball,Middlebury,Molly Harrison,0,,8,89,33,0.226,922.0,89.0,297.0,22.0,4.0,113.0,0.0,24.0,20.0,352.0,0.0,0.0,281.0,26.0,275.0,36.0,1.0,31.0,5.0,341.5,0.0,3.34,0.25,3.09,0.4,0.27,3.84,2.443595979918023,2.5585040898757763,-0.28386861515565237,0.3651293931232745,0.7418122681324162,1.9428015391588045,2.067955663544451,0.8833172950760676,4.78314520911306,2,95
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wvball,Bowdoin,Zoe Ryu,0,,10,77,49,0.224,607.0,85.0,221.0,11.0,1.0,52.0,0.0,40.0,35.0,283.0,0.0,0.0,359.0,34.0,187.0,39.0,8.0,34.0,5.0,283.0,1.0,2.87,0.14,2.43,0.51,0.52,3.68,2.290895744267483,2.0491193320063523,-0.3485954957907651,0.6694881156263777,2.216547986369518,1.306125045099009,1.940584879164238,2.1344186797386633,4.66736958222714,3,93
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wvball,Conn. College,"Wartelle, Rae",0,,15,85,48,0.262,649.0,92.0,262.0,3.0,2.0,41.0,0.0,39.0,58.0,262.0,0.0,0.0,9.0,2.0,46.0,64.0,6.0,52.0,12.0,339.0,0.0,3.08,0.04,0.54,0.75,0.46,3.99,2.586752450840405,2.2767167770118397,-0.40743811454995854,1.3335435101786028,1.8626114139926135,-0.5170849151631346,2.16348375182961,4.05277413622131,4.608233931627411,4,92
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wvball,Colby,Brady Moseley,0,,14,112,46,0.205,981.0,162.0,363.0,11.0,4.0,55.0,0.0,24.0,33.0,388.0,0.0,0.0,763.0,42.0,325.0,38.0,6.0,37.0,1.0,406.5,3.0,3.24,0.1,2.9,0.34,0.21,3.63,2.2431769206266887,2.450124354158878,-0.3721325432944425,0.1991155444852183,0.38787569575551156,1.7595158817779544,4.392472478483329,1.9676051617836503,3.5993288870913966,5,91
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wvball,Wesleyan,"Steines, Siena",0,,6,91,18,0.299,633.0,78.0,267.0,6.0,1.0,53.0,0.0,6.0,14.0,109.0,0.0,0.0,132.0,4.0,127.0,59.0,1.0,52.0,7.0,306.0,0.0,2.93,0.07,1.4,0.65,0.07,3.36,1.9854952729664022,2.1141471734364914,-0.38978532892220047,1.056853762448509,-0.4379763064572653,0.3125238498238723,1.7176860064988662,0.38287674121102927,3.4924842600387156,6,90
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wvball,Trinity,"Gordon, Ellie",0,,23,79,51,0.22,704.0,112.0,267.0,7.0,4.0,53.0,0.0,0.0,2.0,7.0,0.0,0.0,1.0,0.0,51.0,38.0,13.0,31.0,7.0,289.5,0.0,3.38,0.09,0.65,0.48,0.0,3.66,2.2718082148111653,2.601855984162536,-0.37801680517036185,0.5864811913073494,-0.8509023075636538,-0.4109721661531686,2.800337673730673,-0.6180043665190473,3.4783524520346685,7,89
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wvball,Bowdoin,Skye Lamendola,0,,4,73,52,0.23,538.0,69.0,193.0,12.0,1.0,54.0,0.0,23.0,28.0,254.0,0.0,0.0,465.0,33.0,193.0,23.0,1.0,13.0,10.0,232.5,0.0,2.64,0.16,2.64,0.32,0.32,3.18,1.8137075078595442,1.799845939857485,-0.3368269720389264,0.14377759493919948,1.0367594117798364,1.5087039295725804,1.4311017416433878,1.5505713668961185,3.4739791360785666,8,88
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wvball,Wesleyan,"Chan, Mila",0,,18,70,32,0.251,454.0,62.0,176.0,6.0,0.0,38.0,0.0,23.0,21.0,158.0,0.0,0.0,294.0,14.0,156.0,30.0,1.0,27.0,3.0,215.5,1.0,2.51,0.09,2.23,0.43,0.33,3.08,1.7182698605779563,1.6589522834255161,-0.37801680517036185,0.4481363174423026,1.0957488405093205,1.1131927741717977,1.208202868978016,0.966724054053574,3.4209745134830203,9,88
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wvball,Amherst,"Lau, Addison",0,,9,48,14,0.209,296.0,55.0,117.0,6.0,0.0,37.0,0.0,16.0,18.0,146.0,0.0,0.0,221.0,15.0,96.0,20.0,0.0,19.0,1.0,143.5,1.0,2.44,0.13,2.0,0.42,0.33,2.99,1.6323759780245275,1.5830864684236872,-0.3544797576666845,0.4204673426692932,1.0957488405093205,0.8913206626055052,0.985303996312644,0.7165037771210548,3.2888094943785835,10,87
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wvball,Hamilton,"Trefren, Ayzlinn",0,,20,63,53,0.154,480.0,69.0,143.0,19.0,2.0,97.0,0.0,23.0,9.0,220.0,0.0,0.0,395.0,15.0,195.0,16.0,1.0,13.0,3.0,175.5,1.0,2.27,0.3,3.1,0.25,0.37,2.79,1.4415006834613517,1.3988409177049594,-0.2544473057760556,-0.04990522847186621,1.3317065554272567,1.9524481527051658,1.4311017416433878,-0.03415705367650264,3.12094243730992,11,86
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wvball,Bowdoin,Alison Smith,0,,5,76,35,0.333,471.0,57.0,214.0,2.0,1.0,19.0,0.0,0.0,0.0,14.0,0.0,0.0,1.0,0.0,36.0,45.0,3.0,32.0,13.0,243.0,1.0,2.82,0.03,0.47,0.59,0.0,3.2,1.8327950373158617,1.9949294641479025,-0.4133223764258779,0.8908399138104526,-0.8509023075636538,-0.5846112099876585,1.0489893885027504,-0.7848178844740601,3.008335324908364,12,86
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wvball,Bates,Ami Evans,0,,8,74,71,0.147,511.0,90.0,165.0,16.0,3.0,56.0,0.0,29.0,29.0,232.0,0.0,0.0,343.0,38.0,188.0,32.0,4.0,26.0,6.0,213.0,1.0,2.23,0.22,2.54,0.43,0.39,2.88,1.5273945660147805,1.3554890234181998,-0.3015214007834104,0.4481363174423026,1.4496854128862249,1.4122377941089748,2.099798359639504,1.6339781258736248,3.004517232166916,13,85
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wvball,Williams,"Lane, Kate",0,,13,62,41,0.191,409.0,53.0,131.0,7.0,2.0,41.0,0.0,28.0,15.0,199.0,0.0,0.0,449.0,46.0,159.0,17.0,1.0,14.0,3.0,169.0,0.0,2.11,0.11,2.56,0.27,0.45,2.73,1.384238095092399,1.2254333405579212,-0.36624828141852317,0.005432721074152601,1.8036219852631294,1.431531021201696,0.9216186041225378,0.46628350018853565,2.9959316377870127,14,85
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wvball,Bates,Sofia Castiglioni,0,,2,75,67,0.332,386.0,33.0,161.0,5.0,1.0,25.0,0.0,17.0,19.0,249.0,0.0,0.0,8.0,1.0,52.0,55.0,5.0,39.0,16.0,213.5,1.0,2.15,0.07,0.69,0.73,0.23,2.85,1.4987632718303043,1.2687852348446809,-0.38978532892220047,1.278205560632584,0.5058545532144798,-0.37238571196772646,0.28476468222147516,0.7999105360985612,2.89132444590873,15,84
nescac,New England Small College Athletic Conference (NESCAC),2025-26,wvball,Colby,Cyanne Jones,0,,23,107,45,0.238,432.0,71.0,174.0,22.0,0.0,60.0,0.0,40.0,29.0,389.0,0.0,0.0,7.0,1.0,88.0,119.0,9.0,95.0,24.0,285.5,1.0,1.63,0.21,0.82,1.11,0.37,2.67,1.3269755067234463,0.7052106091168071,-0.3074056626593297,2.3296266020069405,1.3317065554272567,-0.24697973586503935,1.4947871338334942,1.6339781258736248,2.8800963462753453,16,84
