season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,linkup_name,games_played,games_started,uniform,year,hitting_stats_at_bats,hitting_stats_runs,hitting_stats_hits,hitting_stats_runs_batted_in,hitting_stats_doubles,hitting_stats_triples,hitting_stats_home_runs,hitting_stats_walks,hitting_stats_intentional_walks,hitting_stats_hit_by_pitch,hitting_stats_strikeouts,hitting_stats_strikeouts_looking,hitting_stats_stolen_bases,hitting_stats_caught_stealing,hitting_stats_sacrifice_hits,hitting_stats_sacrifice_flies,hitting_stats_reached_on_catchers_interference,hitting_stats_reached_on_error,hitting_stats_reached_on_fielders_choice,hitting_stats_grounded_into_doubleplay,hitting_stats_picked_off,hitting_stats_total_double_plays,hitting_stats_total_triple_plays,hitting_stats_onbase_percentage,hitting_stats_total_bases,hitting_stats_total_plate_appearances,hitting_stats_stolen_base_attempts,hitting_stats_stolen_base_percentage,hitting_stats_batting_average,hitting_stats_slugging_percentage,fielding_stats_putouts,fielding_stats_assists,fielding_stats_errors,fielding_stats_passed_balls,fielding_stats_catchers_interference,fielding_stats_stolen_bases_against,fielding_stats_caught_stealing_by,fielding_stats_involved_in_double_plays,fielding_stats_involved_in_triple_plays,fielding_stats_total_chances,fielding_stats_fielding_percentage,fielding_stats_stolen_bases_against_attempts,fielding_stats_stolen_bases_against_percentage,pitching_stats,hitting_summary_stats_times_reached_base_on_error,hitting_summary_stats_times_reached_base_on_fielders_choice,hitting_summary_stats_times_grouded_out,hitting_summary_stats_times_flied_out,hitting_summary_stats_hits_ab_with_2_outs,hitting_summary_stats_batting_avg_with_2_outs,hitting_summary_stats_hits_with_2_outs,hitting_summary_stats_ab_with_2_outs,hitting_summary_stats_hits_ab_with_runners_on_base,hitting_summary_stats_batting_avg_with_runners_on_base,hitting_summary_stats_hits_with_runners_on_base,hitting_summary_stats_ab_with_runners_on_base,hitting_summary_stats_hits_ab_with_runners_in_scoring_position,hitting_summary_stats_batting_avg_with_runners_in_scoring_position,hitting_summary_stats_hits_with_runners_in_scoring_position,hitting_summary_stats_ab_with_runners_in_scoring_position,hitting_summary_stats_hits_ab_vs_left_handed_pitchers,hitting_summary_stats_batting_avg_vs_left_handed_pitchers,hitting_summary_stats_hits_vs_left_handed_pitchers,hitting_summary_stats_ab_vs_left_handed_pitchers,hitting_summary_stats_hits_ab_vs_right_handed_pitchers,hitting_summary_stats_batting_avg_vs_right_handed_pitchers,hitting_summary_stats_hits_vs_right_handed_pitchers,hitting_summary_stats_ab_vs_right_handed_pitchers,hitting_summary_stats_success_opps_as_leadoff_batter_in_inning,hitting_summary_stats_success_opps_to_drive_in_runner_from_3rd_with_less_than_2_outs,hitting_summary_stats_number_of_runners_advanced_ab,hitting_summary_stats_hits_ab_with_bases_loaded,hitting_summary_stats_batting_avg_with_bases_loaded,hitting_summary_stats_hits_with_bases_loaded,hitting_summary_stats_ab_with_bases_loaded,hitting_summary_stats_hits_ab_as_pinch_hitter,hitting_summary_stats_batting_avg_as_pinch_hitter,hitting_summary_stats_hits_as_pinch_hitter,hitting_summary_stats_ab_as_pinch_hitter,hitting_summary_stats_times_advanced_at_least_1_runner_with_an_out,hitting_summary_stats_runners_left_on_base,hitting_summary_stats_two_out_rbis,pitching_summary_stats,team_name,team_id,sdrm_id,this_is_softball,pitching_stats_hits_allowed,pitching_stats_appearances,pitching_stats_games_started,pitching_stats_wins,pitching_stats_losses,pitching_stats_saves,pitching_stats_complete_games,pitching_stats_shutouts,pitching_stats_credit_for_combined_shutout,pitching_stats_games_finished,pitching_stats_innings_pitched,pitching_stats_runs_allowed,pitching_stats_earned_runs_allowed,pitching_stats_walks_allowed,pitching_stats_strikeouts,pitching_stats_doubles_allowed,pitching_stats_triples_allowed,pitching_stats_home_runs_allowed,pitching_stats_earned_run_average,pitching_stats_opponents_at_bats,pitching_stats_batters_faced,pitching_stats_wild_pitches,pitching_stats_hit_batters,pitching_stats_balks,pitching_stats_sacrifice_flies_allowed,pitching_stats_sacrifice_hits_allowed,pitching_stats_catchers_interference_allowed,pitching_stats_intentional_walks,pitching_stats_strikeouts_looking,pitching_stats_opponent_batting_average,pitching_summary_stats_fly_outs_allowed,pitching_summary_stats_ground_outs_allowed,pitching_summary_stats_runners_picked_off,pitching_summary_stats_success_opps_vs_leadoff_batters,pitching_summary_stats_hits_ab_with_runners_on_base,pitching_summary_stats_hits_ab_vs_left_handed_batters,pitching_summary_stats_hits_ab_vs_right_handed_batters,pitching_summary_stats_hits_ab_with_2_outs,hitting_stats,fielding_stats,hitting_summary_stats
2025-26,baseball,New England Women's and Men's Athletic Conference (NEWMAC),newmac,Salve Regina,Matthew Neal,Matthew,Neal,,623,Matthew Neal,0,0SALVEREG,29,10,,,48,6,13,12,4,0,0,6,1,7,3,2,0,0,1,1,0,0,0,1,0,2,0,0.419,17,63,0,.000,.271,.354,8,0,0,0,0,0,0,0,0,8,1.000,0,.000,,1,3,14,18,"5,17",0.29,5,17,"8,30",0.27,8,30,"6,18",0.33,6,18,"1,7",0.14,1,7,0,0,0,0,"7,14","5,8","20,38",49,0,0,0,71,0,0,0,5,13,0,,Salve Regina,SALVEREG,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-26,baseball,New England Women's and Men's Athletic Conference (NEWMAC),newmac,Salve Regina,Nate Ruehs,Nate,Ruehs,,623,Nate Ruehs,0,0SALVEREG,29,21,,,65,17,18,6,1,0,0,8,0,5,13,7,1,1,1,1,0,0,0,1,1,1,0,0.392,19,80,2,.500,.277,.292,30,57,9,0,0,0,0,10,0,96,.906,0,.000,,2,0,20,14,"7,24",0.29,7,24,"8,37",0.22,8,37,"4,27",0.15,4,27,"2,10",0.20,2,10,0,0,0,0,"7,17","5,10","20,45",72,0,0,0,13,0,0,0,6,25,0,,Salve Regina,SALVEREG,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-26,baseball,New England Women's and Men's Athletic Conference (NEWMAC),newmac,Salve Regina,Brandon Grover,Brandon,Grover,,623,Brandon Grover,0,0SALVEREG,38,38,,,143,48,48,29,10,3,4,22,0,9,21,6,12,0,3,0,0,0,0,0,1,0,0,0.454,76,177,12,1.000,.336,.531,66,0,0,0,0,0,0,0,0,66,1.000,0,.000,,5,4,24,47,"10,41",0.24,10,41,"26,70",0.37,26,70,"19,53",0.36,19,53,"11,37",0.30,11,37,0,0,0,0,"27,54","7,14","49,83",104,0,0,0,0,0,0,0,9,32,0,,Salve Regina,SALVEREG,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-26,baseball,New England Women's and Men's Athletic Conference (NEWMAC),newmac,Salve Regina,Evan O'Rourke,Evan,O'Rourke,,623,Evan O'Rourke,0,0SALVEREG,45,45,,,185,47,61,45,14,2,4,17,1,3,28,7,12,6,3,1,0,0,0,1,0,6,0,0.393,91,209,18,.667,.330,.492,57,0,1,0,0,0,0,0,0,58,.983,0,.000,,8,9,39,53,"23,59",0.39,23,59,"38,104",0.37,38,104,"23,70",0.33,23,70,"19,44",0.43,19,44,0,0,0,0,"12,30","15,24","61,114",98,0,0,0,0,0,0,0,14,33,0,,Salve Regina,SALVEREG,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-26,baseball,New England Women's and Men's Athletic Conference (NEWMAC),newmac,Salve Regina,Christian Homa,Christian,Homa,,623,Christian Homa,0,0SALVEREG,45,45,,,175,38,57,46,14,2,4,26,1,5,20,6,3,1,1,6,0,0,0,2,0,4,0,0.415,87,213,4,.750,.326,.497,61,109,5,0,0,0,0,20,0,175,.971,0,.000,,3,5,57,44,"14,59",0.24,14,59,"35,101",0.35,35,101,"24,64",0.38,24,64,"15,43",0.35,15,43,0,0,0,0,"14,30","17,22","62,116",89,0,0,0,0,0,0,0,23,42,0,,Salve Regina,SALVEREG,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-26,baseball,New England Women's and Men's Athletic Conference (NEWMAC),newmac,Salve Regina,Hunter Yaworski,Hunter,Yaworski,,623,Hunter Yaworski,0,0SALVEREG,41,38,,,142,21,44,29,7,1,5,12,0,9,26,5,1,0,0,5,0,0,0,2,0,2,0,0.387,68,168,1,1.000,.310,.479,2,0,0,0,0,0,0,0,0,2,1.000,0,.000,,2,5,36,39,"9,38",0.24,9,38,"23,76",0.30,23,76,"14,54",0.26,14,54,"13,40",0.33,13,40,0,0,0,0,"19,42","11,22","45,86",16,0,0,0,73,0,0,0,20,31,0,,Salve Regina,SALVEREG,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-26,baseball,New England Women's and Men's Athletic Conference (NEWMAC),newmac,Salve Regina,Wil McCarthy,Wil,McCarthy,,623,Wil McCarthy,0,0SALVEREG,33,33,,,116,21,42,24,8,0,2,13,1,12,8,3,1,2,3,3,0,0,0,3,0,5,0,0.465,56,147,3,.333,.362,.483,19,42,8,0,0,0,0,4,0,69,.884,0,.000,,2,8,39,31,"14,43",0.33,14,43,"27,67",0.40,27,67,"18,42",0.43,18,42,"13,34",0.38,13,34,0,0,0,0,"14,27","7,14","46,81",97,0,0,0,0,0,0,0,10,27,0,,Salve Regina,SALVEREG,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-26,baseball,New England Women's and Men's Athletic Conference (NEWMAC),newmac,Salve Regina,Tyler Petrosino,Tyler,Petrosino,,623,Tyler Petrosino,0,0SALVEREG,44,44,,,148,30,45,27,10,0,4,33,0,10,39,11,15,3,3,2,0,0,0,0,3,1,0,0.456,67,196,18,.833,.304,.453,343,16,8,0,0,0,0,21,0,367,.978,0,.000,,4,6,34,34,"14,50",0.28,14,50,"20,71",0.28,20,71,"14,49",0.29,14,49,"10,35",0.29,10,35,0,0,0,0,"28,57","9,14","49,95",56,0,0,0,0,0,0,0,8,43,0,,Salve Regina,SALVEREG,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-26,baseball,New England Women's and Men's Athletic Conference (NEWMAC),newmac,Salve Regina,Brady Smolinski,Brady,Smolinski,,623,Brady Smolinski,0,0SALVEREG,19,15,,,45,12,11,4,3,0,1,6,0,7,9,4,0,0,2,0,0,0,0,1,0,1,0,0.414,17,60,0,.000,.244,.378,136,19,2,3,0,13,4,0,0,157,.987,17,.765,,1,2,19,8,"4,18",0.22,4,18,"6,26",0.23,6,26,"3,19",0.16,3,19,"4,12",0.33,4,12,0,0,0,0,"6,10","0,7","14,32",2,0,0,0,0,0,0,0,5,17,0,,Salve Regina,SALVEREG,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-26,baseball,New England Women's and Men's Athletic Conference (NEWMAC),newmac,Salve Regina,Elliot Hamilton,Elliot,Hamilton,,623,Elliot Hamilton,0,0SALVEREG,11,4,,,15,2,2,1,0,0,0,2,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0.350,2,20,0,.000,.133,.133,11,3,1,0,0,1,1,0,0,15,.933,2,.500,,0,2,4,3,"1,4",0.25,1,4,"2,8",0.25,2,8,"2,7",0.29,2,7,"0,3",0,0,3,0,0,0,0,"0,4","0,2","7,11",1,0,0,0,4,0,0,0,0,3,0,,Salve Regina,SALVEREG,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
