conference_code,conference,season,team,player_name,first_name,last_name,class_year,position,gp,mp_total,mpg,pts_total,ppg,reb_total,rpg,ast_total,apg,stl_total,spg,blk_total,bpg,tov_total,tov_pg,fgm,fga,fg_pct,tpm,tpa,tp_pct,ftm,fta,ft_pct
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,Babson,Begin ii Marc,Begin ii Marc,,0,*,9,197.0,21.88888888888889,84.0,9.33,19.0,2.11,11.0,1.22,3.0,0.33,0.0,0.0,17.0,1.8888888888888888,27.0,79.0,0.34,5.0,32.0,0.16,25.0,37.0,0.68
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,Babson,Jojo Chalumeau,Jojo Chalumeau,,0,0,13,39.0,3.0,7.0,0.54,7.0,0.54,2.0,0.15,2.0,0.15,1.0,0.08,4.0,0.3076923076923077,3.0,7.0,0.43,0.0,3.0,0.0,1.0,2.0,0.5
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,Babson,Jared Flaks,Jared Flaks,,0,0,11,38.0,3.4545454545454546,9.0,0.82,8.0,0.73,4.0,0.36,0.0,0.0,0.0,0.0,5.0,0.4545454545454545,3.0,8.0,0.38,0.0,1.0,0.0,3.0,6.0,0.5
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,Babson,Jeremiah Paul,Jeremiah Paul,,0,0,5,10.0,2.0,2.0,0.4,2.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,Babson,Ryan Frauenheim,Ryan Frauenheim,,0,0,26,435.0,16.73076923076923,125.0,4.81,43.0,1.65,50.0,1.92,27.0,1.04,0.0,0.0,16.0,0.6153846153846154,45.0,112.0,0.4,20.0,68.0,0.29,15.0,20.0,0.75
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,Babson,Gavin Aydelotte,Gavin Aydelotte,,0,0,10,97.0,9.7,38.0,3.8,10.0,1.0,3.0,0.3,1.0,0.1,2.0,0.2,7.0,0.7,16.0,37.0,0.43,2.0,10.0,0.2,4.0,6.0,0.67
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,Babson,Robby Fiore,Robby Fiore,,0,0,27,342.0,12.666666666666666,132.0,4.89,36.0,1.33,22.0,0.81,7.0,0.26,0.0,0.0,18.0,0.6666666666666666,46.0,108.0,0.43,20.0,53.0,0.38,20.0,27.0,0.74
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,Babson,NeJohn Fortes,NeJohn Fortes,,0,0,17,105.0,6.176470588235294,21.0,1.24,33.0,1.94,4.0,0.24,4.0,0.24,3.0,0.18,6.0,0.3529411764705882,8.0,20.0,0.4,1.0,7.0,0.14,4.0,13.0,0.31
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,Babson,Tyler Lauder,Tyler Lauder,,0,*,27,661.0,24.48148148148148,142.0,5.26,169.0,6.26,76.0,2.81,24.0,0.89,25.0,0.93,49.0,1.8148148148148149,59.0,116.0,0.51,0.0,0.0,0.0,24.0,41.0,0.59
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,Babson,Jake Peterson,Jake Peterson,,0,0,16,81.0,5.0625,33.0,2.06,13.0,0.81,3.0,0.19,2.0,0.13,0.0,0.0,5.0,0.3125,11.0,30.0,0.37,11.0,29.0,0.38,0.0,0.0,0.0
