season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,linkup_name,games_played,games_started,uniform,year,team_name,team_id,sdrm_id,goal_stats_shootout_goals,goal_stats_free_positiong_goals,goal_stats_game_tying_goals,goal_stats_empty_net_goals,goal_stats_overtime_goals,goal_stats_first_goals,goal_stats_unassisted_goals,goal_stats_short_handed_goals,goal_stats_power_play_goals,goal_stats_game_winning_goals,penalty_stats_number,penalty_stats_minutes,penalty_stats_fouls,penalty_stats_green_cards,penalty_stats_yellow_cards,penalty_stats_red_cards,penalty_stats_match,penalty_stats_major,penalty_stats_minor,misc_stats_powerplay_opps,misc_stats_powerplay_goals,misc_stats_faceoffs_won,misc_stats_faceoffs_lost,misc_stats_ground_balls,misc_stats_draw_controls,misc_stats_turnovers,misc_stats_caused_turnovers,misc_stats_minutes_played,misc_stats_seconds,misc_stats_faceoffs_taken,misc_stats_penalty_killing_pct,goalie_stats,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_free_position_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_shots_on_goal_pct,avg_points_game,goal_stats,penalty_stats,misc_stats,shot_stats,goalie_stats_games_played,goalie_stats_minutes,goalie_stats_goals_allowed,goalie_stats_saves,goalie_stats_shutouts,goalie_stats_win,goalie_stats_loss,goalie_stats_tie,goalie_stats_powerplay_goals_allowed,goalie_stats_shorthanded_goals_allowed,goalie_stats_emptynet_goals_allowed,goalie_stats_shots_faced,goalie_stats_goals_against_avg,goalie_stats_save_pct
2026-27,wlax,New England Women's and Men's Athletic Conference (NEWMAC),newmac,Babson,Mackenzie Cassler,Mackenzie,Cassler,,45,Mackenzie Cassler,"CASSLER,MACKENZIE",CASSLERMACKENZIEBC,18,18,,,Babson,BC,1133-2737,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,22,13,5,17,1080:00,0,0,1.000,,0,0,0,0,0,0,.000,0.00,,,,,,,,,,,,,,,,,,
2026-27,wlax,New England Women's and Men's Athletic Conference (NEWMAC),newmac,Babson,Hailey Ramundo,Hailey,Ramundo,,45,Hailey Ramundo,"RAMUNDO,HAILEY",RAMUNDOHAILEYBC,6,0,,,Babson,BC,1133-2730,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,00:00,0,0,1.000,,4,10,1,2,1,1,.400,0.33,,,,,,,,,,,,,,,,,,
2026-27,wlax,New England Women's and Men's Athletic Conference (NEWMAC),newmac,Babson,Caroline Burtch,Caroline,Burtch,,45,Caroline Burtch,"BURTCH,CAROLINE",BURTCHCAROLINEBC,16,1,,,Babson,BC,1133-2931,0,3,0,0,0,0,6,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,10,18,8,5,60:00,0,0,1.000,,16,22,4,6,0,6,.727,0.38,,,,,,,,,,,,,,,,,,
2026-27,wlax,New England Women's and Men's Athletic Conference (NEWMAC),newmac,Babson,Grace Rooney,Grace,Rooney,,45,Grace Rooney,"ROONEY,GRACE",ROONEYGRACEBC,17,9,,,Babson,BC,1133-2932,0,4,0,0,0,0,16,0,1,1,0,0,0,10,4,0,0,0,0,0,0,0,0,12,27,12,14,540:00,0,0,1.000,,33,54,13,26,2,24,.611,1.53,,,,,,,,,,,,,,,,,,
2026-27,wlax,New England Women's and Men's Athletic Conference (NEWMAC),newmac,Babson,Mia Shuman,Mia,Shuman,,45,Mia Shuman,"SHUMAN,MIA",SHUMANMIABC,10,0,,,Babson,BC,1133-2732,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10,2,00:00,0,0,1.000,,2,2,0,8,7,1,1.000,0.80,,,,,,,,,,,,,,,,,,
2026-27,wlax,New England Women's and Men's Athletic Conference (NEWMAC),newmac,Babson,Tatum Sands,Tatum,Sands,,45,Tatum Sands,"SANDS,TATUM",SANDSTATUMBC,18,10,,,Babson,BC,1133-1906,0,2,0,0,0,0,2,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,14,12,17,5,600:00,0,0,1.000,,19,25,5,10,3,7,.760,0.56,,,,,,,,,,,,,,,,,,
2026-27,wlax,New England Women's and Men's Athletic Conference (NEWMAC),newmac,Babson,Lilly Bedard,Lilly,Bedard,,45,Lilly Bedard,"BEDARD,LILLY",BEDARDLILLYBC,18,18,,,Babson,BC,1133-1903,0,7,0,0,0,5,28,1,6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,17,2,48,7,1080:00,0,0,1.000,,67,78,17,73,37,36,.859,4.06,,,,,,,,,,,,,,,,,,
2026-27,wlax,New England Women's and Men's Athletic Conference (NEWMAC),newmac,Babson,Margaux Boneu,Margaux,Boneu,,45,Margaux Boneu,"BONEU,MARGAUX",BONEUMARGAUXBC,14,5,,,Babson,BC,1133-2933,0,1,0,0,0,0,3,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0,3,1,300:00,0,0,1.000,,14,20,2,11,4,7,.700,0.79,,,,,,,,,,,,,,,,,,
2026-27,wlax,New England Women's and Men's Athletic Conference (NEWMAC),newmac,Babson,Mia Fierro,Mia,Fierro,,45,Mia Fierro,"FIERRO,MIA",FIERROMIABC,0,0,,,Babson,BC,1133-2553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
2026-27,wlax,New England Women's and Men's Athletic Conference (NEWMAC),newmac,Babson,Jen Austin,Jen,Austin,,45,Jen Austin,"AUSTIN,JEN",AUSTINJENBC,16,6,,,Babson,BC,1133-2549,0,2,0,0,0,1,7,0,1,2,0,0,0,1,2,0,0,0,0,0,0,0,0,12,8,26,2,360:00,0,0,1.000,,17,23,5,23,11,12,.739,1.44,,,,,,,,,,,,,,,,,,
