conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,shot_stats_penalty_kick_attempts,shot_stats_penalty_kick_goals,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_penalty_shot_attempts,shot_stats_penalty_shot_goals,shot_stats_avg_shots_per_game,shot_stats_avg_sog_per_game,shot_stats_avg_points_per_game,shot_stats_avg_goals_per_game,shot_stats_avg_assists_per_game,shot_stats_shots_saved_by_goalie,goal_stats_game_tying,goal_stats_hattricks,goal_stats_overtime,goal_stats_first,goal_stats_unassisted,goal_stats_game_winning,goal_stats_avg_gw_per_game,caution_stats_fouls,caution_stats_red_cards,caution_stats_yellow_cards,caution_stats_green_cards,caution_stats_avg_fouls_per_game,caution_stats_avg_yc_per_game,caution_stats_avg_rc_per_game,caution_stats_avg_gc_per_game,misc_stats_offsides,misc_stats_corner_kicks,misc_stats_minutes_played,misc_stats_defensive_saves,misc_stats_avg_corners_per_game,misc_stats_avg_offsides_per_game,goalie_stats_shots_faced,goalie_stats_ties,goalie_stats_losses,goalie_stats_wins,goalie_stats_shutouts,goalie_stats_save_percentage,goalie_stats_goals_against_avg,goalie_stats_saves,goalie_stats_goals_allowed,goalie_stats_minutes,goalie_stats_games_started,goalie_stats_games_played,goalie_stats_avg_ga_per_game,goalie_stats_save_percentage_calc,goalie_stats_avg_sho_per_game,goalie_stats_avg_saves_per_game,z_shot_stats_goals,z_shot_stats_assists,z_shot_stats_points,z_shot_stats_shots_on_goal,z_caution_stats_yellow_cards,z_caution_stats_red_cards,composite_score,rank,rating
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,wsoc,MIT,"Barnouw, Natalie",0,,8,26,26,0.0,0.0,46.0,79.0,59.0,13.0,23.0,1.0,1.0,3.04,1.77,2.27,0.885,0.5,23.0,1.0,0.0,0.0,10.0,9.0,10.0,0.385,3.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,,1486:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,,9.728794577627186,7.810384283605994,9.948039367108896,5.5587932383976,-0.34220622232079934,0.0,23.322780714155247,1,99
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,wsoc,Springfield,"Moturra, Natalia",0,,22,-21,-21,0.0,0.0,-8.0,-28.0,-18.0,-8.0,-5.0,0.0,0.0,1.33,0.38,0.86,0.238,0.381,-3.0,0.0,0.0,0.0,0.0,-2.0,-5.0,0.238,-9.0,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.0,,-938:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,,-2.6355427595841476,-5.519435507284385,-3.641258291998464,-1.6848682646859379,-0.34220622232079934,0.0,19.600709391209538,2,96
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,wsoc,Clark,"Louis, Georgia",0,,15,18,18,0.0,0.0,45.0,76.0,25.0,9.0,8.0,0.0,0.0,4.22,2.5,1.39,0.444,0.5,37.0,0.0,0.0,0.0,3.0,4.0,3.0,0.167,4.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,,1452:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,,3.1050424326925423,5.2713709901030645,3.947570270879672,5.424651358710868,-0.34220622232079934,0.0,10.694562520470752,3,95
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,wsoc,Wheaton,Ali Roche,0,,20,19,19,0.0,0.0,31.0,56.0,24.0,4.0,10.0,2.0,1.0,2.95,1.63,1.26,0.526,0.211,21.0,0.0,0.0,0.0,3.0,4.0,4.0,0.211,8.0,0.0,0.0,0.0,0.42,0.0,0.0,0.0,0.0,,1524:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,,3.9882093853504945,2.097604373224403,3.7710858856964595,3.5466650430966173,-0.34220622232079934,0.0,8.856956508562542,4,94
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,wsoc,Smith,"Quinn, Kaleigh",0,,22,17,17,0.0,0.0,35.0,59.0,26.0,0.0,13.0,2.0,2.0,3.47,2.06,1.53,0.765,0.0,22.0,3.0,2.0,0.0,2.0,4.0,2.0,0.118,5.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,,1380:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,,5.312959814337423,-0.44140892027852646,4.124054656062884,4.0832325618435465,-0.34220622232079934,0.0,8.758789275103304,5,93
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,wsoc,Springfield,"Suller, Kaitlyn",0,,18,18,18,0.0,0.0,29.0,58.0,20.0,6.0,7.0,1.0,0.0,3.22,1.61,1.11,0.389,0.333,22.0,0.0,0.0,0.0,4.0,2.0,1.0,0.056,12.0,0.0,0.0,0.0,0.67,0.0,0.0,0.0,0.0,,1545:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,,2.663458956363566,3.367111019975867,3.0651483449636094,3.278381283723153,-0.34220622232079934,0.0,7.87304770191395,6,92
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,wsoc,WPI,"Johnson, Abigail",0,,7,21,21,0.0,0.0,31.0,55.0,22.0,4.0,9.0,0.0,0.0,2.62,1.48,1.05,0.429,0.19,22.0,1.0,0.0,0.0,3.0,2.0,2.0,0.095,3.0,0.0,1.0,0.0,0.14,0.05,0.0,0.0,0.0,,1281:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,,3.546625909021518,2.097604373224403,3.4181171153300345,3.5466650430966173,1.9047327468799204,0.0,7.831254047596959,7,91
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,wsoc,MIT,"Seebeck, Madeline",0,,9,26,26,0.0,0.0,19.0,33.0,23.0,3.0,10.0,0.0,0.0,1.27,0.73,0.88,0.385,0.115,9.0,0.0,0.0,0.0,4.0,3.0,4.0,0.154,3.0,0.0,1.0,0.0,0.12,0.04,0.0,0.0,0.0,,1492:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,,3.9882093853504945,1.4628510498486704,3.5946015005132472,1.9369624868558313,1.9047327468799204,0.0,7.630108755943015,8,91
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,wsoc,WPI,"Steckley, Maeve",0,,5,21,21,0.0,0.0,40.0,78.0,19.0,5.0,7.0,0.0,0.0,3.71,1.9,0.9,0.333,0.238,33.0,0.0,0.0,0.0,4.0,1.0,4.0,0.19,2.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,,1509:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,,2.663458956363566,2.732357696600135,2.888663959780397,4.753941960277207,-0.34220622232079934,0.0,7.600293441233499,9,90
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,wsoc,MIT,"Luk, Sean",0,,7,16,15,0.0,0.0,18.0,48.0,17.0,9.0,4.0,1.0,1.0,3.0,1.13,1.06,0.25,0.563,14.0,0.0,0.0,0.0,1.0,4.0,1.0,0.063,1.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,,770:00,0.0,0.0,0.0,,,,,,,,,,,,,,,,,1.3387085273766375,5.2713709901030645,2.535695189413972,1.802820607169099,-0.34220622232079934,0.0,7.215549907820502,10,90
