conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,attack_stats_hitting_pct,attack_stats_attempts,attack_stats_errors,attack_stats_kills,set_stats_assists,set_stats_errors,set_stats_attempts,set_stats_set_pct,serve_stats_aces,serve_stats_errors,serve_stats_attempts,serve_stats_serve_pct,defense_stats_defense_pct,defense_stats_attempts,defense_stats_receptions,defense_stats_digs,block_stats_total,block_stats_errors,block_stats_assists,block_stats_solos,misc_stats_points,misc_stats_ball_handling_errors,per_set_stats_kills,per_set_stats_assists,per_set_stats_digs,per_set_stats_blocks,per_set_stats_aces,per_set_stats_points
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,wvball,MIT,"Gavros, Daphne",0,,2,108,0,-.200,5,1,0,103,0,377,0,43,53,436,0,0,381,15,450,0,0,0,0,43,0,0.00,0.95,4.17,0.00,0.40,0.40
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,wvball,MIT,"Gibbs, Ali",0,,8,108,52,.370,629,69,302,11,1,54,0,30,42,382,0,0,0,0,81,76,3,65,11,375.5,0,2.80,0.10,0.75,0.70,0.28,3.48
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,wvball,MIT,"Underwood, Claire",0,,14,104,49,.328,500,68,232,6,2,36,0,5,8,23,0,0,7,2,27,74,7,66,8,278,0,2.23,0.06,0.26,0.71,0.05,2.67
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,wvball,MIT,"Foland, Lexi",0,,3,24,2,.333,3,0,1,1,0,8,0,2,1,50,0,0,50,3,27,0,0,0,0,3,0,0.04,0.04,1.13,0.00,0.08,0.13
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,wvball,MIT,"May, Kayleigh",0,,16,105,51,.292,137,6,46,1167,11,2910,0,41,42,424,0,0,1,0,240,52,6,50,2,114,2,0.44,11.11,2.29,0.50,0.39,1.09
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,wvball,MIT,"Sadati, Eileen",0,,23,103,37,.283,831,120,355,8,5,52,0,31,27,337,0,0,7,1,87,30,15,27,3,402.5,0,3.45,0.08,0.84,0.29,0.30,3.91
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,wvball,MIT,"Cen, Jennifer",0,,6,29,9,.256,82,10,31,1,0,7,0,0,1,4,0,0,1,0,3,12,0,12,0,37,0,1.07,0.03,0.10,0.41,0.00,1.28
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,wvball,MIT,"Fertic, Emery",0,,7,9,0,.083,12,3,4,0,0,0,0,0,1,5,0,0,0,0,1,2,0,2,0,5,0,0.44,0.00,0.11,0.22,0.00,0.56
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,wvball,MIT,"Trapp, Jessie",0,,10,108,15,.145,633,117,209,3,4,29,0,0,1,3,0,0,132,15,47,29,2,27,2,224.5,0,1.94,0.03,0.44,0.27,0.00,2.08
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,wvball,MIT,"Amaro, Jillian",0,,15,15,1,.833,6,0,5,97,3,174,0,3,3,29,0,0,0,0,15,0,1,0,0,8,0,0.33,6.47,1.00,0.00,0.20,0.53
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,wvball,MIT,"Tolstova, Julia",0,,17,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,wvball,MIT,"Haley, Cate",0,,21,8,0,.000,1,0,0,1,0,1,0,0,3,5,0,0,11,1,4,0,0,0,0,0,0,0.00,0.13,0.50,0.00,0.00,0.00
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,wvball,MIT,"Song, Sophia",0,,22,110,35,.125,32,2,6,9,0,63,0,47,44,450,0,0,399,36,262,0,0,0,0,53,0,0.05,0.08,2.38,0.00,0.43,0.48
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,wvball,MIT,"Francis, Hudson",0,,4,0,0,.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,wvball,MIT,"Ye, Amy",0,,9,7,0,.263,19,1,6,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0.86,0.71,0.00,0.00,0.00,0.86
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,wvball,MIT,"Zhou, Ella",0,,13,105,48,.231,963,124,346,24,1,117,0,53,40,397,0,0,486,25,314,25,4,25,0,411.5,0,3.30,0.23,2.99,0.24,0.50,3.92
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,wvball,MIT,"Licznerski, Maya",0,,18,18,0,.000,51,12,12,0,0,0,0,1,0,2,0,0,5,0,1,2,0,2,0,14,0,0.67,0.00,0.06,0.11,0.06,0.78
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,wvball,MIT,"Wyndham, Adelyn",0,,20,110,13,.000,10,1,1,23,0,76,0,9,11,86,0,0,348,18,192,0,0,0,0,10,0,0.01,0.21,1.75,0.00,0.08,0.09
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,wvball,Babson,"Allen, Isabella",0,,9,107,46,.226,787,112,290,2,4,41,0,1,5,20,0,0,75,8,64,23,0,19,4,304.5,1,2.71,0.02,0.60,0.21,0.01,2.85
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,wvball,Babson,"Shaw, Sophia",0,,12,116,3,.125,16,0,2,92,5,349,0,41,36,499,0,0,738,44,462,0,0,0,0,43,2,0.02,0.79,3.98,0.00,0.35,0.37
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,wvball,Babson,"Fouche, Hailey",0,,4,103,41,.224,644,97,241,8,1,56,0,23,48,198,0,0,106,8,126,66,2,56,10,302,2,2.34,0.08,1.22,0.64,0.22,2.93
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,wvball,Babson,"Molendyk, Allison",0,,7,48,8,.146,302,64,108,3,1,22,0,8,9,59,0,0,64,7,26,14,0,13,1,123.5,2,2.25,0.06,0.54,0.29,0.17,2.57
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,wvball,Babson,"Ackerman, Zoe",0,,1,121,55,.259,162,11,53,1085,18,2732,0,74,69,488,0,0,6,0,231,51,2,48,3,154,3,0.44,8.97,1.91,0.42,0.61,1.27
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,wvball,Babson,"Molendyk, Natalie",0,,15,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
newmac,New England Women's and Men's Athletic Conference (NEWMAC),2025-26,wvball,Babson,"Whitehurst, Nora",0,,16,31,8,.212,85,17,35,2,1,8,0,0,6,14,0,0,2,0,4,19,1,17,2,45.5,0,1.13,0.06,0.13,0.61,0.00,1.47
