season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,linkup_name,games_played,games_started,uniform,year,hitting_stats_at_bats,hitting_stats_runs,hitting_stats_hits,hitting_stats_runs_batted_in,hitting_stats_doubles,hitting_stats_triples,hitting_stats_home_runs,hitting_stats_walks,hitting_stats_intentional_walks,hitting_stats_hit_by_pitch,hitting_stats_strikeouts,hitting_stats_strikeouts_looking,hitting_stats_stolen_bases,hitting_stats_caught_stealing,hitting_stats_sacrifice_hits,hitting_stats_sacrifice_flies,hitting_stats_reached_on_catchers_interference,hitting_stats_reached_on_error,hitting_stats_reached_on_fielders_choice,hitting_stats_grounded_into_doubleplay,hitting_stats_picked_off,hitting_stats_total_double_plays,hitting_stats_total_triple_plays,hitting_stats_onbase_percentage,hitting_stats_total_bases,hitting_stats_total_plate_appearances,hitting_stats_stolen_base_attempts,hitting_stats_stolen_base_percentage,hitting_stats_batting_average,hitting_stats_slugging_percentage,fielding_stats_putouts,fielding_stats_assists,fielding_stats_errors,fielding_stats_passed_balls,fielding_stats_catchers_interference,fielding_stats_stolen_bases_against,fielding_stats_caught_stealing_by,fielding_stats_involved_in_double_plays,fielding_stats_involved_in_triple_plays,fielding_stats_total_chances,fielding_stats_fielding_percentage,fielding_stats_stolen_bases_against_attempts,fielding_stats_stolen_bases_against_percentage,pitching_stats,hitting_summary_stats_times_reached_base_on_error,hitting_summary_stats_times_reached_base_on_fielders_choice,hitting_summary_stats_times_grouded_out,hitting_summary_stats_times_flied_out,hitting_summary_stats_hits_ab_with_2_outs,hitting_summary_stats_batting_avg_with_2_outs,hitting_summary_stats_hits_with_2_outs,hitting_summary_stats_ab_with_2_outs,hitting_summary_stats_hits_ab_with_runners_on_base,hitting_summary_stats_batting_avg_with_runners_on_base,hitting_summary_stats_hits_with_runners_on_base,hitting_summary_stats_ab_with_runners_on_base,hitting_summary_stats_hits_ab_with_runners_in_scoring_position,hitting_summary_stats_batting_avg_with_runners_in_scoring_position,hitting_summary_stats_hits_with_runners_in_scoring_position,hitting_summary_stats_ab_with_runners_in_scoring_position,hitting_summary_stats_hits_ab_vs_left_handed_pitchers,hitting_summary_stats_batting_avg_vs_left_handed_pitchers,hitting_summary_stats_hits_vs_left_handed_pitchers,hitting_summary_stats_ab_vs_left_handed_pitchers,hitting_summary_stats_hits_ab_vs_right_handed_pitchers,hitting_summary_stats_batting_avg_vs_right_handed_pitchers,hitting_summary_stats_hits_vs_right_handed_pitchers,hitting_summary_stats_ab_vs_right_handed_pitchers,hitting_summary_stats_success_opps_as_leadoff_batter_in_inning,hitting_summary_stats_success_opps_to_drive_in_runner_from_3rd_with_less_than_2_outs,hitting_summary_stats_number_of_runners_advanced_ab,hitting_summary_stats_hits_ab_with_bases_loaded,hitting_summary_stats_batting_avg_with_bases_loaded,hitting_summary_stats_hits_with_bases_loaded,hitting_summary_stats_ab_with_bases_loaded,hitting_summary_stats_hits_ab_as_pinch_hitter,hitting_summary_stats_batting_avg_as_pinch_hitter,hitting_summary_stats_hits_as_pinch_hitter,hitting_summary_stats_ab_as_pinch_hitter,hitting_summary_stats_times_advanced_at_least_1_runner_with_an_out,hitting_summary_stats_runners_left_on_base,hitting_summary_stats_two_out_rbis,pitching_summary_stats,team_name,team_id,sdrm_id,this_is_softball,pitching_stats_hits_allowed,pitching_stats_appearances,pitching_stats_games_started,pitching_stats_wins,pitching_stats_losses,pitching_stats_saves,pitching_stats_complete_games,pitching_stats_shutouts,pitching_stats_credit_for_combined_shutout,pitching_stats_games_finished,pitching_stats_innings_pitched,pitching_stats_runs_allowed,pitching_stats_earned_runs_allowed,pitching_stats_walks_allowed,pitching_stats_strikeouts,pitching_stats_doubles_allowed,pitching_stats_triples_allowed,pitching_stats_home_runs_allowed,pitching_stats_earned_run_average,pitching_stats_opponents_at_bats,pitching_stats_batters_faced,pitching_stats_wild_pitches,pitching_stats_hit_batters,pitching_stats_balks,pitching_stats_sacrifice_flies_allowed,pitching_stats_sacrifice_hits_allowed,pitching_stats_catchers_interference_allowed,pitching_stats_intentional_walks,pitching_stats_strikeouts_looking,pitching_stats_opponent_batting_average,pitching_summary_stats_fly_outs_allowed,pitching_summary_stats_ground_outs_allowed,pitching_summary_stats_runners_picked_off,pitching_summary_stats_success_opps_vs_leadoff_batters,pitching_summary_stats_hits_ab_with_runners_on_base,pitching_summary_stats_hits_ab_vs_left_handed_batters,pitching_summary_stats_hits_ab_vs_right_handed_batters,pitching_summary_stats_hits_ab_with_2_outs,hitting_stats,fielding_stats,hitting_summary_stats,global_rank,rating,composite_score,ranking_segment,pitching_stats_k_per_9,pitching_stats_whip
2026-27,baseball,New Jersey Athletic Conference (NJAC),njac,Rutgers-Newark,Trevor Walla,Trevor,Walla,,589,Trevor Walla,0,0RUTGERS-,13,10,,,36,10,15,8,1,0,0,6,0,2,3,3,0,0,2,0,0,0,0,1,1,1,0,0.523,16,46,0,.000,.417,.444,16,18,0,0,0,0,0,3,0,34,1.000,0,.000,,2,1,15,3,"5,11",0.45,5,11,"9,20",0.45,9,20,"8,14",0.57,8,14,"2,7",0.29,2,7,0,0,0,0,"7,10","4,6","15,23",0,0,0,0,4,0,0,0,4,5,0,,Rutgers-Newark,RUTGERS-,1161-2627,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,99,78.0,batting,,
2026-27,baseball,New Jersey Athletic Conference (NJAC),njac,William Paterson,Matt Caruso,Matt,Caruso,,787,Matt Caruso,0,0WM. PATE,11,10,,,35,5,14,7,2,0,0,9,0,1,2,0,0,0,0,0,0,0,0,3,0,3,0,0.533,16,45,0,.000,.400,.457,6,0,0,0,0,0,0,0,0,6,1.000,0,.000,,0,0,9,10,"7,18",0.39,7,18,"9,22",0.41,9,22,"8,13",0.62,8,13,"2,3",0.67,2,3,0,0,0,0,"6,7","1,3","10,24","0,1",0,0,1,2,0,0,0,0,11,0,,William Paterson,WM. PATE,1164-3182,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,99,77.0,batting,,
2026-27,baseball,New Jersey Athletic Conference (NJAC),njac,William Paterson,Devin Daproza,Devin,Daproza,,787,Devin Daproza,0,0WM. PATE,15,14,,,55,16,22,7,0,0,0,10,0,0,5,2,1,0,0,0,0,0,0,0,0,0,0,0.492,22,65,1,1.000,.400,.400,11,27,2,0,0,0,0,3,0,40,.950,0,.000,,1,3,16,11,"7,15",0.47,7,15,"8,24",0.33,8,24,"5,14",0.36,5,14,"3,8",0.38,3,8,0,0,0,0,"12,21","4,6","18,28",33,0,0,0,"0,1",0,0,1,4,9,0,,William Paterson,WM. PATE,1164-3044,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,99,76.0,batting,,
2026-27,baseball,New Jersey Athletic Conference (NJAC),njac,Montclair State,Billy Tigar,Billy,Tigar,,442,Billy Tigar,0,0MONTCLAI,20,20,,,78,24,35,31,5,2,2,11,3,3,10,2,6,1,0,2,0,0,0,0,0,0,0,0.521,50,94,7,.857,.449,.641,50,19,3,0,0,0,0,6,0,72,.958,0,.000,,4,4,15,17,"15,25",0.60,15,25,"23,55",0.42,23,55,"21,44",0.48,21,44,"0,4",0,0,4,0,0,0,0,"8,11","7,14","40,60",102,0,0,0,0,0,0,0,13,8,0,,Montclair State,MONTCLAI,1149-14542,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,98,75.0,batting,,
2026-27,baseball,New Jersey Athletic Conference (NJAC),njac,Rowan,Brayden Davis,Brayden,Davis,,259,Brayden Davis,0,0RU,11,11,,,45,13,23,23,8,1,5,9,2,1,11,2,3,0,0,2,0,0,0,0,0,0,0,0.579,48,57,3,1.000,.511,1.067,8,22,4,0,0,0,0,1,0,34,.882,0,.000,,1,1,5,7,"6,12",0.50,6,12,"15,27",0.56,15,27,"8,15",0.53,8,15,"4,9",0.44,4,9,0,0,0,0,"4,10","5,9","24,33",2,0,0,0,0,0,0,0,5,4,0,,Rowan,RU,1154-4534,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,98,74.0,batting,,
2026-27,baseball,New Jersey Athletic Conference (NJAC),njac,Rutgers-Camden,Jake Slusarski,Jake,Slusarski,,588,Jake Slusarski,0,0RUTGERS-,17,17,,,64,14,26,20,2,2,3,7,0,2,5,1,5,0,0,1,0,0,0,1,0,1,0,0.473,41,74,5,1.000,.406,.641,10,0,0,0,0,0,0,0,0,10,1.000,0,.000,,1,1,20,13,"9,22",0.41,9,22,"17,39",0.44,17,39,"16,34",0.47,16,34,"1,11",0.09,1,11,"0,3",0,0,3,"3,11","6,11","27,43",33,0,0,0,0,0,0,0,7,12,0,,Rutgers-Camden,RUTGERS-,1155-5388,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,98,73.0,batting,,
2026-27,baseball,New Jersey Athletic Conference (NJAC),njac,Kean,Jude Clough,Jude,Clough,,329,Jude Clough,0,0KEAN,18,18,,,54,25,24,17,8,0,2,19,0,5,9,4,1,0,0,5,0,0,0,0,0,0,0,0.578,38,83,1,1.000,.444,.704,80,11,1,1,0,14,7,0,0,92,.989,21,.667,,1,2,9,16,"11,24",0.46,11,24,"15,37",0.41,15,37,"10,25",0.40,10,25,"3,6",0.50,3,6,"4,8",0.50,4,8,"12,15","8,10","31,50",1,0,0,0,0,0,0,0,14,17,0,,Kean,KEAN,1148-7230,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,97,72.0,batting,,
2026-27,baseball,New Jersey Athletic Conference (NJAC),njac,Montclair State,Jared Levis,Jared,Levis,,442,Jared Levis,0,0MONTCLAI,20,20,,,68,37,28,17,4,2,0,18,0,7,5,0,19,0,3,3,0,0,0,0,0,0,0,0.552,36,99,19,1.000,.412,.529,32,1,1,0,0,0,0,1,0,34,.971,0,.000,,2,1,19,20,"9,20",0.45,9,20,"16,33",0.48,16,33,"10,21",0.48,10,21,"1,2",0.50,1,2,0,0,0,0,"20,33","8,8","29,43","0,1",0,0,1,0,0,0,0,10,10,0,,Montclair State,MONTCLAI,1149-14537,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,97,71.0,batting,,
2026-27,baseball,New Jersey Athletic Conference (NJAC),njac,Rutgers-Camden,Gavin Mccaffrey,Gavin,Mccaffrey,,588,Gavin Mccaffrey,0,0RUTGERS-,15,12,,,42,12,17,16,1,0,1,3,0,5,5,2,4,1,1,0,0,0,0,1,0,2,0,0.500,21,51,5,.800,.405,.500,14,2,0,0,0,0,0,0,0,16,1.000,0,.000,,2,2,15,4,"7,12",0.58,7,12,"12,27",0.44,12,27,"8,18",0.44,8,18,"3,7",0.43,3,7,"1,3",0.33,1,3,"4,8","7,8","20,30",23,0,0,0,0,0,0,0,6,8,0,,Rutgers-Camden,RUTGERS-,1155-5379,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,97,70.0,batting,,
2026-27,baseball,New Jersey Athletic Conference (NJAC),njac,Montclair State,Danny O'brien,Danny,O'brien,,442,Danny O'brien,0,0MONTCLAI,17,17,,,60,16,24,16,4,0,0,6,0,4,5,2,3,1,1,3,0,0,0,0,0,0,0,0.466,28,74,4,.750,.400,.467,11,40,5,0,0,0,0,4,0,56,.911,0,.000,,1,4,17,16,"6,16",0.38,6,16,"16,31",0.52,16,31,"11,19",0.58,11,19,"2,5",0.40,2,5,0,0,0,0,"9,21","10,12","29,40",111,0,0,0,0,0,0,0,10,10,0,,Montclair State,MONTCLAI,1149-15143,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,96,69.0,batting,,
