conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,attack_stats_hitting_pct,attack_stats_attempts,attack_stats_errors,attack_stats_kills,set_stats_assists,set_stats_errors,set_stats_attempts,set_stats_set_pct,serve_stats_aces,serve_stats_errors,serve_stats_attempts,serve_stats_serve_pct,defense_stats_defense_pct,defense_stats_attempts,defense_stats_receptions,defense_stats_digs,block_stats_total,block_stats_errors,block_stats_assists,block_stats_solos,misc_stats_points,misc_stats_ball_handling_errors,per_set_stats_kills,per_set_stats_assists,per_set_stats_digs,per_set_stats_blocks,per_set_stats_aces,per_set_stats_points,z_per_set_stats_points,z_per_set_stats_kills,z_per_set_stats_assists,z_per_set_stats_blocks,z_per_set_stats_aces,z_per_set_stats_digs,z_attack_stats_errors,z_serve_stats_errors,composite_score,rank,rating
njac,New Jersey Athletic Conference (NJAC),2025-26,mvball,NJCU,"Pardasie, Marcus",0,,10,103,29,0.313,998.0,140.0,452.0,32.0,4.0,128.0,0.0,33.0,44.0,420.0,0.0,0.0,580.0,14.0,223.0,34.0,1.0,22.0,12.0,508.0,2.0,4.39,0.31,2.17,0.33,0.32,4.93,2.8990597127565794,3.071979598751233,-0.24315566344141262,0.2892285684085699,1.0990372750153357,1.8701664136000842,2.735221279373627,0.896371092161666,5.625839426212266,1,99
njac,New Jersey Athletic Conference (NJAC),2025-26,mvball,Ramapo,"Kirchofer, Reece",0,,4,96,30,0.259,975.0,137.0,390.0,14.0,2.0,82.0,0.0,34.0,78.0,355.0,0.0,0.0,585.0,28.0,174.0,41.0,9.0,26.0,15.0,452.0,1.0,4.06,0.15,1.81,0.43,0.35,4.71,2.717311387307423,2.7627348033081853,-0.3117742029505233,0.6970462158863305,1.3014447860843956,1.34042469006661,2.66054890875372,2.26525221107106,5.186006900219383,2,92
njac,New Jersey Athletic Conference (NJAC),2025-26,mvball,Kean,"Mitchell, Chris",0,,12,78,24,0.284,749.0,102.0,315.0,8.0,1.0,46.0,0.0,14.0,37.0,259.0,0.0,0.0,13.0,0.0,122.0,39.0,3.0,31.0,8.0,352.5,0.0,4.04,0.1,1.56,0.5,0.18,4.52,2.560346924419515,2.743992694493455,-0.3332174965471204,0.9825185691207631,0.1544688900263881,0.9725484931683637,1.789371251521473,0.6145426265038496,4.9324660329943555,3,89
njac,New Jersey Athletic Conference (NJAC),2025-26,mvball,Rutgers-Newark,"Kolodziej, Aleks",0,,16,102,30,0.251,710.0,116.0,294.0,10.0,2.0,57.0,0.0,34.0,75.0,369.0,0.0,0.0,5.0,3.0,148.0,49.0,1.0,48.0,1.0,353.0,2.0,2.88,0.1,1.45,0.48,0.33,3.46,1.684650447255398,1.6569503832391053,-0.3332174965471204,0.9009550396252108,1.1665064453716891,0.8106829665331352,2.137842314414372,2.144468582931996,3.288015774336901,4,87
njac,New Jersey Athletic Conference (NJAC),2025-26,mvball,Rutgers-Newark,"Au, Derek",0,,14,112,32,0.238,248.0,42.0,101.0,1100.0,22.0,2417.0,0.0,38.0,71.0,514.0,0.0,0.0,9.0,2.0,192.0,51.0,7.0,46.0,5.0,167.0,4.0,0.9,9.82,1.71,0.46,0.34,1.49,0.057176805733406784,-0.19851838941918146,3.8353587786313525,0.8193915101296588,1.2339756157280426,1.1932742113073112,0.2959238391233348,1.9834237454132435,3.143654773193756,5,85
njac,New Jersey Athletic Conference (NJAC),2025-26,mvball,NJCU,"Peralta, Matt",0,,6,84,25,0.245,554.0,114.0,250.0,20.0,1.0,81.0,0.0,27.0,72.0,239.0,0.0,0.0,352.0,36.0,151.0,23.0,0.0,18.0,5.0,291.0,0.0,2.98,0.24,1.8,0.27,0.32,3.46,1.684650447255398,1.7506609273127562,-0.27317627447664855,0.044537979921913544,1.0990372750153357,1.32570964219068,2.088060734001101,2.0236849547929316,3.094604092654862,6,84
njac,New Jersey Athletic Conference (NJAC),2025-26,mvball,Rutgers-Newark,"Roco, Massimo",0,,21,119,32,0.391,463.0,80.0,261.0,5.0,1.0,35.0,0.0,44.0,107.0,315.0,0.0,0.0,12.0,2.0,39.0,106.0,6.0,88.0,18.0,367.0,1.0,2.19,0.04,0.33,0.89,0.37,3.08,1.3707215214795827,1.0103476291309146,-0.35894944886303687,2.5730073942840295,1.4363831267971026,-0.8374023955710077,1.241773866975489,3.4328272830820135,3.023698802731297,7,82
njac,New Jersey Athletic Conference (NJAC),2025-26,mvball,NJCU,"Ayllon, Robert",0,,18,11,2,0.255,47.0,9.0,21.0,1.0,0.0,5.0,0.0,8.0,4.0,31.0,0.0,0.0,29.0,1.0,12.0,1.0,2.0,1.0,0.0,29.5,0.0,1.91,0.09,1.09,0.09,0.73,2.68,1.0402700206629347,0.7479581057246921,-0.33750615526643984,-0.6895337855380558,3.8652732596258246,0.28094124299966083,-0.5254722376956412,-0.7140772830258562,2.8842127097557557,8,81
njac,New Jersey Athletic Conference (NJAC),2025-26,mvball,Ramapo,"Tracz, Jan",0,,1,99,30,0.391,363.0,41.0,183.0,4.0,2.0,37.0,0.0,47.0,91.0,408.0,0.0,0.0,5.0,1.0,66.0,64.0,12.0,48.0,16.0,270.0,0.0,1.85,0.04,0.67,0.65,0.47,2.73,1.0815764582650156,0.6917317792805017,-0.35894944886303687,1.5942450403374042,2.111074830360636,-0.3370907677893928,0.27103304891669916,2.7886479330070046,2.6438005696531626,9,80
njac,New Jersey Athletic Conference (NJAC),2025-26,mvball,Kean,"Pugliano, Danny",0,,15,84,24,0.343,388.0,67.0,200.0,10.0,2.0,36.0,0.0,17.0,47.0,249.0,0.0,0.0,17.0,0.0,42.0,52.0,2.0,48.0,4.0,245.0,1.0,2.38,0.12,0.5,0.62,0.2,2.92,1.2385409211529232,1.188397662870851,-0.3246401791084816,1.471899746094076,0.289407230739095,-0.5872465816802003,0.9181935942892256,1.0171547203007303,2.414021873019223,10,79
