season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,team_name,team_id,sdrm_id,games_played,games_started,uniform,year,code,matches_played,attack_stats_hitting_pct,attack_stats_attempts,attack_stats_errors,attack_stats_kills,set_stats_assists,set_stats_errors,set_stats_attempts,set_stats_set_pct,serve_stats_aces,serve_stats_errors,serve_stats_attempts,serve_stats_serve_pct,defense_stats_defense_pct,defense_stats_attempts,defense_stats_receptions,defense_stats_digs,block_stats_total,block_stats_errors,block_stats_assists,block_stats_solos,misc_stats_points,misc_stats_ball_handling_errors,per_set_stats_kills,per_set_stats_assists,per_set_stats_digs,per_set_stats_blocks,per_set_stats_aces,per_set_stats_points,attack_stats,set_stats,serve_stats,defense_stats,block_stats,misc_stats,composite_score,global_rank,rating
2026-27,mvball,New Jersey Athletic Conference (NJAC),njac,Kean,"Mitchell, Chris",Chris,Mitchell,,329,"Mitchell, Chris","MITCHELL, CHRIS",Kean,Kean,0,116,45,12,0,12,0,.281,1129,113,430,9,2,78,0,22,47,391,0,0,1,0,219,69,4,55,14,493.5,1,3.71,0.08,1.89,0.59,0.19,4.25,,,,,,,7.417996391201597,1,99
2026-27,mvball,New Jersey Athletic Conference (NJAC),njac,Rutgers-Newark,"Takyi, Harry",Harry,Takyi,,589,"Takyi, Harry","TAKYI, HARRY",Rutgers-Newark,RUN,0,32,10,12,0,12,0,.272,195,43,96,10,1,23,0,20,21,99,0,0,169,6,29,16,3,12,4,126,3,3.00,0.31,0.91,0.50,0.63,3.94,,,,,,,6.783184004065371,2,99
2026-27,mvball,New Jersey Athletic Conference (NJAC),njac,Ramapo,"Tracz, Jan",Jan,Tracz,,564,"Tracz, Jan","TRACZ, JAN",Ramapo,RCNJ,1152-4348,90,40,1,0,1,0,.242,712,140,312,10,6,59,0,26,69,277,0,0,1,0,139,44,2,27,17,368.5,0,3.47,0.11,1.54,0.49,0.29,4.09,,,,,,,6.521393622273227,3,99
2026-27,mvball,New Jersey Athletic Conference (NJAC),njac,Rutgers-Newark,"Kolodziej, Aleks",Aleks,Kolodziej,,589,"Kolodziej, Aleks","KOLODZIEJ, ALEKS",Rutgers-Newark,RUN,1161-2344,93,33,16,0,16,0,.305,548,69,236,17,3,75,0,41,80,334,0,0,5,1,162,41,10,35,6,300.5,2,2.54,0.18,1.74,0.44,0.44,3.23,,,,,,,6.02636289903452,4,98
2026-27,mvball,New Jersey Athletic Conference (NJAC),njac,Rutgers-Newark,"Suarez, Michael",Michael,Suarez,,589,"Suarez, Michael","SUAREZ, MICHAEL",Rutgers-Newark,RUN,1161-2419,97,31,23,0,23,0,.244,747,137,319,19,0,70,0,33,75,391,0,0,547,28,127,32,5,20,12,374,4,3.29,0.20,1.31,0.33,0.34,3.86,,,,,,,5.575191518412439,5,98
2026-27,mvball,New Jersey Athletic Conference (NJAC),njac,NJCU,"Perales, Amaru",Amaru,Perales,,319,"Perales, Amaru","PERALES, AMARU",NJCU,NJCU,1151-3086,83,32,15,0,15,0,.367,401,49,196,14,0,40,0,21,58,238,0,0,4,1,33,77,1,62,15,263,1,2.36,0.17,0.40,0.93,0.25,3.17,,,,,,,5.558630036314188,6,98
2026-27,mvball,New Jersey Athletic Conference (NJAC),njac,NJCU,"Pardasie, Marcus",Marcus,Pardasie,,319,"Pardasie, Marcus","PARDASIE, MARCUS",NJCU,NJCU,1151-3177,85,36,10,0,10,0,.245,711,105,279,37,3,139,0,15,29,351,0,0,403,16,169,17,1,13,4,304.5,1,3.28,0.44,1.99,0.20,0.18,3.58,,,,,,,5.088410789133981,7,97
2026-27,mvball,New Jersey Athletic Conference (NJAC),njac,Ramapo,"Menter, Amari",Amari,Menter,,564,"Menter, Amari","MENTER, AMARI",Ramapo,RCNJ,0,65,24,6,0,6,0,.214,485,102,206,7,4,45,0,14,38,258,0,0,241,11,72,14,7,10,4,229,0,3.17,0.11,1.11,0.22,0.22,3.52,,,,,,,4.0335829156783864,8,97
2026-27,mvball,New Jersey Athletic Conference (NJAC),njac,Kean,"Flinn, Aidan",Aidan,Flinn,,329,"Flinn, Aidan","FLINN, AIDAN",Kean,Kean,0,102,41,8,0,8,0,.184,599,89,199,11,3,78,0,16,44,352,0,0,619,14,224,42,6,35,7,239.5,1,1.95,0.11,2.20,0.41,0.16,2.35,,,,,,,3.6528800120734752,9,97
2026-27,mvball,New Jersey Athletic Conference (NJAC),njac,NJCU,"De Souza, Victor",Victor,De Souza,,319,"De Souza, Victor","DE SOUZA, VICTOR",NJCU,NJCU,1151-3071,82,31,9,0,9,0,.274,318,43,130,6,0,39,0,13,30,187,0,0,9,0,32,77,8,60,17,190,2,1.59,0.07,0.39,0.94,0.16,2.32,,,,,,,3.516945141635864,10,96
