conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,attack_stats_hitting_pct,attack_stats_attempts,attack_stats_errors,attack_stats_kills,set_stats_assists,set_stats_errors,set_stats_attempts,set_stats_set_pct,serve_stats_aces,serve_stats_errors,serve_stats_attempts,serve_stats_serve_pct,defense_stats_defense_pct,defense_stats_attempts,defense_stats_receptions,defense_stats_digs,block_stats_total,block_stats_errors,block_stats_assists,block_stats_solos,misc_stats_points,misc_stats_ball_handling_errors,per_set_stats_kills,per_set_stats_assists,per_set_stats_digs,per_set_stats_blocks,per_set_stats_aces,per_set_stats_points
njac,New Jersey Athletic Conference (NJAC),2025-26,mvball,Rutgers-Newark,"Apito, Aidan",0,,11,73,18,.177,215,46,84,15,2,48,0,5,18,231,0,0,286,16,67,12,2,10,2,96,0,1.15,0.21,0.92,0.16,0.07,1.32
njac,New Jersey Athletic Conference (NJAC),2025-26,mvball,Rutgers-Newark,"Au, Derek",0,,14,112,32,.238,248,42,101,1100,22,2417,0,38,71,514,0,0,9,2,192,51,7,46,5,167,4,0.90,9.82,1.71,0.46,0.34,1.49
njac,New Jersey Athletic Conference (NJAC),2025-26,mvball,Rutgers-Newark,"Spring, Sean",0,,6,30,6,.233,129,30,60,4,0,12,0,7,32,92,0,0,163,8,26,5,2,4,1,70,0,2.00,0.13,0.87,0.17,0.23,2.33
njac,New Jersey Athletic Conference (NJAC),2025-26,mvball,Rutgers-Newark,"Gomes, Yann",0,,10,71,0,.000,1,0,0,2,1,7,0,24,45,232,0,0,0,0,23,1,0,1,0,24.5,0,0.00,0.03,0.32,0.01,0.34,0.35
njac,New Jersey Athletic Conference (NJAC),2025-26,mvball,Rutgers-Newark,"Paredes, Fernando",0,,2,99,0,.000,12,2,2,57,1,189,0,0,0,0,0,0,558,27,262,0,0,0,0,2,0,0.02,0.58,2.65,0.00,0.00,0.02
njac,New Jersey Athletic Conference (NJAC),2025-26,mvball,Rutgers-Newark,"Lopez, Vincent",0,,3,99,29,.297,283,47,131,4,2,18,0,10,30,190,0,0,5,1,33,65,2,61,4,175.5,3,1.32,0.04,0.33,0.66,0.10,1.77
njac,New Jersey Athletic Conference (NJAC),2025-26,mvball,Rutgers-Newark,"Johnson, Amir",0,,7,32,6,.328,67,9,31,2,0,9,0,0,1,2,0,0,1,0,7,19,5,16,3,42,0,0.97,0.06,0.22,0.59,0.00,1.31
njac,New Jersey Athletic Conference (NJAC),2025-26,mvball,Rutgers-Newark,"Jazmin, Evan",0,,8,26,0,.000,0,0,0,6,0,19,0,2,1,4,0,0,31,2,32,0,0,0,0,2,0,0.00,0.23,1.23,0.00,0.08,0.08
njac,New Jersey Athletic Conference (NJAC),2025-26,mvball,Rutgers-Newark,"Silva, Juan",0,,15,29,3,.147,109,27,43,1,1,9,0,9,20,84,0,0,0,0,31,15,2,15,0,59.5,0,1.48,0.03,1.07,0.52,0.31,2.05
njac,New Jersey Athletic Conference (NJAC),2025-26,mvball,Rutgers-Newark,"Kolodziej, Aleks",0,,16,102,30,.251,710,116,294,10,2,57,0,34,75,369,0,0,5,3,148,49,1,48,1,353,2,2.88,0.10,1.45,0.48,0.33,3.46
njac,New Jersey Athletic Conference (NJAC),2025-26,mvball,Rutgers-Newark,"Walker-Mason, Gavin",0,,12,62,0,.333,3,0,1,10,1,30,0,0,0,0,0,0,129,2,31,0,0,0,0,1,0,0.02,0.16,0.50,0.00,0.00,0.02
njac,New Jersey Athletic Conference (NJAC),2025-26,mvball,Rutgers-Newark,"Komine, Kaden",0,,18,89,2,.000,17,4,4,85,1,204,0,18,31,286,0,0,0,0,25,3,0,2,1,24,0,0.04,0.96,0.28,0.03,0.20,0.27
njac,New Jersey Athletic Conference (NJAC),2025-26,mvball,Rutgers-Newark,"Herrington, Benjamin",0,,1,29,4,.162,117,30,49,2,0,13,0,7,28,61,0,0,127,6,30,12,3,12,0,62,0,1.69,0.07,1.03,0.41,0.24,2.14
njac,New Jersey Athletic Conference (NJAC),2025-26,mvball,Rutgers-Newark,"Joyce, Justin",0,,4,9,0,.000,3,1,1,24,0,69,0,0,7,12,0,0,2,1,3,1,0,1,0,1.5,0,0.11,2.67,0.33,0.11,0.00,0.17
njac,New Jersey Athletic Conference (NJAC),2025-26,mvball,Rutgers-Newark,"Solodky, Alex",0,,20,63,16,.160,381,102,163,10,2,37,0,12,24,200,0,0,262,9,74,22,2,21,1,186.5,0,2.59,0.16,1.17,0.35,0.19,2.96
njac,New Jersey Athletic Conference (NJAC),2025-26,mvball,Rutgers-Newark,"Roco, Massimo",0,,21,119,32,.391,463,80,261,5,1,35,0,44,107,315,0,0,12,2,39,106,6,88,18,367,1,2.19,0.04,0.33,0.89,0.37,3.08
njac,New Jersey Athletic Conference (NJAC),2025-26,mvball,Rutgers-Newark,"Suarez, Michael",0,,23,93,26,.180,646,151,267,14,1,52,0,13,64,224,0,0,501,21,100,36,4,32,4,300,1,2.87,0.15,1.08,0.39,0.14,3.23
