conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,goal_stats_shootout_goals,goal_stats_free_positiong_goals,goal_stats_game_tying_goals,goal_stats_empty_net_goals,goal_stats_overtime_goals,goal_stats_first_goals,goal_stats_unassisted_goals,goal_stats_short_handed_goals,goal_stats_power_play_goals,goal_stats_game_winning_goals,penalty_stats_number,penalty_stats_minutes,penalty_stats_fouls,penalty_stats_green_cards,penalty_stats_yellow_cards,penalty_stats_red_cards,penalty_stats_match,penalty_stats_major,penalty_stats_minor,misc_stats_powerplay_opps,misc_stats_powerplay_goals,misc_stats_faceoffs_won,misc_stats_faceoffs_lost,misc_stats_ground_balls,misc_stats_draw_controls,misc_stats_turnovers,misc_stats_caused_turnovers,misc_stats_minutes_played,misc_stats_seconds,misc_stats_faceoffs_taken,misc_stats_penalty_killing_pct,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_free_position_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_shots_on_goal_pct,goalie_stats_games_played,goalie_stats_minutes,goalie_stats_goals_allowed,goalie_stats_saves,goalie_stats_shutouts,goalie_stats_win,goalie_stats_loss,goalie_stats_tie,goalie_stats_powerplay_goals_allowed,goalie_stats_shorthanded_goals_allowed,goalie_stats_emptynet_goals_allowed,goalie_stats_shots_faced,goalie_stats_goals_against_avg,goalie_stats_save_pct,z_shot_stats_points,z_shot_stats_goals,z_shot_stats_assists,z_misc_stats_ground_balls,z_misc_stats_caused_turnovers,z_misc_stats_turnovers,z_penalty_stats_minutes,composite_score,rank,rating
njac,New Jersey Athletic Conference (NJAC),2025-26,wlax,TCNJ,Ally Tobler,,,,18,18,0.0,12.0,0.0,0.0,0.0,6.0,36.0,0.0,3.0,5.0,0.0,0.0,0.0,16.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,106.0,33.0,28.0,1080:00,26.0,0.0,1.0,105.0,135.0,17.0,106.0,28.0,78.0,0.778,,,,,,,,,,,,,,,4.156447793681364,4.476474779819442,2.7484474996162773,1.7481376385822256,2.3565439398286974,1.8416464843560942,0.0,10.156286747049151,1,99
njac,New Jersey Athletic Conference (NJAC),2025-26,wlax,TCNJ,Marissa Lucca,,,,18,18,0.0,10.0,0.0,0.0,0.0,1.0,28.0,0.0,7.0,3.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,24.0,1.0,1080:00,26.0,0.0,1.0,88.0,107.0,19.0,107.0,46.0,61.0,0.822,,,,,,,,,,,,,,,4.200922813747688,3.3837024368704545,4.825680314236291,0.27527235213873963,-0.6851220429940993,1.0783324809716603,0.0,9.731573083564184,2,94
njac,New Jersey Athletic Conference (NJAC),2025-26,wlax,Rowan,Elaina Corson,,,,19,19,0.0,19.0,0.0,0.0,0.0,4.0,48.0,2.0,4.0,6.0,0.0,0.0,0.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,9.0,27.0,12.0,1134:00,32.0,0.0,1.0,109.0,141.0,30.0,97.0,17.0,80.0,0.773,,,,,,,,,,,,,,,3.7561726130844475,4.605036231931088,1.4790274462373796,0.9729453825593382,0.55407520926704,1.332770482099805,0.0,8.400518795703475,3,92
njac,New Jersey Athletic Conference (NJAC),2025-26,wlax,Rowan,Molly Green,,,,19,19,0.0,9.0,0.0,0.0,0.0,2.0,17.0,1.0,7.0,3.0,0.0,0.0,0.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,88.0,12.0,48.0,1149:00,32.0,0.0,1.0,61.0,88.0,22.0,56.0,18.0,38.0,0.693,,,,,,,,,,,,,,,1.932696790365159,1.9052457375865304,1.594429269271825,3.4535606018325775,4.609629853030769,0.06058047645908198,0.0,6.967718814800031,4,91
njac,New Jersey Athletic Conference (NJAC),2025-26,wlax,TCNJ,Gabriella Roosa,,,,18,18,0.0,2.0,0.0,0.0,0.0,1.0,14.0,0.0,1.0,3.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,4.0,27.0,8.0,1080:00,26.0,0.0,1.0,64.0,78.0,8.0,71.0,34.0,37.0,0.821,,,,,,,,,,,,,,,2.5998220913600205,1.8409650115307075,3.4408584378229485,0.7403877057524719,0.10345802662662573,1.332770482099805,0.0,6.201240533934458,5,89
njac,New Jersey Athletic Conference (NJAC),2025-26,wlax,Montclair State,Chelsea Stack,,,,15,15,0.0,9.0,0.0,0.0,0.0,0.0,14.0,0.0,8.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,32.0,48.0,5.0,915:00,32.0,0.0,1.0,42.0,57.0,12.0,72.0,52.0,20.0,0.737,,,,,,,,,,,,,,,2.6442971114263445,0.7481926685817198,5.518091252442963,0.5853492545478945,-0.234504860353685,3.1138364899968174,0.0,5.96523384526133,6,88
njac,New Jersey Athletic Conference (NJAC),2025-26,wlax,TCNJ,CJ Kole,,,,18,18,0.0,12.0,0.0,0.0,0.0,2.0,30.0,3.0,4.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,60.0,48.0,14.0,1080:00,26.0,0.0,1.0,68.0,84.0,23.0,73.0,28.0,45.0,0.81,,,,,,,,,,,,,,,2.688772131492669,2.3552108199772896,2.7484474996162773,0.27527235213873963,0.7793838005872472,3.1138364899968174,0.0,5.567716287024964,7,87
njac,New Jersey Athletic Conference (NJAC),2025-26,wlax,Rowan,Calista Burke,,,,19,19,0.0,15.0,0.0,0.0,0.0,2.0,37.0,0.0,9.0,1.0,0.0,0.0,0.0,15.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,2.0,47.0,22.0,1134:00,32.0,0.0,1.0,82.0,110.0,28.0,70.0,16.0,54.0,0.745,,,,,,,,,,,,,,,2.5553470712936965,2.933737354479695,1.3636256232029345,1.2830222849684931,1.6806181658680759,3.029023822954102,0.0,5.534357497188837,8,86
njac,New Jersey Athletic Conference (NJAC),2025-26,wlax,Stockton,Julia Gibson,,,,16,16,0.0,2.0,0.0,0.0,0.0,3.0,11.0,0.0,7.0,6.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,33.0,3.0,960:00,0.0,0.0,1.0,57.0,66.0,5.0,63.0,26.0,37.0,0.864,,,,,,,,,,,,,,,2.244021930829428,1.8409650115307075,2.5176438535473866,-0.034804550270415284,-0.45981345167389215,1.8416464843560942,0.0,4.594100643211434,9,85
njac,New Jersey Athletic Conference (NJAC),2025-26,wlax,Stockton,Isabella Marinello,,,,16,16,0.0,10.0,0.0,0.0,0.0,3.0,22.0,1.0,14.0,1.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,9.0,38.0,6.0,960:00,0.0,0.0,1.0,63.0,89.0,19.0,62.0,20.0,42.0,0.708,,,,,,,,,,,,,,,2.199546910763104,2.162368641809821,1.8252329153407154,0.12023390093416217,-0.12185056469358144,2.2657098195696688,0.0,4.3003359379937685,10,84
