season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,team_name,team_id,sdrm_id,games_played,games_started,uniform,year,code,shot_stats_penalty_kick_attempts,shot_stats_penalty_kick_goals,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_penalty_shot_attempts,shot_stats_penalty_shot_goals,shot_stats_avg_shots_per_game,shot_stats_avg_sog_per_game,shot_stats_avg_points_per_game,shot_stats_avg_goals_per_game,shot_stats_avg_assists_per_game,shot_stats_shots_saved_by_goalie,goal_stats_game_tying,goal_stats_hattricks,goal_stats_overtime,goal_stats_first,goal_stats_unassisted,goal_stats_game_winning,goal_stats_avg_gw_per_game,caution_stats_fouls,caution_stats_red_cards,caution_stats_yellow_cards,caution_stats_green_cards,caution_stats_avg_fouls_per_game,caution_stats_avg_yc_per_game,caution_stats_avg_rc_per_game,caution_stats_avg_gc_per_game,misc_stats_offsides,misc_stats_corner_kicks,misc_stats_minutes_played,misc_stats_defensive_saves,misc_stats_avg_corners_per_game,misc_stats_avg_offsides_per_game,goalie_stats,goalie_stats_shots_faced,goalie_stats_ties,goalie_stats_losses,goalie_stats_wins,goalie_stats_shutouts,goalie_stats_save_percentage,goalie_stats_goals_against_avg,goalie_stats_saves,goalie_stats_goals_allowed,goalie_stats_minutes,goalie_stats_games_started,goalie_stats_games_played,goalie_stats_avg_ga_per_game,goalie_stats_save_percentage_calc,goalie_stats_avg_sho_per_game,goalie_stats_avg_saves_per_game,shot_stats,goal_stats,caution_stats,misc_stats,composite_score,global_rank,rating
2026-27,wsoc,New Jersey Athletic Conference (NJAC),njac,Montclair State,"Kronow, Isabell",Isabell,Kronow,,442,"Kronow, Isabell","KRONOW,ISABELL",Montclair State,MSU,1149-14951,3,3,9,0,9,0,0,9,15,9,1,4,2,2,5.00,3.00,3.00,1.333,.333,5,0,1,0,1,4,2,.667,3,0,0,0,1.00,.00,.00,.00,0,,209:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,19.9563063226366,1,99
2026-27,wsoc,New Jersey Athletic Conference (NJAC),njac,Kean,"Gleason, Carly",Carly,Gleason,,329,"Gleason, Carly","GLEASON,CARLY",Kean,Kean,1148-6592,3,3,14,0,14,0,0,4,8,7,1,3,1,1,2.67,1.33,2.33,1.000,.333,1,0,1,0,0,2,0,.000,4,0,0,0,1.33,.00,.00,.00,0,,167:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,14.317714333329997,2,99
2026-27,wsoc,New Jersey Athletic Conference (NJAC),njac,Kean,"Pinho, Emily",Emily,Pinho,,329,"Pinho, Emily","PINHO,EMILY",Kean,Kean,1148-6596,3,2,17,0,17,0,0,4,5,7,1,3,0,0,1.67,1.33,2.33,1.000,.333,1,0,0,0,2,1,2,.667,0,0,0,0,.00,.00,.00,.00,0,,143:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,14.317714333329997,3,99
2026-27,wsoc,New Jersey Athletic Conference (NJAC),njac,Rowan,"Wiedeman, Sara",Sara,Wiedeman,,259,"Wiedeman, Sara","WIEDEMAN,SARA",Rowan,ROW,1154-4744,1,1,7,0,7,0,0,4,8,6,2,2,0,0,8.00,4.00,6.00,2.000,2.000,2,0,0,0,0,2,0,.000,0,0,0,0,.00,.00,.00,.00,0,,60:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,14.042707581068099,4,98
2026-27,wsoc,New Jersey Athletic Conference (NJAC),njac,Montclair State,"Lauber, Kaylee",Kaylee,Lauber,,442,"Lauber, Kaylee","LAUBER,KAYLEE",Montclair State,MSU,1149-15287,3,3,22,0,22,0,0,4,7,6,0,3,0,0,2.33,1.33,2.00,1.000,.000,1,1,0,0,1,1,0,.000,1,0,0,0,.33,.00,.00,.00,0,,224:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,11.019057665543682,5,98
2026-27,wsoc,New Jersey Athletic Conference (NJAC),njac,TCNJ,"Murphy, Maggie",Maggie,Murphy,,712,"Murphy, Maggie","MURPHY,MAGGIE",TCNJ,TCN,1163-5519,2,2,2,0,2,0,0,3,5,6,0,3,0,0,2.50,1.50,3.00,1.500,.000,0,0,1,0,0,1,1,.500,0,0,0,0,.00,.00,.00,.00,0,,112:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,10.606071951692005,6,98
2026-27,wsoc,New Jersey Athletic Conference (NJAC),njac,TCNJ,"Alfano, Alyssa",Alyssa,Alfano,,712,"Alfano, Alyssa","ALFANO,ALYSSA",TCNJ,TCN,1163-5373,2,2,6,0,6,0,0,2,5,5,1,2,0,0,2.50,1.00,2.50,1.000,.500,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,101:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,9.918079485578431,7,97
2026-27,wsoc,New Jersey Athletic Conference (NJAC),njac,Kean,"Petrosh, Ella",Ella,Petrosh,,329,"Petrosh, Ella","PETROSH,ELLA",Kean,Kean,1148-6795,3,3,15,0,15,0,0,2,5,5,1,2,0,0,1.67,.67,1.67,.667,.333,0,0,0,0,0,1,0,.000,1,0,0,0,.33,.00,.00,.00,0,,135:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,9.918079485578431,8,97
2026-27,wsoc,New Jersey Athletic Conference (NJAC),njac,Kean,"Soler, Natalia",Natalia,Soler,,329,"Soler, Natalia","SOLER,NATALIA",Kean,Kean,1148-7341,3,0,18,0,18,0,0,2,2,5,1,2,1,1,.67,.67,1.67,.667,.333,0,0,0,0,0,1,0,.000,2,0,0,0,.67,.00,.00,.00,0,,129:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,9.918079485578431,9,97
2026-27,wsoc,New Jersey Athletic Conference (NJAC),njac,Rutgers-Newark,"Vieira, Samantha",Samantha,Vieira,,589,"Vieira, Samantha","VIEIRA,SAMANTHA",Rutgers-Newark,RUN,1161-2492,2,2,18,0,18,0,0,2,6,5,1,2,0,0,3.00,1.00,2.50,1.000,.500,0,0,0,0,1,0,0,.000,2,0,0,0,1.00,.00,.00,.00,0,,116:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,9.918079485578431,10,96
2026-27,wsoc,New Jersey Athletic Conference (NJAC),njac,TCNJ,"Caruso, Lexi",Lexi,Caruso,,712,"Caruso, Lexi","CARUSO,LEXI",TCNJ,TCN,1163-5524,2,2,12,0,12,0,0,2,2,3,3,0,0,0,1.00,1.00,1.50,.000,1.500,2,0,0,0,0,0,0,.000,1,0,0,0,.50,.00,.00,.00,0,,64:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,9.368065981054636,11,96
2026-27,wsoc,New Jersey Athletic Conference (NJAC),njac,Rutgers-Newark,"Fernandez, Vielka",Vielka,Fernandez,,589,"Fernandez, Vielka","FERNANDEZ,VIELKA",Rutgers-Newark,RUN,1161-2258,2,2,13,0,13,0,0,7,7,4,0,2,0,0,3.50,3.50,2.00,1.000,.000,5,0,0,0,1,0,1,.500,1,0,0,0,.50,.00,.00,.00,0,,114:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,,8.684351387050503,12,96
