conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,attack_stats_hitting_pct,attack_stats_attempts,attack_stats_errors,attack_stats_kills,set_stats_assists,set_stats_errors,set_stats_attempts,set_stats_set_pct,serve_stats_aces,serve_stats_errors,serve_stats_attempts,serve_stats_serve_pct,defense_stats_defense_pct,defense_stats_attempts,defense_stats_receptions,defense_stats_digs,block_stats_total,block_stats_errors,block_stats_assists,block_stats_solos,misc_stats_points,misc_stats_ball_handling_errors,per_set_stats_kills,per_set_stats_assists,per_set_stats_digs,per_set_stats_blocks,per_set_stats_aces,per_set_stats_points
njac,New Jersey Athletic Conference (NJAC),2025-26,wvball,Kean,"Dohogne, Madeline",0,,10,117,0,.167,42,3,10,91,2,313,0,72,42,523,0,0,544,29,450,0,0,0,0,82,0,0.09,0.78,3.85,0.00,0.62,0.70
njac,New Jersey Athletic Conference (NJAC),2025-26,wvball,Kean,"O'Brien, Aspen",0,,13,119,46,.330,200,6,72,1262,21,3002,0,52,23,458,0,0,10,1,231,21,1,21,0,134.5,2,0.61,10.61,1.94,0.18,0.44,1.13
njac,New Jersey Athletic Conference (NJAC),2025-26,wvball,Kean,"Adams, Aubre",0,,18,100,38,.341,422,41,185,7,3,57,0,16,19,286,0,0,7,1,61,51,5,39,12,232.5,1,1.85,0.07,0.61,0.51,0.16,2.33
njac,New Jersey Athletic Conference (NJAC),2025-26,wvball,Kean,"Stem, Bella",0,,19,85,28,.214,388,53,136,2,3,30,0,1,3,15,0,0,3,0,31,39,5,38,1,157,0,1.60,0.02,0.36,0.46,0.01,1.85
njac,New Jersey Athletic Conference (NJAC),2025-26,wvball,Kean,"Kowalewski, Alison",0,,23,79,28,.121,364,68,112,16,1,68,0,34,29,321,0,0,372,22,191,11,0,9,2,152.5,0,1.42,0.20,2.42,0.14,0.43,1.93
njac,New Jersey Athletic Conference (NJAC),2025-26,wvball,Kean,"Latino, Victoria",0,,22,109,34,.192,765,117,264,10,3,41,0,17,23,175,0,0,223,24,116,44,2,42,2,304,1,2.42,0.09,1.06,0.40,0.16,2.79
njac,New Jersey Athletic Conference (NJAC),2025-26,wvball,Kean,"Suter, Danielle",0,,14,14,3,.000,12,2,2,112,5,318,0,5,3,50,0,0,0,0,26,2,0,2,0,8,0,0.14,8.00,1.86,0.14,0.36,0.57
njac,New Jersey Athletic Conference (NJAC),2025-26,wvball,Kean,"Valencia, Annabelle",0,,2,125,3,.000,19,2,2,32,2,120,0,44,75,476,0,0,396,28,309,0,0,0,0,46,0,0.02,0.26,2.47,0.00,0.35,0.37
njac,New Jersey Athletic Conference (NJAC),2025-26,wvball,Kean,"Morrison, Cayley Elena",0,,24,117,43,.396,793,105,419,5,4,29,0,2,9,17,0,0,8,0,38,125,17,79,46,506.5,2,3.58,0.04,0.32,1.07,0.02,4.33
njac,New Jersey Athletic Conference (NJAC),2025-26,wvball,Kean,"Sanjurjo Mercado, Alondra",0,,4,43,13,.211,95,13,33,2,1,10,0,1,4,20,0,0,10,3,9,38,2,28,10,58,3,0.77,0.05,0.21,0.88,0.02,1.35
