season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,linkup_name,games_played,games_started,uniform,year,hitting_stats_at_bats,hitting_stats_runs,hitting_stats_hits,hitting_stats_runs_batted_in,hitting_stats_doubles,hitting_stats_triples,hitting_stats_home_runs,hitting_stats_walks,hitting_stats_intentional_walks,hitting_stats_hit_by_pitch,hitting_stats_strikeouts,hitting_stats_strikeouts_looking,hitting_stats_stolen_bases,hitting_stats_caught_stealing,hitting_stats_sacrifice_hits,hitting_stats_sacrifice_flies,hitting_stats_reached_on_catchers_interference,hitting_stats_reached_on_error,hitting_stats_reached_on_fielders_choice,hitting_stats_grounded_into_doubleplay,hitting_stats_picked_off,hitting_stats_total_double_plays,hitting_stats_total_triple_plays,hitting_stats_onbase_percentage,hitting_stats_total_bases,hitting_stats_total_plate_appearances,hitting_stats_stolen_base_attempts,hitting_stats_stolen_base_percentage,hitting_stats_batting_average,hitting_stats_slugging_percentage,fielding_stats_putouts,fielding_stats_assists,fielding_stats_errors,fielding_stats_passed_balls,fielding_stats_catchers_interference,fielding_stats_stolen_bases_against,fielding_stats_caught_stealing_by,fielding_stats_involved_in_double_plays,fielding_stats_involved_in_triple_plays,fielding_stats_total_chances,fielding_stats_fielding_percentage,fielding_stats_stolen_bases_against_attempts,fielding_stats_stolen_bases_against_percentage,pitching_stats,hitting_summary_stats_times_reached_base_on_error,hitting_summary_stats_times_reached_base_on_fielders_choice,hitting_summary_stats_times_grouded_out,hitting_summary_stats_times_flied_out,hitting_summary_stats_hits_ab_with_2_outs,hitting_summary_stats_batting_avg_with_2_outs,hitting_summary_stats_hits_with_2_outs,hitting_summary_stats_ab_with_2_outs,hitting_summary_stats_hits_ab_with_runners_on_base,hitting_summary_stats_batting_avg_with_runners_on_base,hitting_summary_stats_hits_with_runners_on_base,hitting_summary_stats_ab_with_runners_on_base,hitting_summary_stats_hits_ab_with_runners_in_scoring_position,hitting_summary_stats_batting_avg_with_runners_in_scoring_position,hitting_summary_stats_hits_with_runners_in_scoring_position,hitting_summary_stats_ab_with_runners_in_scoring_position,hitting_summary_stats_hits_ab_vs_left_handed_pitchers,hitting_summary_stats_batting_avg_vs_left_handed_pitchers,hitting_summary_stats_hits_vs_left_handed_pitchers,hitting_summary_stats_ab_vs_left_handed_pitchers,hitting_summary_stats_hits_ab_vs_right_handed_pitchers,hitting_summary_stats_batting_avg_vs_right_handed_pitchers,hitting_summary_stats_hits_vs_right_handed_pitchers,hitting_summary_stats_ab_vs_right_handed_pitchers,hitting_summary_stats_success_opps_as_leadoff_batter_in_inning,hitting_summary_stats_success_opps_to_drive_in_runner_from_3rd_with_less_than_2_outs,hitting_summary_stats_number_of_runners_advanced_ab,hitting_summary_stats_hits_ab_with_bases_loaded,hitting_summary_stats_batting_avg_with_bases_loaded,hitting_summary_stats_hits_with_bases_loaded,hitting_summary_stats_ab_with_bases_loaded,hitting_summary_stats_hits_ab_as_pinch_hitter,hitting_summary_stats_batting_avg_as_pinch_hitter,hitting_summary_stats_hits_as_pinch_hitter,hitting_summary_stats_ab_as_pinch_hitter,hitting_summary_stats_times_advanced_at_least_1_runner_with_an_out,hitting_summary_stats_runners_left_on_base,hitting_summary_stats_two_out_rbis,pitching_summary_stats,team_name,team_id,sdrm_id,this_is_softball,pitching_stats_hits_allowed,pitching_stats_appearances,pitching_stats_games_started,pitching_stats_wins,pitching_stats_losses,pitching_stats_saves,pitching_stats_complete_games,pitching_stats_shutouts,pitching_stats_credit_for_combined_shutout,pitching_stats_games_finished,pitching_stats_innings_pitched,pitching_stats_runs_allowed,pitching_stats_earned_runs_allowed,pitching_stats_walks_allowed,pitching_stats_strikeouts,pitching_stats_doubles_allowed,pitching_stats_triples_allowed,pitching_stats_home_runs_allowed,pitching_stats_earned_run_average,pitching_stats_opponents_at_bats,pitching_stats_batters_faced,pitching_stats_wild_pitches,pitching_stats_hit_batters,pitching_stats_balks,pitching_stats_sacrifice_flies_allowed,pitching_stats_sacrifice_hits_allowed,pitching_stats_catchers_interference_allowed,pitching_stats_intentional_walks,pitching_stats_strikeouts_looking,pitching_stats_opponent_batting_average,pitching_summary_stats_fly_outs_allowed,pitching_summary_stats_ground_outs_allowed,pitching_summary_stats_runners_picked_off,pitching_summary_stats_success_opps_vs_leadoff_batters,pitching_summary_stats_hits_ab_with_runners_on_base,pitching_summary_stats_hits_ab_vs_left_handed_batters,pitching_summary_stats_hits_ab_vs_right_handed_batters,pitching_summary_stats_hits_ab_with_2_outs,hitting_stats,fielding_stats,hitting_summary_stats,global_rank,rating,composite_score,ranking_segment,pitching_stats_k_per_9,pitching_stats_whip
2026-27,baseball,North Eastern Athletic Conference,north_eastern_athletic_c,Penn College,Shawn Townsend,Shawn,Townsend,,30190,Shawn Townsend,0,0PCT,9,9,,,36,10,15,8,3,0,0,2,0,0,5,2,4,0,1,1,0,0,0,0,0,0,0,0.436,18,40,4,1.000,.417,.500,13,15,2,0,0,0,0,2,0,30,.933,0,.000,,1,3,12,5,"3,11",0.27,3,11,"10,26",0.38,10,26,"7,17",0.41,7,17,0,0,0,0,0,0,0,0,"5,6","3,4","15,28",0,0,0,0,0,0,0,0,5,6,0,,Penn College,PCT,2220-1630,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,99,163.0,batting,,
2026-27,baseball,North Eastern Athletic Conference,north_eastern_athletic_c,Penn College,Logan Hinnershitz,Logan,Hinnershitz,,30190,Logan Hinnershitz,0,0PCT,10,9,,,30,7,12,6,1,1,0,3,0,2,7,2,2,0,2,0,0,0,0,1,0,1,0,0.486,15,37,2,1.000,.400,.500,59,7,2,3,0,18,5,1,0,68,.971,23,.783,,1,1,10,2,"3,15",0.20,3,15,"5,15",0.33,5,15,"4,13",0.31,4,13,0,0,0,0,0,0,0,0,"4,5","2,5","12,20",95,0,0,0,11,0,0,0,3,12,0,,Penn College,PCT,2220-1460,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,99,162.0,batting,,
2026-27,baseball,North Eastern Athletic Conference,north_eastern_athletic_c,Lancaster Bible College,Everett Bell,Everett,Bell,,30085,Everett Bell,0,0LANCASTE,7,6,,,18,4,8,4,2,0,0,2,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0.545,10,22,1,1.000,.444,.556,12,0,0,0,0,0,0,0,0,12,1.000,0,.000,,0,1,7,1,"3,5",0.60,3,5,"6,11",0.55,6,11,"4,8",0.50,4,8,"5,8",0.63,5,8,0,0,0,0,"2,5","1,2","11,14",0,0,0,0,0,0,0,0,1,1,0,,Lancaster Bible College,LANCASTE,1391-2418,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,99,161.0,batting,,
2026-27,baseball,North Eastern Athletic Conference,north_eastern_athletic_c,Penn State Abington,Akira Nakamura,Akira,Nakamura,,30114,Akira Nakamura,0,0PENN ST.,26,26,,,102,27,46,36,8,0,0,9,0,7,11,2,3,0,1,2,0,0,0,2,1,2,0,0.517,54,121,3,1.000,.451,.529,135,11,5,0,0,0,0,5,0,151,.967,0,.000,,4,2,21,26,"11,30",0.37,11,30,"33,62",0.53,33,62,"21,38",0.55,21,38,"8,15",0.53,8,15,0,0,0,0,"11,17","13,17","47,68",195,0,0,0,0,0,0,0,12,17,0,,Penn State Abington,PENN ST.,2032-1897,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,98,160.0,batting,,
2026-27,baseball,North Eastern Athletic Conference,north_eastern_athletic_c,Penn College,Ethan Stahl,Ethan,Stahl,,30190,Ethan Stahl,0,0PCT,9,6,,,22,6,9,3,3,0,0,6,0,0,3,2,2,2,0,0,0,0,0,3,0,4,0,0.536,12,28,4,.500,.409,.545,16,13,1,0,0,0,1,1,0,30,.967,1,.000,,0,0,8,2,"1,3",0.33,1,3,"4,11",0.36,4,11,"3,6",0.50,3,6,0,0,0,0,0,0,0,0,"6,8","1,2","4,11",0,0,0,0,22,0,0,0,0,4,0,,Penn College,PCT,2220-1467,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,98,159.0,batting,,
2026-27,baseball,North Eastern Athletic Conference,north_eastern_athletic_c,Keystone College,Dante Ruby,Dante,Ruby,,30047,Dante Ruby,0,0KEYSTONE,19,18,,,58,29,29,22,9,1,2,15,0,9,11,4,8,3,1,2,0,0,0,2,0,1,0,0.631,46,85,11,.727,.500,.793,26,27,2,0,0,0,0,6,0,55,.964,0,.000,,1,2,9,9,"8,19",0.42,8,19,"15,29",0.52,15,29,"11,21",0.52,11,21,"5,12",0.42,5,12,0,0,0,0,"15,20","5,9","27,41",15,0,0,0,0,0,0,0,5,12,0,,Keystone College,KEYSTONE,1242-2852,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,98,158.0,batting,,
2026-27,baseball,North Eastern Athletic Conference,north_eastern_athletic_c,Penn State Abington,Jaxon Horvath,Jaxon,Horvath,,30114,Jaxon Horvath,0,0PENN ST.,22,21,,,72,16,29,20,5,0,0,10,0,4,14,8,0,1,0,1,0,0,0,0,1,0,0,0.494,34,87,1,.000,.403,.472,15,41,3,0,0,0,0,3,0,59,.949,0,.000,,3,1,18,9,"7,20",0.35,7,20,"17,38",0.45,17,38,"15,31",0.48,15,31,"3,14",0.21,3,14,0,0,0,0,"5,16","11,14","29,44",7,0,0,0,0,0,0,0,5,14,0,,Penn State Abington,PENN ST.,2032-1893,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,97,157.0,batting,,
2026-27,baseball,North Eastern Athletic Conference,north_eastern_athletic_c,St. Mary's (Md.),Connor Wilkerson,Connor,Wilkerson,,611,Connor Wilkerson,0,0ST. MARY,20,20,,,67,26,31,19,8,5,0,11,0,1,5,1,14,4,0,2,0,0,0,0,1,0,0,0.531,49,81,18,.778,.463,.731,134,5,5,3,0,6,0,10,0,144,.965,6,1.000,,7,1,12,14,"4,18",0.22,4,18,"18,36",0.50,18,36,"14,26",0.54,14,26,"5,15",0.33,5,15,0,0,0,0,"8,13","10,14","29,41",13,0,0,0,0,0,0,0,7,13,0,,St. Mary's (Md.),ST. MARY,659-4209,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,97,156.0,batting,,
2026-27,baseball,North Eastern Athletic Conference,north_eastern_athletic_c,Rosemont,Gary Kroll,Gary,Kroll,,15882,Gary Kroll,0,0ROSEMONT,15,15,,,48,6,22,14,0,1,0,4,0,1,6,0,6,0,2,1,0,0,0,0,0,0,0,0.500,24,56,6,1.000,.458,.500,42,18,1,0,0,0,0,4,0,61,.984,0,.000,,4,3,12,7,"7,14",0.50,7,14,"15,32",0.47,15,32,"9,21",0.43,9,21,"2,4",0.50,2,4,0,0,0,0,"5,10","8,10","26,38",2,0,0,0,0,0,0,0,10,6,0,,Rosemont,ROSEMONT,1310-2421,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,97,155.0,batting,,
2026-27,baseball,North Eastern Athletic Conference,north_eastern_athletic_c,Lancaster Bible College,Donavan Boles,Donavan,Boles,,30085,Donavan Boles,0,0LANCASTE,14,11,,,44,10,19,12,5,0,2,6,0,0,11,1,3,1,0,1,0,0,0,0,0,0,0,0.490,30,51,4,.750,.432,.682,72,6,3,0,0,0,0,0,0,81,.963,0,.000,,2,1,3,10,"6,21",0.29,6,21,"12,29",0.41,12,29,"8,20",0.40,8,20,"2,7",0.29,2,7,0,0,0,0,"7,10","3,4","19,32",1,0,0,0,"1,1",1.00,1,1,4,15,0,,Lancaster Bible College,LANCASTE,1391-2419,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,96,154.0,batting,,
