conference_code,conference,season,team,player_name,first_name,last_name,class_year,position,gp,mp_total,mpg,pts_total,ppg,reb_total,rpg,ast_total,apg,stl_total,spg,blk_total,bpg,tov_total,tov_pg,fgm,fga,fg_pct,tpm,tpa,tp_pct,ftm,fta,ft_pct
north_eastern_athletic_c,North Eastern Athletic Conference,2025-26,Lancaster Bible College,"Hurst,Camden",Camden,Hurst,0,G,27,760.0,28.14814814814815,569.0,21.07,99.0,3.67,76.0,2.81,54.0,2.0,15.0,0.56,71.0,2.6296296296296298,210.0,360.0,0.58,40.0,95.0,0.42,109.0,158.0,0.69
north_eastern_athletic_c,North Eastern Athletic Conference,2025-26,Lancaster Bible College,"Rumbaugh,Luke",Luke,Rumbaugh,0,G,13,255.0,19.615384615384617,130.0,10.0,41.0,3.15,13.0,1.0,9.0,0.69,5.0,0.38,14.0,1.0769230769230769,39.0,86.0,0.45,5.0,17.0,0.29,47.0,64.0,0.73
north_eastern_athletic_c,North Eastern Athletic Conference,2025-26,Lancaster Bible College,"Cabezas,Marco",Marco,Cabezas,0,G,20,106.0,5.3,35.0,1.75,16.0,0.8,11.0,0.55,8.0,0.4,0.0,0.0,9.0,0.45,12.0,27.0,0.44,2.0,7.0,0.29,9.0,11.0,0.82
north_eastern_athletic_c,North Eastern Athletic Conference,2025-26,Lancaster Bible College,"Hooks,Reaves",Reaves,Hooks,0,G,27,347.0,12.851851851851851,116.0,4.3,49.0,1.81,66.0,2.44,15.0,0.56,5.0,0.19,39.0,1.4444444444444444,43.0,104.0,0.41,18.0,46.0,0.39,12.0,17.0,0.71
north_eastern_athletic_c,North Eastern Athletic Conference,2025-26,Lancaster Bible College,"Bowers,Bennett",Bennett,Bowers,0,,27,527.0,19.51851851851852,154.0,5.7,49.0,1.81,58.0,2.15,21.0,0.78,0.0,0.0,38.0,1.4074074074074074,49.0,105.0,0.47,17.0,43.0,0.4,39.0,41.0,0.95
north_eastern_athletic_c,North Eastern Athletic Conference,2025-26,Lancaster Bible College,"Chapman,Tyler",Tyler,Chapman,0,G,4,28.0,7.0,10.0,2.5,5.0,1.25,1.0,0.25,3.0,0.75,0.0,0.0,1.0,0.25,4.0,10.0,0.4,2.0,6.0,0.33,0.0,2.0,0.0
north_eastern_athletic_c,North Eastern Athletic Conference,2025-26,Lancaster Bible College,"Austin,Nile",Nile,Austin,0,G,27,609.0,22.555555555555557,129.0,4.78,59.0,2.19,43.0,1.59,40.0,1.48,3.0,0.11,29.0,1.0740740740740742,42.0,124.0,0.34,33.0,95.0,0.35,12.0,16.0,0.75
north_eastern_athletic_c,North Eastern Athletic Conference,2025-26,Lancaster Bible College,"Joy,Nas",Nas,Joy,0,,15,90.0,6.0,13.0,0.87,19.0,1.27,16.0,1.07,3.0,0.2,0.0,0.0,7.0,0.4666666666666667,3.0,26.0,0.12,0.0,14.0,0.0,7.0,8.0,0.88
north_eastern_athletic_c,North Eastern Athletic Conference,2025-26,Lancaster Bible College,"King,Daniel",Daniel,King,0,F,27,559.0,20.703703703703702,184.0,6.81,118.0,4.37,32.0,1.19,33.0,1.22,4.0,0.15,36.0,1.3333333333333333,69.0,116.0,0.59,0.0,2.0,0.0,46.0,77.0,0.6
north_eastern_athletic_c,North Eastern Athletic Conference,2025-26,Lancaster Bible College,"Zeiset,Landon",Landon,Zeiset,0,,21,125.0,5.9523809523809526,28.0,1.33,31.0,1.48,8.0,0.38,6.0,0.29,5.0,0.24,9.0,0.4285714285714285,12.0,23.0,0.52,0.0,0.0,0.0,4.0,11.0,0.36
