conference_code,conference,season,sport,team,player_name,class_year,position,uniform,games_played,games_started,shot_stats_penalty_kick_attempts,shot_stats_penalty_kick_goals,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_penalty_shot_attempts,shot_stats_penalty_shot_goals,shot_stats_avg_shots_per_game,shot_stats_avg_sog_per_game,shot_stats_avg_points_per_game,shot_stats_avg_goals_per_game,shot_stats_avg_assists_per_game,shot_stats_shots_saved_by_goalie,goal_stats_game_tying,goal_stats_hattricks,goal_stats_overtime,goal_stats_first,goal_stats_unassisted,goal_stats_game_winning,goal_stats_avg_gw_per_game,caution_stats_fouls,caution_stats_red_cards,caution_stats_yellow_cards,caution_stats_green_cards,caution_stats_avg_fouls_per_game,caution_stats_avg_yc_per_game,caution_stats_avg_rc_per_game,caution_stats_avg_gc_per_game,misc_stats_offsides,misc_stats_corner_kicks,misc_stats_minutes_played,misc_stats_defensive_saves,misc_stats_avg_corners_per_game,misc_stats_avg_offsides_per_game,goalie_stats_shots_faced,goalie_stats_ties,goalie_stats_losses,goalie_stats_wins,goalie_stats_shutouts,goalie_stats_save_percentage,goalie_stats_goals_against_avg,goalie_stats_saves,goalie_stats_goals_allowed,goalie_stats_minutes,goalie_stats_games_started,goalie_stats_games_played,goalie_stats_avg_ga_per_game,goalie_stats_save_percentage_calc,goalie_stats_avg_sho_per_game,goalie_stats_avg_saves_per_game
north_eastern_athletic_c,North Eastern Athletic Conference,2025-26,msoc,St. Mary's (Md.),"Peterson, Aiden",0,,0,2,2,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,180:00,0,.00,.00,22,0,1,1,0,.600,3.00,9,6,180:00,2,2,3.00,0.600,.000,4.50
north_eastern_athletic_c,North Eastern Athletic Conference,2025-26,msoc,St. Mary's (Md.),"Eckman, Jordon",0,,1,10,10,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,900:00,0,.00,.00,97,1,3,6,5,.733,1.20,33,12,900:00,10,10,1.20,0.733,.500,3.30
north_eastern_athletic_c,North Eastern Athletic Conference,2025-26,msoc,St. Mary's (Md.),"Reed, Zack",0,,99,8,8,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,720:00,0,.00,.00,85,0,2,6,2,.656,1.38,21,11,720:00,8,8,1.38,0.656,.250,2.63
north_eastern_athletic_c,North Eastern Athletic Conference,2025-26,msoc,St. Mary's (Md.),"Wright, Ethan",0,,2,20,19,0,0,1,4,3,3,0,0,0,.20,.05,.15,.000,.150,1,0,0,0,0,0,0,.000,16,0,2,0,.80,.10,.00,.00,0,,1326:00,0,.00,.00,,,,,,,,,,,,,,,,
north_eastern_athletic_c,North Eastern Athletic Conference,2025-26,msoc,St. Mary's (Md.),"Schult, Max",0,,3,7,0,0,0,2,5,1,1,0,0,0,.71,.29,.14,.000,.143,2,0,0,0,0,0,0,.000,2,0,0,0,.29,.00,.00,.00,0,,151:00,0,.00,.00,,,,,,,,,,,,,,,,
north_eastern_athletic_c,North Eastern Athletic Conference,2025-26,msoc,St. Mary's (Md.),"Nelson, Jack",0,,4,18,18,0,0,9,20,13,3,5,0,0,1.11,.50,.72,.278,.167,4,1,0,0,1,0,2,.111,14,1,1,0,.78,.06,.06,.00,0,,1322:00,0,.00,.00,,,,,,,,,,,,,,,,
north_eastern_athletic_c,North Eastern Athletic Conference,2025-26,msoc,St. Mary's (Md.),"Adja, Mark",0,,5,7,4,0,0,1,1,0,0,0,0,0,.14,.14,.00,.000,.000,1,0,0,0,0,0,0,.000,2,0,0,0,.29,.00,.00,.00,0,,393:00,0,.00,.00,,,,,,,,,,,,,,,,
north_eastern_athletic_c,North Eastern Athletic Conference,2025-26,msoc,St. Mary's (Md.),"Cooper, Ryan",0,,6,15,2,0,0,2,8,1,1,0,0,0,.53,.13,.07,.000,.067,2,0,0,0,0,0,0,.000,2,0,0,0,.13,.00,.00,.00,0,,325:00,0,.00,.00,,,,,,,,,,,,,,,,
north_eastern_athletic_c,North Eastern Athletic Conference,2025-26,msoc,St. Mary's (Md.),"Evans, Lucas",0,,7,14,12,0,0,13,23,13,7,3,1,1,1.64,.93,.93,.214,.500,10,0,0,0,0,2,0,.000,13,0,0,0,.93,.00,.00,.00,0,,887:00,0,.00,.00,,,,,,,,,,,,,,,,
north_eastern_athletic_c,North Eastern Athletic Conference,2025-26,msoc,St. Mary's (Md.),"Martinelli, Andrew",0,,8,19,3,0,0,0,1,2,2,0,0,0,.05,.00,.11,.000,.105,0,0,0,0,0,0,0,.000,4,0,2,0,.21,.11,.00,.00,0,,697:00,0,.00,.00,,,,,,,,,,,,,,,,
north_eastern_athletic_c,North Eastern Athletic Conference,2025-26,msoc,St. Mary's (Md.),"Bruce, Tanner",0,,9,0,0,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,00:00,0,.00,.00,,,,,,,,,,,,,,,,
north_eastern_athletic_c,North Eastern Athletic Conference,2025-26,msoc,St. Mary's (Md.),"Magnaye, Trey",0,,10,20,15,0,0,3,5,4,0,2,0,0,.25,.15,.20,.100,.000,1,1,0,0,0,2,0,.000,8,0,3,0,.40,.15,.00,.00,0,,1250:00,0,.00,.00,,,,,,,,,,,,,,,,
north_eastern_athletic_c,North Eastern Athletic Conference,2025-26,msoc,St. Mary's (Md.),"Reyes, Franco",0,,11,20,6,0,0,20,37,19,3,8,0,0,1.85,1.00,.95,.400,.150,12,1,0,0,4,3,2,.100,8,0,0,0,.40,.00,.00,.00,0,,761:00,0,.00,.00,,,,,,,,,,,,,,,,
north_eastern_athletic_c,North Eastern Athletic Conference,2025-26,msoc,St. Mary's (Md.),"Webster, Bryce",0,,12,13,0,0,0,0,1,0,0,0,0,0,.08,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,7,0,0,0,.54,.00,.00,.00,0,,415:00,0,.00,.00,,,,,,,,,,,,,,,,
north_eastern_athletic_c,North Eastern Athletic Conference,2025-26,msoc,St. Mary's (Md.),"Kuwik, Matthew",0,,13,18,4,0,0,9,25,6,0,3,0,0,1.39,.50,.33,.167,.000,6,0,0,0,1,1,1,.056,8,1,0,0,.44,.00,.06,.00,0,,631:00,0,.00,.00,,,,,,,,,,,,,,,,
north_eastern_athletic_c,North Eastern Athletic Conference,2025-26,msoc,St. Mary's (Md.),"Phillips, Noah",0,,14,4,0,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,56:00,0,.00,.00,,,,,,,,,,,,,,,,
north_eastern_athletic_c,North Eastern Athletic Conference,2025-26,msoc,St. Mary's (Md.),"Ledman, Devin",0,,15,7,0,0,0,3,6,0,0,0,0,0,.86,.43,.00,.000,.000,3,0,0,0,0,0,0,.000,8,0,0,0,1.14,.00,.00,.00,0,,91:00,0,.00,.00,,,,,,,,,,,,,,,,
