season,sport,conference,conference_code,team,player_name,first_name,last_name,position,team_code,name,checkname,team_name,team_id,sdrm_id,games_played,games_started,uniform,year,code,shot_stats_penalty_kick_attempts,shot_stats_penalty_kick_goals,shot_stats_shots_on_goal,shot_stats_shots,shot_stats_points,shot_stats_assists,shot_stats_goals,shot_stats_penalty_shot_attempts,shot_stats_penalty_shot_goals,shot_stats_avg_shots_per_game,shot_stats_avg_sog_per_game,shot_stats_avg_points_per_game,shot_stats_avg_goals_per_game,shot_stats_avg_assists_per_game,shot_stats_shots_saved_by_goalie,goal_stats_game_tying,goal_stats_hattricks,goal_stats_overtime,goal_stats_first,goal_stats_unassisted,goal_stats_game_winning,goal_stats_avg_gw_per_game,caution_stats_fouls,caution_stats_red_cards,caution_stats_yellow_cards,caution_stats_green_cards,caution_stats_avg_fouls_per_game,caution_stats_avg_yc_per_game,caution_stats_avg_rc_per_game,caution_stats_avg_gc_per_game,misc_stats_offsides,misc_stats_corner_kicks,misc_stats_minutes_played,misc_stats_defensive_saves,misc_stats_avg_corners_per_game,misc_stats_avg_offsides_per_game,goalie_stats,goalie_stats_shots_faced,goalie_stats_ties,goalie_stats_losses,goalie_stats_wins,goalie_stats_shutouts,goalie_stats_save_percentage,goalie_stats_goals_against_avg,goalie_stats_saves,goalie_stats_goals_allowed,goalie_stats_minutes,goalie_stats_games_started,goalie_stats_games_played,goalie_stats_avg_ga_per_game,goalie_stats_save_percentage_calc,goalie_stats_avg_sho_per_game,goalie_stats_avg_saves_per_game,shot_stats,goal_stats,caution_stats,misc_stats
2026-27,msoc,North Eastern Athletic Conference,north_eastern_athletic_c,St. Mary's (Md.),"Watts, John",John,Watts,,611,"Watts, John","WATTS,JOHN",St. Mary's (Md.),SMMD,659-4228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,00:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
2026-27,msoc,North Eastern Athletic Conference,north_eastern_athletic_c,St. Mary's (Md.),"Eckman, Jordon",Jordon,Eckman,,611,"Eckman, Jordon","ECKMAN,JORDON",St. Mary's (Md.),SMMD,659-3648,1,1,1,0,1,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,90:00,0,.00,.00,,6,0,0,1,0,.250,3.00,1,3,90:00,1,1,3.00,0.250,.000,1.00,,,,
2026-27,msoc,North Eastern Athletic Conference,north_eastern_athletic_c,St. Mary's (Md.),"Reed, Zack",Zack,Reed,,611,"Reed, Zack","REED,ZACK",St. Mary's (Md.),SMMD,659-3647,2,2,99,0,99,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,180:00,0,.00,.00,,31,0,1,1,0,.722,2.50,13,5,180:00,2,2,2.50,0.722,.000,6.50,,,,
2026-27,msoc,North Eastern Athletic Conference,north_eastern_athletic_c,St. Mary's (Md.),"Wright, Ethan",Ethan,Wright,,611,"Wright, Ethan","WRIGHT,ETHAN",St. Mary's (Md.),SMMD,659-3899,3,3,2,0,2,0,0,1,1,2,0,1,0,0,.33,.33,.67,.333,.000,0,0,0,0,0,0,1,.333,2,0,0,0,.67,.00,.00,.00,0,,183:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
2026-27,msoc,North Eastern Athletic Conference,north_eastern_athletic_c,St. Mary's (Md.),"Adja, Mark",Mark,Adja,,611,"Adja, Mark","ADJA,MARK",St. Mary's (Md.),SMMD,659-4043,3,3,4,0,4,0,0,1,1,0,0,0,0,0,.33,.33,.00,.000,.000,1,0,0,0,0,0,0,.000,2,0,0,0,.67,.00,.00,.00,0,,205:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
2026-27,msoc,North Eastern Athletic Conference,north_eastern_athletic_c,St. Mary's (Md.),"Gawel, AJ",AJ,Gawel,,611,"Gawel, AJ","GAWEL,AJ",St. Mary's (Md.),SMMD,659-4217,3,0,5,0,5,0,0,0,1,0,0,0,0,0,.33,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,3,0,1,0,1.00,.33,.00,.00,0,,91:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
2026-27,msoc,North Eastern Athletic Conference,north_eastern_athletic_c,St. Mary's (Md.),"Schult, Max",Max,Schult,,611,"Schult, Max","SCHULT,MAX",St. Mary's (Md.),SMMD,659-4042,2,0,6,0,6,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,29:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
2026-27,msoc,North Eastern Athletic Conference,north_eastern_athletic_c,St. Mary's (Md.),"Evans, Lucas",Lucas,Evans,,611,"Evans, Lucas","EVANS,LUCAS",St. Mary's (Md.),SMMD,659-3902,3,3,7,0,7,0,0,5,5,5,3,1,0,0,1.67,1.67,1.67,.333,1.000,4,0,0,0,0,0,0,.000,5,0,1,0,1.67,.33,.00,.00,0,,191:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
2026-27,msoc,North Eastern Athletic Conference,north_eastern_athletic_c,St. Mary's (Md.),"Santos Solorzano, Jeferson",Jeferson,Santos Solorzano,,611,"Santos Solorzano, Jeferson","SANTOS SOLORZANO,JEFERSON",St. Mary's (Md.),SMMD,659-4057,0,0,8,0,8,0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,00:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
2026-27,msoc,North Eastern Athletic Conference,north_eastern_athletic_c,St. Mary's (Md.),"Bruce, Tanner",Tanner,Bruce,,611,"Bruce, Tanner","BRUCE,TANNER",St. Mary's (Md.),SMMD,659-3901,2,0,9,0,9,0,0,1,2,2,0,1,0,0,1.00,.50,1.00,.500,.000,0,0,0,0,0,0,0,.000,1,0,0,0,.50,.00,.00,.00,0,,33:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
2026-27,msoc,North Eastern Athletic Conference,north_eastern_athletic_c,St. Mary's (Md.),"Magnaye, Trey",Trey,Magnaye,,611,"Magnaye, Trey","MAGNAYE,TREY",St. Mary's (Md.),SMMD,659-3900,3,3,10,0,10,0,0,0,2,0,0,0,0,0,.67,.00,.00,.000,.000,0,0,0,0,0,0,0,.000,3,0,1,0,1.00,.33,.00,.00,0,,219:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
2026-27,msoc,North Eastern Athletic Conference,north_eastern_athletic_c,St. Mary's (Md.),"Reyes, Franco",Franco,Reyes,,611,"Reyes, Franco","REYES,FRANCO",St. Mary's (Md.),SMMD,659-3655,3,1,11,0,11,0,0,1,3,0,0,0,0,0,1.00,.33,.00,.000,.000,1,0,0,0,0,0,0,.000,0,0,0,0,.00,.00,.00,.00,0,,107:00,0,.00,.00,,,,,,,,,,,,,,,,,,,,,
